ow_multigpu50-dr_0.0-tn_1.3-ts_42-if_1.0-ccmd_249f-policy_FGDPredictor1000desharemd6126-de_share-gs_FGDPredictorScore-scmd_6126-origin_milli,ow_multigpu50-dr_0.0-tn_1.3-ts_42-if_1.0-ccmd_249f-policy_FGDPredictor1000desharemd6126-de_share-gs_FGDPredictorScore-scmd_6126-origin_ratio,ow_multigpu50-dr_0.0-tn_1.3-ts_42-if_1.0-ccmd_249f-policy_FGDPredictor1000desharemd6126-de_share-gs_FGDPredictorScore-scmd_6126-origin_q124,ow_multigpu50-dr_0.0-tn_1.3-ts_42-if_1.0-ccmd_249f-policy_FGDPredictor1000desharemd6126-de_share-gs_FGDPredictorScore-scmd_6126-bellman_milli,ow_multigpu50-dr_0.0-tn_1.3-ts_42-if_1.0-ccmd_249f-policy_FGDPredictor1000desharemd6126-de_share-gs_FGDPredictorScore-scmd_6126-bellman_ratio
881919.34,14.53,2.27,814217.68,13.42
881728.29,14.53,2.27,814040.28,13.42
881504.01,14.53,2.27,813844.82,13.42
881341.64,14.53,2.27,814106.19,13.42
880960.04,14.53,2.26,813773.58,13.42
880696.39,14.52,2.26,813421.67,13.41
880505.34,14.52,2.26,813233.94,13.41
880316.25,14.52,2.26,812769.42,13.41
879581.29,14.52,2.25,812121.37,13.41
879357.02,14.52,2.25,811936.23,13.41
879179.55,14.52,2.25,811417.03,13.4
879156.86,14.52,2.25,811080.84,13.4
879111.64,14.52,2.26,811286.79,13.4
879087.56,14.52,2.26,810780.87,13.39
879087.56,14.52,2.26,810780.87,13.39
878774.35,14.52,2.25,810399.87,13.39
877756.92,14.52,2.26,809588.46,13.39
877565.87,14.52,2.26,809325.09,13.39
877392.81,14.52,2.26,808523.81,13.38
877168.54,14.52,2.25,808414.32,13.38
876977.48,14.52,2.25,808150.95,13.38
876953.28,14.52,2.26,807739.03,13.37
876761.3,14.52,2.25,807939.85,13.38
876992.75,14.52,2.26,808076.58,13.38
876588.46,14.52,2.25,807709.69,13.38
875607.27,14.52,2.26,806970.4,13.38
875383.0,14.52,2.26,806860.91,13.38
875520.68,14.52,2.26,806948.52,13.39
875738.01,14.53,2.26,807160.98,13.39
875713.93,14.53,2.27,806655.06,13.38
875399.53,14.53,2.26,806268.79,13.38
875208.47,14.53,2.26,806005.41,13.38
874984.2,14.53,2.26,805895.92,13.38
874793.14,14.52,2.26,805632.55,13.38
874568.87,14.52,2.26,805523.05,13.38
874041.57,14.52,2.25,804446.13,13.36
873850.51,14.52,2.25,804183.88,13.36
874046.55,14.52,2.26,804492.99,13.37
874046.55,14.52,2.26,804492.99,13.37
873631.22,14.52,2.26,804120.12,13.37
873338.27,14.52,2.25,803830.67,13.36
873147.21,14.52,2.25,803567.3,13.36
872922.94,14.52,2.25,803457.81,13.36
872922.94,14.52,2.25,803457.81,13.36
872731.88,14.51,2.25,803270.08,13.36
872350.28,14.51,2.24,802979.35,13.36
872126.0,14.51,2.24,802794.22,13.35
871827.26,14.5,2.24,802502.0,13.35
871827.26,14.5,2.24,802502.0,13.35
871636.21,14.5,2.24,802324.6,13.35
871411.93,14.5,2.24,802129.13,13.35
870884.64,14.5,2.23,801052.21,13.34
870884.64,14.5,2.23,801052.21,13.34
871022.32,14.5,2.24,801139.83,13.34
870732.01,14.5,2.23,800850.1,13.33
870949.34,14.5,2.24,801062.56,13.34
870567.73,14.5,2.23,800771.83,13.33
870376.68,14.5,2.23,800512.78,13.33
870352.59,14.5,2.23,800006.86,13.33
870038.19,14.49,2.23,799624.67,13.32
870038.19,14.49,2.23,799624.67,13.32
869813.92,14.49,2.23,799510.85,13.32
869813.92,14.49,2.23,799510.85,13.32
869813.92,14.49,2.23,799510.85,13.32
869622.86,14.49,2.23,799255.22,13.32
869598.78,14.49,2.23,798749.3,13.31
