ow_gpushare80-dr_0.0-tn_1.3-ts_42-if_1.0-ccmd_f153-policy_GpuPacking1000desharemd3326-de_share-gs_best-scmd_3326-origin_milli,ow_gpushare80-dr_0.0-tn_1.3-ts_42-if_1.0-ccmd_f153-policy_GpuPacking1000desharemd3326-de_share-gs_best-scmd_3326-origin_ratio,ow_gpushare80-dr_0.0-tn_1.3-ts_42-if_1.0-ccmd_f153-policy_GpuPacking1000desharemd3326-de_share-gs_best-scmd_3326-origin_q124,ow_gpushare80-dr_0.0-tn_1.3-ts_42-if_1.0-ccmd_f153-policy_GpuPacking1000desharemd3326-de_share-gs_best-scmd_3326-bellman_milli,ow_gpushare80-dr_0.0-tn_1.3-ts_42-if_1.0-ccmd_f153-policy_GpuPacking1000desharemd3326-de_share-gs_best-scmd_3326-bellman_ratio
859827.49,13.97,0.38,207705.36,3.37
859877.94,13.97,0.38,207831.97,3.38
859583.35,13.97,0.38,207501.68,3.37
859447.44,13.97,0.38,207388.29,3.37
859181.85,13.96,0.37,207126.59,3.37
859232.3,13.97,0.38,207248.81,3.37
859282.75,13.97,0.38,207322.66,3.37
859333.2,13.97,0.38,207449.27,3.37
859383.65,13.97,0.38,207523.52,3.37
859589.04,13.98,0.39,207609.01,3.38
859333.43,13.98,0.39,207348.82,3.37
859067.84,13.97,0.38,207088.96,3.37
859227.52,13.98,0.39,207385.51,3.37
859088.52,13.98,0.39,206547.86,3.36
858932.17,13.97,0.38,206396.67,3.36
858796.26,13.97,0.38,206249.36,3.36
858530.67,13.97,0.38,206090.29,3.35
858530.67,13.97,0.38,206090.29,3.35
858838.58,13.98,0.39,206502.77,3.36
858543.98,13.97,0.38,206202.67,3.36
858594.43,13.98,0.38,206385.02,3.36
858780.09,13.98,0.39,206355.83,3.36
859018.78,13.98,0.39,206927.59,3.37
859257.47,13.99,0.4,206987.55,3.37
859307.92,13.99,0.4,207226.06,3.37
859467.59,14.0,0.41,207319.47,3.38
859216.03,13.99,0.4,207043.15,3.37
859040.44,13.99,0.4,206802.43,3.37
859090.89,13.99,0.4,207102.04,3.37
858926.14,13.99,0.4,206909.18,3.37
858926.14,13.99,0.4,206908.76,3.37
858926.14,13.99,0.4,206908.76,3.37
858976.59,13.99,0.4,207035.37,3.37
858731.99,13.99,0.4,206821.8,3.37
858911.7,14.0,0.4,206878.78,3.37
858962.15,14.0,0.41,207005.39,3.37
858805.79,14.0,0.4,206868.14,3.37
858805.79,14.0,0.4,206993.12,3.37
858550.18,13.99,0.4,206903.4,3.37
858440.18,13.99,0.4,206793.4,3.37
858599.86,13.99,0.4,206902.13,3.37
858599.86,13.99,0.4,206805.03,3.37
858650.31,14.0,0.41,206927.25,3.37
858514.4,14.0,0.41,206835.41,3.37
858564.85,14.0,0.41,206957.63,3.37
858408.49,14.0,0.41,206806.18,3.37
858408.49,14.0,0.41,206778.3,3.37
858408.49,14.0,0.41,211467.79,3.45
861219.3,14.04,0.45,213569.06,3.48
861083.4,14.04,0.45,213476.83,3.48
861133.85,14.05,0.46,213603.44,3.48
860868.26,14.04,0.45,213431.93,3.48
