ow_cpu050-dr_0.0-tn_1.3-ts_42-if_1.0-ccmd_3a56-policy_Random1000desharemd8fc0-de_share-gs_random-scmd_8fc0-used_nodes,ow_cpu050-dr_0.0-tn_1.3-ts_42-if_1.0-ccmd_3a56-policy_Random1000desharemd8fc0-de_share-gs_random-scmd_8fc0-used_gpus,ow_cpu050-dr_0.0-tn_1.3-ts_42-if_1.0-ccmd_3a56-policy_Random1000desharemd8fc0-de_share-gs_random-scmd_8fc0-used_gpu_milli,ow_cpu050-dr_0.0-tn_1.3-ts_42-if_1.0-ccmd_3a56-policy_Random1000desharemd8fc0-de_share-gs_random-scmd_8fc0-total_gpus,ow_cpu050-dr_0.0-tn_1.3-ts_42-if_1.0-ccmd_3a56-policy_Random1000desharemd8fc0-de_share-gs_random-scmd_8fc0-arrived_gpu_milli
198,1085,166660,6212,166660
198,1085,167660,6212,167660
199,1093,168130,6212,168130
200,1101,168130,6212,168130
201,1103,168360,6212,168360
202,1105,169010,6212,169010
202,1105,169330,6212,169330
202,1105,170330,6212,170330
203,1113,170330,6212,170330
204,1121,170790,6212,170790
205,1125,171790,6212,171790
206,1127,172790,6212,172790
207,1135,173790,6212,173790
208,1143,174790,6212,174790
208,1143,175790,6212,175790
209,1151,176600,6212,176600
210,1159,177600,6212,177600
211,1167,178410,6212,178410
212,1169,179410,6212,179410
212,1169,179880,6212,179880
212,1169,180880,6212,180880
213,1171,181350,6212,181350
214,1173,182350,6212,182350
214,1173,183000,6212,183000
215,1181,184000,6212,184000
216,1183,184810,6212,184810
217,1191,185810,6212,185810
218,1195,186810,6212,186810
219,1197,186970,6212,186970
220,1199,187970,6212,187970
221,1207,188780,6212,188780
221,1207,189010,6212,189010
222,1209,189330,6212,189330
223,1211,190330,6212,190330
224,1219,190880,6212,190880
225,1221,191880,6212,191880
226,1223,192690,6212,192690
227,1225,193500,6212,193500
228,1233,193970,6212,193970
228,1233,194970,6212,194970
229,1241,195970,6212,195970
230,1249,196970,6212,196970
231,1257,197970,6212,197970
232,1259,198970,6212,198970
233,1261,199970,6212,199970
234,1263,200970,6212,200970
235,1271,201440,6212,201440
236,1273,202440,6212,202440
237,1275,202440,6212,202440
238,1277,203090,6212,203090
239,1279,204090,6212,204090
240,1287,205090,6212,205090
241,1295,205640,6212,205640
242,1297,206450,6212,206450
243,1305,207450,6212,207450
244,1313,208450,6212,208450
245,1321,209450,6212,209450
246,1323,210450,6212,210450
247,1331,211450,6212,211450
248,1339,211590,6212,211590
248,1339,212590,6212,212590
249,1347,213590,6212,213590
250,1355,214590,6212,214590
251,1357,215590,6212,215590
252,1359,216590,6212,216590
253,1361,217060,6212,217060
253,1361,218060,6212,218060
253,1361,219060,6212,219060
254,1369,223060,6212,223060
255,1371,224060,6212,224060
256,1373,224650,6212,224650
256,1373,225650,6212,225650
256,1373,225810,6212,225810
257,1381,226130,6212,226130
258,1383,226290,6212,226290
259,1391,227290,6212,227290
260,1393,228290,6212,228290
261,1401,229290,6212,229290
261,1401,230290,6212,230290
262,1409,230760,6212,230760
263,1417,231410,6212,231410
264,1419,232410,6212,232410
264,1419,232880,6212,232880
265,1421,233880,6212,233880
266,1423,234880,6212,234880
267,1431,235880,6212,235880
268,1433,236880,6212,236880
268,1433,237880,6212,237880
269,1435,238880,6212,238880
269,1435,239880,6212,239880
270,1437,240200,6212,240200
270,1437,241200,6212,241200
271,1445,242010,6212,242010
272,1453,242820,6212,242820
273,1461,243290,6212,243290
274,1469,244100,6212,244100
275,1471,244570,6212,244570
276,1473,244890,6212,244890
277,1475,245700,6212,245700
277,1475,246700,6212,246700
278,1483,247290,6212,247290
279,1491,248290,6212,248290
279,1491,249290,6212,249290
280,1499,250100,6212,250100
280,1499,251100,6212,251100
281,1507,252100,6212,252100
282,1509,252750,6212,252750
283,1513,253750,6212,253750
284,1517,254750,6212,254750
285,1521,255560,6212,255560
286,1529,256020,6212,256020
287,1531,256670,6212,256670
288,1539,257670,6212,257670
289,1543,258670,6212,258670
290,1545,259670,6212,259670
290,1545,259720,6212,259720
291,1547,260720,6212,260720
292,1555,261190,6212,261190
293,1563,261660,6212,261660
293,1563,262310,6212,262310
293,1563,263310,6212,263310
293,1563,263780,6212,263780
294,1571,264430,6212,264430
295,1573,265430,6212,265430
296,1575,266430,6212,266430
297,1577,267240,6212,267240
298,1585,268240,6212,268240
299,1593,269240,6212,269240
300,1601,270240,6212,270240
301,1609,271050,6212,271050
302,1611,271050,6212,271050
302,1611,272050,6212,272050
303,1619,272520,6212,272520
303,1619,273520,6212,273520
304,1627,274520,6212,274520
305,1635,274840,6212,274840
306,1637,275840,6212,275840
307,1645,276840,6212,276840
308,1653,277430,6212,277430
309,1661,278430,6212,278430
310,1669,279430,6212,279430
311,1677,280430,6212,280430
312,1685,281080,6212,281080
313,1689,282080,6212,282080
313,1689,283080,6212,283080
313,1689,284080,6212,284080
313,1689,285080,6212,285080
314,1697,286080,6212,286080
315,1705,286080,6212,286080
316,1707,286550,6212,286550
316,1707,287020,6212,287020
317,1715,287830,6212,287830
317,1715,288830,6212,288830
318,1717,289830,6212,289830
319,1725,290830,6212,290830
320,1733,291640,6212,291640
321,1741,292110,6212,292110
322,1749,292920,6212,292920
323,1757,293730,6212,293730
324,1759,294540,6212,294540
325,1767,295540,6212,295540
325,1767,296540,6212,296540
325,1767,297350,6212,297350
325,1767,298160,6212,298160
326,1769,298970,6212,298970
327,1777,299290,6212,299290
328,1785,299750,6212,299750
328,1785,300220,6212,300220
329,1793,308220,6212,308220
329,1793,308770,6212,308770
329,1793,309770,6212,309770
330,1801,310580,6212,310580
331,1805,311580,6212,311580
332,1813,311810,6212,311810
333,1821,312280,6212,312280
334,1829,312750,6212,312750
335,1837,313560,6212,313560
336,1845,314560,6212,314560
337,1853,315030,6212,315030
338,1861,316030,6212,316030
339,1869,317030,6212,317030
340,1871,318030,6212,318030
341,1879,319030,6212,319030
341,1879,320030,6212,320030
341,1879,320840,6212,320840
341,1879,321650,6212,321650
342,1881,322120,6212,322120
343,1889,323120,6212,323120
344,1891,323120,6212,323120
345,1899,324120,6212,324120
346,1907,332120,6212,332120
347,1915,333120,6212,333120
348,1923,333590,6212,333590
349,1925,334590,6212,334590
350,1927,335400,6212,335400
351,1931,336400,6212,336400
352,1933,336870,6212,336870
353,1941,337870,6212,337870
354,1949,338870,6212,338870
355,1957,339870,6212,339870
356,1959,340870,6212,340870
356,1959,341340,6212,341340
357,1961,342340,6212,342340
358,1969,342930,6212,342930
358,1969,343930,6212,343930
359,1971,344930,6212,344930
359,1971,345740,6212,345740
359,1971,346740,6212,346740
359,1971,347740,6212,347740
359,1971,348210,6212,348210
360,1979,349210,6212,349210
361,1987,357210,6212,357210
362,1991,358210,6212,358210
363,1993,358530,6212,358530
364,1995,359530,6212,359530
364,1995,360180,6212,360180
365,1997,360180,6212,360180
366,2005,361180,6212,361180
367,2007,361990,6212,361990
367,2007,362460,6212,362460
368,2009,362930,6212,362930
368,2009,363930,6212,363930
368,2009,364930,6212,364930
368,2009,365930,6212,365930
369,2017,365930,6212,365930
369,2017,366930,6212,366930
370,2025,367930,6212,367930
371,2033,368930,6212,368930
372,2035,369930,6212,369930
373,2037,370930,6212,370930
373,2037,371930,6212,371930
374,2039,372400,6212,372400
375,2047,372400,6212,372400
376,2055,373400,6212,373400
377,2063,373720,6212,373720
378,2065,374190,6212,374190
379,2073,375000,6212,375000
380,2075,376000,6212,376000
381,2077,376000,6212,376000
382,2085,376000,6212,376000
383,2087,377000,6212,377000
384,2089,378000,6212,378000
385,2097,379000,6212,379000
385,2097,380000,6212,380000
386,2105,381000,6212,381000
387,2107,382000,6212,382000
387,2107,383000,6212,383000
387,2107,383000,6212,383000
388,2109,383590,6212,383590
389,2111,384590,6212,384590
390,2113,384910,6212,384910
391,2121,385910,6212,385910
392,2123,386720,6212,386720
392,2123,387720,6212,387720
393,2131,388720,6212,388720
393,2131,389720,6212,389720
393,2131,389720,6212,389720
393,2131,389720,6212,389720
394,2139,390720,6212,390720
395,2147,391720,6212,391720
396,2155,392720,6212,392720
396,2155,392940,6212,392940
397,2157,393750,6212,393750
397,2157,394220,6212,394220
397,2157,395030,6212,395030
398,2159,396030,6212,396030
398,2159,396030,6212,396030
398,2159,397030,6212,397030
398,2159,398030,6212,398030
399,2161,398350,6212,398350
400,2163,398820,6212,398820
400,2163,399050,6212,399050
401,2165,399640,6212,399640
401,2165,400450,6212,400450
402,2173,401450,6212,401450
403,2181,402260,6212,402260
403,2181,402730,6212,402730
404,2189,403200,6212,403200
404,2189,403670,6212,403670
405,2197,404670,6212,404670
406,2199,405480,6212,405480
407,2201,405850,6212,405850
407,2201,406850,6212,406850
408,2209,407070,6212,407070
409,2217,408070,6212,408070
410,2219,408720,6212,408720
411,2223,408880,6212,408880
412,2231,409350,6212,409350
413,2239,410350,6212,410350
414,2247,411350,6212,411350
414,2247,411900,6212,411900
415,2255,412710,6212,412710
415,2255,413710,6212,413710
416,2257,414710,6212,414710
416,2257,415710,6212,415710
417,2265,416710,6212,416710
417,2265,417180,6212,417180
418,2267,417180,6212,417180
418,2267,417650,6212,417650
418,2267,418300,6212,418300
419,2269,418460,6212,418460
420,2277,419460,6212,419460
421,2285,420460,6212,420460
422,2287,421270,6212,421270
423,2295,422270,6212,422270
424,2303,422740,6212,422740
425,2311,423740,6212,423740
426,2313,424740,6212,424740
427,2315,425200,6212,425200
427,2315,425660,6212,425660
427,2315,426660,6212,426660
428,2323,426980,6212,426980
429,2331,427980,6212,427980
429,2331,428450,6212,428450
429,2331,429450,6212,429450
429,2331,430450,6212,430450
429,2331,431260,6212,431260
429,2331,432260,6212,432260
429,2331,433260,6212,433260
430,2339,433730,6212,433730
431,2341,434730,6212,434730
431,2341,435730,6212,435730
432,2349,436730,6212,436730
432,2349,437730,6212,437730
432,2349,438730,6212,438730
433,2357,446730,6212,446730
434,2359,447540,6212,447540
434,2359,448540,6212,448540
435,2367,449540,6212,449540
435,2367,450540,6212,450540
436,2369,451540,6212,451540
436,2369,452130,6212,452130
436,2369,452290,6212,452290
436,2369,453290,6212,453290
437,2371,454290,6212,454290
438,2379,458290,6212,458290
439,2381,459290,6212,459290
440,2389,459940,6212,459940
441,2397,460410,6212,460410
442,2405,460630,6212,460630
443,2413,461630,6212,461630
444,2415,462630,6212,462630
444,2415,462630,6212,462630
444,2415,463630,6212,463630
444,2415,464630,6212,464630
444,2415,464630,6212,464630
445,2417,465630,6212,465630
446,2419,466440,6212,466440
447,2427,467440,6212,467440
448,2435,468440,6212,468440
449,2443,468760,6212,468760
449,2443,469760,6212,469760
450,2445,470760,6212,470760
451,2453,471760,6212,471760
452,2454,472080,6212,472080
453,2456,472190,6212,472190
453,2456,473190,6212,473190
454,2458,474190,6212,474190
454,2458,474660,6212,474660
455,2466,474660,6212,474660
456,2468,475660,6212,475660
457,2476,476250,6212,476250
458,2478,477250,6212,477250
459,2480,477410,6212,477410
460,2488,477880,6212,477880
460,2488,478200,6212,478200
461,2496,478670,6212,478670
461,2496,479670,6212,479670
462,2498,480320,6212,480320
463,2502,481320,6212,481320
463,2502,481910,6212,481910
464,2510,482560,6212,482560
465,2518,482560,6212,482560
465,2518,483560,6212,483560
465,2518,484560,6212,484560
466,2520,485560,6212,485560
466,2520,486560,6212,486560
467,2522,487210,6212,487210
468,2524,488210,6212,488210
468,2524,489210,6212,489210
468,2524,490210,6212,490210
469,2525,491020,6212,491020
470,2527,492020,6212,492020
471,2529,492830,6212,492830
472,2531,493640,6212,493640
473,2539,494010,6212,494010
474,2541,494010,6212,494010
474,2541,494480,6212,494480
474,2541,495290,6212,495290
474,2541,496290,6212,496290
475,2549,497100,6212,497100
476,2551,497910,6212,497910
477,2559,498910,6212,498910
478,2561,499910,6212,499910
479,2569,500720,6212,500720
480,2571,500720,6212,500720
481,2579,501720,6212,501720
481,2579,501950,6212,501950
481,2579,502950,6212,502950
481,2579,503420,6212,503420
481,2579,504420,6212,504420
482,2581,505230,6212,505230
482,2581,506230,6212,506230
483,2589,506460,6212,506460
484,2597,507110,6212,507110
485,2599,508110,6212,508110
486,2601,509110,6212,509110
486,2601,510110,6212,510110
487,2609,510340,6212,510340
488,2611,510660,6212,510660
489,2619,511660,6212,511660
490,2621,512130,6212,512130
490,2621,512590,6212,512590
491,2629,512910,6212,512910
491,2629,513910,6212,513910
491,2629,514910,6212,514910
492,2631,515910,6212,515910
493,2639,517910,6212,517910
494,2647,525910,6212,525910
494,2647,526910,6212,526910
495,2655,527560,6212,527560
496,2657,528560,6212,528560
497,2659,529560,6212,529560
498,2661,530560,6212,530560
499,2663,531370,6212,531370
499,2663,531840,6212,531840
500,2665,532070,6212,532070
500,2665,533070,6212,533070
501,2673,534070,6212,534070
502,2681,534390,6212,534390
503,2689,534710,6212,534710
503,2689,535180,6212,535180
504,2697,536180,6212,536180
504,2697,536500,6212,536500
505,2705,537500,6212,537500
506,2713,538500,6212,538500
507,2721,538970,6212,538970
507,2721,539970,6212,539970
508,2722,540780,6212,540780
509,2730,541780,6212,541780
510,2732,542780,6212,542780
511,2740,543780,6212,543780
512,2742,543940,6212,543940
512,2742,543940,6212,543940
513,2750,544310,6212,544310
514,2752,544900,6212,544900
515,2754,545900,6212,545900
516,2762,546900,6212,546900
516,2762,547900,6212,547900
516,2762,548900,6212,548900
517,2764,548900,6212,548900
517,2764,549900,6212,549900
517,2764,550900,6212,550900
517,2764,551900,6212,551900
518,2772,552360,6212,552360
519,2774,553170,6212,553170
520,2775,553390,6212,553390
521,2777,553550,6212,553550
521,2777,554550,6212,554550
521,2777,555550,6212,555550
521,2777,556360,6212,556360
521,2777,557360,6212,557360
521,2777,558360,6212,558360
521,2777,559360,6212,559360
522,2779,560360,6212,560360
523,2781,561360,6212,561360
523,2781,561360,6212,561360
524,2789,562360,6212,562360
525,2791,563360,6212,563360
526,2799,564360,6212,564360
527,2801,565360,6212,565360
528,2809,566010,6212,566010
528,2809,567010,6212,567010
528,2809,568010,6212,568010
529,2813,569010,6212,569010
530,2815,570010,6212,570010
531,2823,570010,6212,570010
531,2823,571010,6212,571010
531,2823,572010,6212,572010
532,2825,572480,6212,572480
533,2833,572950,6212,572950
533,2833,573950,6212,573950
534,2835,574760,6212,574760
534,2835,575760,6212,575760
535,2837,576030,6212,576030
536,2845,577030,6212,577030
536,2845,578030,6212,578030
536,2845,579030,6212,579030
536,2845,580030,6212,580030
536,2845,580500,6212,580500
537,2853,581500,6212,581500
538,2855,582150,6212,582150
538,2855,583150,6212,583150
539,2857,584150,6212,584150
539,2857,584960,6212,584960
539,2857,585430,6212,585430
539,2857,585890,6212,585890
539,2857,586890,6212,586890
540,2859,587890,6212,587890
541,2867,588890,6212,588890
541,2867,589890,6212,589890
542,2875,590700,6212,590700
543,2877,591700,6212,591700
543,2877,592700,6212,592700
544,2879,593700,6212,593700
545,2887,594510,6212,594510
546,2889,595320,6212,595320
547,2891,596130,6212,596130
547,2891,597130,6212,597130
547,2891,598130,6212,598130
547,2891,598940,6212,598940
548,2895,599940,6212,599940
548,2895,600750,6212,600750
549,2897,601340,6212,601340
549,2897,602340,6212,602340
549,2897,603340,6212,603340
549,2897,603340,6212,603340
550,2905,604340,6212,604340
550,2905,604570,6212,604570
551,2913,605380,6212,605380
552,2917,606380,6212,606380
552,2917,606850,6212,606850
553,2919,607170,6212,607170
554,2927,608170,6212,608170
554,2927,608490,6212,608490
554,2927,609300,6212,609300
554,2927,610300,6212,610300
555,2929,611300,6212,611300
556,2931,611760,6212,611760
557,2933,612760,6212,612760
557,2933,613760,6212,613760
558,2941,614230,6212,614230
559,2949,615230,6212,615230
