ow_multigpu50-dr_0.0-tn_1.3-ts_42-if_1.0-ccmd_5079-policy_Random1000desharemd8fc0-de_share-gs_random-scmd_8fc0-origin_milli,ow_multigpu50-dr_0.0-tn_1.3-ts_42-if_1.0-ccmd_5079-policy_Random1000desharemd8fc0-de_share-gs_random-scmd_8fc0-origin_ratio,ow_multigpu50-dr_0.0-tn_1.3-ts_42-if_1.0-ccmd_5079-policy_Random1000desharemd8fc0-de_share-gs_random-scmd_8fc0-origin_q124,ow_multigpu50-dr_0.0-tn_1.3-ts_42-if_1.0-ccmd_5079-policy_Random1000desharemd8fc0-de_share-gs_random-scmd_8fc0-bellman_milli,ow_multigpu50-dr_0.0-tn_1.3-ts_42-if_1.0-ccmd_5079-policy_Random1000desharemd8fc0-de_share-gs_random-scmd_8fc0-bellman_ratio
931088.2,15.35,3.08,831703.31,13.71
930897.14,15.35,3.08,831444.77,13.71
931147.69,15.35,3.09,831431.24,13.71
931416.44,15.36,3.1,831536.47,13.71
931279.39,15.36,3.1,831261.59,13.71
931088.34,15.36,3.09,831116.51,13.71
930830.96,15.37,3.1,830707.88,13.71
930639.91,15.36,3.1,830444.05,13.71
930448.85,15.36,3.1,830185.51,13.71
930906.41,15.37,3.11,830335.62,13.71
931363.98,15.38,3.12,830485.73,13.72
931361.73,15.39,3.12,830426.29,13.72
931361.73,15.39,3.12,830076.01,13.71
931565.1,15.39,3.13,829782.09,13.71
930547.68,15.39,3.13,828970.68,13.71
930816.44,15.4,3.14,828940.95,13.72
931085.19,15.41,3.14,828925.0,13.72
931353.95,15.42,3.15,828940.54,13.72
931622.71,15.42,3.16,828815.66,13.72
931620.46,15.43,3.16,828756.22,13.72
931889.22,15.43,3.17,828802.85,13.72
932599.58,15.44,3.18,828908.42,13.73
933309.94,15.46,3.19,829011.14,13.73
932328.76,15.46,3.2,828271.85,13.74
932137.7,15.46,3.2,828129.76,13.74
932354.48,15.47,3.2,827986.78,13.74
932940.17,15.48,3.21,828078.9,13.74
932937.93,15.48,3.22,828019.46,13.74
932746.87,15.48,3.21,827834.76,13.74
932814.93,15.48,3.22,827714.94,13.74
933083.69,15.49,3.23,827781.84,13.74
932892.63,15.49,3.22,827522.18,13.74
933161.39,15.5,3.23,827589.09,13.74
933246.4,15.5,3.24,827704.35,13.75
933062.66,15.5,3.24,827346.68,13.75
933291.92,15.51,3.24,827132.74,13.74
933705.39,15.51,3.25,827285.26,13.75
933290.06,15.51,3.25,826923.97,13.74
934095.08,15.53,3.26,827004.77,13.75
934567.79,15.54,3.27,826927.84,13.75
934836.54,15.54,3.28,826994.75,13.75
934836.54,15.54,3.28,826869.76,13.75
935453.73,15.56,3.29,826893.63,13.75
935704.28,15.56,3.3,826880.1,13.75
935973.04,15.57,3.31,826809.95,13.75
