ow_multigpu50-dr_0.0-tn_1.3-ts_42-if_1.0-ccmd_5079-policy_Random1000desharemd8fc0-de_share-gs_random-scmd_8fc0-used_nodes,ow_multigpu50-dr_0.0-tn_1.3-ts_42-if_1.0-ccmd_5079-policy_Random1000desharemd8fc0-de_share-gs_random-scmd_8fc0-used_gpus,ow_multigpu50-dr_0.0-tn_1.3-ts_42-if_1.0-ccmd_5079-policy_Random1000desharemd8fc0-de_share-gs_random-scmd_8fc0-used_gpu_milli,ow_multigpu50-dr_0.0-tn_1.3-ts_42-if_1.0-ccmd_5079-policy_Random1000desharemd8fc0-de_share-gs_random-scmd_8fc0-total_gpus,ow_multigpu50-dr_0.0-tn_1.3-ts_42-if_1.0-ccmd_5079-policy_Random1000desharemd8fc0-de_share-gs_random-scmd_8fc0-arrived_gpu_milli
198,1012,227090,6212,227090
199,1020,235090,6212,235090
200,1028,236090,6212,236090
201,1036,237090,6212,237090
201,1036,237740,6212,237740
202,1044,238740,6212,238740
203,1046,239210,6212,239210
204,1054,239210,6212,239210
205,1056,239680,6212,239680
206,1064,240680,6212,240680
207,1072,241150,6212,241150
208,1074,242150,6212,242150
209,1082,242150,6212,242150
209,1082,243150,6212,243150
210,1084,243470,6212,243470
211,1092,244470,6212,244470
212,1094,245060,6212,245060
213,1102,245710,6212,245710
214,1104,246710,6212,246710
215,1106,247360,6212,247360
216,1114,248360,6212,248360
217,1116,249360,6212,249360
218,1118,250170,6212,250170
219,1126,251170,6212,251170
220,1134,252170,6212,252170
221,1142,256170,6212,256170
221,1142,257170,6212,257170
222,1150,258170,6212,258170
223,1152,258820,6212,258820
224,1160,259140,6212,259140
225,1164,260140,6212,260140
226,1172,260610,6212,260610
227,1180,261610,6212,261610
228,1184,262610,6212,262610
229,1192,263080,6212,263080
230,1200,267080,6212,267080
231,1202,268080,6212,268080
232,1210,268080,6212,268080
233,1212,268540,6212,268540
234,1214,268540,6212,268540
235,1222,269540,6212,269540
235,1222,269540,6212,269540
236,1230,270540,6212,270540
237,1232,271010,6212,271010
238,1234,271010,6212,271010
239,1242,271480,6212,271480
240,1250,272480,6212,272480
241,1258,272710,6212,272710
242,1266,273180,6212,273180
243,1274,273180,6212,273180
244,1282,274180,6212,274180
245,1284,274990,6212,274990
246,1286,275990,6212,275990
247,1288,275990,6212,275990
248,1290,276310,6212,276310
248,1290,277310,6212,277310
249,1292,278310,6212,278310
250,1300,279310,6212,279310
251,1302,280310,6212,280310
252,1310,281310,6212,281310
252,1310,281770,6212,281770
253,1312,282770,6212,282770
254,1320,283770,6212,283770
255,1324,284580,6212,284580
256,1332,285390,6212,285390
257,1334,287390,6212,287390
258,1336,287620,6212,287620
259,1338,288620,6212,288620
260,1340,288620,6212,288620
261,1348,288990,6212,288990
262,1350,289990,6212,289990
263,1352,290460,6212,290460
263,1352,291460,6212,291460
264,1354,292460,6212,292460
265,1356,293460,6212,293460
266,1364,294460,6212,294460
267,1372,295270,6212,295270
267,1372,296270,6212,296270
268,1380,296270,6212,296270
269,1382,296740,6212,296740
270,1390,297550,6212,297550
271,1398,297550,6212,297550
272,1400,298360,6212,298360
273,1402,298830,6212,298830
274,1410,299060,6212,299060
275,1412,300060,6212,300060
276,1414,301060,6212,301060
277,1416,301870,6212,301870
278,1418,302680,6212,302680
278,1418,302680,6212,302680
279,1420,303680,6212,303680
280,1428,304150,6212,304150
281,1436,312150,6212,312150
282,1438,312960,6212,312960
283,1440,313430,6212,313430
284,1448,313430,6212,313430
285,1450,314430,6212,314430
286,1458,315430,6212,315430
287,1466,316430,6212,316430
288,1474,316900,6212,316900
289,1482,317900,6212,317900
290,1490,317900,6212,317900
291,1498,321900,6212,321900
292,1500,322490,6212,322490
293,1502,323490,6212,323490
294,1506,323490,6212,323490
295,1514,324490,6212,324490
296,1518,325300,6212,325300
297,1520,326300,6212,326300
298,1528,327300,6212,327300
299,1536,328110,6212,328110
300,1544,329110,6212,329110
301,1552,329270,6212,329270
301,1552,330270,6212,330270
302,1554,330270,6212,330270
303,1556,331080,6212,331080
304,1564,331630,6212,331630
305,1566,332630,6212,332630
306,1570,333090,6212,333090
306,1570,334090,6212,334090
307,1578,335090,6212,335090
308,1586,336090,6212,336090
309,1588,336090,6212,336090
310,1596,337090,6212,337090
311,1604,338090,6212,338090
312,1606,338900,6212,338900
313,1614,346900,6212,346900
313,1614,347900,6212,347900
314,1616,348900,6212,348900
315,1618,349120,6212,349120
316,1620,349930,6212,349930
317,1628,349930,6212,349930
317,1628,350930,6212,350930
317,1628,351740,6212,351740
318,1636,352550,6212,352550
318,1636,353550,6212,353550
319,1638,354550,6212,354550
320,1646,355550,6212,355550
321,1654,359550,6212,359550
322,1662,360550,6212,360550
323,1670,361010,6212,361010
324,1678,369010,6212,369010
324,1678,369820,6212,369820
325,1680,370820,6212,370820
326,1682,371820,6212,371820
327,1690,372280,6212,372280
328,1698,372750,6212,372750
329,1699,372980,6212,372980
329,1699,373980,6212,373980
330,1701,374980,6212,374980
331,1703,375980,6212,375980
331,1703,375980,6212,375980
331,1703,376980,6212,376980
331,1703,377980,6212,377980
332,1705,378450,6212,378450
333,1707,378680,6212,378680
334,1711,379150,6212,379150
334,1711,379620,6212,379620
335,1713,379620,6212,379620
336,1715,380430,6212,380430
337,1717,381240,6212,381240
338,1721,381560,6212,381560
