ow_multigpu40-dr_0.0-tn_1.3-ts_42-if_1.0-ccmd_5d8b-policy_BestFit1000desharemd7031-de_share-gs_best-scmd_7031-used_nodes,ow_multigpu40-dr_0.0-tn_1.3-ts_42-if_1.0-ccmd_5d8b-policy_BestFit1000desharemd7031-de_share-gs_best-scmd_7031-used_gpus,ow_multigpu40-dr_0.0-tn_1.3-ts_42-if_1.0-ccmd_5d8b-policy_BestFit1000desharemd7031-de_share-gs_best-scmd_7031-used_gpu_milli,ow_multigpu40-dr_0.0-tn_1.3-ts_42-if_1.0-ccmd_5d8b-policy_BestFit1000desharemd7031-de_share-gs_best-scmd_7031-total_gpus,ow_multigpu40-dr_0.0-tn_1.3-ts_42-if_1.0-ccmd_5d8b-policy_BestFit1000desharemd7031-de_share-gs_best-scmd_7031-arrived_gpu_milli
140,344,237480,6212,237480
140,344,237800,6212,237800
141,348,239800,6212,239800
142,350,239800,6212,239800
142,350,240800,6212,240800
143,352,241800,6212,241800
144,354,242800,6212,242800
145,356,243800,6212,243800
146,358,244450,6212,244450
147,366,252450,6212,252450
147,366,253450,6212,253450
148,368,254450,6212,254450
149,370,255450,6212,255450
149,370,255450,6212,255450
149,370,256260,6212,256260
150,372,257260,6212,257260
151,374,257260,6212,257260
151,374,258070,6212,258070
152,376,259070,6212,259070
152,376,259660,6212,259660
152,376,260660,6212,260660
152,376,261660,6212,261660
153,378,262660,6212,262660
153,378,263130,6212,263130
154,380,263780,6212,263780
154,380,264590,6212,264590
154,380,265590,6212,265590
155,382,266590,6212,266590
156,384,267590,6212,267590
157,392,275590,6212,275590
158,394,276590,6212,276590
159,396,277590,6212,277590
160,398,278590,6212,278590
160,398,279400,6212,279400
161,400,280400,6212,280400
162,402,280870,6212,280870
163,404,281870,6212,281870
163,404,281870,6212,281870
163,404,282870,6212,282870
164,406,283870,6212,283870
165,408,284870,6212,284870
165,408,284870,6212,284870
165,408,284870,6212,284870
165,408,284920,6212,284920
165,408,285920,6212,285920
166,410,286920,6212,286920
166,410,287240,6212,287240
167,412,288240,6212,288240
168,414,289240,6212,289240
169,416,290240,6212,290240
169,416,290240,6212,290240
169,416,291050,6212,291050
169,416,291050,6212,291050
169,416,291210,6212,291210
169,416,292210,6212,292210
169,416,292210,6212,292210
169,416,293020,6212,293020
170,420,293020,6212,293020
171,428,301020,6212,301020
172,432,305020,6212,305020
172,432,306020,6212,306020
173,434,306020,6212,306020
173,434,306670,6212,306670
173,434,308670,6212,308670
173,434,308670,6212,308670
173,434,309480,6212,309480
173,434,310480,6212,310480
173,434,310480,6212,310480
173,434,311480,6212,311480
174,438,311480,6212,311480
175,440,312480,6212,312480
175,440,313130,6212,313130
175,440,314130,6212,314130
175,440,315130,6212,315130
175,440,316130,6212,316130
175,440,316450,6212,316450
175,440,316920,6212,316920
176,442,317570,6212,317570
176,442,317800,6212,317800
176,442,318270,6212,318270
177,446,319270,6212,319270
178,450,323270,6212,323270
178,450,324080,6212,324080
178,450,324550,6212,324550
178,450,326550,6212,326550
179,452,327550,6212,327550
180,456,329550,6212,329550
180,456,330200,6212,330200
180,456,330850,6212,330850
180,456,331660,6212,331660
180,456,332660,6212,332660
180,456,333130,6212,333130
180,456,334130,6212,334130
180,456,334600,6212,334600
181,460,335600,6212,335600
182,464,339600,6212,339600
182,464,339920,6212,339920
182,464,340920,6212,340920
182,464,341140,6212,341140
183,468,342140,6212,342140
183,468,342140,6212,342140
183,468,343140,6212,343140
183,468,343140,6212,343140
183,468,344140,6212,344140
183,468,344610,6212,344610
183,468,345610,6212,345610
184,470,346080,6212,346080
184,470,347080,6212,347080
184,470,347080,6212,347080
185,472,348080,6212,348080
185,472,349080,6212,349080
185,472,349560,6212,349560
185,472,349880,6212,349880
186,480,357880,6212,357880
187,488,365880,6212,365880
188,492,366880,6212,366880
188,492,367880,6212,367880
188,492,367880,6212,367880
189,496,368880,6212,368880
190,504,376880,6212,376880
191,512,384880,6212,384880
192,514,385880,6212,385880
192,514,386350,6212,386350
192,514,387350,6212,387350
192,514,387350,6212,387350
193,518,387820,6212,387820
193,518,387820,6212,387820
193,518,387820,6212,387820
193,518,387820,6212,387820
193,518,388820,6212,388820
194,522,389820,6212,389820
194,522,390820,6212,390820
195,526,391820,6212,391820
195,526,392820,6212,392820
196,530,393470,6212,393470
196,530,393940,6212,393940
196,530,393940,6212,393940
196,530,394940,6212,394940
196,530,395410,6212,395410
197,532,395880,6212,395880
197,532,396350,6212,396350
197,532,397350,6212,397350
197,532,397820,6212,397820
198,534,398820,6212,398820
199,542,406820,6212,406820
199,542,407630,6212,407630
199,542,408630,6212,408630
199,542,408950,6212,408950
200,546,409950,6212,409950
200,546,410950,6212,410950
200,546,411270,6212,411270
200,546,412270,6212,412270
201,548,413270,6212,413270
201,548,414270,6212,414270
202,556,422270,6212,422270
202,556,422270,6212,422270
202,556,422730,6212,422730
203,558,423730,6212,423730
203,558,424380,6212,424380
203,558,425190,6212,425190
204,560,426190,6212,426190
204,560,427190,6212,427190
204,560,428190,6212,428190
204,560,429000,6212,429000
204,560,430000,6212,430000
204,560,430810,6212,430810
205,564,431810,6212,431810
205,564,432810,6212,432810
206,568,433810,6212,433810
206,568,434810,6212,434810
206,568,435620,6212,435620
206,568,436090,6212,436090
206,568,436900,6212,436900
207,576,444900,6212,444900
207,576,445370,6212,445370
207,576,446370,6212,446370
208,580,447370,6212,447370
208,580,448370,6212,448370
208,580,448690,6212,448690
208,580,448690,6212,448690
208,580,448690,6212,448690
208,580,449500,6212,449500
208,580,450310,6212,450310
208,580,450770,6212,450770
208,580,451770,6212,451770
208,580,452240,6212,452240
208,580,453240,6212,453240
208,580,453470,6212,453470
208,580,453470,6212,453470
209,584,454470,6212,454470
209,584,455470,6212,455470
209,584,456280,6212,456280
209,584,456750,6212,456750
209,584,457400,6212,457400
210,588,458400,6212,458400
210,588,459210,6212,459210
210,588,459210,6212,459210
210,588,460210,6212,460210
210,588,460670,6212,460670
210,588,461480,6212,461480
210,588,462290,6212,462290
210,588,463100,6212,463100
211,592,464100,6212,464100
211,592,464330,6212,464330
212,600,472330,6212,472330
212,600,472880,6212,472880
212,600,472880,6212,472880
212,600,473880,6212,473880
212,600,473880,6212,473880
213,602,474880,6212,474880
213,602,474880,6212,474880
213,602,475880,6212,475880
213,602,475880,6212,475880
213,602,476690,6212,476690
214,604,477500,6212,477500
214,604,478500,6212,478500
215,606,479500,6212,479500
215,606,480500,6212,480500
215,606,480500,6212,480500
216,608,481150,6212,481150
216,608,481150,6212,481150
216,608,482150,6212,482150
217,610,482620,6212,482620
217,610,483620,6212,483620
218,612,484620,6212,484620
218,612,485430,6212,485430
219,614,486430,6212,486430
220,618,490430,6212,490430
220,618,491430,6212,491430
220,618,491430,6212,491430
221,626,499430,6212,499430
222,628,500430,6212,500430
223,632,504430,6212,504430
223,632,504900,6212,504900
223,632,505900,6212,505900
224,634,506900,6212,506900
224,634,507900,6212,507900
224,634,508120,6212,508120
225,636,509120,6212,509120
225,636,510120,6212,510120
226,638,510930,6212,510930
226,638,511930,6212,511930
227,640,512930,6212,512930
227,640,513930,6212,513930
228,642,514930,6212,514930
228,642,515930,6212,515930
228,642,516160,6212,516160
229,644,516970,6212,516970
229,644,517780,6212,517780
230,646,518590,6212,518590
231,650,522590,6212,522590
231,650,523590,6212,523590
231,650,523910,6212,523910
232,652,524380,6212,524380
232,652,524840,6212,524840
232,652,525840,6212,525840
233,660,533840,6212,533840
234,662,534840,6212,534840
234,662,535840,6212,535840
235,664,536840,6212,536840
235,664,537650,6212,537650
235,664,537650,6212,537650
236,666,538650,6212,538650
236,666,538880,6212,538880
237,668,539880,6212,539880
238,670,541880,6212,541880
238,670,542340,6212,542340
239,672,543340,6212,543340
239,672,544340,6212,544340
240,674,545340,6212,545340
240,674,545800,6212,545800
240,674,546800,6212,546800
241,676,547800,6212,547800
241,676,548270,6212,548270
241,676,549080,6212,549080
242,678,550080,6212,550080
242,678,551080,6212,551080
243,680,551730,6212,551730
243,680,552730,6212,552730
244,682,553730,6212,553730
244,682,554730,6212,554730
245,684,555540,6212,555540
245,684,556540,6212,556540
246,686,557010,6212,557010
246,686,557480,6212,557480
246,686,558030,6212,558030
247,688,559030,6212,559030
247,688,560030,6212,560030
247,688,560030,6212,560030
248,690,560620,6212,560620
248,690,561620,6212,561620
248,690,561620,6212,561620
248,690,561940,6212,561940
248,690,561940,6212,561940
249,692,562410,6212,562410
249,692,563410,6212,563410
249,692,563880,6212,563880
250,694,564690,6212,564690
250,694,564690,6212,564690
250,694,565690,6212,565690
251,696,566160,6212,566160
251,696,566970,6212,566970
252,698,567970,6212,567970
252,698,568970,6212,568970
252,698,569290,6212,569290
252,698,569760,6212,569760
253,706,577760,6212,577760
254,708,578760,6212,578760
254,708,579760,6212,579760
254,708,579920,6212,579920
255,710,580920,6212,580920
255,710,581390,6212,581390
255,710,581390,6212,581390
256,712,582390,6212,582390
256,712,583200,6212,583200
257,714,584200,6212,584200
257,714,585200,6212,585200
257,714,585520,6212,585520
258,716,586520,6212,586520
258,716,587520,6212,587520
259,718,588520,6212,588520
260,722,592520,6212,592520
260,722,592520,6212,592520
260,722,593520,6212,593520
261,730,601520,6212,601520
261,730,601520,6212,601520
262,734,605520,6212,605520
263,736,606520,6212,606520
263,736,607520,6212,607520
264,738,608520,6212,608520
264,738,609520,6212,609520
265,740,610330,6212,610330
266,744,614330,6212,614330
266,744,615140,6212,615140
267,746,616140,6212,616140
267,746,616460,6212,616460
267,746,617460,6212,617460
268,748,618460,6212,618460
268,748,619460,6212,619460
269,750,620460,6212,620460
269,750,621460,6212,621460
270,752,622460,6212,622460
270,752,623460,6212,623460
271,754,624460,6212,624460
271,754,624460,6212,624460
271,754,625460,6212,625460
272,756,626460,6212,626460
272,756,627270,6212,627270
273,758,628270,6212,628270
273,758,629270,6212,629270
273,758,629270,6212,629270
273,758,629270,6212,629270
274,760,630270,6212,630270
274,760,630590,6212,630590
274,760,630590,6212,630590
274,760,631400,6212,631400
274,760,631770,6212,631770
275,762,632770,6212,632770
275,762,633770,6212,633770
275,762,633770,6212,633770
276,764,634420,6212,634420
276,764,635420,6212,635420
277,766,636420,6212,636420
277,766,637420,6212,637420
278,768,638420,6212,638420
278,768,639420,6212,639420
279,770,640420,6212,640420
279,770,640420,6212,640420
279,770,641420,6212,641420
280,772,642420,6212,642420
280,772,643420,6212,643420
281,774,644420,6212,644420
