ow_gpushare80-dr_0.0-tn_1.3-ts_42-if_1.0-ccmd_6ee0-policy_Random1000desharemd8fc0-de_share-gs_random-scmd_8fc0-used_nodes,ow_gpushare80-dr_0.0-tn_1.3-ts_42-if_1.0-ccmd_6ee0-policy_Random1000desharemd8fc0-de_share-gs_random-scmd_8fc0-used_gpus,ow_gpushare80-dr_0.0-tn_1.3-ts_42-if_1.0-ccmd_6ee0-policy_Random1000desharemd8fc0-de_share-gs_random-scmd_8fc0-used_gpu_milli,ow_gpushare80-dr_0.0-tn_1.3-ts_42-if_1.0-ccmd_6ee0-policy_Random1000desharemd8fc0-de_share-gs_random-scmd_8fc0-total_gpus,ow_gpushare80-dr_0.0-tn_1.3-ts_42-if_1.0-ccmd_6ee0-policy_Random1000desharemd8fc0-de_share-gs_random-scmd_8fc0-arrived_gpu_milli
86,522,49640,6212,49640
87,524,50640,6212,50640
88,532,50640,6212,50640
89,536,51290,6212,51290
90,538,51760,6212,51760
91,546,51760,6212,51760
92,548,52230,6212,52230
93,556,52880,6212,52880
94,558,53350,6212,53350
95,560,53350,6212,53350
96,564,53820,6212,53820
97,572,53820,6212,53820
98,580,53980,6212,53980
99,588,54450,6212,54450
99,588,54920,6212,54920
100,596,55920,6212,55920
101,598,56470,6212,56470
102,606,57280,6212,57280
103,614,57650,6212,57650
104,622,58650,6212,58650
105,624,58970,6212,58970
106,632,59780,6212,59780
107,640,60590,6212,60590
108,642,61400,6212,61400
109,650,62210,6212,62210
110,652,62800,6212,62800
111,660,63270,6212,63270
112,662,63590,6212,63590
113,670,64240,6212,64240
114,672,65240,6212,65240
115,674,65400,6212,65400
116,676,66400,6212,66400
117,678,66720,6212,66720
118,686,66720,6212,66720
119,688,67190,6212,67190
120,689,67560,6212,67560
121,697,68370,6212,68370
122,701,68830,6212,68830
123,709,69380,6212,69380
124,711,69930,6212,69930
124,711,70740,6212,70740
125,713,71390,6212,71390
126,715,71860,6212,71860
126,715,72090,6212,72090
126,715,72900,6212,72900
127,723,73130,6212,73130
128,725,73130,6212,73130
129,733,73130,6212,73130
130,741,73940,6212,73940
131,743,74260,6212,74260
132,751,74730,6212,74730
133,759,75540,6212,75540
134,767,75700,6212,75700
135,775,75700,6212,75700
136,783,76170,6212,76170
137,791,76280,6212,76280
138,793,76930,6212,76930
139,795,76930,6212,76930
140,797,77740,6212,77740
141,805,78740,6212,78740
142,813,79550,6212,79550
143,815,79710,6212,79710
144,823,79710,6212,79710
144,823,79710,6212,79710
145,825,79710,6212,79710
146,833,80710,6212,80710
146,833,81520,6212,81520
147,835,81840,6212,81840
148,843,82650,6212,82650
149,851,82650,6212,82650
150,853,83300,6212,83300
151,855,83460,6212,83460
152,857,83460,6212,83460
153,865,84270,6212,84270
154,867,84740,6212,84740
155,875,85390,6212,85390
156,877,85860,6212,85860
157,879,86330,6212,86330
158,887,86650,6212,86650
159,889,87120,6212,87120
160,891,87770,6212,87770
161,893,88770,6212,88770
162,895,88770,6212,88770
163,903,89580,6212,89580
164,911,89740,6212,89740
165,919,90740,6212,90740
166,927,91060,6212,91060
167,931,91290,6212,91290
168,939,91760,6212,91760
169,941,92760,6212,92760
170,943,93760,6212,93760
171,951,94220,6212,94220
172,953,95030,6212,95030
173,961,95500,6212,95500
174,963,96310,6212,96310
175,971,96630,6212,96630
175,971,97440,6212,97440
176,975,97910,6212,97910
177,977,98230,6212,98230
178,985,98880,6212,98880
179,993,99350,6212,99350
180,995,99510,6212,99510
181,997,99980,6212,99980
182,1005,100140,6212,100140
183,1007,100950,6212,100950
183,1007,100950,6212,100950
184,1015,101420,6212,101420
185,1017,102230,6212,102230
186,1025,103040,6212,103040
186,1025,103690,6212,103690
187,1027,103690,6212,103690
188,1035,104500,6212,104500
189,1043,105310,6212,105310
190,1045,105780,6212,105780
191,1047,106590,6212,106590
192,1049,107050,6212,107050
193,1057,107860,6212,107860
193,1057,108510,6212,108510
194,1065,108830,6212,108830
195,1073,109300,6212,109300
196,1077,110300,6212,110300
197,1085,110300,6212,110300
198,1087,110520,6212,110520
199,1089,110520,6212,110520
200,1097,111170,6212,111170
201,1105,111630,6212,111630
202,1109,112280,6212,112280
203,1117,112500,6212,112500
204,1125,112820,6212,112820
205,1127,113630,6212,113630
206,1129,114630,6212,114630
207,1131,115280,6212,115280
207,1131,115500,6212,115500
208,1133,115960,6212,115960
208,1133,116550,6212,116550
209,1135,117360,6212,117360
209,1135,118170,6212,118170
209,1135,118490,6212,118490
209,1135,118810,6212,118810
210,1143,119280,6212,119280
211,1151,119740,6212,119740
211,1151,119740,6212,119740
212,1153,120550,6212,120550
213,1161,121550,6212,121550
214,1163,122020,6212,122020
215,1165,122490,6212,122490
216,1166,122810,6212,122810
217,1174,123280,6212,123280
218,1176,123750,6212,123750
219,1184,124300,6212,124300
220,1192,124620,6212,124620
221,1194,125170,6212,125170
222,1202,125980,6212,125980
