ow_gpuspec10-dr_0.0-tn_1.3-ts_42-if_1.0-ccmd_094e-policy_BestFit1000desharemd7031-de_share-gs_best-scmd_7031-origin_milli,ow_gpuspec10-dr_0.0-tn_1.3-ts_42-if_1.0-ccmd_094e-policy_BestFit1000desharemd7031-de_share-gs_best-scmd_7031-origin_ratio,ow_gpuspec10-dr_0.0-tn_1.3-ts_42-if_1.0-ccmd_094e-policy_BestFit1000desharemd7031-de_share-gs_best-scmd_7031-origin_q124,ow_gpuspec10-dr_0.0-tn_1.3-ts_42-if_1.0-ccmd_094e-policy_BestFit1000desharemd7031-de_share-gs_best-scmd_7031-bellman_milli,ow_gpuspec10-dr_0.0-tn_1.3-ts_42-if_1.0-ccmd_094e-policy_BestFit1000desharemd7031-de_share-gs_best-scmd_7031-bellman_ratio
1188038.95,19.4,0.82,204748.63,3.34
1189181.84,19.42,0.84,205619.64,3.36
1190324.73,19.44,0.86,206490.65,3.37
1191467.63,19.46,0.88,207361.66,3.39
1192059.02,19.47,0.89,207463.59,3.39
1191537.14,19.47,0.88,206899.23,3.38
1192680.03,19.48,0.9,207770.24,3.39
1192925.16,19.49,0.91,207589.57,3.39
1193187.06,19.5,0.91,207368.76,3.39
1193097.6,19.5,0.92,207320.6,3.39
1193342.73,19.51,0.92,207139.93,3.39
1192717.06,19.5,0.92,206417.9,3.37
1192211.96,19.49,0.91,205927.25,3.37
1192457.08,19.5,0.92,205746.58,3.36
1192264.49,19.5,0.92,205668.53,3.36
1193797.73,19.53,0.94,206733.5,3.38
1194389.13,19.54,0.95,206835.43,3.38
1194634.26,19.55,0.96,206643.63,3.38
1195777.15,19.56,0.98,207514.64,3.4
1195179.73,19.56,0.97,206919.5,3.39
1195084.07,19.56,0.97,206727.47,3.38
1194355.4,19.55,0.96,206013.26,3.37
1194376.33,19.55,0.97,206110.59,3.37
1193854.44,19.54,0.96,205546.23,3.36
1193661.85,19.54,0.96,205535.63,3.37
1193139.96,19.54,0.95,204982.41,3.36
1193385.09,19.55,0.96,204801.74,3.35
1194144.77,19.56,0.98,205123.53,3.36
1193432.89,19.55,0.97,204369.18,3.35
1192807.22,19.54,0.96,203647.15,3.34
1192285.34,19.54,0.95,203082.79,3.33
1192513.68,19.55,0.96,202828.42,3.32
1192481.79,19.55,0.96,202754.06,3.32
1192219.91,19.54,0.96,202460.83,3.32
1192465.03,19.55,0.97,202269.03,3.32
1192710.16,19.56,0.97,202077.23,3.31
1192555.05,19.56,0.97,201936.58,3.31
1191843.16,19.55,0.96,201182.22,3.3
1191321.28,19.54,0.96,200629.0,3.29
1191583.18,19.55,0.97,200408.18,3.29
1191811.53,19.56,0.97,200153.81,3.28
1191779.64,19.56,0.97,200090.58,3.28
1192007.99,19.56,0.98,199836.2,3.28
1192062.33,19.57,0.98,199794.18,3.28
1192307.45,19.57,0.99,199613.5,3.28
1191988.99,19.57,0.99,199295.04,3.27
1192363.33,19.58,0.99,199573.01,3.28
1191634.66,19.57,0.98,198858.8,3.27
1191634.66,19.57,0.98,198890.58,3.27
1191467.62,19.57,0.98,198895.09,3.27
1191712.75,19.57,0.99,198714.42,3.26
1191190.86,19.57,0.98,198150.06,3.26
1191435.99,19.58,0.99,197969.39,3.25
1191435.99,19.58,0.99,197969.39,3.25
1191681.12,19.58,1.0,197788.72,3.25
1192440.8,19.6,1.01,198110.52,3.26
1191918.91,19.59,1.01,197546.16,3.25
1192180.82,19.6,1.01,197325.35,3.24
1192772.22,19.61,1.03,197427.28,3.25
1192772.22,19.61,1.03,197405.27,3.25
1192772.22,19.61,1.03,197390.24,3.25
1192813.55,19.61,1.03,197446.02,3.25
1192781.66,19.61,1.03,197371.67,3.25
1192749.77,19.61,1.03,197297.31,3.24
1192231.61,19.61,1.02,196800.35,3.24
1192307.51,19.61,1.03,197717.68,3.25
1191789.36,19.61,1.02,197220.72,3.24
1191791.39,19.61,1.02,197241.53,3.24
1193324.63,19.63,1.05,198306.51,3.26
1193569.76,19.64,1.05,198125.84,3.26
1193047.87,19.63,1.05,197561.48,3.25
1193047.87,19.63,1.05,197561.48,3.25
1193808.94,19.64,1.06,198085.44,3.26
1193290.78,19.64,1.06,197588.48,3.25
1193267.77,19.64,1.06,197580.95,3.25
1192572.66,19.63,1.05,196900.3,3.24
1192380.07,19.63,1.05,196872.95,3.24
1192141.14,19.63,1.05,196396.91,3.23
1192298.0,19.63,1.05,196434.52,3.23
1192831.24,19.65,1.06,196499.5,3.24
1192852.17,19.65,1.07,196803.92,3.24
1193995.06,19.67,1.09,197674.93,3.26
1194256.97,19.68,1.09,197454.11,3.25
1194502.1,19.68,1.1,197273.44,3.25
