ow_cpu250-dr_0.0-tn_1.3-ts_42-if_1.0-ccmd_7614-policy_GpuPacking1000desharemd3326-de_share-gs_best-scmd_3326-origin_milli,ow_cpu250-dr_0.0-tn_1.3-ts_42-if_1.0-ccmd_7614-policy_GpuPacking1000desharemd3326-de_share-gs_best-scmd_3326-origin_ratio,ow_cpu250-dr_0.0-tn_1.3-ts_42-if_1.0-ccmd_7614-policy_GpuPacking1000desharemd3326-de_share-gs_best-scmd_3326-origin_q124,ow_cpu250-dr_0.0-tn_1.3-ts_42-if_1.0-ccmd_7614-policy_GpuPacking1000desharemd3326-de_share-gs_best-scmd_3326-bellman_milli,ow_cpu250-dr_0.0-tn_1.3-ts_42-if_1.0-ccmd_7614-policy_GpuPacking1000desharemd3326-de_share-gs_best-scmd_3326-bellman_ratio
1607205.84,26.18,0.61,222340.17,3.62
1606996.24,26.18,0.61,222146.05,3.62
1606996.24,26.18,0.61,222146.05,3.62
1606996.24,26.18,0.61,222141.58,3.62
1606996.24,26.18,0.61,222180.96,3.62
1606996.24,26.18,0.61,222138.65,3.62
1606740.5,26.18,0.61,222094.88,3.62
1606530.89,26.18,0.61,221898.77,3.62
1606275.16,26.18,0.61,221898.77,3.62
1606275.16,26.18,0.61,221935.01,3.62
1606019.42,26.18,0.61,221891.24,3.62
1606208.87,26.18,0.61,222311.83,3.62
1605953.13,26.18,0.61,222268.06,3.62
1605697.39,26.18,0.61,222268.06,3.62
1605312.2,26.18,0.61,221907.47,3.62
1611266.29,26.28,0.7,229871.23,3.75
1611010.55,26.28,0.7,229827.46,3.75
1611010.55,26.28,0.7,229827.46,3.75
1610710.95,26.27,0.7,229543.86,3.74
1610644.07,26.28,0.7,229722.89,3.75
1609982.27,26.27,0.7,228961.02,3.74
1609982.27,26.27,0.7,228961.02,3.74
1609726.53,26.27,0.7,228917.25,3.74
1609470.79,26.27,0.7,228917.25,3.74
1609215.05,26.27,0.7,228873.48,3.74
1609215.05,26.27,0.7,228873.48,3.74
1608959.31,26.27,0.7,228873.48,3.74
1609630.27,26.28,0.71,229065.13,3.74
1609630.27,26.28,0.71,229142.31,3.74
1609630.27,26.28,0.71,229142.31,3.74
1609374.53,26.28,0.71,229155.9,3.74
1609374.53,26.28,0.71,229155.9,3.74
1609118.79,26.28,0.71,229098.54,3.74
1608863.05,26.28,0.71,229112.13,3.74
1608607.32,26.28,0.71,229054.77,3.74
1608351.58,26.28,0.71,229011.0,3.74
1608095.84,26.28,0.71,229011.0,3.74
1607840.1,26.28,0.71,228967.23,3.74
1607840.1,26.28,0.71,228924.97,3.74
1607302.11,26.28,0.7,228347.35,3.73
1607046.37,26.28,0.7,228347.35,3.73
1606914.57,26.28,0.7,228115.48,3.73
1606441.63,26.27,0.7,227542.47,3.72
1606185.89,26.27,0.7,227498.7,3.72
1606185.89,26.27,0.7,227456.38,3.72
1606260.77,26.28,0.7,233571.05,3.82
1606450.22,26.28,0.71,233991.85,3.83
1609413.45,26.33,0.76,235319.13,3.85
1608751.65,26.32,0.75,234557.26,3.84
1608460.13,26.32,0.75,234280.01,3.83
1608460.13,26.32,0.75,234357.19,3.83
1608204.39,26.32,0.75,234370.78,3.84
1607948.65,26.32,0.75,234313.42,3.84
1607789.8,26.32,0.74,234203.15,3.83
1607630.94,26.32,0.74,234054.12,3.83
1607375.2,26.32,0.74,234062.04,3.83
1607375.2,26.32,0.74,234019.78,3.83
1607119.46,26.32,0.74,233968.08,3.83
1607119.46,26.32,0.74,233925.77,3.83
1607194.35,26.32,0.74,240040.43,3.93
1606809.16,26.31,0.74,239679.63,3.92
1607007.01,26.32,0.74,239921.92,3.93
1606751.27,26.32,0.74,239951.35,3.93
1610456.19,26.38,0.81,240352.45,3.94
1610456.19,26.38,0.81,240352.45,3.94
1613372.17,26.43,0.85,240910.51,3.95
1612710.37,26.42,0.85,240148.64,3.93
1612454.63,26.42,0.85,240162.23,3.94
1612198.89,26.42,0.85,240104.87,3.93
1611537.09,26.41,0.84,239488.2,3.93
1611281.36,26.41,0.84,239444.43,3.93
1611025.62,26.41,0.84,239444.43,3.93
1611180.17,26.42,0.85,239119.79,3.92
1611180.17,26.42,0.85,239119.79,3.92
1610518.37,26.41,0.84,238357.92,3.91
1610134.78,26.41,0.84,238112.43,3.91
1609879.04,26.41,0.84,238068.66,3.91
1609952.91,26.41,0.84,238382.79,3.91
1609401.32,26.41,0.84,237791.45,3.9
1609345.36,26.41,0.84,237272.51,3.89
1609345.36,26.41,0.84,237336.68,3.9
1609345.36,26.41,0.84,237315.58,3.89
1609192.0,26.41,0.84,237089.12,3.89
1609596.38,26.42,0.85,237079.98,3.89
1608937.39,26.42,0.84,236315.56,3.88
1609126.84,26.42,0.85,236401.49,3.88
1608871.1,26.42,0.85,236581.44,3.89
1609284.07,26.43,0.86,236475.46,3.88
1609284.07,26.43,0.86,236469.6,3.88
1609284.07,26.43,0.86,236977.97,3.89
1609217.19,26.43,0.86,237067.09,3.89
1609150.31,26.44,0.86,237214.73,3.9
1609304.86,26.44,0.87,236900.56,3.89
1609607.07,26.45,0.87,243202.39,4.0
1609681.84,26.45,0.88,242713.09,3.99
1609836.4,26.46,0.89,242398.92,3.98
1609451.21,26.46,0.88,242149.27,3.98
1609195.47,26.46,0.88,242105.5,3.98
1614847.35,26.55,0.98,243258.1,4.0
1614847.35,26.55,0.98,243258.1,4.0
1614847.35,26.55,0.98,243258.1,4.0
1614847.35,26.55,0.98,243335.28,4.0
1614847.35,26.55,0.98,243335.28,4.0
1614591.61,26.55,0.98,243335.28,4.0
1614040.03,26.54,0.97,242733.48,3.99
1613918.23,26.54,0.97,242656.81,3.99
1613662.49,26.54,0.97,242595.98,3.99
1613110.9,26.54,0.97,241994.18,3.98
1612855.16,26.54,0.97,241983.39,3.98
1612788.28,26.54,0.97,242072.51,3.98
1612788.28,26.54,0.97,242072.51,3.98
1612977.73,26.55,0.97,242360.27,3.99
1612675.32,26.54,0.97,242057.86,3.98
1612300.13,26.54,0.97,241884.75,3.98
1612044.39,26.54,0.97,241898.34,3.98
1611788.65,26.54,0.97,241840.98,3.98
1611788.65,26.54,0.97,241798.71,3.98
1611863.54,26.54,0.97,242376.86,3.99
1615568.46,26.6,1.03,249533.63,4.11
1615568.46,26.6,1.03,249533.63,4.11
1615512.5,26.6,1.03,249014.68,4.1
1615302.9,26.6,1.03,248820.56,4.1
1614960.69,26.6,1.03,248422.39,4.09
1615115.24,26.61,1.03,248108.22,4.09
1615115.24,26.61,1.03,248108.22,4.09
1614563.66,26.6,1.03,247506.42,4.08
1614921.76,26.61,1.04,247563.9,4.08
1614921.76,26.61,1.04,247563.9,4.08
1614486.84,26.6,1.03,247674.51,4.08
1614231.1,26.6,1.03,247595.53,4.08
1613975.36,26.6,1.03,247609.12,4.08
1613975.36,26.6,1.03,247609.12,4.08
1613719.62,26.6,1.03,247551.76,4.08
1613909.07,26.61,1.04,247624.11,4.08
1613672.62,26.61,1.03,247507.99,4.08
1613672.62,26.61,1.03,247503.48,4.08
1613862.07,26.61,1.04,248113.62,4.09
1613606.33,26.61,1.04,248112.03,4.09
1613539.45,26.62,1.04,248210.12,4.09
1613539.45,26.62,1.04,248249.55,4.09
1613302.99,26.61,1.04,247949.47,4.09
1613302.99,26.61,1.04,247949.47,4.09
1613845.87,26.62,1.05,248027.76,4.09
1613695.96,26.62,1.05,247823.49,4.09
1613885.42,26.63,1.06,247909.42,4.09
1613818.53,26.63,1.06,248200.38,4.1
1613582.08,26.63,1.06,248163.44,4.1
1613326.34,26.63,1.06,248119.67,4.1
1613070.6,26.63,1.06,248119.67,4.1
1612814.86,26.63,1.06,248133.26,4.1
1612889.75,26.63,1.06,248711.41,4.11
1612963.61,26.63,1.06,248967.64,4.11
1616668.53,26.7,1.12,256124.42,4.23
1616823.09,26.7,1.13,255810.25,4.22
1616567.35,26.7,1.13,255823.84,4.23
1615825.77,26.7,1.12,255032.04,4.21
1615758.88,26.7,1.12,255114.94,4.22
1615758.88,26.7,1.12,255111.61,4.22
1615948.34,26.7,1.13,255183.96,4.22
1615948.34,26.7,1.13,255179.89,4.22
1615692.6,26.7,1.13,255373.42,4.22
1615436.86,26.7,1.13,255329.65,4.22
1615436.86,26.7,1.13,255329.65,4.22
