ow_gpuspec10-dr_0.0-tn_1.3-ts_42-if_1.0-ccmd_01d8-policy_FGDPredictor1000desharemd6126-de_share-gs_FGDPredictorScore-scmd_6126-origin_milli,ow_gpuspec10-dr_0.0-tn_1.3-ts_42-if_1.0-ccmd_01d8-policy_FGDPredictor1000desharemd6126-de_share-gs_FGDPredictorScore-scmd_6126-origin_ratio,ow_gpuspec10-dr_0.0-tn_1.3-ts_42-if_1.0-ccmd_01d8-policy_FGDPredictor1000desharemd6126-de_share-gs_FGDPredictorScore-scmd_6126-origin_q124,ow_gpuspec10-dr_0.0-tn_1.3-ts_42-if_1.0-ccmd_01d8-policy_FGDPredictor1000desharemd6126-de_share-gs_FGDPredictorScore-scmd_6126-bellman_milli,ow_gpuspec10-dr_0.0-tn_1.3-ts_42-if_1.0-ccmd_01d8-policy_FGDPredictor1000desharemd6126-de_share-gs_FGDPredictorScore-scmd_6126-bellman_ratio
1160632.54,18.94,0.34,207066.56,3.38
1160632.54,18.94,0.34,207066.56,3.38
1160632.54,18.94,0.34,207066.56,3.38
1160465.51,18.94,0.34,207063.1,3.38
1160298.48,18.94,0.34,206979.87,3.38
1160131.45,18.94,0.34,206962.5,3.38
1160152.38,18.95,0.34,206951.9,3.38
1160152.38,18.95,0.34,206951.9,3.38
1160152.38,18.95,0.34,206951.9,3.38
1159985.35,18.95,0.34,206945.31,3.38
1159985.35,18.95,0.34,206945.31,3.38
1159985.35,18.95,0.34,206945.31,3.38
1159985.35,18.95,0.34,206945.31,3.38
1160142.2,18.95,0.34,207437.71,3.39
1160163.13,18.95,0.35,207538.33,3.39
1160163.13,18.95,0.35,207538.33,3.39
1159996.1,18.95,0.35,207516.32,3.39
1159829.07,18.95,0.35,207433.93,3.39
1160067.82,18.96,0.35,207525.01,3.39
1159900.79,18.96,0.35,207520.71,3.39
1159733.76,18.96,0.35,207438.48,3.39
1159754.69,18.96,0.35,207617.48,3.39
1159587.66,18.96,0.35,207614.02,3.4
1159420.63,18.96,0.35,207530.79,3.39
1159420.63,18.96,0.35,207530.79,3.39
1159577.48,18.97,0.36,207568.89,3.4
1159410.45,18.97,0.36,207758.65,3.4
1159410.45,18.97,0.36,207758.65,3.4
1159567.3,18.97,0.36,207994.56,3.4
1159195.96,18.97,0.36,207819.21,3.4
1159028.92,18.97,0.36,207777.76,3.4
1159049.86,18.97,0.36,207878.39,3.4
1159070.79,18.98,0.36,208021.69,3.41
1158903.76,18.98,0.36,207939.59,3.4
1158924.69,18.98,0.36,208118.45,3.41
1158757.65,18.98,0.36,208114.99,3.41
1159019.64,18.98,0.37,208393.91,3.41
1158852.61,18.98,0.37,208370.01,3.41
1158685.58,18.99,0.37,208307.21,3.41
1158706.51,18.99,0.37,208407.84,3.42
1158539.48,18.99,0.37,208403.98,3.42
1158255.17,18.98,0.37,208082.04,3.41
1158502.18,18.99,0.37,208001.48,3.41
1158335.15,18.99,0.37,208404.0,3.42
1158168.11,18.99,0.37,208393.27,3.42
1157809.09,18.99,0.37,208101.12,3.41
1157642.06,18.99,0.37,208025.16,3.41
1157662.99,18.99,0.37,208125.79,3.41
1157470.4,18.99,0.37,208181.41,3.42
1157303.37,18.99,0.37,208177.55,3.42
1157009.48,18.99,0.37,207867.18,3.41
1156842.45,18.99,0.37,207784.73,3.41
1156548.56,18.98,0.36,207500.17,3.41
1156381.53,18.98,0.36,207495.93,3.41
1156087.64,18.98,0.36,207244.78,3.4
1156087.64,18.98,0.36,207244.78,3.4
1155920.61,18.98,0.36,207220.89,3.4
1155920.61,18.98,0.36,207220.89,3.4
1155753.58,18.98,0.36,207158.09,3.4
1155586.55,18.98,0.36,207154.62,3.4
1155607.48,18.98,0.36,207236.7,3.4
1155440.45,18.98,0.36,207233.24,3.4
1155440.45,18.98,0.36,207233.24,3.4
1155273.41,18.98,0.36,207150.01,3.4
1155535.4,18.99,0.37,207248.55,3.41
1155556.33,18.99,0.37,207555.28,3.41
1155389.3,18.99,0.37,207473.08,3.41
1155546.16,19.0,0.38,207783.74,3.42
1155546.16,19.0,0.38,207783.74,3.42
1155546.16,19.0,0.38,207783.74,3.42
1155342.02,19.0,0.37,207571.6,3.41
1155057.71,18.99,0.37,207274.54,3.41
1154836.44,18.99,0.37,207170.04,3.41
1154857.37,18.99,0.37,207270.66,3.41
1154690.34,18.99,0.37,207266.81,3.41
1154711.27,19.0,0.37,207367.43,3.41
1154711.27,19.0,0.37,207367.43,3.41
1154711.27,19.0,0.37,207367.43,3.41
1154544.24,19.0,0.37,207345.42,3.41
1154565.17,19.0,0.37,207263.76,3.41
1154565.17,19.0,0.37,207239.44,3.41
1154565.17,19.0,0.37,207264.48,3.41
1154586.1,19.0,0.38,207627.5,3.42
1154937.47,19.01,0.38,207707.19,3.42
1154770.44,19.01,0.38,208067.25,3.42
1154577.85,19.01,0.38,208039.9,3.43
1154410.82,19.01,0.38,207957.66,3.42
1153922.41,19.0,0.38,207461.22,3.42
1153755.38,19.0,0.38,207456.77,3.42
1153776.31,19.01,0.38,207441.76,3.42
1153776.31,19.01,0.38,207416.72,3.42
1153609.28,19.01,0.38,207401.3,3.42
1153442.25,19.01,0.38,207652.03,3.42
1153275.21,19.01,0.38,207553.71,3.42
1153296.15,19.01,0.38,207654.33,3.42
1153628.51,19.02,0.39,208149.8,3.43
1153287.4,19.01,0.38,207764.43,3.43
1153120.37,19.01,0.38,207682.17,3.42
1153382.36,19.02,0.39,208100.66,3.43
1153215.32,19.02,0.39,208089.93,3.43
1153048.29,19.02,0.39,208013.97,3.43
1152679.27,19.01,0.39,207651.04,3.43
1152512.24,19.02,0.39,207640.31,3.43
1152533.17,19.02,0.39,207729.66,3.43
1152554.1,19.02,0.39,207830.28,3.43
1152387.07,19.02,0.39,207808.27,3.43
1152387.07,19.02,0.39,207834.67,3.43
1152194.48,19.02,0.39,207827.45,3.43
1152456.47,19.03,0.4,207925.99,3.43
1152289.44,19.03,0.4,208164.28,3.44
1151920.41,19.02,0.39,207800.75,3.43
1152252.78,19.03,0.4,207720.95,3.43
1152085.75,19.03,0.4,208219.28,3.44
1152106.68,19.03,0.4,208319.9,3.44
1152127.61,19.04,0.4,208463.2,3.44
1151796.39,19.03,0.4,208102.44,3.44
1151817.32,19.03,0.4,208203.06,3.44
1151974.18,19.04,0.41,208449.53,3.45
1151770.04,19.04,0.4,208301.48,3.44
1151770.04,19.04,0.4,208282.94,3.44
1151770.04,19.04,0.4,208282.94,3.44
1151770.04,19.04,0.4,208282.94,3.44
1151603.01,19.04,0.4,208200.47,3.44
1151623.94,19.04,0.41,208379.89,3.45
1150886.63,19.04,0.41,208380.64,3.45
1150719.59,19.04,0.41,208301.88,3.45
1150552.56,19.04,0.41,208293.95,3.45
1150385.53,19.04,0.41,208211.85,3.45
1150218.5,19.04,0.41,208207.26,3.45
1150051.46,19.04,0.41,208125.16,3.45
1150313.45,19.05,0.41,208543.49,3.45
1150146.42,19.05,0.41,208461.03,3.45
1149979.39,19.05,0.41,208456.8,3.45
1149610.37,19.04,0.41,208093.87,3.45
1149443.33,19.04,0.41,208083.14,3.45
1149276.3,19.04,0.41,208007.18,3.45
1149297.23,19.05,0.41,208107.8,3.45
1149130.2,19.05,0.41,208104.54,3.45
1149392.19,19.05,0.41,208203.08,3.45
1149225.16,19.05,0.41,208379.99,3.45
1149058.13,19.05,0.41,208369.26,3.46
1148891.09,19.06,0.41,208293.3,3.45
1148724.06,19.06,0.41,208289.83,3.46
1148557.03,19.06,0.41,208206.6,3.45
1148198.01,19.05,0.41,207914.46,3.45
1148030.97,19.05,0.41,207890.57,3.45
1148030.97,19.05,0.41,207890.57,3.45
1147863.94,19.05,0.41,207827.77,3.45
1147696.91,19.05,0.41,207824.3,3.45
1147529.88,19.05,0.41,207741.07,3.45
1147881.25,19.06,0.42,207662.1,3.45
1147902.18,19.06,0.42,208358.01,3.46
1147923.11,19.07,0.42,208458.64,3.46
1147534.44,19.06,0.42,208026.92,3.46
1147796.43,19.07,0.42,208331.58,3.46
1147796.43,19.07,0.42,208353.02,3.46
1147656.99,19.07,0.42,208327.75,3.46
1147918.98,19.07,0.43,208426.29,3.46
1147709.4,19.07,0.42,208189.02,3.46
1147542.36,19.07,0.42,208365.93,3.46
1147563.3,19.07,0.43,208466.56,3.46
1147396.26,19.07,0.43,208444.55,3.46
1147417.2,19.07,0.43,208545.17,3.47
1147417.2,19.07,0.43,208545.17,3.47
1147048.17,19.07,0.42,208243.03,3.46
1146881.14,19.07,0.42,208239.17,3.46
1146714.11,19.07,0.42,208156.91,3.46
1146735.04,19.07,0.43,208335.94,3.47
1146536.77,19.07,0.43,208359.96,3.47
1146369.74,19.07,0.43,208394.11,3.47
1146631.73,19.08,0.43,208644.43,3.47
1146464.7,19.08,0.43,208633.69,3.47
1146485.63,19.08,0.44,208723.04,3.47
1146318.6,19.08,0.44,208640.63,3.47
1145949.57,19.08,0.43,208329.47,3.47
1145949.57,19.08,0.43,208329.47,3.47
1145970.51,19.08,0.43,208508.75,3.47
1145991.44,19.09,0.44,208609.38,3.47
1145991.44,19.09,0.44,208609.38,3.47
1145824.41,19.09,0.44,208587.37,3.47
1145657.37,19.09,0.44,208576.63,3.47
1146077.36,19.09,0.44,209109.57,3.48
1145692.18,19.09,0.44,209324.71,3.49
1145692.18,19.09,0.44,209324.71,3.49
1145713.11,19.1,0.45,209425.34,3.49
1145713.11,19.1,0.45,209425.34,3.49
1145546.08,19.1,0.45,209403.33,3.49
1145379.04,19.1,0.45,209379.44,3.49
1145399.98,19.1,0.45,209481.94,3.49
1145232.94,19.1,0.45,209399.84,3.49
1145065.91,19.1,0.45,209395.25,3.49
1144898.88,19.1,0.45,209312.84,3.49
1144919.81,19.1,0.45,209492.11,3.5
1144746.84,19.1,0.45,209233.89,3.49
1144767.77,19.11,0.45,209334.51,3.49
1144600.74,19.11,0.45,209330.65,3.49
1144433.7,19.11,0.45,209248.26,3.49
1144433.7,19.11,0.45,209248.26,3.49
1144266.67,19.11,0.45,209243.96,3.49
1144398.1,19.11,0.46,209479.53,3.5
1144398.1,19.11,0.46,209479.53,3.5
1144231.07,19.11,0.46,209397.12,3.5
1143845.89,19.11,0.46,209535.25,3.5
1143641.62,19.11,0.45,209321.27,3.5
1143903.61,19.11,0.46,209739.91,3.5
1143736.58,19.11,0.46,209716.02,3.5
1143757.51,19.12,0.46,209818.53,3.51
1143590.48,19.12,0.46,209736.27,3.51
1143423.44,19.12,0.46,209731.84,3.51
1143256.41,19.12,0.46,209649.6,3.51
1143261.6,19.12,0.46,209210.46,3.5
1143261.6,19.12,0.46,209210.46,3.5
1143165.58,19.12,0.47,209081.43,3.5
1143350.92,19.13,0.47,209245.9,3.5
1143066.6,19.12,0.47,209022.04,3.5
1142899.57,19.12,0.47,209017.58,3.5
1142899.57,19.12,0.47,209017.58,3.5
1142899.57,19.12,0.47,209017.58,3.5
1142530.55,19.12,0.46,208654.65,3.49
1142551.48,19.12,0.46,208755.28,3.49
1142551.48,19.12,0.46,208755.28,3.49
1142384.45,19.12,0.46,208733.27,3.49
1142184.59,19.12,0.46,208574.95,3.49
1142017.56,19.12,0.46,208564.21,3.49
1141850.53,19.12,0.46,208488.25,3.49
1141667.36,19.12,0.46,208397.51,3.49
1141667.36,19.12,0.46,208397.51,3.49
1142018.73,19.13,0.47,208318.53,3.49
1141708.08,19.12,0.46,208578.45,3.49
1141506.06,19.12,0.46,208394.47,3.49
1141506.06,19.12,0.46,208394.47,3.49
1141662.92,19.13,0.47,208566.19,3.49
1141683.85,19.13,0.47,208666.81,3.5
1140176.17,19.13,0.47,208607.98,3.5
1140009.14,19.13,0.47,208604.13,3.5
1139842.11,19.13,0.47,208593.39,3.5
1139675.07,19.13,0.47,208517.43,3.5
1139831.93,19.14,0.48,208555.54,3.5
1139664.89,19.14,0.48,208745.24,3.51
1139926.88,19.14,0.48,208843.78,3.51
1139759.85,19.15,0.48,209020.69,3.51
1139592.82,19.15,0.48,209009.96,3.51
1139425.79,19.15,0.48,208934.0,3.51
1139258.75,19.15,0.48,208923.26,3.51
1139091.72,19.15,0.48,208847.31,3.51
1138887.59,19.14,0.48,208727.48,3.51
1138720.56,19.14,0.48,208645.38,3.51
1138553.52,19.14,0.48,208640.78,3.51
1138574.45,19.15,0.48,208741.41,3.51
1138595.39,19.15,0.49,208922.15,3.51
1138226.37,19.15,0.48,208620.0,3.51
1138059.33,19.15,0.48,208537.49,3.51
1137861.06,19.15,0.48,208508.36,3.51
1137694.03,19.15,0.48,208504.17,3.51
1137527.0,19.15,0.48,208421.76,3.51
1137527.0,19.15,0.48,208421.76,3.51
1137774.01,19.15,0.49,208826.13,3.52
1138036.0,19.16,0.49,208924.67,3.52
1138192.85,19.16,0.5,209340.73,3.52
1138192.85,19.16,0.5,209340.73,3.52
1138025.82,19.16,0.5,209330.0,3.53
1137858.79,19.16,0.5,209254.04,3.52
1137879.72,19.17,0.5,209354.66,3.53
1137510.7,19.16,0.49,209125.08,3.52
1137343.67,19.16,0.49,209121.22,3.52
1137176.63,19.16,0.49,209097.33,3.52
1137009.6,19.16,0.49,209034.53,3.52
1137030.53,19.17,0.5,209135.15,3.53
1136863.5,19.17,0.5,209131.74,3.53
1135355.82,19.17,0.5,209072.91,3.53
