ow_gpuspec10-dr_0.0-tn_1.3-ts_42-if_1.0-ccmd_7e61-policy_GpuPacking1000desharemd3326-de_share-gs_best-scmd_3326-used_nodes,ow_gpuspec10-dr_0.0-tn_1.3-ts_42-if_1.0-ccmd_7e61-policy_GpuPacking1000desharemd3326-de_share-gs_best-scmd_3326-used_gpus,ow_gpuspec10-dr_0.0-tn_1.3-ts_42-if_1.0-ccmd_7e61-policy_GpuPacking1000desharemd3326-de_share-gs_best-scmd_3326-used_gpu_milli,ow_gpuspec10-dr_0.0-tn_1.3-ts_42-if_1.0-ccmd_7e61-policy_GpuPacking1000desharemd3326-de_share-gs_best-scmd_3326-total_gpus,ow_gpuspec10-dr_0.0-tn_1.3-ts_42-if_1.0-ccmd_7e61-policy_GpuPacking1000desharemd3326-de_share-gs_best-scmd_3326-arrived_gpu_milli
91,196,145600,6212,145600
91,196,146070,6212,146070
91,196,147070,6212,147070
91,196,147540,6212,147540
92,198,148540,6212,148540
93,200,149540,6212,149540
93,200,150010,6212,150010
94,202,151010,6212,151010
94,202,151820,6212,151820
94,202,152630,6212,152630
94,202,153630,6212,153630
94,202,153630,6212,153630
95,204,154630,6212,154630
96,206,155100,6212,155100
96,206,156100,6212,156100
96,206,156570,6212,156570
96,206,156940,6212,156940
97,208,157940,6212,157940
97,208,158750,6212,158750
98,210,159560,6212,159560
98,210,160020,6212,160020
99,212,160830,6212,160830
99,212,161480,6212,161480
99,212,161710,6212,161710
99,212,161710,6212,161710
99,212,161710,6212,161710
99,212,161710,6212,161710
100,214,162710,6212,162710
100,214,163520,6212,163520
101,218,167520,6212,167520
102,220,168520,6212,168520
103,222,169520,6212,169520
103,222,170520,6212,170520
104,224,171520,6212,171520
104,224,172520,6212,172520
104,224,172990,6212,172990
105,226,173990,6212,173990
105,226,174990,6212,174990
106,228,175460,6212,175460
107,230,176460,6212,176460
107,230,177460,6212,177460
107,230,178270,6212,178270
108,232,179270,6212,179270
109,234,179740,6212,179740
110,236,180740,6212,180740
110,236,181740,6212,181740
111,238,182740,6212,182740
111,238,183740,6212,183740
111,238,184740,6212,184740
112,240,185200,6212,185200
112,240,186200,6212,186200
112,240,186200,6212,186200
113,242,187200,6212,187200
113,242,188200,6212,188200
114,244,189200,6212,189200
114,244,189520,6212,189520
114,244,190330,6212,190330
115,246,191140,6212,191140
115,246,191690,6212,191690
115,246,192160,6212,192160
115,246,192160,6212,192160
115,246,192390,6212,192390
116,248,192860,6212,192860
116,248,193080,6212,193080
116,248,194080,6212,194080
117,250,194890,6212,194890
117,250,195890,6212,195890
118,252,196700,6212,196700
118,252,196700,6212,196700
118,252,197170,6212,197170
119,254,198170,6212,198170
119,254,199170,6212,199170
119,254,199980,6212,199980
120,258,200980,6212,200980
120,258,201980,6212,201980
120,258,202450,6212,202450
120,258,203450,6212,203450
121,260,204260,6212,204260
121,260,205260,6212,205260
121,260,205730,6212,205730
122,268,205730,6212,205730
123,270,206540,6212,206540
123,270,207350,6212,207350
123,270,207350,6212,207350
124,272,208350,6212,208350
125,274,209350,6212,209350
125,274,209580,6212,209580
126,276,211580,6212,211580
126,276,211580,6212,211580
126,276,212390,6212,212390
126,276,212390,6212,212390
127,278,213390,6212,213390
127,278,214390,6212,214390
128,280,215200,6212,215200
129,282,216200,6212,216200
