ow_cpu100-dr_0.0-tn_1.3-ts_42-if_1.0-ccmd_622d-policy_GpuClustering1000desharemddbc8-de_share-gs_best-scmd_dbc8-origin_milli,ow_cpu100-dr_0.0-tn_1.3-ts_42-if_1.0-ccmd_622d-policy_GpuClustering1000desharemddbc8-de_share-gs_best-scmd_dbc8-origin_ratio,ow_cpu100-dr_0.0-tn_1.3-ts_42-if_1.0-ccmd_622d-policy_GpuClustering1000desharemddbc8-de_share-gs_best-scmd_dbc8-origin_q124,ow_cpu100-dr_0.0-tn_1.3-ts_42-if_1.0-ccmd_622d-policy_GpuClustering1000desharemddbc8-de_share-gs_best-scmd_dbc8-bellman_milli,ow_cpu100-dr_0.0-tn_1.3-ts_42-if_1.0-ccmd_622d-policy_GpuClustering1000desharemddbc8-de_share-gs_best-scmd_dbc8-bellman_ratio
656990.27,10.82,0.6,179189.9,2.95
656304.69,10.81,0.59,178444.03,2.94
656167.73,10.81,0.58,178412.25,2.94
655577.96,10.8,0.58,177839.46,2.93
655475.74,10.8,0.58,177740.99,2.93
655373.51,10.8,0.58,177649.3,2.93
655373.51,10.8,0.58,177649.3,2.93
655373.51,10.8,0.58,177649.3,2.93
655271.29,10.8,0.58,177649.3,2.93
655357.7,10.8,0.58,177999.76,2.93
655255.48,10.8,0.58,178006.55,2.93
655153.26,10.8,0.58,177908.07,2.93
655051.04,10.8,0.58,177816.39,2.93
654948.82,10.8,0.58,177816.39,2.93
655035.22,10.8,0.58,177930.23,2.93
654933.0,10.8,0.58,177937.02,2.94
654830.78,10.81,0.58,177838.55,2.93
654830.78,10.81,0.58,180005.24,2.97
654728.56,10.81,0.58,179974.69,2.97
654626.34,10.81,0.58,179913.55,2.97
654524.12,10.81,0.58,179821.87,2.97
654610.52,10.81,0.59,179954.74,2.97
654696.93,10.81,0.59,180068.59,2.97
654783.34,10.81,0.59,180201.47,2.98
654783.34,10.81,0.59,179051.66,2.96
655109.28,10.82,0.6,179164.51,2.96
655840.35,10.83,0.61,179279.01,2.96
655681.72,10.83,0.61,179123.61,2.96
655579.5,10.83,0.61,179123.61,2.96
662030.67,10.94,0.71,185992.22,3.07
661928.45,10.94,0.71,185983.7,3.07
662014.85,10.94,0.72,186287.23,3.08
662101.26,10.94,0.72,186401.07,3.08
661999.04,10.94,0.72,186317.91,3.08
661896.82,10.94,0.72,186309.39,3.08
661794.6,10.94,0.72,186226.22,3.08
661573.39,10.94,0.72,185981.48,3.08
661471.17,10.94,0.72,185889.79,3.07
661368.94,10.94,0.72,185889.79,3.07
661279.84,10.94,0.72,185293.46,3.07
661279.84,10.94,0.72,185293.46,3.07
661073.79,10.94,0.72,184998.06,3.06
660705.62,10.93,0.71,184735.39,3.06
660603.4,10.93,0.71,184643.71,3.06
660689.8,10.94,0.71,184776.58,3.06
660587.58,10.94,0.71,184776.58,3.06
660485.36,10.94,0.71,184783.37,3.06
660383.14,10.94,0.71,184684.9,3.06
660383.14,10.94,0.71,184684.9,3.06
660280.92,10.94,0.71,184691.68,3.06
660178.7,10.94,0.71,184593.21,3.06
660569.12,10.95,0.72,184447.35,3.06
660903.15,10.95,0.73,184472.39,3.06
660607.64,10.95,0.73,184179.23,3.05
660241.39,10.94,0.72,184242.87,3.05
660631.81,10.95,0.73,184097.01,3.05
660529.59,10.95,0.73,184088.49,3.05
660427.37,10.95,0.73,184005.32,3.05
660839.56,10.96,0.74,184318.84,3.06
