ow_gpuspec20-dr_0.0-tn_1.3-ts_42-if_1.0-ccmd_9dac-policy_Random1000desharemd8fc0-de_share-gs_random-scmd_8fc0-used_nodes,ow_gpuspec20-dr_0.0-tn_1.3-ts_42-if_1.0-ccmd_9dac-policy_Random1000desharemd8fc0-de_share-gs_random-scmd_8fc0-used_gpus,ow_gpuspec20-dr_0.0-tn_1.3-ts_42-if_1.0-ccmd_9dac-policy_Random1000desharemd8fc0-de_share-gs_random-scmd_8fc0-used_gpu_milli,ow_gpuspec20-dr_0.0-tn_1.3-ts_42-if_1.0-ccmd_9dac-policy_Random1000desharemd8fc0-de_share-gs_random-scmd_8fc0-total_gpus,ow_gpuspec20-dr_0.0-tn_1.3-ts_42-if_1.0-ccmd_9dac-policy_Random1000desharemd8fc0-de_share-gs_random-scmd_8fc0-arrived_gpu_milli
197,976,145600,6212,145600
198,984,146070,6212,146070
199,986,147070,6212,147070
200,988,147540,6212,147540
201,990,148540,6212,148540
202,998,149540,6212,149540
202,998,150010,6212,150010
203,1006,151010,6212,151010
204,1010,151820,6212,151820
205,1012,152630,6212,152630
205,1012,153630,6212,153630
206,1020,153630,6212,153630
207,1028,154630,6212,154630
208,1036,155100,6212,155100
208,1036,156100,6212,156100
209,1038,156570,6212,156570
210,1046,156940,6212,156940
211,1054,157940,6212,157940
212,1058,158750,6212,158750
213,1066,159560,6212,159560
214,1068,160020,6212,160020
215,1076,160830,6212,160830
216,1078,161480,6212,161480
217,1086,161710,6212,161710
218,1094,161710,6212,161710
218,1094,161710,6212,161710
219,1096,161710,6212,161710
220,1104,162710,6212,162710
221,1106,163520,6212,163520
222,1114,167520,6212,167520
223,1122,168520,6212,168520
223,1122,169520,6212,169520
224,1130,170520,6212,170520
225,1138,171520,6212,171520
226,1146,172520,6212,172520
227,1148,172990,6212,172990
228,1152,173990,6212,173990
229,1154,174990,6212,174990
230,1156,175460,6212,175460
230,1156,176460,6212,176460
230,1156,177460,6212,177460
231,1164,178270,6212,178270
232,1166,179270,6212,179270
233,1168,179740,6212,179740
233,1168,180740,6212,180740
234,1172,181740,6212,181740
235,1180,182740,6212,182740
236,1188,183740,6212,183740
237,1190,184740,6212,184740
238,1198,185200,6212,185200
239,1202,186200,6212,186200
240,1210,186200,6212,186200
241,1218,187200,6212,187200
242,1226,188200,6212,188200
243,1228,189200,6212,189200
244,1230,189520,6212,189520
245,1234,190330,6212,190330
246,1236,191140,6212,191140
247,1244,191690,6212,191690
248,1246,192160,6212,192160
248,1246,192160,6212,192160
249,1248,192390,6212,192390
250,1256,192860,6212,192860
251,1258,193080,6212,193080
252,1266,194080,6212,194080
252,1266,194890,6212,194890
252,1266,195890,6212,195890
253,1274,196700,6212,196700
254,1276,196700,6212,196700
254,1276,197170,6212,197170
255,1284,198170,6212,198170
255,1284,199170,6212,199170
255,1284,199980,6212,199980
255,1284,200980,6212,200980
255,1284,201980,6212,201980
256,1286,202450,6212,202450
257,1294,203450,6212,203450
257,1294,204260,6212,204260
258,1296,205260,6212,205260
258,1296,205730,6212,205730
259,1298,205730,6212,205730
260,1306,206540,6212,206540
261,1308,207350,6212,207350
262,1316,207350,6212,207350
262,1316,208350,6212,208350
263,1318,209350,6212,209350
263,1318,209580,6212,209580
264,1326,211580,6212,211580
264,1326,211580,6212,211580
265,1334,212390,6212,212390
266,1342,212390,6212,212390
267,1344,213390,6212,213390
268,1352,214390,6212,214390
269,1360,215200,6212,215200
270,1364,216200,6212,216200
271,1366,217200,6212,217200
272,1370,218200,6212,218200
273,1372,219010,6212,219010
274,1380,219330,6212,219330
275,1382,220140,6212,220140
276,1390,221140,6212,221140
277,1392,222140,6212,222140
278,1394,222140,6212,222140
279,1396,223140,6212,223140
279,1396,223790,6212,223790
280,1404,223790,6212,223790
281,1406,224790,6212,224790
282,1414,226790,6212,226790
282,1414,227020,6212,227020
282,1414,227490,6212,227490
283,1416,228490,6212,228490
283,1416,229300,6212,229300
283,1416,230300,6212,230300
284,1424,231300,6212,231300
285,1432,232300,6212,232300
286,1440,233110,6212,233110
287,1442,233110,6212,233110
288,1444,233920,6212,233920
289,1452,234510,6212,234510
290,1460,234830,6212,234830
290,1460,235830,6212,235830
291,1468,235830,6212,235830
292,1476,235830,6212,235830
292,1476,236300,6212,236300
292,1476,237110,6212,237110
292,1476,237110,6212,237110
293,1478,238110,6212,238110
294,1486,238340,6212,238340
295,1488,239340,6212,239340
296,1496,240340,6212,240340
297,1500,241340,6212,241340
298,1508,241340,6212,241340
299,1510,241660,6212,241660
300,1512,242130,6212,242130
301,1514,243130,6212,243130
302,1522,243130,6212,243130
303,1524,243780,6212,243780
304,1532,244590,6212,244590
305,1540,252590,6212,252590
306,1548,253590,6212,253590
307,1556,254590,6212,254590
307,1556,255590,6212,255590
307,1556,256240,6212,256240
308,1558,257240,6212,257240
309,1566,257710,6212,257710
310,1568,258710,6212,258710
311,1576,259710,6212,259710
312,1584,260710,6212,260710
313,1586,261710,6212,261710
314,1588,262710,6212,262710
315,1596,262940,6212,262940
316,1604,263940,6212,263940
317,1612,264940,6212,264940
318,1620,265750,6212,265750
319,1622,266560,6212,266560
319,1622,267030,6212,267030
320,1630,268030,6212,268030
321,1638,269030,6212,269030
322,1640,270030,6212,270030
322,1640,271030,6212,271030
322,1640,271030,6212,271030
323,1642,271580,6212,271580
324,1650,272050,6212,272050
324,1650,272700,6212,272700
325,1658,272700,6212,272700
326,1666,273700,6212,273700
327,1668,274700,6212,274700
328,1670,275510,6212,275510
329,1672,275980,6212,275980
329,1672,276980,6212,276980
329,1672,277980,6212,277980
330,1680,278980,6212,278980
331,1688,279790,6212,279790
332,1692,280790,6212,280790
333,1700,288790,6212,288790
333,1700,289600,6212,289600
334,1702,290600,6212,290600
335,1704,291150,6212,291150
336,1706,292150,6212,292150
337,1708,293150,6212,293150
338,1716,293620,6212,293620
339,1718,294620,6212,294620
340,1726,295430,6212,295430
341,1734,296080,6212,296080
342,1736,297080,6212,297080
343,1744,298080,6212,298080
344,1746,299080,6212,299080
345,1754,300080,6212,300080
346,1756,301080,6212,301080
347,1764,302080,6212,302080
348,1766,303080,6212,303080
349,1774,304080,6212,304080
350,1776,304550,6212,304550
351,1784,305550,6212,305550
352,1786,305550,6212,305550
353,1788,306550,6212,306550
354,1790,306550,6212,306550
355,1792,307550,6212,307550
356,1794,308550,6212,308550
357,1796,308550,6212,308550
357,1796,309550,6212,309550
358,1798,309780,6212,309780
359,1800,310780,6212,310780
359,1800,311780,6212,311780
360,1808,311780,6212,311780
361,1816,311780,6212,311780
362,1824,312240,6212,312240
362,1824,313240,6212,313240
363,1826,314050,6212,314050
364,1834,314050,6212,314050
365,1836,315050,6212,315050
366,1844,315270,6212,315270
367,1846,316270,6212,316270
367,1846,317080,6212,317080
368,1854,318080,6212,318080
369,1856,318540,6212,318540
370,1864,319350,6212,319350
371,1866,320160,6212,320160
372,1874,320810,6212,320810
373,1882,321810,6212,321810
374,1884,322040,6212,322040
375,1886,323040,6212,323040
376,1888,324040,6212,324040
376,1888,325040,6212,325040
377,1890,326040,6212,326040
377,1890,326510,6212,326510
378,1892,326980,6212,326980
379,1894,327980,6212,327980
379,1894,328980,6212,328980
380,1902,329980,6212,329980
380,1902,330980,6212,330980
381,1910,331300,6212,331300
382,1918,332300,6212,332300
383,1922,333110,6212,333110
383,1922,333920,6212,333920
384,1930,334920,6212,334920
384,1930,335920,6212,335920
385,1938,336920,6212,336920
385,1938,337730,6212,337730
386,1940,338540,6212,338540
386,1940,339540,6212,339540
387,1942,340010,6212,340010
388,1950,341010,6212,341010
389,1954,341010,6212,341010
389,1954,341010,6212,341010
389,1954,342010,6212,342010
389,1954,342010,6212,342010
389,1954,343010,6212,343010
390,1962,343010,6212,343010
391,1964,343820,6212,343820
392,1966,344820,6212,344820
393,1968,345050,6212,345050
394,1976,346050,6212,346050
395,1980,346860,6212,346860
396,1982,347670,6212,347670
397,1990,347670,6212,347670
397,1990,348670,6212,348670
398,1998,349020,6212,349020
398,1998,350020,6212,350020
399,2000,351020,6212,351020
399,2000,351020,6212,351020
399,2000,351340,6212,351340
400,2004,352340,6212,352340
401,2012,353340,6212,353340
402,2020,353340,6212,353340
403,2022,354340,6212,354340
404,2030,355340,6212,355340
404,2030,356150,6212,356150
404,2030,357150,6212,357150
405,2032,357150,6212,357150
405,2032,358150,6212,358150
406,2040,359150,6212,359150
407,2048,360150,6212,360150
408,2050,360620,6212,360620
409,2052,361620,6212,361620
409,2052,362620,6212,362620
409,2052,363430,6212,363430
410,2054,364240,6212,364240
411,2058,365240,6212,365240
412,2060,365240,6212,365240
412,2060,365240,6212,365240
412,2060,366240,6212,366240
413,2062,366470,6212,366470
413,2062,367470,6212,367470
414,2064,368470,6212,368470
415,2066,369280,6212,369280
415,2066,369930,6212,369930
416,2074,369930,6212,369930
417,2078,370930,6212,370930
418,2082,371930,6212,371930
418,2082,372390,6212,372390
418,2082,373200,6212,373200
419,2090,374200,6212,374200
