ow_gpuspec20-dr_0.0-tn_1.3-ts_42-if_1.0-ccmd_9dac-policy_Random1000desharemd8fc0-de_share-gs_random-scmd_8fc0-origin_milli,ow_gpuspec20-dr_0.0-tn_1.3-ts_42-if_1.0-ccmd_9dac-policy_Random1000desharemd8fc0-de_share-gs_random-scmd_8fc0-origin_ratio,ow_gpuspec20-dr_0.0-tn_1.3-ts_42-if_1.0-ccmd_9dac-policy_Random1000desharemd8fc0-de_share-gs_random-scmd_8fc0-origin_q124,ow_gpuspec20-dr_0.0-tn_1.3-ts_42-if_1.0-ccmd_9dac-policy_Random1000desharemd8fc0-de_share-gs_random-scmd_8fc0-bellman_milli,ow_gpuspec20-dr_0.0-tn_1.3-ts_42-if_1.0-ccmd_9dac-policy_Random1000desharemd8fc0-de_share-gs_random-scmd_8fc0-bellman_ratio
1599287.06,26.1,0.63,209805.49,3.42
1599054.53,26.1,0.63,209810.81,3.42
1598775.12,26.1,0.63,209185.48,3.42
1598568.92,26.1,0.63,209183.45,3.42
1598550.76,26.11,0.64,209279.84,3.42
1598550.76,26.11,0.64,209215.94,3.42
1598550.76,26.11,0.64,209155.32,3.42
1598318.22,26.11,0.64,209157.93,3.42
1598334.75,26.11,0.64,209152.11,3.42
1598334.75,26.11,0.64,209091.49,3.42
1598351.28,26.11,0.64,209085.67,3.42
1598445.74,26.11,0.64,209086.0,3.42
1598401.51,26.11,0.64,209095.96,3.42
1599432.37,26.13,0.66,209974.07,3.43
1599199.83,26.13,0.66,209979.4,3.43
1598967.29,26.13,0.66,209978.27,3.43
1599177.78,26.14,0.67,209983.43,3.43
1598945.24,26.14,0.67,209988.76,3.43
1598739.05,26.14,0.67,209917.76,3.43
1598694.82,26.14,0.67,209901.16,3.43
1598488.62,26.14,0.67,209899.13,3.43
1598282.42,26.14,0.67,209828.3,3.43
1598282.42,26.14,0.67,209799.57,3.43
1598756.51,26.15,0.68,209909.31,3.43
1598550.31,26.15,0.68,209907.14,3.43
1598550.31,26.15,0.68,209846.52,3.43
1598668.85,26.16,0.69,210092.08,3.44
1598879.34,26.16,0.69,210097.24,3.44
1598673.14,26.16,0.69,210026.38,3.44
1598628.91,26.17,0.69,210036.34,3.44
1598584.68,26.17,0.7,210046.31,3.44
1598378.48,26.17,0.7,209975.48,3.44
1598360.32,26.17,0.7,210071.87,3.44
1598127.79,26.17,0.7,210077.2,3.44
1598355.31,26.18,0.71,210161.59,3.44
1598149.11,26.18,0.71,210108.64,3.44
1597916.57,26.18,0.71,210105.48,3.44
1597840.32,26.18,0.71,210086.42,3.44
1597634.12,26.19,0.71,210015.36,3.44
1597908.43,26.19,0.71,209801.7,3.44
1598192.77,26.2,0.72,209394.53,3.43
1597960.23,26.2,0.72,209397.14,3.43
1597754.04,26.2,0.72,209394.97,3.43
1597989.74,26.21,0.73,209392.45,3.43
1597783.54,26.21,0.73,209339.5,3.43
1597714.01,26.21,0.73,208901.11,3.43
1597481.47,26.21,0.73,208899.98,3.43
1597226.46,26.21,0.73,208890.61,3.43
1597487.9,26.21,0.74,208384.73,3.42
1597255.36,26.22,0.74,208372.38,3.42
1597573.32,26.22,0.74,208304.82,3.42
1597367.12,26.22,0.74,208302.79,3.42
1597685.08,26.23,0.75,208235.23,3.42
1597685.08,26.23,0.75,208209.28,3.42
1597478.89,26.23,0.75,208156.33,3.42
1597478.89,26.23,0.75,208095.23,3.42
1597272.69,26.23,0.75,208024.16,3.42
1597066.49,26.23,0.75,208013.7,3.42
1597022.26,26.23,0.75,208023.67,3.42
1596816.06,26.24,0.75,208021.64,3.42
1596816.06,26.24,0.75,207957.74,3.42
1596604.06,26.24,0.75,207856.11,3.42
1596814.54,26.24,0.76,207861.67,3.42
1596796.38,26.25,0.76,207958.06,3.42
1596563.85,26.25,0.76,207948.13,3.42
1596682.39,26.25,0.77,207936.68,3.42
1596714.41,26.25,0.77,207949.41,3.42
1596730.93,26.25,0.77,207936.63,3.42
1597110.82,26.26,0.78,207937.85,3.42
1597419.12,26.27,0.78,207941.77,3.42
1597737.08,26.27,0.79,208460.82,3.43
1597718.92,26.27,0.79,208548.13,3.43
1597486.38,26.28,0.79,208545.68,3.43
1597468.22,26.28,0.79,208642.07,3.43
1598499.08,26.3,0.81,209520.17,3.45
1598515.61,26.3,0.81,209491.84,3.45
1598643.3,26.3,0.82,209308.37,3.44
1598599.07,26.3,0.82,209291.77,3.44
1598599.07,26.3,0.82,209222.73,3.44
1598599.07,26.3,0.82,209196.78,3.44
1598554.84,26.31,0.82,209206.75,3.44
1598872.8,26.31,0.83,209726.23,3.45
1598640.27,26.31,0.83,209727.25,3.45
1598407.73,26.32,0.83,209723.35,3.45
1598175.19,26.32,0.83,209720.18,3.45
1598293.73,26.32,0.84,210553.12,3.47
1598087.54,26.32,0.84,210482.05,3.47
1598069.38,26.32,0.84,210660.43,3.47
1598069.38,26.32,0.84,210492.25,3.47
1597863.18,26.33,0.84,210421.17,3.47
1597598.62,26.33,0.84,210396.56,3.47
1597392.42,26.33,0.84,210343.61,3.47
1597374.26,26.33,0.84,210440.0,3.47
1597672.47,26.34,0.85,210372.18,3.47
1597882.96,26.34,0.85,210377.34,3.47
1597676.76,26.34,0.85,210306.27,3.47
1598320.2,26.36,0.86,210635.95,3.47
1598114.0,26.36,0.86,210633.78,3.47
1597881.46,26.36,0.87,210639.11,3.47
1598059.93,26.36,0.87,210620.06,3.47
1597827.39,26.36,0.87,210622.67,3.48
1597736.29,26.36,0.87,210099.44,3.47
1597718.13,26.37,0.88,210195.83,3.47
1597439.89,26.37,0.88,210149.61,3.47
1597456.42,26.37,0.88,210136.73,3.47
1597210.19,26.37,0.88,210142.05,3.47
1597420.68,26.37,0.88,210147.62,3.47
1597156.12,26.37,0.88,210115.96,3.47
1597654.92,26.38,0.89,210268.65,3.47
1597939.07,26.39,0.9,210259.56,3.47
1597684.07,26.39,0.9,210265.15,3.47
1597670.56,26.39,0.9,210251.83,3.47
1597626.33,26.4,0.91,210261.79,3.47
1597862.03,26.4,0.91,210259.27,3.47
1597795.34,26.4,0.91,210271.83,3.47
1597913.88,26.41,0.92,210260.37,3.48
1598293.76,26.42,0.93,210261.59,3.48
1598310.29,26.42,0.93,210255.77,3.48
1598310.29,26.42,0.93,210229.79,3.47
1598310.29,26.42,0.93,210168.69,3.47
1598077.75,26.42,0.93,210164.53,3.47
1598059.59,26.42,0.93,210260.92,3.48
1597033.38,26.42,0.93,210221.81,3.48
1596800.84,26.42,0.93,210200.35,3.48
1596536.28,26.42,0.93,210244.33,3.48
1596290.06,26.42,0.93,210241.88,3.48
1596057.52,26.42,0.93,210239.27,3.48
1595802.52,26.42,0.93,210239.79,3.48
1596030.04,26.43,0.94,210324.19,3.48
1597087.37,26.45,0.96,211645.97,3.51
1597481.3,26.46,0.97,211717.96,3.51
1598124.74,26.47,0.98,212047.64,3.51
1597918.54,26.48,0.98,212036.54,3.51
1597653.98,26.48,0.98,212012.06,3.51
1597587.28,26.48,0.99,212024.62,3.51
1597381.09,26.48,0.99,211953.79,3.51
1597608.61,26.48,0.99,212017.51,3.51
1597344.05,26.48,0.99,211988.19,3.51
1597069.29,26.48,0.99,211926.98,3.51
1596836.75,26.48,0.99,211932.31,3.52
1596604.22,26.49,0.99,211937.64,3.52
1596398.02,26.49,0.99,211866.64,3.52
1596616.87,26.49,1.0,211866.11,3.52
1596337.46,26.49,1.0,211247.72,3.51
1596369.48,26.49,1.0,211260.46,3.51
1596136.94,26.49,1.0,211265.78,3.51
1595904.41,26.49,1.0,211271.11,3.51
1596032.1,26.5,1.01,211087.64,3.5
1596350.06,26.51,1.01,211020.08,3.5
1596263.61,26.51,1.02,210874.28,3.5
1596245.45,26.51,1.02,210970.67,3.5
1596431.36,26.52,1.02,210964.66,3.5
1596930.16,26.53,1.03,211117.36,3.51
1596930.16,26.53,1.03,211112.56,3.51
1597317.5,26.54,1.04,211125.93,3.51
1597527.98,26.54,1.05,211131.49,3.51
1597923.03,26.55,1.06,211064.45,3.51
1597690.49,26.55,1.06,211065.47,3.51
1597629.73,26.55,1.06,211060.42,3.51
1597365.17,26.55,1.06,211038.66,3.51
1597320.94,26.55,1.06,211048.63,3.51
1597320.94,26.55,1.06,210987.52,3.51
1597548.46,26.56,1.07,211404.72,3.51
1597293.46,26.56,1.07,211405.24,3.52
1597087.26,26.56,1.07,211399.83,3.52
1597026.51,26.56,1.07,211394.78,3.52
1596777.44,26.56,1.07,211380.92,3.52
1596571.24,26.57,1.07,211306.85,3.52
1596798.76,26.57,1.08,211391.25,3.52
1596566.23,26.57,1.08,211393.85,3.52
1596467.51,26.57,1.08,211374.8,3.52
1596261.31,26.57,1.08,211303.72,3.52
1596488.83,26.58,1.08,211293.13,3.52
1596488.83,26.58,1.08,211232.51,3.52
1596430.92,26.58,1.09,211242.48,3.52
1596412.76,26.59,1.09,211338.87,3.52
1596429.28,26.59,1.09,211326.09,3.52
1596164.73,26.59,1.09,211307.38,3.52
1595958.53,26.59,1.09,211305.21,3.52
1595802.61,26.59,1.09,211612.69,3.53
1595260.59,26.59,1.09,211623.59,3.53
1595260.59,26.59,1.09,211881.78,3.53
1595216.36,26.59,1.09,211891.74,3.53
1595248.38,26.59,1.09,211904.48,3.53
1595042.18,26.59,1.09,211851.53,3.53
1594809.64,26.59,1.09,211852.55,3.53
1594765.41,26.59,1.1,211862.52,3.53
1594490.66,26.59,1.1,211901.88,3.53
1594284.46,26.59,1.1,211830.81,3.53
1594009.7,26.59,1.1,211798.86,3.53
1593940.16,26.6,1.1,211360.47,3.53
1594248.47,26.6,1.11,211364.39,3.53
1594230.31,26.61,1.11,211460.78,3.53
1593997.77,26.61,1.11,211448.43,3.53
1593791.57,26.61,1.11,211377.79,3.53
1593791.57,26.61,1.11,211316.23,3.53
1593585.37,26.61,1.11,211314.06,3.53
1593663.31,26.61,1.11,211294.18,3.53
1593679.83,26.61,1.11,211288.36,3.53
1594073.77,26.62,1.13,211360.35,3.53
1593549.3,26.62,1.13,211371.17,3.53
1593936.63,26.63,1.13,211773.17,3.54
1594115.1,26.64,1.14,211748.43,3.54
1593908.9,26.64,1.14,211695.48,3.54
1593890.74,26.64,1.14,211845.89,3.54
1593641.68,26.64,1.14,211824.62,3.54
1593409.14,26.64,1.14,211821.45,3.54
1593176.6,26.64,1.14,211818.28,3.54
1593132.37,26.65,1.15,211828.25,3.54
1593132.37,26.65,1.15,211766.18,3.54
1593114.21,26.65,1.15,211862.57,3.54
1593262.93,26.65,1.15,211856.38,3.54
1593571.23,26.66,1.16,211860.29,3.54
1593284.21,26.66,1.16,211832.64,3.54
1593316.23,26.66,1.16,211845.38,3.54
1593332.76,26.66,1.16,211839.55,3.54
1593560.28,26.67,1.17,211831.84,3.54
1593542.12,26.67,1.17,211982.25,3.55
1593542.12,26.67,1.17,211981.55,3.55
1593335.92,26.67,1.17,211928.6,3.55
1593715.8,26.68,1.18,211929.82,3.55
1593509.6,26.68,1.18,211927.65,3.55
1593277.07,26.68,1.18,211932.98,3.55
1593075.52,26.68,1.18,211917.04,3.55
1593075.52,26.68,1.18,211891.09,3.55
1593393.48,26.69,1.18,211823.53,3.55
1593892.28,26.7,1.19,211976.23,3.55
1593686.08,26.7,1.19,211974.06,3.55
1593702.61,26.7,1.2,211968.24,3.55
1593821.15,26.71,1.2,211956.78,3.55
1593776.92,26.71,1.2,211966.75,3.55
1591692.48,26.71,1.2,211911.63,3.56
1591459.94,26.71,1.2,211909.18,3.56
1591227.4,26.71,1.21,211911.78,3.56
1590962.84,26.71,1.21,211878.08,3.56
1591081.39,26.72,1.21,212118.26,3.56
1591190.36,26.72,1.22,211868.76,3.56
1591400.85,26.73,1.22,211873.92,3.56
1591194.65,26.73,1.22,211820.97,3.56
1590962.11,26.73,1.22,211823.57,3.56
