ow_cpu200-dr_0.0-tn_1.3-ts_42-if_1.0-ccmd_e093-policy_BestFit1000desharemd7031-de_share-gs_best-scmd_7031-used_nodes,ow_cpu200-dr_0.0-tn_1.3-ts_42-if_1.0-ccmd_e093-policy_BestFit1000desharemd7031-de_share-gs_best-scmd_7031-used_gpus,ow_cpu200-dr_0.0-tn_1.3-ts_42-if_1.0-ccmd_e093-policy_BestFit1000desharemd7031-de_share-gs_best-scmd_7031-used_gpu_milli,ow_cpu200-dr_0.0-tn_1.3-ts_42-if_1.0-ccmd_e093-policy_BestFit1000desharemd7031-de_share-gs_best-scmd_7031-total_gpus,ow_cpu200-dr_0.0-tn_1.3-ts_42-if_1.0-ccmd_e093-policy_BestFit1000desharemd7031-de_share-gs_best-scmd_7031-arrived_gpu_milli
35,75,43010,6212,43010
36,77,44010,6212,44010
37,79,44660,6212,44660
38,81,45660,6212,45660
38,81,46470,6212,46470
39,83,47470,6212,47470
40,85,48470,6212,48470
41,87,49470,6212,49470
42,89,50470,6212,50470
43,91,51470,6212,51470
44,93,52470,6212,52470
44,93,53280,6212,53280
45,95,53280,6212,53280
45,95,53500,6212,53500
45,95,53500,6212,53500
46,97,53500,6212,53500
47,99,54500,6212,54500
47,99,55310,6212,55310
47,99,55310,6212,55310
48,101,55780,6212,55780
49,103,56250,6212,56250
50,105,56720,6212,56720
51,107,57720,6212,57720
51,107,57720,6212,57720
52,109,58720,6212,58720
53,111,59720,6212,59720
53,111,60530,6212,60530
54,112,61000,6212,61000
55,113,61470,6212,61470
56,115,61470,6212,61470
57,116,61930,6212,61930
58,118,62930,6212,62930
59,120,62930,6212,62930
60,121,63160,6212,63160
60,121,64160,6212,64160
61,122,65160,6212,65160
62,124,65630,6212,65630
62,124,66440,6212,66440
63,126,67440,6212,67440
64,128,68440,6212,68440
65,130,69440,6212,69440
66,132,69910,6212,69910
67,140,77910,6212,77910
68,141,78370,6212,78370
69,143,79020,6212,79020
69,143,79020,6212,79020
69,143,79020,6212,79020
69,143,79180,6212,79180
69,143,79990,6212,79990
69,143,80990,6212,80990
70,145,81990,6212,81990
71,147,82990,6212,82990
72,149,83990,6212,83990
72,149,84800,6212,84800
73,151,85800,6212,85800
73,151,85910,6212,85910
74,159,93910,6212,93910
75,161,94910,6212,94910
75,161,95460,6212,95460
75,161,96460,6212,96460
76,163,97460,6212,97460
76,163,98270,6212,98270
77,165,99270,6212,99270
78,167,100270,6212,100270
79,169,102270,6212,102270
80,171,102740,6212,102740
81,173,103740,6212,103740
82,177,105740,6212,105740
82,177,105970,6212,105970
82,177,105970,6212,105970
82,177,106970,6212,106970
83,179,106970,6212,106970
83,179,106970,6212,106970
83,179,107780,6212,107780
83,179,108780,6212,108780
83,179,108780,6212,108780
84,181,109780,6212,109780
84,181,109780,6212,109780
85,182,110250,6212,110250
86,183,110470,6212,110470
87,185,111470,6212,111470
87,185,112470,6212,112470
88,187,112470,6212,112470
89,189,113470,6212,113470
89,189,114470,6212,114470
89,189,114790,6212,114790
90,193,114790,6212,114790
91,194,115790,6212,115790
92,198,116790,6212,116790
93,200,117790,6212,117790
94,202,118790,6212,118790
95,206,119790,6212,119790
96,208,120790,6212,120790
96,208,121110,6212,121110
97,209,121580,6212,121580
97,209,121900,6212,121900
98,211,122900,6212,122900
99,213,122900,6212,122900
99,213,123710,6212,123710
99,213,124710,6212,124710
99,213,125710,6212,125710
100,215,125710,6212,125710
101,216,126710,6212,126710
102,218,127710,6212,127710
102,218,128520,6212,128520
102,218,129520,6212,129520
103,220,130520,6212,130520
104,222,131170,6212,131170
104,222,132170,6212,132170
104,222,133170,6212,133170
105,224,134170,6212,134170
106,226,135170,6212,135170
107,228,135640,6212,135640
107,228,136640,6212,136640
107,228,136640,6212,136640
108,230,136640,6212,136640
109,231,137110,6212,137110
109,231,137660,6212,137660
110,233,138660,6212,138660
111,235,139660,6212,139660
112,237,140660,6212,140660
112,237,141470,6212,141470
113,239,141940,6212,141940
113,239,142940,6212,142940
114,241,143940,6212,143940
114,241,144750,6212,144750
115,243,145750,6212,145750
116,244,146070,6212,146070
117,246,147070,6212,147070
118,248,148070,6212,148070
119,250,148070,6212,148070
120,251,148540,6212,148540
121,252,148540,6212,148540
122,254,149010,6212,149010
123,256,150010,6212,150010
124,260,150010,6212,150010
125,262,150010,6212,150010
125,262,150820,6212,150820
126,264,151820,6212,151820
127,266,152470,6212,152470
128,268,153470,6212,153470
128,268,153790,6212,153790
129,270,154790,6212,154790
130,272,155260,6212,155260
131,274,156260,6212,156260
131,274,156630,6212,156630
132,276,156630,6212,156630
133,278,157100,6212,157100
134,280,157100,6212,157100
134,280,157910,6212,157910
134,280,158380,6212,158380
135,282,158700,6212,158700
136,284,158700,6212,158700
137,286,159700,6212,159700
138,288,160350,6212,160350
138,288,161160,6212,161160
138,288,161750,6212,161750
138,288,162560,6212,162560
139,290,163560,6212,163560
139,290,163560,6212,163560
140,292,164560,6212,164560
140,292,165370,6212,165370
141,294,165370,6212,165370
142,296,166020,6212,166020
143,298,166250,6212,166250
143,298,166480,6212,166480
143,298,166800,6212,166800
143,298,167610,6212,167610
144,300,167610,6212,167610
144,300,168070,6212,168070
144,300,168290,6212,168290
145,302,169290,6212,169290
145,302,169450,6212,169450
145,302,170000,6212,170000
146,304,170000,6212,170000
146,304,171000,6212,171000
146,304,171810,6212,171810
147,306,172810,6212,172810
148,308,172810,6212,172810
149,310,173810,6212,173810
150,314,173810,6212,173810
150,314,174270,6212,174270
150,314,175270,6212,175270
151,316,175270,6212,175270
151,316,176270,6212,176270
151,316,177270,6212,177270
151,316,178270,6212,178270
151,316,178430,6212,178430
151,316,179430,6212,179430
151,316,179430,6212,179430
152,320,180430,6212,180430
153,322,181430,6212,181430
153,322,182430,6212,182430
153,322,182890,6212,182890
153,322,182890,6212,182890
153,322,183890,6212,183890
153,322,184700,6212,184700
154,326,185700,6212,185700
154,326,186350,6212,186350
155,330,186350,6212,186350
155,330,186900,6212,186900
155,330,187710,6212,187710
155,330,188710,6212,188710
156,332,188710,6212,188710
156,332,188710,6212,188710
156,332,188710,6212,188710
156,332,188710,6212,188710
157,334,188710,6212,188710
157,334,189710,6212,189710
157,334,190710,6212,190710
157,334,190820,6212,190820
157,334,190820,6212,190820
158,336,190820,6212,190820
158,336,190820,6212,190820
158,336,191290,6212,191290
158,336,192290,6212,192290
159,340,193290,6212,193290
159,340,194100,6212,194100
159,340,194420,6212,194420
159,340,195420,6212,195420
159,340,196230,6212,196230
159,340,197230,6212,197230
159,340,197700,6212,197700
159,340,198700,6212,198700
160,344,199700,6212,199700
160,344,199700,6212,199700
160,344,200700,6212,200700
160,344,201510,6212,201510
161,348,201980,6212,201980
161,348,202980,6212,202980
161,348,203980,6212,203980
162,350,203980,6212,203980
162,350,204570,6212,204570
162,350,204570,6212,204570
162,350,205570,6212,205570
162,350,205890,6212,205890
162,350,206890,6212,206890
163,352,207890,6212,207890
163,352,208360,6212,208360
163,352,209360,6212,209360
163,352,210360,6212,210360
164,354,211360,6212,211360
164,354,212360,6212,212360
165,358,213360,6212,213360
165,358,214360,6212,214360
166,362,215360,6212,215360
166,362,216360,6212,216360
167,364,217360,6212,217360
167,364,218360,6212,218360
167,364,219170,6212,219170
167,364,220170,6212,220170
167,364,221170,6212,221170
167,364,221170,6212,221170
167,364,222170,6212,222170
168,366,223170,6212,223170
169,374,231170,6212,231170
169,374,232170,6212,232170
170,378,233170,6212,233170
170,378,233170,6212,233170
171,382,234170,6212,234170
171,382,235170,6212,235170
171,382,235980,6212,235980
172,384,236980,6212,236980
172,384,237980,6212,237980
172,384,238980,6212,238980
172,384,239450,6212,239450
172,384,239450,6212,239450
173,388,239920,6212,239920
173,388,240730,6212,240730
173,388,241730,6212,241730
173,388,242730,6212,242730
174,392,243730,6212,243730
174,392,244730,6212,244730
174,392,245200,6212,245200
174,392,245200,6212,245200
175,396,245670,6212,245670
175,396,246670,6212,246670
176,398,247670,6212,247670
176,398,247670,6212,247670
176,398,248670,6212,248670
176,398,249480,6212,249480
176,398,249950,6212,249950
176,398,250950,6212,250950
177,402,251950,6212,251950
177,402,252110,6212,252110
177,402,252110,6212,252110
177,402,252920,6212,252920
177,402,253730,6212,253730
178,406,254730,6212,254730
178,406,255730,6212,255730
178,406,256730,6212,256730
179,408,257730,6212,257730
179,408,258200,6212,258200
180,410,259200,6212,259200
180,410,259850,6212,259850
181,414,260850,6212,260850
181,414,261850,6212,261850
182,418,262850,6212,262850
182,418,263850,6212,263850
183,422,264850,6212,264850
183,422,265850,6212,265850
183,422,266320,6212,266320
183,422,267320,6212,267320
183,422,267320,6212,267320
183,422,268130,6212,268130
183,422,269130,6212,269130
183,422,270130,6212,270130
183,422,270130,6212,270130
183,422,271130,6212,271130
183,422,271130,6212,271130
184,424,272130,6212,272130
184,424,273130,6212,273130
184,424,273130,6212,273130
184,424,273130,6212,273130
185,432,281130,6212,281130
186,436,282130,6212,282130
186,436,283130,6212,283130
186,436,283130,6212,283130
186,436,284130,6212,284130
187,440,284780,6212,284780
188,448,292780,6212,292780
188,448,293590,6212,293590
188,448,294400,6212,294400
188,448,294870,6212,294870
188,448,295190,6212,295190
188,448,296190,6212,296190
188,448,296190,6212,296190
188,448,297000,6212,297000
188,448,297470,6212,297470
188,448,298470,6212,298470
188,448,298470,6212,298470
188,448,298470,6212,298470
189,452,298940,6212,298940
189,452,299940,6212,299940
189,452,300750,6212,300750
189,452,301750,6212,301750
190,456,302750,6212,302750
190,456,303220,6212,303220
190,456,303540,6212,303540
190,456,303860,6212,303860
190,456,304860,6212,304860
190,456,304860,6212,304860
190,456,305860,6212,305860
191,460,306860,6212,306860
191,460,307670,6212,307670
191,460,308670,6212,308670
191,460,309140,6212,309140
192,464,310140,6212,310140
192,464,310790,6212,310790
192,464,311120,6212,311120
192,464,311930,6212,311930
192,464,312740,6212,312740
