ow_cpu050-dr_0.0-tn_1.3-ts_42-if_1.0-ccmd_6b15-policy_FGD1000desharemda78a-de_share-gs_FGDScore-scmd_a78a-origin_milli,ow_cpu050-dr_0.0-tn_1.3-ts_42-if_1.0-ccmd_6b15-policy_FGD1000desharemda78a-de_share-gs_FGDScore-scmd_a78a-origin_ratio,ow_cpu050-dr_0.0-tn_1.3-ts_42-if_1.0-ccmd_6b15-policy_FGD1000desharemda78a-de_share-gs_FGDScore-scmd_a78a-origin_q124,ow_cpu050-dr_0.0-tn_1.3-ts_42-if_1.0-ccmd_6b15-policy_FGD1000desharemda78a-de_share-gs_FGDScore-scmd_a78a-bellman_milli,ow_cpu050-dr_0.0-tn_1.3-ts_42-if_1.0-ccmd_6b15-policy_FGD1000desharemda78a-de_share-gs_FGDScore-scmd_a78a-bellman_ratio
344574.08,5.55,0.38,171755.33,2.77
344007.37,5.54,0.37,171062.76,2.75
344378.09,5.55,0.37,171191.94,2.76
344246.37,5.54,0.37,170949.66,2.75
344246.37,5.54,0.37,171315.72,2.76
344166.52,5.54,0.37,171255.4,2.76
344114.79,5.54,0.37,171164.54,2.76
344063.07,5.54,0.37,171099.54,2.76
344011.35,5.54,0.37,171051.43,2.76
343444.64,5.53,0.36,170358.87,2.75
343392.92,5.54,0.36,170358.87,2.75
343341.19,5.54,0.36,170358.87,2.75
343289.47,5.54,0.36,170358.87,2.75
342911.31,5.53,0.36,169854.85,2.74
342859.59,5.53,0.36,169907.28,2.74
342292.89,5.52,0.35,169214.71,2.73
342292.89,5.52,0.35,169231.73,2.73
342241.16,5.52,0.35,169278.06,2.73
342189.44,5.52,0.35,169278.06,2.73
342189.44,5.52,0.35,169265.2,2.73
342152.73,5.52,0.35,169102.63,2.73
342101.01,5.52,0.35,169102.63,2.73
342101.01,5.52,0.35,169116.27,2.73
342373.42,5.53,0.35,169143.25,2.73
342321.69,5.53,0.35,169147.55,2.73
342378.31,5.53,0.36,169078.31,2.73
342326.59,5.53,0.36,169088.88,2.73
342105.87,5.52,0.35,168865.89,2.73
342054.15,5.52,0.35,168800.9,2.73
342448.61,5.53,0.36,168767.21,2.73
342721.01,5.54,0.36,169044.39,2.73
342154.31,5.53,0.36,168351.83,2.72
342548.77,5.53,0.36,168384.04,2.72
341982.06,5.53,0.35,167691.47,2.71
341930.34,5.53,0.35,167691.47,2.71
341878.62,5.53,0.35,167691.47,2.71
341311.91,5.52,0.35,166998.9,2.7
340933.76,5.51,0.34,166494.89,2.69
341304.48,5.52,0.35,166784.5,2.7
341252.75,5.52,0.35,166754.52,2.7
340900.31,5.51,0.34,166551.25,2.69
340706.18,5.51,0.34,166355.96,2.69
340602.73,5.51,0.34,166356.22,2.69
340036.03,5.5,0.33,165663.65,2.68
339657.87,5.5,0.33,165159.63,2.67
339657.87,5.5,0.33,165159.63,2.67
339474.73,5.5,0.32,166539.75,2.7
339747.14,5.5,0.33,166539.51,2.7
339695.42,5.5,0.33,166539.53,2.7
339643.69,5.5,0.33,166651.53,2.7
339265.54,5.49,0.32,166147.51,2.69
339213.81,5.49,0.32,166060.39,2.69
339162.09,5.49,0.32,166060.39,2.69
339125.39,5.49,0.32,165897.82,2.69
338747.23,5.49,0.32,165523.07,2.68
338180.53,5.48,0.31,164830.5,2.67
338452.93,5.49,0.31,164830.5,2.67
337886.23,5.48,0.31,164137.93,2.66
337834.51,5.48,0.31,164131.72,2.66
337552.25,5.47,0.3,164316.38,2.66
337348.11,5.47,0.3,164323.8,2.66
337736.02,5.48,0.3,164591.72,2.67
337684.3,5.48,0.3,164615.82,2.67
337306.14,5.47,0.3,164111.8,2.66
336739.44,5.46,0.29,163419.23,2.65
336702.74,5.46,0.29,163385.92,2.65
336975.14,5.47,0.3,163416.32,2.65
336698.18,5.46,0.29,162944.58,2.64
337028.22,5.47,0.3,164320.53,2.67
336976.49,5.47,0.3,164320.53,2.67
337248.9,5.48,0.3,164320.53,2.67
337619.62,5.48,0.31,164320.53,2.67
337567.89,5.48,0.31,164320.53,2.67
337091.45,5.47,0.3,163901.47,2.66
337039.73,5.47,0.3,163901.47,2.66
336745.59,5.47,0.3,163901.47,2.66
336693.87,5.47,0.3,164179.85,2.67
336642.15,5.47,0.3,164255.48,2.67
336590.42,5.47,0.3,164326.61,2.67
336538.7,5.47,0.3,164326.61,2.67
336261.73,5.47,0.29,163854.88,2.66
335785.29,5.46,0.29,163435.82,2.66
335422.85,5.45,0.28,163100.67,2.65
335371.12,5.45,0.28,163100.67,2.65
335741.84,5.46,0.29,163104.91,2.65
335690.12,5.46,0.29,163103.33,2.65
335962.52,5.47,0.29,163100.67,2.65
335892.31,5.47,0.29,162566.86,2.65
335840.59,5.47,0.29,163160.97,2.66
335393.73,5.46,0.29,162697.98,2.65
335099.6,5.45,0.28,164388.45,2.68
334727.24,5.45,0.28,163917.89,2.67
334999.65,5.45,0.28,163917.89,2.67
334660.95,5.45,0.28,163969.76,2.67
334609.22,5.45,0.28,163969.76,2.67
334557.5,5.45,0.28,163991.94,2.67
334505.77,5.45,0.28,163990.25,2.67
334454.05,5.45,0.28,163985.22,2.67
334402.33,5.45,0.28,163985.22,2.67
334350.6,5.45,0.28,163985.22,2.67
334745.06,5.46,0.28,165094.73,2.69
335115.78,5.46,0.29,165094.73,2.69
334753.34,5.46,0.28,165158.16,2.69
334701.61,5.46,0.28,165167.15,2.69
334649.89,5.46,0.28,165137.11,2.69
334598.17,5.46,0.28,165137.11,2.69
334014.84,5.45,0.28,164553.79,2.68
333963.12,5.45,0.28,164553.79,2.68
333911.39,5.45,0.28,164572.22,2.69
333859.67,5.45,0.28,164570.04,2.69
333807.95,5.45,0.28,164595.34,2.69
333756.22,5.45,0.28,164595.34,2.69
333704.5,5.45,0.28,164595.34,2.69
333652.77,5.45,0.28,164611.98,2.69
334047.23,5.46,0.28,165636.32,2.7
334360.73,5.46,0.29,165018.02,2.7
334309.0,5.46,0.29,165016.48,2.7
