ow_cpu050-dr_0.0-tn_1.3-ts_42-if_1.0-ccmd_6b15-policy_FGD1000desharemda78a-de_share-gs_FGDScore-scmd_a78a-used_nodes,ow_cpu050-dr_0.0-tn_1.3-ts_42-if_1.0-ccmd_6b15-policy_FGD1000desharemda78a-de_share-gs_FGDScore-scmd_a78a-used_gpus,ow_cpu050-dr_0.0-tn_1.3-ts_42-if_1.0-ccmd_6b15-policy_FGD1000desharemda78a-de_share-gs_FGDScore-scmd_a78a-used_gpu_milli,ow_cpu050-dr_0.0-tn_1.3-ts_42-if_1.0-ccmd_6b15-policy_FGD1000desharemda78a-de_share-gs_FGDScore-scmd_a78a-total_gpus,ow_cpu050-dr_0.0-tn_1.3-ts_42-if_1.0-ccmd_6b15-policy_FGD1000desharemda78a-de_share-gs_FGDScore-scmd_a78a-arrived_gpu_milli
50,194,155760,6212,155760
50,194,156760,6212,156760
50,194,157760,6212,157760
50,194,158570,6212,158570
50,194,159380,6212,159380
50,194,160190,6212,160190
50,194,161190,6212,161190
50,194,162190,6212,162190
51,196,162660,6212,162660
51,196,163660,6212,163660
52,204,164660,6212,164660
52,204,165660,6212,165660
52,204,166660,6212,166660
52,204,167660,6212,167660
52,204,168130,6212,168130
52,204,168130,6212,168130
52,204,168360,6212,168360
52,204,169010,6212,169010
52,204,169330,6212,169330
52,204,170330,6212,170330
52,204,170330,6212,170330
52,204,170790,6212,170790
53,212,171790,6212,171790
53,212,172790,6212,172790
53,212,173790,6212,173790
53,212,174790,6212,174790
53,212,175790,6212,175790
53,212,176600,6212,176600
53,212,177600,6212,177600
54,214,178410,6212,178410
55,222,179410,6212,179410
55,222,179880,6212,179880
55,222,180880,6212,180880
55,222,181350,6212,181350
55,222,182350,6212,182350
55,222,183000,6212,183000
55,222,184000,6212,184000
55,222,184810,6212,184810
55,222,185810,6212,185810
56,224,186810,6212,186810
56,224,186970,6212,186970
56,224,187970,6212,187970
56,224,188780,6212,188780
56,224,189010,6212,189010
56,224,189330,6212,189330
56,224,190330,6212,190330
56,224,190880,6212,190880
57,226,191880,6212,191880
57,226,192690,6212,192690
58,228,193500,6212,193500
58,228,193970,6212,193970
58,228,194970,6212,194970
59,236,195970,6212,195970
59,236,196970,6212,196970
59,236,197970,6212,197970
59,236,198970,6212,198970
59,236,199970,6212,199970
60,244,200970,6212,200970
60,244,201440,6212,201440
60,244,202440,6212,202440
60,244,202440,6212,202440
60,244,203090,6212,203090
60,244,204090,6212,204090
60,244,205090,6212,205090
60,244,205640,6212,205640
60,244,206450,6212,206450
60,244,207450,6212,207450
61,246,208450,6212,208450
61,246,209450,6212,209450
62,254,210450,6212,210450
62,254,211450,6212,211450
62,254,211590,6212,211590
62,254,212590,6212,212590
62,254,213590,6212,213590
62,254,214590,6212,214590
62,254,215590,6212,215590
62,254,216590,6212,216590
62,254,217060,6212,217060
63,262,218060,6212,218060
63,262,219060,6212,219060
63,262,223060,6212,223060
63,262,224060,6212,224060
63,262,224650,6212,224650
63,262,225650,6212,225650
63,262,225810,6212,225810
63,262,226130,6212,226130
63,262,226290,6212,226290
63,262,227290,6212,227290
64,270,228290,6212,228290
64,270,229290,6212,229290
64,270,230290,6212,230290
64,270,230760,6212,230760
64,270,231410,6212,231410
64,270,232410,6212,232410
64,270,232880,6212,232880
64,270,233880,6212,233880
64,270,234880,6212,234880
65,272,235880,6212,235880
65,272,236880,6212,236880
66,280,237880,6212,237880
66,280,238880,6212,238880
66,280,239880,6212,239880
66,280,240200,6212,240200
66,280,241200,6212,241200
66,280,242010,6212,242010
66,280,242820,6212,242820
66,280,243290,6212,243290
66,280,244100,6212,244100
66,280,244570,6212,244570
66,280,244890,6212,244890
66,280,245700,6212,245700
66,280,246700,6212,246700
66,280,247290,6212,247290
66,280,248290,6212,248290
67,282,249290,6212,249290
67,282,250100,6212,250100
68,284,251100,6212,251100
68,284,252100,6212,252100
69,286,252750,6212,252750
69,286,253750,6212,253750
70,294,254750,6212,254750
70,294,255560,6212,255560
70,294,256020,6212,256020
70,294,256670,6212,256670
70,294,257670,6212,257670
70,294,258670,6212,258670
70,294,259670,6212,259670
70,294,259720,6212,259720
70,294,260720,6212,260720
70,294,261190,6212,261190
