ow_multigpu20-dr_0.0-tn_1.3-ts_42-if_1.0-ccmd_acac-policy_Random1000desharemd8fc0-de_share-gs_random-scmd_8fc0-used_nodes,ow_multigpu20-dr_0.0-tn_1.3-ts_42-if_1.0-ccmd_acac-policy_Random1000desharemd8fc0-de_share-gs_random-scmd_8fc0-used_gpus,ow_multigpu20-dr_0.0-tn_1.3-ts_42-if_1.0-ccmd_acac-policy_Random1000desharemd8fc0-de_share-gs_random-scmd_8fc0-used_gpu_milli,ow_multigpu20-dr_0.0-tn_1.3-ts_42-if_1.0-ccmd_acac-policy_Random1000desharemd8fc0-de_share-gs_random-scmd_8fc0-total_gpus,ow_multigpu20-dr_0.0-tn_1.3-ts_42-if_1.0-ccmd_acac-policy_Random1000desharemd8fc0-de_share-gs_random-scmd_8fc0-arrived_gpu_milli
1,2,810,6212,810
2,4,1810,6212,1810
3,12,1810,6212,1810
4,14,2810,6212,2810
5,16,3620,6212,3620
6,18,4620,6212,4620
7,20,5430,6212,5430
8,28,5900,6212,5900
9,36,6900,6212,6900
10,38,6900,6212,6900
11,46,6900,6212,6900
12,54,7220,6212,7220
13,56,8220,6212,8220
14,64,9030,6212,9030
15,72,10030,6212,10030
16,74,10620,6212,10620
17,82,10620,6212,10620
18,84,10620,6212,10620
19,92,11170,6212,11170
20,100,11980,6212,11980
21,108,12980,6212,12980
22,110,13980,6212,13980
23,118,14450,6212,14450
24,120,14920,6212,14920
25,128,15920,6212,15920
26,130,16920,6212,16920
27,138,16920,6212,16920
28,146,17920,6212,17920
29,148,18920,6212,18920
30,150,19920,6212,19920
31,152,20920,6212,20920
32,160,21730,6212,21730
33,162,22540,6212,22540
34,170,23540,6212,23540
35,178,27540,6212,27540
36,186,28540,6212,28540
36,186,29540,6212,29540
37,194,30010,6212,30010
38,202,30480,6212,30480
39,204,30950,6212,30950
40,212,31950,6212,31950
41,214,32410,6212,32410
42,216,33060,6212,33060
43,218,34060,6212,34060
44,220,35060,6212,35060
45,228,35060,6212,35060
46,236,35870,6212,35870
47,244,36870,6212,36870
48,246,37340,6212,37340
49,248,37340,6212,37340
50,256,38340,6212,38340
51,258,39340,6212,39340
52,266,40340,6212,40340
53,274,41340,6212,41340
54,276,41800,6212,41800
55,278,41800,6212,41800
56,286,42610,6212,42610
57,294,50610,6212,50610
58,296,51610,6212,51610
59,298,52610,6212,52610
60,306,53080,6212,53080
61,308,54080,6212,54080
62,310,54890,6212,54890
63,318,55890,6212,55890
64,326,56700,6212,56700
65,328,57700,6212,57700
66,330,57700,6212,57700
67,338,58700,6212,58700
68,346,59510,6212,59510
69,348,60510,6212,60510
69,348,60830,6212,60830
70,350,61830,6212,61830
71,358,62830,6212,62830
72,360,63310,6212,63310
73,362,63790,6212,63790
74,370,64260,6212,64260
75,378,64910,6212,64910
76,386,72910,6212,72910
77,394,73910,6212,73910
78,396,74910,6212,74910
79,398,75910,6212,75910
80,406,76380,6212,76380
81,408,77380,6212,77380
82,416,78190,6212,78190
83,424,78510,6212,78510
84,432,79510,6212,79510
85,440,83510,6212,83510
86,448,84510,6212,84510
87,450,85320,6212,85320
88,458,86320,6212,86320
89,466,86910,6212,86910
90,468,86910,6212,86910
91,470,87910,6212,87910
92,478,88380,6212,88380
93,480,88380,6212,88380
94,482,88700,6212,88700
95,484,89020,6212,89020
96,492,90020,6212,90020
97,494,91020,6212,91020
98,496,91490,6212,91490
99,504,91960,6212,91960
100,512,91960,6212,91960
101,520,92960,6212,92960
102,522,93960,6212,93960
103,526,94430,6212,94430
104,528,95430,6212,95430
105,536,95800,6212,95800
106,538,95800,6212,95800
107,540,96610,6212,96610
108,548,97080,6212,97080
109,556,97550,6212,97550
110,564,98360,6212,98360
111,566,99360,6212,99360
112,574,100170,6212,100170
113,576,101170,6212,101170
114,584,101980,6212,101980
115,586,101980,6212,101980
116,594,102530,6212,102530
117,602,103530,6212,103530
118,610,104530,6212,104530
119,618,104530,6212,104530
120,626,104530,6212,104530
121,634,105530,6212,105530
122,642,106530,6212,106530
123,644,107080,6212,107080
124,648,108080,6212,108080
125,656,108080,6212,108080
125,656,109080,6212,109080
126,658,110080,6212,110080
127,660,111080,6212,111080
128,662,112080,6212,112080
129,664,113080,6212,113080
130,666,114080,6212,114080
131,668,114890,6212,114890
132,676,115890,6212,115890
