ow_cpu200-dr_0.0-tn_1.3-ts_42-if_1.0-ccmd_e813-policy_Random1000desharemd8fc0-de_share-gs_random-scmd_8fc0-origin_milli,ow_cpu200-dr_0.0-tn_1.3-ts_42-if_1.0-ccmd_e813-policy_Random1000desharemd8fc0-de_share-gs_random-scmd_8fc0-origin_ratio,ow_cpu200-dr_0.0-tn_1.3-ts_42-if_1.0-ccmd_e813-policy_Random1000desharemd8fc0-de_share-gs_random-scmd_8fc0-origin_q124,ow_cpu200-dr_0.0-tn_1.3-ts_42-if_1.0-ccmd_e813-policy_Random1000desharemd8fc0-de_share-gs_random-scmd_8fc0-bellman_milli,ow_cpu200-dr_0.0-tn_1.3-ts_42-if_1.0-ccmd_e813-policy_Random1000desharemd8fc0-de_share-gs_random-scmd_8fc0-bellman_ratio
1290265.32,20.96,0.46,193665.99,3.15
1290499.75,20.96,0.47,193756.59,3.15
1290734.18,20.97,0.47,193754.84,3.15
1290529.21,20.97,0.47,193751.61,3.15
1290529.21,20.97,0.47,193694.21,3.15
1290324.23,20.97,0.47,193690.98,3.15
1290119.25,20.97,0.47,193614.0,3.15
1290103.06,20.97,0.47,193614.34,3.15
1290715.02,20.98,0.49,193741.77,3.15
1290979.45,20.99,0.49,193362.45,3.14
1290979.45,20.99,0.49,193360.79,3.14
1291222.17,21.0,0.5,193357.56,3.14
1291017.19,21.0,0.5,193355.7,3.14
1291017.19,21.0,0.5,193399.65,3.15
1291415.4,21.0,0.51,193403.96,3.15
1291210.43,21.0,0.51,193401.9,3.15
1291005.45,21.0,0.51,193403.16,3.15
1291239.88,21.01,0.51,193401.4,3.15
1291223.69,21.01,0.51,193495.64,3.15
1291018.71,21.01,0.51,193497.23,3.15
1290813.73,21.01,0.51,193495.37,3.15
1290608.76,21.01,0.51,193493.52,3.15
1290843.19,21.02,0.52,193584.12,3.15
1289203.38,21.02,0.52,193580.88,3.16
1289446.11,21.02,0.53,193580.26,3.16
1289569.34,21.03,0.53,193647.76,3.16
1289569.34,21.03,0.53,193644.62,3.16
1290356.15,21.04,0.54,194151.48,3.17
1290704.51,21.05,0.55,194148.25,3.17
1290688.31,21.05,0.55,194146.21,3.17
1290483.34,21.05,0.55,194142.98,3.17
1290278.36,21.05,0.55,194085.58,3.17
1290073.39,21.05,0.55,194083.72,3.17
1289868.41,21.05,0.55,194083.72,3.17
1289852.21,21.05,0.55,194177.96,3.17
1289647.24,21.05,0.55,194176.11,3.17
1290028.53,21.06,0.56,194177.31,3.17
1288388.73,21.06,0.56,194177.31,3.17
1288460.86,21.06,0.57,194951.8,3.19
1288675.46,21.07,0.57,194894.41,3.19
1288470.49,21.07,0.57,194916.67,3.19
1288265.51,21.07,0.57,194859.27,3.19
1288249.31,21.07,0.57,194953.51,3.19
1288482.62,21.08,0.58,194687.69,3.18
1288277.64,21.08,0.58,194689.28,3.19
1287867.69,21.08,0.58,194686.91,3.19
1288102.12,21.08,0.59,194685.16,3.19
1287897.15,21.08,0.59,194700.45,3.19
1287487.2,21.08,0.59,194643.05,3.19
1287885.41,21.09,0.59,194701.18,3.19
1287885.41,21.09,0.59,194643.78,3.19
1287680.43,21.09,0.59,194641.71,3.19
1287680.43,21.09,0.59,194685.66,3.19
1287680.43,21.09,0.59,194684.0,3.19
1287664.24,21.09,0.6,194681.96,3.19
1287459.26,21.09,0.6,194683.55,3.19
1287459.26,21.09,0.6,194626.15,3.19
1287254.28,21.09,0.6,194624.77,3.19
1287254.28,21.09,0.6,194621.61,3.19
1287488.71,21.1,0.6,194712.2,3.19
1287894.76,21.11,0.61,194717.56,3.19
1287689.78,21.11,0.61,194714.98,3.19
1287484.81,21.11,0.61,194712.92,3.19
1287484.81,21.11,0.61,194709.75,3.19
1287279.83,21.11,0.61,194652.35,3.19
1287074.86,21.11,0.61,194650.28,3.19
1287402.57,21.11,0.62,194647.05,3.19
1287402.57,21.11,0.62,194670.7,3.19
1287197.59,21.11,0.62,194613.3,3.19
1286992.61,21.11,0.62,194610.07,3.19
1286787.64,21.11,0.62,194606.83,3.19
1286582.66,21.12,0.62,194603.6,3.19
1286377.69,21.12,0.62,194600.37,3.19
1286172.71,21.12,0.62,194598.52,3.19
1286500.42,21.12,0.62,194595.29,3.19
1286734.85,21.13,0.63,195019.74,3.2
1287062.56,21.13,0.64,195294.39,3.21
1286857.58,21.13,0.64,195292.55,3.21
1286857.58,21.13,0.64,195289.32,3.21
1286841.39,21.14,0.64,195287.29,3.21
1286636.41,21.14,0.64,195275.44,3.21
1286431.44,21.14,0.64,195218.04,3.21
1287561.78,21.16,0.66,196011.05,3.22
1287356.8,21.16,0.66,196007.82,3.22
1287866.15,21.17,0.67,195975.58,3.22
1287849.95,21.17,0.67,196069.82,3.22
1287644.97,21.17,0.67,196066.58,3.22
1287440.0,21.17,0.67,196009.19,3.22
1287563.23,21.17,0.68,196005.95,3.22
1287358.26,21.17,0.68,196002.72,3.22
1287153.28,21.17,0.68,196002.72,3.22
1286948.31,21.17,0.68,196002.72,3.22
1286743.33,21.17,0.68,196002.52,3.23
1286977.76,21.18,0.68,196000.77,3.23
1286784.45,21.18,0.68,195339.46,3.22
1286784.45,21.18,0.68,195336.22,3.22
1288293.79,21.21,0.71,196303.98,3.23
1288528.23,21.21,0.71,196300.75,3.23
1288742.82,21.22,0.72,196297.52,3.23
1288537.85,21.22,0.72,196295.66,3.23
1288332.87,21.22,0.72,196238.26,3.23
1288127.9,21.22,0.72,196235.03,3.23
1288111.7,21.22,0.72,196233.0,3.23
1288346.13,21.22,0.73,196231.25,3.23
1288141.16,21.22,0.73,196172.26,3.23
1287936.18,21.22,0.73,196169.03,3.23
1287931.65,21.23,0.73,195685.44,3.23
1287726.67,21.23,0.73,195628.04,3.22
1288054.38,21.23,0.74,195628.04,3.23
1287849.41,21.23,0.74,195629.63,3.23
1287644.43,21.23,0.74,195626.4,3.23
1287644.43,21.23,0.74,195623.23,3.23
1287878.86,21.24,0.74,195713.83,3.23
1287878.86,21.24,0.74,195656.43,3.23
1288113.29,21.25,0.75,195653.2,3.23
1287908.32,21.25,0.75,195649.96,3.23
1287908.32,21.25,0.75,195693.91,3.23
1287908.32,21.25,0.75,195636.51,3.23
