ow_cpu050-dr_0.0-tn_1.3-ts_42-if_1.0-ccmd_4a4f-policy_FGDPredictor1000desharemd6126-de_share-gs_FGDPredictorScore-scmd_6126-used_nodes,ow_cpu050-dr_0.0-tn_1.3-ts_42-if_1.0-ccmd_4a4f-policy_FGDPredictor1000desharemd6126-de_share-gs_FGDPredictorScore-scmd_6126-used_gpus,ow_cpu050-dr_0.0-tn_1.3-ts_42-if_1.0-ccmd_4a4f-policy_FGDPredictor1000desharemd6126-de_share-gs_FGDPredictorScore-scmd_6126-used_gpu_milli,ow_cpu050-dr_0.0-tn_1.3-ts_42-if_1.0-ccmd_4a4f-policy_FGDPredictor1000desharemd6126-de_share-gs_FGDPredictorScore-scmd_6126-total_gpus,ow_cpu050-dr_0.0-tn_1.3-ts_42-if_1.0-ccmd_4a4f-policy_FGDPredictor1000desharemd6126-de_share-gs_FGDPredictorScore-scmd_6126-arrived_gpu_milli
54,202,164660,6212,164660
55,204,165660,6212,165660
55,204,166660,6212,166660
56,206,167660,6212,167660
56,206,168130,6212,168130
56,206,168130,6212,168130
56,206,168360,6212,168360
57,214,169010,6212,169010
57,214,169330,6212,169330
57,214,170330,6212,170330
57,214,170330,6212,170330
57,214,170790,6212,170790
58,216,171790,6212,171790
58,216,172790,6212,172790
59,218,173790,6212,173790
59,218,174790,6212,174790
60,220,175790,6212,175790
60,220,176600,6212,176600
60,220,177600,6212,177600
60,220,178410,6212,178410
61,222,179410,6212,179410
61,222,179880,6212,179880
61,222,180880,6212,180880
61,222,181350,6212,181350
62,224,182350,6212,182350
63,232,183000,6212,183000
63,232,184000,6212,184000
63,232,184810,6212,184810
64,234,185810,6212,185810
64,234,186810,6212,186810
64,234,186970,6212,186970
65,236,187970,6212,187970
65,236,188780,6212,188780
65,236,189010,6212,189010
65,236,189330,6212,189330
65,236,190330,6212,190330
65,236,190880,6212,190880
66,238,191880,6212,191880
67,246,192690,6212,192690
67,246,193500,6212,193500
67,246,193970,6212,193970
67,246,194970,6212,194970
68,248,195970,6212,195970
68,248,196970,6212,196970
69,250,197970,6212,197970
69,250,198970,6212,198970
70,252,199970,6212,199970
70,252,200970,6212,200970
70,252,201440,6212,201440
71,254,202440,6212,202440
71,254,202440,6212,202440
71,254,203090,6212,203090
71,254,204090,6212,204090
72,256,205090,6212,205090
73,264,205640,6212,205640
73,264,206450,6212,206450
73,264,207450,6212,207450
74,266,208450,6212,208450
74,266,209450,6212,209450
75,268,210450,6212,210450
75,268,211450,6212,211450
75,268,211590,6212,211590
76,270,212590,6212,212590
76,270,213590,6212,213590
77,272,214590,6212,214590
77,272,215590,6212,215590
78,274,216590,6212,216590
78,274,217060,6212,217060
78,274,218060,6212,218060
79,276,219060,6212,219060
79,276,223060,6212,223060
79,276,224060,6212,224060
79,276,224650,6212,224650
