ow_cpu050-dr_0.0-tn_1.3-ts_42-if_1.0-ccmd_4a4f-policy_FGDPredictor1000desharemd6126-de_share-gs_FGDPredictorScore-scmd_6126-origin_milli,ow_cpu050-dr_0.0-tn_1.3-ts_42-if_1.0-ccmd_4a4f-policy_FGDPredictor1000desharemd6126-de_share-gs_FGDPredictorScore-scmd_6126-origin_ratio,ow_cpu050-dr_0.0-tn_1.3-ts_42-if_1.0-ccmd_4a4f-policy_FGDPredictor1000desharemd6126-de_share-gs_FGDPredictorScore-scmd_6126-origin_q124,ow_cpu050-dr_0.0-tn_1.3-ts_42-if_1.0-ccmd_4a4f-policy_FGDPredictor1000desharemd6126-de_share-gs_FGDPredictorScore-scmd_6126-bellman_milli,ow_cpu050-dr_0.0-tn_1.3-ts_42-if_1.0-ccmd_4a4f-policy_FGDPredictor1000desharemd6126-de_share-gs_FGDPredictorScore-scmd_6126-bellman_ratio
254901.89,4.17,0.32,181699.65,2.97
255299.58,4.18,0.33,181693.63,2.97
255261.12,4.18,0.33,181693.63,2.97
255222.66,4.18,0.33,182601.3,2.99
254915.94,4.17,0.32,182449.83,2.99
254836.5,4.17,0.32,182303.63,2.98
254836.5,4.17,0.32,182303.63,2.98
254986.71,4.17,0.33,182303.63,2.98
254948.25,4.17,0.33,182303.63,2.98
255337.87,4.18,0.33,182303.63,2.98
254979.79,4.17,0.33,182307.13,2.98
254941.33,4.17,0.33,182309.08,2.99
254902.87,4.17,0.33,182309.94,2.99
254864.41,4.17,0.33,182319.43,2.99
255014.62,4.18,0.33,182868.79,3.0
254976.15,4.18,0.33,182736.32,2.99
254937.69,4.18,0.33,182736.32,2.99
254937.69,4.18,0.33,182736.32,2.99
255087.9,4.18,0.33,182736.32,2.99
255049.44,4.18,0.33,182736.32,3.0
255010.98,4.18,0.33,182803.98,3.0
255161.19,4.18,0.34,182752.18,3.0
255122.73,4.18,0.34,182780.38,3.0
255084.27,4.18,0.34,182780.38,3.0
255045.8,4.18,0.34,182780.38,3.0
255007.34,4.18,0.34,182780.38,3.0
254968.88,4.18,0.34,182813.93,3.0
254940.91,4.18,0.34,182157.98,2.99
254902.45,4.18,0.34,182186.61,2.99
254944.27,4.19,0.34,182187.47,2.99
254944.27,4.19,0.34,182187.47,2.99
255347.87,4.19,0.35,182164.61,2.99
255706.33,4.2,0.35,182989.12,3.0
255660.87,4.2,0.35,182890.07,3.0
255615.42,4.2,0.35,183376.46,3.01
255569.97,4.2,0.35,183262.16,3.01
255201.89,4.19,0.35,182910.76,3.01
255201.89,4.19,0.35,182910.76,3.01
255352.1,4.2,0.35,182910.76,3.01
255313.64,4.2,0.35,182910.76,3.01
255608.04,4.2,0.36,182910.76,3.01
255396.85,4.2,0.35,182697.32,3.0
255748.32,4.2,0.36,182697.54,3.0
256137.94,4.21,0.36,182697.54,3.0
256288.15,4.21,0.37,182697.32,3.0
255920.07,4.21,0.36,182697.32,3.0
256070.28,4.21,0.36,184081.1,3.03
256220.49,4.21,0.37,184254.08,3.03
256182.03,4.21,0.37,184254.08,3.03
256143.57,4.21,0.37,184254.08,3.03
256533.18,4.22,0.37,184278.89,3.03
256494.72,4.22,0.37,184271.09,3.03
256494.72,4.22,0.37,184271.09,3.03
256456.26,4.22,0.38,185075.08,3.05
256606.47,4.22,0.38,184587.2,3.04
256763.67,4.23,0.38,184280.79,3.03
256718.22,4.23,0.38,185075.86,3.05
256679.76,4.23,0.38,185075.86,3.05
256679.76,4.23,0.38,185075.86,3.05
256829.97,4.23,0.38,185075.86,3.05
256791.5,4.23,0.38,185075.86,3.05
256941.71,4.23,0.39,185077.1,3.05
256903.25,4.23,0.39,185076.1,3.05
257053.46,4.24,0.39,185075.86,3.05
257015.0,4.24,0.39,185742.62,3.06
257309.41,4.24,0.4,185921.88,3.07
257459.62,4.25,0.4,186036.23,3.07
257421.15,4.25,0.4,185970.26,3.07
257382.69,4.25,0.4,185970.26,3.07
257344.23,4.25,0.4,185970.26,3.07
257494.44,4.25,0.4,185970.26,3.07
