ow_multigpu30-dr_0.0-tn_1.3-ts_42-if_1.0-ccmd_0d71-policy_BestFit1000desharemd7031-de_share-gs_best-scmd_7031-used_nodes,ow_multigpu30-dr_0.0-tn_1.3-ts_42-if_1.0-ccmd_0d71-policy_BestFit1000desharemd7031-de_share-gs_best-scmd_7031-used_gpus,ow_multigpu30-dr_0.0-tn_1.3-ts_42-if_1.0-ccmd_0d71-policy_BestFit1000desharemd7031-de_share-gs_best-scmd_7031-used_gpu_milli,ow_multigpu30-dr_0.0-tn_1.3-ts_42-if_1.0-ccmd_0d71-policy_BestFit1000desharemd7031-de_share-gs_best-scmd_7031-total_gpus,ow_multigpu30-dr_0.0-tn_1.3-ts_42-if_1.0-ccmd_0d71-policy_BestFit1000desharemd7031-de_share-gs_best-scmd_7031-arrived_gpu_milli
133,298,207410,6212,207410
134,300,208060,6212,208060
134,300,208060,6212,208060
135,308,216060,6212,216060
136,312,217060,6212,217060
137,314,218060,6212,218060
137,314,218060,6212,218060
138,316,218530,6212,218530
138,316,219340,6212,219340
138,316,220340,6212,220340
138,316,221150,6212,221150
139,318,222150,6212,222150
139,318,222620,6212,222620
140,320,223620,6212,223620
140,320,223730,6212,223730
141,322,224380,6212,224380
142,324,225380,6212,225380
142,324,225380,6212,225380
143,326,226030,6212,226030
144,328,227030,6212,227030
144,328,227840,6212,227840
145,330,228840,6212,228840
146,332,229840,6212,229840
146,332,230650,6212,230650
147,334,231120,6212,231120
148,338,231120,6212,231120
148,338,231440,6212,231440
149,342,232440,6212,232440
150,344,233440,6212,233440
150,344,234250,6212,234250
151,346,235250,6212,235250
152,348,235900,6212,235900
153,350,236370,6212,236370
153,350,236370,6212,236370
154,352,237370,6212,237370
154,352,237690,6212,237690
155,354,238690,6212,238690
156,356,239690,6212,239690
157,358,240160,6212,240160
157,358,240970,6212,240970
157,358,241780,6212,241780
157,358,241940,6212,241940
157,358,242940,6212,242940
157,358,243940,6212,243940
157,358,243940,6212,243940
158,360,243940,6212,243940
158,360,244410,6212,244410
159,364,244410,6212,244410
159,364,245220,6212,245220
160,372,253220,6212,253220
160,372,254220,6212,254220
160,372,255220,6212,255220
160,372,256220,6212,256220
161,374,257220,6212,257220
161,374,258030,6212,258030
161,374,259030,6212,259030
161,374,260030,6212,260030
161,374,260680,6212,260680
161,374,261490,6212,261490
162,378,262490,6212,262490
162,378,262810,6212,262810
162,378,262810,6212,262810
162,378,263810,6212,263810
163,382,264810,6212,264810
163,382,265810,6212,265810
163,382,266810,6212,266810
163,382,267280,6212,267280
163,382,268280,6212,268280
163,382,269090,6212,269090
164,386,270090,6212,270090
164,386,271090,6212,271090
164,386,271560,6212,271560
165,390,272560,6212,272560
165,390,273370,6212,273370
165,390,274370,6212,274370
166,392,275370,6212,275370
166,392,275840,6212,275840
167,396,276840,6212,276840
167,396,277160,6212,277160
167,396,278160,6212,278160
168,398,279160,6212,279160
168,398,280160,6212,280160
168,398,280970,6212,280970
168,398,281440,6212,281440
168,398,282250,6212,282250
168,398,283250,6212,283250
168,398,284060,6212,284060
169,402,285060,6212,285060
169,402,286060,6212,286060
169,402,287060,6212,287060
170,404,288060,6212,288060
170,404,288220,6212,288220
170,404,289220,6212,289220
171,406,290220,6212,290220
171,406,290220,6212,290220
171,406,290220,6212,290220
171,406,290220,6212,290220
171,406,291030,6212,291030
171,406,291500,6212,291500
171,406,291970,6212,291970
171,406,292620,6212,292620
171,406,292940,6212,292940
172,408,293940,6212,293940
172,408,294410,6212,294410
172,408,295410,6212,295410
172,408,295410,6212,295410
173,412,296410,6212,296410
173,412,297000,6212,297000
173,412,298000,6212,298000
173,412,299000,6212,299000
174,416,300000,6212,300000
174,416,300000,6212,300000
175,424,308000,6212,308000
175,424,308650,6212,308650
175,424,309460,6212,309460
176,426,310460,6212,310460
176,426,311050,6212,311050
177,430,315050,6212,315050
177,430,315860,6212,315860
177,430,316860,6212,316860
177,430,316860,6212,316860
178,438,324860,6212,324860
178,438,324860,6212,324860
179,440,325330,6212,325330
179,440,326330,6212,326330
179,440,326330,6212,326330
179,440,326550,6212,326550
179,440,326550,6212,326550
179,440,327010,6212,327010
180,442,328010,6212,328010
180,442,329010,6212,329010
181,446,329660,6212,329660
181,446,330660,6212,330660
181,446,330660,6212,330660
181,446,331140,6212,331140
182,448,332140,6212,332140
182,448,333140,6212,333140
182,448,333460,6212,333460
