ow_multigpu30-dr_0.0-tn_1.3-ts_42-if_1.0-ccmd_0d71-policy_BestFit1000desharemd7031-de_share-gs_best-scmd_7031-origin_milli,ow_multigpu30-dr_0.0-tn_1.3-ts_42-if_1.0-ccmd_0d71-policy_BestFit1000desharemd7031-de_share-gs_best-scmd_7031-origin_ratio,ow_multigpu30-dr_0.0-tn_1.3-ts_42-if_1.0-ccmd_0d71-policy_BestFit1000desharemd7031-de_share-gs_best-scmd_7031-origin_q124,ow_multigpu30-dr_0.0-tn_1.3-ts_42-if_1.0-ccmd_0d71-policy_BestFit1000desharemd7031-de_share-gs_best-scmd_7031-bellman_milli,ow_multigpu30-dr_0.0-tn_1.3-ts_42-if_1.0-ccmd_0d71-policy_BestFit1000desharemd7031-de_share-gs_best-scmd_7031-bellman_ratio
867232.21,14.26,1.2,417456.37,6.87
867517.87,14.27,1.21,417232.54,6.86
867488.6,14.27,1.21,417147.52,6.86
867774.26,14.28,1.21,416923.68,6.86
867745.0,14.28,1.21,416850.28,6.86
868321.39,14.29,1.22,416861.43,6.86
867612.13,14.28,1.22,416096.41,6.85
867092.86,14.27,1.21,415521.4,6.84
866383.59,14.26,1.2,414768.0,6.83
866669.25,14.27,1.21,414532.54,6.83
866973.23,14.28,1.21,414271.26,6.82
867261.85,14.28,1.22,414291.78,6.82
866742.59,14.28,1.21,413728.39,6.82
866742.59,14.28,1.21,413728.39,6.82
867028.25,14.28,1.22,413504.55,6.81
867313.91,14.29,1.23,413269.09,6.81
866992.25,14.29,1.23,413080.7,6.81
867768.8,14.3,1.24,413199.88,6.81
867345.19,14.3,1.24,412211.02,6.8
867921.59,14.31,1.25,412222.16,6.8
867212.32,14.3,1.24,411457.15,6.79
866503.05,14.3,1.23,410692.13,6.78
866609.45,14.3,1.24,410257.43,6.77
865900.18,14.29,1.23,409492.42,6.76
866171.0,14.3,1.23,409197.98,6.75
866474.97,14.3,1.24,408936.7,6.75
865955.7,14.3,1.23,408361.69,6.74
864910.55,14.3,1.23,408028.7,6.75
865160.39,14.3,1.24,408370.68,6.75
864641.13,14.3,1.23,407807.28,6.74
864103.55,14.29,1.23,407269.71,6.74
864103.55,14.29,1.23,407269.71,6.74
864737.99,14.3,1.24,407333.02,6.74
865023.65,14.31,1.25,407097.56,6.73
865828.05,14.32,1.26,407380.71,6.74
865982.33,14.33,1.26,408170.55,6.75
865982.33,14.33,1.26,408170.55,6.75
865463.06,14.32,1.26,407595.53,6.75
866121.43,14.33,1.27,407745.27,6.75
865602.16,14.33,1.26,407181.87,6.74
865887.82,14.33,1.27,406946.41,6.74
866173.48,14.34,1.28,406722.57,6.73
865635.9,14.33,1.27,406185.0,6.73
865921.57,14.34,1.28,405949.54,6.72
865921.57,14.34,1.28,405949.54,6.72
869278.24,14.4,1.33,408791.85,6.77
869533.82,14.4,1.34,409047.43,6.77
869837.79,14.41,1.34,408786.15,6.77
869318.53,14.4,1.34,408222.75,6.76
869289.26,14.4,1.34,408149.36,6.76
869267.29,14.4,1.34,408070.76,6.76
869552.95,14.41,1.35,407835.3,6.76
869033.69,14.4,1.34,407260.29,6.75
869304.5,14.41,1.35,406965.85,6.75
869608.47,14.42,1.35,406704.57,6.74
869349.21,14.42,1.35,406401.18,6.74
869983.65,14.43,1.36,406464.5,6.74
870180.73,14.43,1.37,406073.44,6.74
870335.0,14.44,1.37,406863.28,6.75
869607.43,14.43,1.36,406135.7,6.74
870789.91,14.45,1.38,406965.22,6.75
871075.57,14.46,1.39,406741.38,6.75
870920.18,14.45,1.39,406588.63,6.75
870753.91,14.45,1.39,406553.0,6.75
871039.57,14.46,1.4,406329.16,6.75
871325.23,14.47,1.4,406105.32,6.74
871629.2,14.48,1.41,405844.04,6.74
871914.86,14.48,1.42,405608.58,6.74
871205.6,14.47,1.41,404855.19,6.73
871491.26,14.48,1.42,404631.35,6.72
872125.7,14.49,1.43,404694.67,6.73
871398.12,14.48,1.42,403967.09,6.71
871239.39,14.48,1.42,403808.36,6.71
870949.39,14.48,1.41,403518.36,6.71
870328.71,14.47,1.4,402920.56,6.7
870169.98,14.47,1.4,402761.83,6.7
869460.71,14.46,1.39,401996.81,6.68
870037.11,14.47,1.41,402007.96,6.69
870322.77,14.48,1.41,401784.12,6.68
870477.04,14.48,1.42,402573.96,6.7
871111.48,14.49,1.43,402637.27,6.7
871769.85,14.51,1.44,402787.01,6.7
872055.51,14.51,1.45,402563.17,6.7
872055.51,14.51,1.45,402563.17,6.7
873495.44,14.54,1.48,403772.43,6.72
873781.1,14.55,1.48,403548.59,6.72
873759.14,14.55,1.48,403470.0,6.72
873239.87,14.54,1.48,402894.98,6.71
872720.6,14.53,1.47,402319.96,6.7
873355.05,14.55,1.48,402383.28,6.7
873355.05,14.55,1.48,402383.28,6.7
872309.89,14.55,1.48,402050.3,6.71
872464.16,14.55,1.49,402840.14,6.72
873040.56,14.57,1.5,402851.28,6.72
873040.56,14.57,1.5,402851.28,6.72
873698.92,14.58,1.51,403001.02,6.72
873161.35,14.57,1.51,402463.44,6.72
872452.08,14.56,1.5,401710.05,6.7
871932.81,14.55,1.49,401135.03,6.7
872218.47,14.56,1.5,400899.57,6.69
872196.51,14.56,1.5,400820.98,6.69
872772.9,14.57,1.51,400832.12,6.69
872968.48,14.58,1.51,401027.7,6.7
873602.92,14.59,1.53,401091.02,6.7
873888.58,14.6,1.53,400867.18,6.7
873888.58,14.6,1.53,400867.18,6.7
874523.03,14.61,1.55,400930.5,6.7
874808.69,14.62,1.55,400695.04,6.7
874289.42,14.61,1.55,400120.02,6.69
874575.08,14.62,1.55,399896.18,6.68
874860.74,14.62,1.56,399672.35,6.68
874341.48,14.62,1.55,399097.33,6.67
874999.84,14.63,1.57,399247.07,6.68
878356.52,14.69,1.62,402089.38,6.72
878484.55,14.69,1.62,402160.78,6.72
878638.82,14.69,1.63,402950.62,6.74
878924.48,14.7,1.64,402715.16,6.74
878405.22,14.69,1.63,402140.14,6.73
878690.88,14.7,1.64,401916.31,6.72
