ow_multigpu50-dr_0.0-tn_1.3-ts_42-if_1.0-ccmd_0f5d-policy_GpuClustering1000desharemddbc8-de_share-gs_best-scmd_dbc8-origin_milli,ow_multigpu50-dr_0.0-tn_1.3-ts_42-if_1.0-ccmd_0f5d-policy_GpuClustering1000desharemddbc8-de_share-gs_best-scmd_dbc8-origin_ratio,ow_multigpu50-dr_0.0-tn_1.3-ts_42-if_1.0-ccmd_0f5d-policy_GpuClustering1000desharemddbc8-de_share-gs_best-scmd_dbc8-origin_q124,ow_multigpu50-dr_0.0-tn_1.3-ts_42-if_1.0-ccmd_0f5d-policy_GpuClustering1000desharemddbc8-de_share-gs_best-scmd_dbc8-bellman_milli,ow_multigpu50-dr_0.0-tn_1.3-ts_42-if_1.0-ccmd_0f5d-policy_GpuClustering1000desharemddbc8-de_share-gs_best-scmd_dbc8-bellman_ratio
899902.11,14.83,2.57,826401.18,13.62
900105.48,14.84,2.57,826107.26,13.62
899914.42,14.84,2.57,825848.71,13.62
899532.81,14.83,2.57,825608.68,13.61
899308.54,14.83,2.57,825505.93,13.61
899117.48,14.83,2.56,825321.24,13.61
898373.23,14.82,2.56,824576.99,13.6
897638.27,14.82,2.55,823928.99,13.6
897414.0,14.82,2.55,823752.39,13.6
897222.94,14.82,2.55,823493.85,13.6
897187.48,14.82,2.55,823630.6,13.6
897185.23,14.82,2.55,823571.16,13.6
897149.76,14.82,2.56,823600.32,13.61
897149.76,14.82,2.56,823600.32,13.61
896925.49,14.82,2.55,823497.57,13.61
895908.07,14.82,2.56,822686.17,13.61
895717.01,14.82,2.56,822426.5,13.61
894986.35,14.81,2.55,821643.5,13.6
894762.07,14.81,2.55,821541.88,13.6
894571.02,14.81,2.54,821282.21,13.6
894568.77,14.81,2.55,821222.77,13.6
894344.49,14.81,2.55,821121.15,13.6
894561.82,14.82,2.55,821330.91,13.6
894180.22,14.81,2.55,821063.77,13.6
893199.03,14.81,2.55,820324.49,13.6
893007.98,14.81,2.55,820182.4,13.6
893145.66,14.82,2.55,820076.7,13.6
893362.99,14.82,2.56,820446.41,13.61
893360.74,14.82,2.56,820386.97,13.61
893136.47,14.82,2.56,820167.77,13.61
893609.17,14.83,2.57,820090.84,13.61
893812.54,14.84,2.57,819786.01,13.61
893621.49,14.84,2.57,819526.34,13.61
893397.21,14.84,2.57,819424.72,13.61
892981.88,14.83,2.57,819063.43,13.61
893102.09,14.84,2.57,818612.52,13.6
893298.13,14.84,2.58,818914.91,13.61
893298.13,14.84,2.58,818914.91,13.61
892882.8,14.84,2.58,818553.62,13.61
892584.06,14.84,2.57,818303.31,13.6
892393.0,14.84,2.57,818043.64,13.6
892168.73,14.84,2.57,817942.01,13.6
892168.73,14.84,2.57,817942.01,13.6
891977.67,14.83,2.57,817757.32,13.6
891596.07,14.83,2.56,817514.24,13.6
891371.79,14.83,2.56,817337.64,13.6
891073.05,14.82,2.56,817045.42,13.59
891073.05,14.82,2.56,817045.42,13.59
890881.99,14.82,2.56,816870.53,13.59
890657.72,14.82,2.56,816684.13,13.59
890130.43,14.82,2.55,815607.21,13.58
890130.43,14.82,2.55,815607.21,13.58
890268.11,14.82,2.56,815501.51,13.58
889977.8,14.82,2.55,815176.01,13.57
890195.13,14.82,2.56,815545.72,13.58
889813.52,14.82,2.55,815302.63,13.58
889622.46,14.82,2.55,815047.29,13.57
889620.22,14.82,2.55,814987.85,13.58
888972.71,14.81,2.55,814361.83,13.57
888972.71,14.81,2.55,814361.83,13.57
888748.44,14.81,2.54,814255.89,13.57
888748.44,14.81,2.54,814255.89,13.57
889161.91,14.82,2.55,814408.4,13.57
888970.85,14.82,2.55,814156.48,13.57
888935.39,14.82,2.55,814185.64,13.57
888711.11,14.82,2.55,814076.27,13.57
888914.48,14.82,2.56,813782.35,13.57
889131.44,14.83,2.56,813449.67,13.57
888400.78,14.82,2.55,812677.58,13.55
888398.53,14.82,2.55,812618.15,13.56
888363.06,14.82,2.56,812647.3,13.56
888613.61,14.83,2.56,812633.77,13.56
888422.56,14.83,2.56,812458.88,13.56
888200.44,14.82,2.56,812283.67,13.56
888200.44,14.82,2.56,812283.67,13.56
888304.91,14.83,2.56,812561.21,13.56
888080.63,14.82,2.56,812374.81,13.56
887699.03,14.82,2.55,812131.72,13.56
887696.78,14.82,2.56,812069.47,13.56
887505.72,14.82,2.56,811894.58,13.56
887206.98,14.82,2.55,811602.37,13.55
887400.25,14.82,2.55,811281.42,13.55
886669.58,14.81,2.55,810498.42,13.54
886370.84,14.81,2.54,810206.21,13.53
886335.38,14.81,2.54,810234.01,13.54
886335.38,14.81,2.54,810234.01,13.54
892711.22,14.91,2.65,817591.04,13.66
892486.95,14.91,2.65,817404.64,13.66
892486.95,14.91,2.65,817404.64,13.66
891469.52,14.92,2.65,816593.23,13.66
891658.95,14.92,2.66,816233.03,13.66
891467.9,14.92,2.66,815974.49,13.66
891605.58,14.92,2.66,815868.79,13.66
891381.31,14.92,2.66,815766.04,13.66
891598.64,14.93,2.66,816135.75,13.66
891598.64,14.93,2.66,816135.75,13.66
891217.03,14.92,2.66,815892.66,13.66
891025.98,14.92,2.66,815633.0,13.66
891745.17,14.93,2.67,815843.87,13.66
891520.9,14.93,2.67,815742.24,13.66
891520.9,14.93,2.67,815742.24,13.66
891329.84,14.93,2.67,815490.32,13.66
891031.1,14.93,2.66,815198.11,13.66
890286.85,14.92,2.65,814453.85,13.65
889980.36,14.92,2.65,814106.06,13.64
890528.98,14.93,2.66,814099.54,13.64
890304.71,14.92,2.66,813990.17,13.65
890442.39,14.93,2.66,813884.48,13.65
890251.34,14.93,2.66,813629.13,13.64
889534.61,14.92,2.65,812912.41,13.63
888998.69,14.91,2.65,812382.0,13.63
888774.42,14.91,2.65,812276.06,13.63
889247.13,14.92,2.66,812199.13,13.63
888435.05,14.92,2.65,810706.59,13.61
888243.99,14.92,2.65,810521.9,13.61
888019.72,14.92,2.65,810345.3,13.61
888124.18,14.92,2.65,810755.24,13.62
887825.44,14.91,2.65,810400.02,13.61
887634.38,14.91,2.65,810140.35,13.61
887884.93,14.92,2.65,810126.82,13.61
887660.66,14.92,2.65,810025.2,13.61
887864.03,14.92,2.66,809731.27,13.61
887482.42,14.92,2.65,809491.24,13.61
886747.46,14.92,2.65,808843.24,13.61
886556.41,14.92,2.65,808583.57,13.6
886556.41,14.92,2.65,808583.57,13.6
886782.07,14.92,2.66,808986.37,13.61
886782.07,14.92,2.66,808986.37,13.61
