ow_cpu050-dr_0.0-tn_1.3-ts_42-if_1.0-ccmd_4a4f-policy_FGDPredictor1000desharemd6126-de_share-gs_FGDPredictorScore-scmd_6126-origin_milli,ow_cpu050-dr_0.0-tn_1.3-ts_42-if_1.0-ccmd_4a4f-policy_FGDPredictor1000desharemd6126-de_share-gs_FGDPredictorScore-scmd_6126-origin_ratio,ow_cpu050-dr_0.0-tn_1.3-ts_42-if_1.0-ccmd_4a4f-policy_FGDPredictor1000desharemd6126-de_share-gs_FGDPredictorScore-scmd_6126-origin_q124,ow_cpu050-dr_0.0-tn_1.3-ts_42-if_1.0-ccmd_4a4f-policy_FGDPredictor1000desharemd6126-de_share-gs_FGDPredictorScore-scmd_6126-bellman_milli,ow_cpu050-dr_0.0-tn_1.3-ts_42-if_1.0-ccmd_4a4f-policy_FGDPredictor1000desharemd6126-de_share-gs_FGDPredictorScore-scmd_6126-bellman_ratio
334956.48,5.48,0.31,166971.62,2.73
335335.17,5.48,0.31,166978.7,2.73
335283.44,5.48,0.31,166973.34,2.73
335231.72,5.48,0.31,166971.95,2.73
334871.3,5.48,0.31,167940.34,2.75
334819.58,5.48,0.31,167940.34,2.75
334819.58,5.48,0.31,167940.34,2.75
334970.26,5.48,0.31,167580.98,2.74
334918.53,5.48,0.31,167580.98,2.74
335249.99,5.49,0.32,167794.27,2.75
335652.42,5.49,0.32,167377.03,2.74
335600.7,5.5,0.32,167403.49,2.74
335548.97,5.5,0.32,167400.94,2.74
335497.25,5.5,0.32,167411.14,2.74
335634.07,5.5,0.33,167409.31,2.74
335594.22,5.5,0.33,167725.07,2.75
335530.63,5.5,0.33,167565.58,2.75
335530.63,5.5,0.33,167565.58,2.75
335667.45,5.5,0.33,167565.58,2.75
335615.73,5.5,0.33,167565.58,2.75
335564.0,5.5,0.33,167565.58,2.75
335700.83,5.5,0.33,167575.68,2.75
335649.11,5.5,0.33,167612.33,2.75
335597.38,5.5,0.33,167598.54,2.75
335593.57,5.51,0.33,168158.44,2.76
335493.93,5.5,0.33,167942.68,2.76
335442.21,5.5,0.33,167942.68,2.76
335435.85,5.51,0.33,167435.01,2.75
335384.13,5.51,0.33,167435.01,2.75
335451.84,5.51,0.33,167421.51,2.75
335451.84,5.51,0.33,167421.51,2.75
335822.56,5.51,0.34,167421.51,2.75
336208.13,5.52,0.35,166279.26,2.73
336156.41,5.52,0.35,166405.99,2.73
336105.39,5.52,0.35,165876.77,2.72
335957.14,5.52,0.35,166758.55,2.74
335594.7,5.51,0.34,166807.07,2.74
335594.7,5.51,0.34,166807.07,2.74
335731.52,5.52,0.34,166710.02,2.74
335725.17,5.52,0.35,166300.05,2.73
336021.31,5.52,0.35,167369.27,2.75
335824.92,5.52,0.35,167100.31,2.75
336081.17,5.52,0.35,167886.6,2.76
335753.67,5.52,0.35,167508.79,2.75
335890.5,5.52,0.35,167508.79,2.75
336261.22,5.53,0.36,167508.79,2.75
336398.04,5.53,0.36,167508.79,2.75
336534.87,5.54,0.36,167509.63,2.76
336483.14,5.54,0.36,167509.58,2.76
336431.42,5.54,0.36,167508.79,2.76
336068.98,5.53,0.36,168126.5,2.77
336029.13,5.53,0.36,167758.67,2.76
336029.13,5.53,0.36,167758.67,2.76
335965.53,5.53,0.36,168137.54,2.77
336102.36,5.53,0.36,168137.54,2.77
336239.18,5.54,0.36,168137.54,2.77
336211.62,5.54,0.36,167577.4,2.76
336115.55,5.54,0.36,167551.89,2.76
336115.55,5.54,0.36,167551.89,2.76
336252.38,5.54,0.37,167551.92,2.76
336200.65,5.54,0.37,167551.89,2.76
336337.48,5.54,0.37,167551.89,2.76
336285.76,5.54,0.37,168161.67,2.77
336422.58,5.54,0.37,168465.55,2.78
336370.86,5.54,0.37,168445.51,2.78
336643.26,5.55,0.38,168445.51,2.78
336780.09,5.55,0.38,168445.51,2.78
336728.37,5.55,0.38,168445.51,2.78
336676.64,5.55,0.38,168463.19,2.78
336624.92,5.55,0.38,168447.19,2.78
336761.74,5.56,0.38,168445.51,2.78
336710.02,5.56,0.38,168445.51,2.78
336846.85,5.56,0.39,169336.47,2.79
336795.12,5.56,0.39,169333.23,2.8
337067.53,5.56,0.39,169529.4,2.8
337438.25,5.57,0.4,169529.4,2.8
337386.52,5.57,0.4,169529.4,2.8
337334.8,5.57,0.4,169545.08,2.8
337283.07,5.57,0.4,169552.14,2.8
337419.9,5.57,0.4,169532.75,2.8
337556.73,5.58,0.4,169532.66,2.8
337693.55,5.58,0.41,170388.43,2.82
337641.83,5.58,0.41,170500.79,2.82
337590.1,5.58,0.41,170500.79,2.82
337227.66,5.57,0.4,170130.73,2.81
337175.94,5.57,0.4,170130.73,2.81
337124.21,5.57,0.4,170180.91,2.81
337072.49,5.57,0.4,170186.44,2.81
337020.76,5.57,0.4,170174.09,2.81
336969.04,5.57,0.4,170170.85,2.82
337339.76,5.58,0.41,170456.02,2.82
337339.76,5.58,0.41,170456.02,2.82
337160.81,5.58,0.41,170291.91,2.82
337433.21,5.58,0.41,170291.91,2.82
337139.08,5.58,0.41,169965.33,2.81
337111.1,5.58,0.41,170489.74,2.82
337111.1,5.58,0.41,170489.74,2.82
336758.66,5.57,0.4,170164.72,2.82
336706.93,5.57,0.4,170164.72,2.82
336655.21,5.57,0.4,170164.72,2.82
336603.49,5.57,0.4,170231.42,2.82
336551.76,5.57,0.4,170206.56,2.82
336524.2,5.58,0.4,169707.0,2.81
336613.12,5.58,0.4,169827.32,2.81
336585.14,5.58,0.41,169845.92,2.81
336710.09,5.58,0.41,170402.46,2.82
336650.06,5.58,0.41,170291.06,2.82
337020.78,5.59,0.41,170291.06,2.82
336982.9,5.59,0.41,169726.57,2.81
336620.46,5.58,0.41,169726.57,2.81
336459.07,5.58,0.41,169475.45,2.81
336731.48,5.59,0.41,169494.84,2.81
336679.75,5.59,0.41,169487.94,2.81
336816.58,5.59,0.42,169475.45,2.81
336764.85,5.59,0.42,169475.45,2.81
336736.87,5.59,0.42,170532.29,2.83
336578.32,5.59,0.41,170379.03,2.83
336526.6,5.59,0.41,170379.03,2.83
336663.42,5.59,0.42,170379.03,2.83
336472.03,5.59,0.41,170199.5,2.83
336175.78,5.58,0.41,169917.74,2.82
336124.06,5.58,0.41,169917.74,2.82
336510.38,5.59,0.42,169271.74,2.81
336418.89,5.59,0.42,169891.53,2.82
336555.71,5.59,0.42,169892.42,2.82
336692.54,5.59,0.42,169891.53,2.82
337063.26,5.6,0.43,170344.29,2.83
337011.53,5.6,0.43,170362.99,2.83
336959.81,5.6,0.43,170711.4,2.84
336908.08,5.6,0.43,170691.08,2.84
336856.36,5.6,0.43,170598.3,2.84
336804.64,5.6,0.43,170489.98,2.84
336752.91,5.6,0.43,170485.2,2.84
336701.19,5.6,0.43,170481.95,2.84
336338.75,5.6,0.42,170289.9,2.83
336287.02,5.6,0.42,170180.04,2.83
336287.02,5.6,0.42,170180.04,2.83
336559.43,5.6,0.43,170180.04,2.83
336507.7,5.6,0.43,170180.04,2.83
336455.98,5.6,0.43,170180.04,2.83
336818.13,5.61,0.44,170197.67,2.83
336954.96,5.61,0.44,170180.04,2.83
336903.23,5.61,0.44,170180.04,2.83
336851.51,5.61,0.44,170207.6,2.84
336799.79,5.61,0.44,171137.46,2.85
336748.06,5.61,0.44,171137.46,2.85
336696.34,5.61,0.44,171137.46,2.85
336556.34,5.61,0.44,170997.46,2.85
336504.61,5.61,0.44,171055.28,2.85
336452.89,5.61,0.44,171061.12,2.85
336401.17,5.61,0.44,171000.88,2.85
336349.44,5.61,0.44,171317.7,2.86
336297.72,5.61,0.44,171314.46,2.86
336668.44,5.62,0.44,171599.63,2.86
336664.62,5.62,0.44,171513.17,2.86
336564.99,5.62,0.44,171279.38,2.86
336358.09,5.62,0.44,171282.44,2.86
336306.37,5.62,0.44,171281.82,2.86
336631.73,5.62,0.45,171279.38,2.86
336580.01,5.62,0.45,171704.23,2.87
336421.46,5.62,0.45,171545.68,2.87
336127.33,5.62,0.44,171269.65,2.86
335968.78,5.61,0.44,171111.1,2.86
335917.05,5.61,0.44,171047.81,2.86
335865.33,5.61,0.44,171047.81,2.86
335703.94,5.61,0.44,170362.14,2.85
335542.55,5.61,0.44,170048.89,2.84
335180.1,5.6,0.43,169713.86,2.84
335452.51,5.61,0.44,169713.86,2.84
335400.79,5.61,0.44,169730.23,2.84
335771.51,5.62,0.44,169722.67,2.84
335719.78,5.62,0.44,169722.44,2.84
335668.06,5.62,0.44,170677.42,2.86
335616.33,5.62,0.44,170677.42,2.86
335564.61,5.62,0.44,170677.42,2.86
335512.88,5.62,0.44,170677.42,2.86
335473.03,5.62,0.44,170368.53,2.85
335409.44,5.62,0.44,170389.59,2.85
335113.19,5.61,0.44,170104.01,2.85
335061.47,5.61,0.44,170155.95,2.85
335198.3,5.61,0.44,170118.88,2.85
335335.12,5.62,0.45,170108.44,2.85
334976.24,5.61,0.44,169825.7,2.85
335113.07,5.62,0.44,169821.27,2.85
335483.78,5.62,0.45,170822.76,2.86
335219.09,5.62,0.45,170522.13,2.86
335355.91,5.62,0.45,170644.75,2.86
335304.19,5.62,0.45,170595.2,2.86
335629.55,5.63,0.45,170595.2,2.86
335577.83,5.63,0.45,170595.2,2.86
335526.1,5.63,0.45,170597.04,2.86
335662.93,5.63,0.46,170595.2,2.86
335611.21,5.63,0.46,170595.2,2.86
335559.48,5.63,0.46,170595.2,2.86
335831.89,5.64,0.46,171508.28,2.88
335780.16,5.64,0.46,171465.86,2.88
335728.44,5.64,0.46,171400.86,2.88
335865.27,5.64,0.47,171531.48,2.88
335512.82,5.63,0.46,171140.86,2.87
335785.23,5.64,0.47,171204.76,2.87
335733.51,5.64,0.47,171353.05,2.88
335681.78,5.64,0.47,171349.81,2.88
335630.06,5.64,0.47,171239.95,2.88
335580.06,5.64,0.47,171189.95,2.88
335528.33,5.64,0.47,171189.95,2.88
335899.05,5.64,0.47,171189.95,2.88
335536.61,5.64,0.47,171189.95,2.88
335809.02,5.64,0.47,171251.61,2.88
335757.29,5.64,0.47,171198.25,2.88
336128.01,5.65,0.48,171194.98,2.88
336400.42,5.66,0.48,172169.55,2.89
336396.6,5.66,0.48,172260.88,2.9
336374.5,5.66,0.49,172389.52,2.9
336511.32,5.66,0.49,172389.52,2.9
336459.6,5.66,0.49,172389.52,2.9
336407.88,5.66,0.49,172389.65,2.9
336356.15,5.66,0.49,172389.53,2.9
336492.98,5.66,0.49,172389.52,2.9
336492.98,5.66,0.49,172443.04,2.9
336441.25,5.66,0.49,172800.06,2.91
336811.97,5.67,0.5,172938.94,2.91
336760.25,5.67,0.5,173121.29,2.92
336708.52,5.67,0.5,173121.29,2.92
336414.39,5.67,0.49,172754.72,2.91
336362.67,5.67,0.49,172754.72,2.91
336310.94,5.67,0.49,172755.77,2.91
336636.31,5.67,0.5,172754.72,2.91
336584.58,5.67,0.5,172754.72,2.91
336532.86,5.67,0.5,173085.38,2.92
336481.14,5.67,0.5,173159.33,2.92
336753.54,5.68,0.51,173424.93,2.92
336701.82,5.68,0.51,173421.69,2.92
336650.09,5.68,0.51,173311.83,2.92
336598.37,5.68,0.51,173311.83,2.92
336546.65,5.68,0.51,173311.83,2.92
336494.92,5.68,0.51,173311.83,2.92
336494.92,5.68,0.51,173346.22,2.93
336132.48,5.67,0.5,173106.09,2.92
336503.2,5.68,0.51,173106.09,2.92
336640.02,5.68,0.51,173106.09,2.92
336588.3,5.68,0.51,173106.09,2.92
336536.58,5.68,0.51,173614.24,2.93
336484.85,5.68,0.51,173642.73,2.93
336635.53,5.69,0.51,173283.36,2.93
336273.09,5.68,0.51,172994.29,2.92
336300.24,5.68,0.51,172911.22,2.92
336437.07,5.68,0.51,172911.22,2.92
336573.9,5.69,0.52,172911.22,2.92
336522.17,5.69,0.52,172911.22,2.92
336470.45,5.69,0.52,172914.18,2.92
336607.27,5.69,0.52,172912.89,2.92
336744.1,5.69,0.52,172911.57,2.92
336880.93,5.7,0.52,172911.22,2.92
336597.05,5.69,0.52,172669.13,2.92
336975.74,5.7,0.53,174043.18,2.94
336615.32,5.69,0.52,173628.59,2.94
336201.53,5.69,0.52,173628.59,2.94
336563.68,5.7,0.53,173515.49,2.94
336511.96,5.7,0.53,173938.74,2.95
336662.64,5.7,0.53,173579.38,2.94
336610.91,5.7,0.53,173579.38,2.94
336412.45,5.7,0.53,173394.44,2.94
336743.91,5.71,0.54,173607.73,2.94
337114.63,5.71,0.54,173607.73,2.94
337251.45,5.72,0.55,174116.26,2.95
337199.73,5.72,0.55,174144.37,2.95
336837.29,5.71,0.54,173855.5,2.95
336785.56,5.71,0.54,173874.45,2.95
336733.84,5.71,0.54,173742.4,2.95
336682.11,5.71,0.54,173712.91,2.95
336630.39,5.71,0.54,173629.3,2.95
336578.66,5.71,0.54,173516.2,2.94
336715.49,5.72,0.54,173702.37,2.95
336852.32,5.72,0.55,173824.66,2.95
337223.03,5.73,0.55,174125.36,2.96
337171.31,5.73,0.55,174125.36,2.96
337171.31,5.73,0.55,174125.36,2.96
337119.59,5.73,0.55,174125.36,2.96
336705.79,5.73,0.55,174125.36,2.96
336654.07,5.73,0.55,174125.36,2.96
336291.63,5.72,0.55,173836.28,2.96
336239.9,5.72,0.55,173836.28,2.96
336376.73,5.72,0.55,173836.28,2.96
336325.0,5.72,0.55,173836.28,2.96
336695.72,5.73,0.56,174344.81,2.97
336644.0,5.73,0.56,174378.46,2.97
336592.27,5.73,0.56,174265.35,2.97
336540.55,5.73,0.56,174265.35,2.97
336488.83,5.73,0.56,174265.35,2.97
336126.38,5.73,0.55,173970.55,2.96
336074.66,5.73,0.55,173970.55,2.96
336400.02,5.73,0.56,173970.81,2.96
336348.3,5.73,0.56,173970.55,2.96
336296.58,5.73,0.56,173970.55,2.97
336433.4,5.74,0.56,173970.55,2.97
336381.68,5.74,0.56,174557.56,2.98
336329.95,5.74,0.56,174491.35,2.98
336700.67,5.74,0.57,174491.35,2.98
336648.95,5.74,0.57,174491.35,2.98
336235.15,5.74,0.57,174491.35,2.98
336183.43,5.74,0.57,174636.45,2.98
335885.74,5.74,0.57,174333.46,2.98
335834.01,5.74,0.57,174214.56,2.98
336106.42,5.74,0.57,174197.09,2.98
336106.42,5.74,0.57,174161.43,2.98
336078.44,5.74,0.57,175560.24,3.0
336229.11,5.75,0.58,175200.88,2.99
336559.15,5.75,0.58,175402.38,3.0
336127.75,5.75,0.57,174982.85,2.99
335967.81,5.74,0.57,174716.61,2.99
335916.09,5.75,0.57,174713.37,2.99
335864.37,5.75,0.57,174603.51,2.99
335864.37,5.75,0.57,174603.51,2.99
335611.4,5.74,0.57,173778.97,2.97
335559.67,5.74,0.57,173778.97,2.97
335507.95,5.74,0.57,173783.68,2.97
335456.23,5.74,0.57,173783.21,2.97
335404.5,5.74,0.57,173779.85,2.98
335352.78,5.74,0.57,174080.95,2.98
335747.24,5.75,0.58,174343.51,2.99
335747.24,5.75,0.58,174380.82,2.99
335695.51,5.75,0.58,174380.82,2.99
335408.42,5.74,0.57,174116.4,2.98
335779.14,5.75,0.58,174116.4,2.98
335404.55,5.75,0.57,173914.88,2.98
335352.83,5.75,0.57,173924.4,2.98
335352.83,5.75,0.57,173924.4,2.98
335352.83,5.75,0.57,173924.4,2.98
335301.1,5.75,0.57,173917.44,2.98
335249.38,5.75,0.57,173914.88,2.98
335197.65,5.75,0.57,173849.88,2.98
335145.93,5.75,0.57,173801.78,2.98
335117.95,5.75,0.57,174567.46,2.99
335066.22,5.75,0.57,174567.46,2.99
335002.63,5.75,0.57,174042.28,2.99
335002.63,5.75,0.57,174042.28,2.99
335316.12,5.75,0.58,174845.68,3.0
335264.4,5.75,0.58,174845.68,3.0
334970.27,5.75,0.58,174535.34,3.0
334918.54,5.75,0.58,174535.34,3.0
335043.5,5.75,0.58,174370.89,2.99
335008.96,5.75,0.58,174375.59,2.99
334957.24,5.75,0.58,174517.89,3.0
334905.51,5.75,0.58,174538.86,3.0
334905.51,5.75,0.58,174566.28,3.0
334905.51,5.75,0.58,174566.28,3.0
334877.53,5.75,0.58,174663.8,3.0
334871.17,5.75,0.58,174490.91,3.0
334750.34,5.75,0.58,174403.01,3.0
334556.21,5.75,0.58,174207.72,2.99
334693.04,5.75,0.58,174207.72,2.99
335063.75,5.76,0.59,174207.72,2.99
335200.58,5.76,0.59,174207.72,2.99
335148.86,5.76,0.59,175017.93,3.01
335148.86,5.76,0.59,175017.93,3.01
335097.13,5.76,0.59,175017.93,3.01
335045.41,5.76,0.59,175017.93,3.01
334725.41,5.76,0.59,174697.93,3.0
334335.35,5.75,0.58,174341.99,3.0
334136.89,5.75,0.58,174179.64,3.0
334462.26,5.75,0.58,174181.76,3.0
334599.08,5.76,0.59,174179.86,3.0
334547.36,5.76,0.59,174179.64,3.0
334684.18,5.76,0.59,174179.64,3.0
334321.74,5.75,0.58,173783.31,2.99
334692.46,5.76,0.59,174793.15,3.01
334330.02,5.76,0.58,174418.6,3.0
334278.29,5.76,0.58,174532.89,3.01
334415.12,5.76,0.59,174532.89,3.01
334081.24,5.75,0.58,174189.63,3.0
334029.52,5.75,0.58,174189.63,3.0
333835.39,5.75,0.58,173980.78,3.0
333783.66,5.75,0.58,174268.76,3.0
334056.07,5.76,0.58,174452.94,3.01
333898.97,5.75,0.58,174295.84,3.0
334269.69,5.76,0.59,174295.84,3.0
334217.96,5.76,0.59,174295.84,3.0
334166.24,5.76,0.59,174295.84,3.0
334528.39,5.77,0.6,174299.79,3.01
334665.22,5.77,0.6,174296.83,3.01
334613.49,5.77,0.6,174295.84,3.01
334573.64,5.77,0.6,175357.8,3.02
334539.11,5.77,0.6,175379.6,3.03
334487.38,5.77,0.6,175379.6,3.03
334858.1,5.78,0.61,175379.6,3.03
334858.1,5.78,0.61,175379.6,3.03
334495.66,5.77,0.6,175379.6,3.03
334768.07,5.78,0.61,175403.38,3.03
334609.52,5.78,0.6,175241.04,3.02
334557.79,5.78,0.6,175251.72,3.03
334506.07,5.78,0.6,175284.45,3.03
334642.89,5.78,0.61,175407.06,3.03
334591.17,5.78,0.61,175357.52,3.03
334961.89,5.79,0.61,175357.52,3.03
334910.16,5.79,0.61,175357.52,3.03
334858.44,5.79,0.61,175373.55,3.03
334506.0,5.78,0.61,174967.31,3.02
334129.07,5.77,0.6,174543.78,3.02
334077.35,5.77,0.6,174531.99,3.02
333790.26,5.77,0.6,174288.56,3.01
333738.54,5.77,0.6,174285.11,3.01
333411.71,5.76,0.59,175663.13,3.04
333383.73,5.77,0.59,176470.96,3.05
333320.13,5.77,0.59,175979.79,3.04
333445.08,5.77,0.6,176131.84,3.05
333393.36,5.77,0.6,176128.6,3.05
333341.64,5.77,0.6,176018.74,3.05
333712.35,5.78,0.6,176147.91,3.05
333660.63,5.78,0.6,176347.14,3.05
333608.91,5.78,0.6,176343.89,3.05
333557.18,5.78,0.6,176234.03,3.05
333505.46,5.78,0.6,176213.72,3.05
333453.73,5.78,0.6,176120.93,3.05
333039.94,5.78,0.6,176120.93,3.05
333176.77,5.78,0.61,176120.93,3.06
333125.04,5.78,0.61,176120.93,3.06
333073.32,5.78,0.61,176120.93,3.06
333021.59,5.78,0.61,176259.05,3.06
332969.87,5.78,0.61,176165.11,3.06
333355.44,5.79,0.62,175318.35,3.04
333198.34,5.78,0.61,175161.93,3.04
333146.61,5.79,0.61,175048.83,3.04
333130.5,5.79,0.61,175154.84,3.04
332923.61,5.79,0.61,175157.9,3.04
332871.88,5.79,0.61,175157.9,3.04
333144.29,5.79,0.62,175221.8,3.05
332781.85,5.79,0.61,174840.3,3.04
332593.31,5.78,0.61,174719.13,3.04
332541.58,5.78,0.61,174867.42,3.04
332489.86,5.78,0.61,174866.14,3.04
332489.86,5.78,0.61,174866.14,3.04
332438.14,5.78,0.61,174866.07,3.04
332386.41,5.78,0.61,175015.83,3.05
332386.41,5.78,0.61,175015.83,3.05
332334.69,5.78,0.61,174864.36,3.04
332485.36,5.79,0.61,174554.02,3.04
332358.33,5.79,0.61,174992.33,3.05
332330.35,5.79,0.61,175004.48,3.05
332034.11,5.78,0.61,174701.49,3.04
331982.39,5.78,0.61,174672.0,3.04
331930.66,5.78,0.61,174588.39,3.04
331878.94,5.78,0.61,174585.15,3.04
331584.81,5.78,0.6,174330.68,3.04
331482.06,5.78,0.6,174221.9,3.04
331430.33,5.78,0.6,174112.04,3.03
331378.61,5.78,0.6,174112.04,3.03
331749.33,5.78,0.61,174112.04,3.03
331749.33,5.78,0.61,174112.05,3.03
331697.6,5.78,0.61,174121.28,3.04
332047.13,5.79,0.62,174798.73,3.05
331951.67,5.79,0.62,174622.9,3.04
331796.02,5.79,0.61,174464.12,3.04
331433.58,5.78,0.61,174456.53,3.04
331139.45,5.78,0.6,174198.5,3.04
331510.17,5.78,0.61,175087.54,3.05
331458.44,5.78,0.61,174974.44,3.05
331766.46,5.79,0.62,175233.94,3.06
331714.74,5.79,0.62,175233.94,3.06
332100.31,5.8,0.62,174551.17,3.05
332372.71,5.8,0.63,174615.06,3.05
332372.71,5.8,0.63,174605.94,3.05
332320.99,5.8,0.63,174754.23,3.05
332269.27,5.8,0.63,174750.99,3.05
332217.54,5.8,0.63,174641.13,3.05
332179.67,5.8,0.63,175176.35,3.06
332401.19,5.81,0.63,175250.52,3.06
332349.46,5.81,0.63,175137.41,3.06
332297.74,5.81,0.63,175137.41,3.06
332246.01,5.81,0.63,175137.41,3.06
332396.69,5.81,0.64,174778.05,3.06
