ow_gpushare40-dr_0.0-tn_1.3-ts_42-if_1.0-ccmd_3d6d-policy_DotProd1000demergemdac62-de_merge-gs_best-scmd_ac62-origin_milli,ow_gpushare40-dr_0.0-tn_1.3-ts_42-if_1.0-ccmd_3d6d-policy_DotProd1000demergemdac62-de_merge-gs_best-scmd_ac62-origin_ratio,ow_gpushare40-dr_0.0-tn_1.3-ts_42-if_1.0-ccmd_3d6d-policy_DotProd1000demergemdac62-de_merge-gs_best-scmd_ac62-origin_q124,ow_gpushare40-dr_0.0-tn_1.3-ts_42-if_1.0-ccmd_3d6d-policy_DotProd1000demergemdac62-de_merge-gs_best-scmd_ac62-bellman_milli,ow_gpushare40-dr_0.0-tn_1.3-ts_42-if_1.0-ccmd_3d6d-policy_DotProd1000demergemdac62-de_merge-gs_best-scmd_ac62-bellman_ratio
910288.78,14.85,1.25,199447.95,3.25
910418.09,14.85,1.26,199489.93,3.25
911250.94,14.87,1.27,199809.81,3.26
910788.18,14.86,1.27,199273.92,3.25
910135.42,14.85,1.26,198562.1,3.24
910122.35,14.86,1.26,198399.85,3.24
909658.72,14.85,1.25,197890.42,3.23
909195.96,14.84,1.25,197354.52,3.22
909858.12,14.86,1.26,197416.39,3.22
909395.36,14.85,1.26,196880.5,3.22
908716.59,14.84,1.25,196201.73,3.2
909007.05,14.85,1.25,195891.89,3.2
910669.21,14.88,1.28,196953.76,3.22
911863.5,14.9,1.3,197800.02,3.23
912204.43,14.9,1.31,197540.66,3.23
912519.35,14.91,1.32,197328.42,3.22
912860.28,14.92,1.32,197069.06,3.22
913503.86,14.93,1.34,197231.55,3.22
913582.44,14.93,1.34,197190.93,3.22
914330.73,14.95,1.35,197853.04,3.23
914671.66,14.95,1.36,197593.67,3.23
914986.58,14.96,1.37,197381.44,3.23
915430.45,14.97,1.37,197311.19,3.23
915460.32,14.97,1.38,197128.26,3.22
915775.24,14.98,1.38,196901.95,3.22
916090.16,14.99,1.39,196675.63,3.22
916733.75,15.0,1.4,196838.13,3.22
916812.32,15.0,1.4,196797.5,3.22
917736.23,15.02,1.42,197530.86,3.23
917991.67,15.02,1.42,198358.96,3.25
921192.39,15.07,1.48,200649.83,3.28
921533.32,15.08,1.48,200390.46,3.28
922195.48,15.09,1.5,200452.33,3.28
923028.34,15.11,1.51,200772.22,3.29
923861.19,15.12,1.53,201092.11,3.29
925427.82,15.15,1.55,203465.54,3.33
924965.06,15.14,1.55,202943.73,3.32
924526.76,15.14,1.54,202505.43,3.32
924782.2,15.14,1.55,203333.53,3.33
925116.73,15.15,1.55,203555.38,3.33
925156.04,15.15,1.55,203507.36,3.33
924068.36,15.15,1.56,203507.36,3.34
924107.67,15.15,1.56,203459.35,3.34
923618.9,15.15,1.55,202970.58,3.33
923933.82,15.16,1.56,202744.26,3.33
924595.98,15.17,1.57,202806.13,3.33
924133.22,15.16,1.57,202270.23,3.32
923454.45,15.15,1.56,201591.47,3.31
923709.89,15.16,1.56,202419.56,3.32
923507.13,15.16,1.56,202143.67,3.32
924339.98,15.17,1.58,202463.55,3.32
924654.9,15.18,1.58,202237.24,3.32
925317.06,15.19,1.6,202299.11,3.32
925607.52,15.2,1.6,201989.28,3.32
925485.4,15.2,1.6,201614.88,3.31
