ow_gpushare100-dr_0.0-tn_1.3-ts_42-if_1.0-ccmd_53d2-policy_DotProd1000demergemdac62-de_merge-gs_best-scmd_ac62-origin_milli,ow_gpushare100-dr_0.0-tn_1.3-ts_42-if_1.0-ccmd_53d2-policy_DotProd1000demergemdac62-de_merge-gs_best-scmd_ac62-origin_ratio,ow_gpushare100-dr_0.0-tn_1.3-ts_42-if_1.0-ccmd_53d2-policy_DotProd1000demergemdac62-de_merge-gs_best-scmd_ac62-origin_q124,ow_gpushare100-dr_0.0-tn_1.3-ts_42-if_1.0-ccmd_53d2-policy_DotProd1000demergemdac62-de_merge-gs_best-scmd_ac62-bellman_milli,ow_gpushare100-dr_0.0-tn_1.3-ts_42-if_1.0-ccmd_53d2-policy_DotProd1000demergemdac62-de_merge-gs_best-scmd_ac62-bellman_ratio
901626.17,14.66,1.1,235282.79,3.83
901677.7,14.66,1.1,235396.7,3.83
901891.96,14.67,1.1,236810.22,3.85
901957.72,14.67,1.1,236629.69,3.85
901896.34,14.67,1.1,236773.37,3.85
901947.87,14.67,1.11,236830.97,3.85
901683.64,14.67,1.11,236320.44,3.85
902621.46,14.69,1.12,236124.31,3.84
903334.37,14.7,1.13,236423.09,3.85
904091.02,14.71,1.15,236904.65,3.86
904533.45,14.72,1.16,236727.3,3.85
905091.98,14.73,1.17,236825.08,3.85
906820.66,14.76,1.19,237893.33,3.87
907876.67,14.78,1.21,238684.3,3.89
908589.58,14.79,1.22,238983.08,3.89
908299.72,14.79,1.22,238493.55,3.88
908195.49,14.79,1.22,238143.02,3.88
908247.02,14.79,1.22,238256.93,3.88
908356.93,14.79,1.23,238272.38,3.88
908356.93,14.79,1.23,238000.11,3.88
908587.79,14.8,1.23,238141.59,3.88
909300.7,14.81,1.25,238440.37,3.88
908827.03,14.81,1.24,238020.51,3.88
908827.03,14.81,1.24,237670.99,3.87
909539.94,14.82,1.25,237969.77,3.88
910013.86,14.83,1.26,237952.47,3.88
909749.63,14.82,1.26,237441.94,3.87
910214.38,14.83,1.27,237737.49,3.87
912326.4,14.87,1.3,241276.14,3.93
912326.4,14.87,1.3,242087.06,3.95
915783.75,14.92,1.36,244456.51,3.98
915835.28,14.93,1.36,244570.42,3.99
915886.81,14.93,1.36,244628.02,3.99
916599.72,14.94,1.38,244926.8,3.99
917073.64,14.95,1.38,244909.49,3.99
917073.64,14.95,1.38,244637.22,3.99
917125.17,14.95,1.39,244751.13,3.99
917589.92,14.96,1.4,245046.68,4.0
918860.22,14.98,1.42,246312.27,4.02
919418.75,14.99,1.43,246410.05,4.02
919128.89,14.99,1.42,245920.52,4.01
919180.42,14.99,1.43,245978.12,4.01
919581.86,15.0,1.44,246036.28,4.01
919444.52,15.0,1.44,245503.56,4.01
920157.43,15.01,1.45,245802.33,4.01
920544.67,15.02,1.46,245872.42,4.01
921018.59,15.03,1.46,245855.12,4.01
920861.4,15.03,1.46,245697.92,4.01
920861.4,15.03,1.46,246508.84,4.02
920597.17,15.03,1.46,245998.31,4.02
920332.93,15.02,1.46,245487.78,4.01
921045.84,15.04,1.47,245786.56,4.01
921111.61,15.04,1.47,245606.03,4.01
922035.43,15.05,1.49,247299.59,4.04
921748.91,15.05,1.48,247127.64,4.04
921974.67,15.05,1.49,247107.11,4.03
922439.42,15.06,1.5,247402.66,4.04
922490.95,15.07,1.5,247516.57,4.04
922542.48,15.07,1.5,247574.17,4.04
923787.61,15.09,1.52,247949.31,4.05
924020.41,15.1,1.53,247366.43,4.04
923890.67,15.1,1.53,247395.15,4.04
923942.2,15.1,1.53,247509.06,4.04
924102.52,15.1,1.54,247534.81,4.05
923838.29,15.1,1.53,247024.28,4.04
924551.2,15.11,1.55,247323.06,4.04
924286.96,15.11,1.54,246812.53,4.04
924050.98,15.11,1.54,246737.2,4.03
924763.89,15.12,1.55,247035.98,4.04
925177.11,15.13,1.56,247976.84,4.05
925069.92,15.13,1.56,247888.77,4.05
928527.27,15.18,1.62,251069.14,4.11
928263.03,15.18,1.62,250558.61,4.1
928314.56,15.18,1.62,250672.52,4.1
928366.09,15.19,1.62,250730.12,4.1
928591.86,15.19,1.63,250709.59,4.1
932049.21,15.25,1.68,253889.96,4.15
932762.12,15.26,1.69,254188.73,4.16
933475.03,15.27,1.71,254487.51,4.16
933883.18,15.28,1.72,254418.77,4.16
934596.08,15.29,1.73,254717.55,4.17
934331.85,15.29,1.73,254207.02,4.16
934067.62,15.29,1.72,253696.49,4.15
934780.52,15.3,1.74,253995.27,4.16
934768.6,15.3,1.74,253685.21,4.15
935170.04,15.31,1.74,253743.37,4.15
935707.28,15.32,1.75,253963.46,4.16
939164.63,15.38,1.81,257143.82,4.21
939163.31,15.38,1.81,257258.2,4.21
940219.33,15.4,1.83,258049.17,4.23
940932.23,15.41,1.84,258347.95,4.23
941333.67,15.42,1.85,258406.11,4.23
941892.2,15.43,1.86,258503.89,4.23
942605.11,15.44,1.87,258802.67,4.24
942992.35,15.45,1.88,258872.75,4.24
943705.26,15.46,1.89,259171.53,4.25
944179.18,15.47,1.9,259154.23,4.25
944643.93,15.48,1.91,259449.78,4.25
944354.07,15.48,1.91,258960.25,4.24
944669.84,15.48,1.91,259029.72,4.24
944835.74,15.49,1.92,258972.61,4.24
945061.51,15.49,1.92,258952.08,4.24
945113.04,15.49,1.93,259138.77,4.25
945343.9,15.5,1.93,259220.4,4.25
945902.43,15.51,1.94,259318.17,4.25
946237.96,15.52,1.95,259271.18,4.25
946224.93,15.52,1.95,259432.28,4.25
947953.6,15.54,1.98,260500.53,4.27
947796.41,15.54,1.98,260347.13,4.27
947506.55,15.54,1.97,259857.6,4.26
947298.02,15.54,1.97,259617.25,4.26
947178.53,15.54,1.97,259231.85,4.25
947261.19,15.54,1.97,258919.12,4.25
947427.1,15.54,1.98,259323.29,4.25
947478.63,15.55,1.98,259287.13,4.25
947247.06,15.54,1.98,259037.79,4.25
947412.96,15.55,1.98,258980.68,4.25
948125.87,15.56,1.99,259279.45,4.26
947861.64,15.56,1.99,258768.92,4.25
947597.4,15.56,1.99,258258.39,4.24
947333.17,15.55,1.99,257747.87,4.23
947333.17,15.55,1.99,257747.87,4.23
947283.17,15.55,1.99,257697.87,4.23
948339.18,15.57,2.0,258488.84,4.24
948339.18,15.57,2.0,258488.84,4.24
948117.62,15.57,2.0,258366.89,4.24
948169.15,15.57,2.0,258629.39,4.25
948220.68,15.57,2.01,258743.3,4.25
948272.21,15.58,2.01,258800.9,4.25
948007.97,15.57,2.01,258290.37,4.24
947870.63,15.57,2.01,257757.65,4.24
947922.16,15.58,2.01,257871.56,4.24
948257.7,15.58,2.02,257824.56,4.24
948530.84,15.59,2.02,257819.81,4.24
949089.37,15.6,2.03,257917.58,4.24
949249.69,15.6,2.04,257943.34,4.24
949095.93,15.6,2.04,257768.94,4.24
950824.6,15.63,2.06,258837.19,4.26
950647.23,15.63,2.06,258647.84,4.25
950357.38,15.63,2.06,258158.31,4.24
950408.91,15.63,2.06,258122.15,4.24
950460.44,15.63,2.07,257775.84,4.24
950760.92,15.64,2.07,257780.01,4.24
950812.45,15.64,2.07,257433.7,4.23
950863.98,15.64,2.08,257213.61,4.23
950915.51,15.65,2.08,256867.3,4.23
954372.86,15.7,2.14,260047.67,4.28
954372.86,15.7,2.14,260047.67,4.28
954770.0,15.71,2.15,260182.22,4.28
955482.91,15.72,2.16,260481.0,4.29
955218.68,15.72,2.16,259970.47,4.28
956947.35,15.75,2.18,261038.72,4.3
957505.88,15.76,2.2,261136.5,4.3
957269.9,15.76,2.19,261061.17,4.3
956980.05,15.76,2.19,260571.64,4.29
957692.95,15.77,2.2,260870.42,4.3
957428.72,15.77,2.2,260359.89,4.29
957480.25,15.77,2.2,260013.59,4.28
958347.39,15.78,2.22,260618.14,4.29
959068.88,15.8,2.23,260926.92,4.3
959299.74,15.8,2.24,261008.55,4.3
959086.4,15.8,2.23,260828.94,4.3
959137.93,15.8,2.24,261121.42,4.3
959850.84,15.82,2.25,261420.2,4.31
959588.02,15.81,2.25,260909.67,4.3
959351.5,15.81,2.24,260641.14,4.3
959403.03,15.81,2.25,260755.05,4.3
959563.35,15.82,2.25,260780.8,4.3
960276.26,15.83,2.26,261079.58,4.3
960012.02,15.83,2.26,260569.05,4.3
960244.82,15.83,2.27,259986.17,4.29
960115.08,15.83,2.27,260014.89,4.29
960673.62,15.84,2.28,260112.66,4.29
960566.42,15.84,2.28,260010.16,4.29
960799.22,15.85,2.28,259427.28,4.28
960832.17,15.85,2.29,259613.9,4.28
961306.1,15.86,2.29,259596.6,4.28
961093.34,15.86,2.29,259425.48,4.28
962149.35,15.87,2.31,260216.45,4.29
962149.35,15.87,2.31,260216.45,4.29
961859.49,15.87,2.31,259726.92,4.29
961770.41,15.87,2.31,259797.69,4.29
961821.94,15.87,2.31,259911.6,4.29
961873.47,15.88,2.31,259969.2,4.29
