ow_default-dr_0.0-tn_1.3-ts_42-if_1.0-ccmd_a0cd-policy_BestFit1000desharemd33d2-de_share-gs_best-scmd_33d2-origin_milli,ow_default-dr_0.0-tn_1.3-ts_42-if_1.0-ccmd_a0cd-policy_BestFit1000desharemd33d2-de_share-gs_best-scmd_33d2-origin_ratio,ow_default-dr_0.0-tn_1.3-ts_42-if_1.0-ccmd_a0cd-policy_BestFit1000desharemd33d2-de_share-gs_best-scmd_33d2-origin_q124,ow_default-dr_0.0-tn_1.3-ts_42-if_1.0-ccmd_a0cd-policy_BestFit1000desharemd33d2-de_share-gs_best-scmd_33d2-bellman_milli,ow_default-dr_0.0-tn_1.3-ts_42-if_1.0-ccmd_a0cd-policy_BestFit1000desharemd33d2-de_share-gs_best-scmd_33d2-bellman_ratio
874905.67,14.22,0.62,171096.96,2.78
876136.42,14.24,0.64,171972.35,2.79
875629.02,14.23,0.63,171419.03,2.79
875986.21,14.24,0.64,171225.53,2.78
875288.82,14.23,0.63,170470.11,2.77
875372.13,14.23,0.63,170525.76,2.77
874864.73,14.23,0.63,169972.43,2.76
874645.44,14.22,0.63,169792.42,2.76
873928.98,14.22,0.62,169050.35,2.75
874569.72,14.23,0.63,169114.78,2.75
874907.87,14.24,0.64,168922.55,2.75
875594.74,14.25,0.65,169027.0,2.75
875087.34,14.24,0.64,168473.67,2.74
874482.14,14.23,0.64,167753.39,2.73
874804.82,14.24,0.64,167499.77,2.73
875661.24,14.26,0.66,167846.1,2.73
875659.3,14.26,0.66,167844.15,2.73
876890.05,14.28,0.68,168719.55,2.75
876398.1,14.27,0.67,168227.6,2.74
875906.15,14.27,0.67,167735.65,2.73
875750.95,14.26,0.67,167465.37,2.73
875244.82,14.26,0.66,166965.35,2.72
876475.57,14.28,0.68,167840.75,2.73
878116.31,14.31,0.71,168905.19,2.75
878280.1,14.31,0.71,169820.71,2.77
878602.79,14.32,0.72,169567.09,2.76
878940.93,14.33,0.73,169386.95,2.76
878433.53,14.32,0.72,168821.53,2.75
878756.22,14.33,0.73,168567.91,2.75
879612.64,14.34,0.74,168914.24,2.75
879935.33,14.35,0.75,168660.62,2.75
880273.47,14.36,0.76,168468.38,2.75
879766.07,14.35,0.75,167915.05,2.74
880104.21,14.36,0.76,167734.91,2.74
880744.95,14.37,0.77,167799.35,2.74
880139.75,14.36,0.77,167217.97,2.73
881370.5,14.38,0.79,168093.37,2.74
881765.3,14.39,0.79,168373.08,2.75
882160.1,14.4,0.8,168652.8,2.75
