ow_cpu100-dr_0.0-tn_1.3-ts_42-if_1.0-ccmd_aa9a-policy_DotProd1000demergemdac62-de_merge-gs_best-scmd_ac62-used_nodes,ow_cpu100-dr_0.0-tn_1.3-ts_42-if_1.0-ccmd_aa9a-policy_DotProd1000demergemdac62-de_merge-gs_best-scmd_ac62-used_gpus,ow_cpu100-dr_0.0-tn_1.3-ts_42-if_1.0-ccmd_aa9a-policy_DotProd1000demergemdac62-de_merge-gs_best-scmd_ac62-used_gpu_milli,ow_cpu100-dr_0.0-tn_1.3-ts_42-if_1.0-ccmd_aa9a-policy_DotProd1000demergemdac62-de_merge-gs_best-scmd_ac62-total_gpus,ow_cpu100-dr_0.0-tn_1.3-ts_42-if_1.0-ccmd_aa9a-policy_DotProd1000demergemdac62-de_merge-gs_best-scmd_ac62-arrived_gpu_milli
127,272,137170,6212,137170
128,273,137630,6212,137630
129,275,138100,6212,138100
130,277,138750,6212,138750
130,277,139750,6212,139750
130,277,139980,6212,139980
131,278,140980,6212,140980
131,278,141980,6212,141980
132,280,142980,6212,142980
133,284,142980,6212,142980
134,288,142980,6212,142980
135,290,143980,6212,143980
135,290,144790,6212,144790
136,292,145790,6212,145790
137,294,146790,6212,146790
138,296,147790,6212,147790
139,298,148790,6212,148790
139,298,149600,6212,149600
140,300,150600,6212,150600
141,302,151600,6212,151600
141,302,151600,6212,151600
142,304,152600,6212,152600
143,305,153600,6212,153600
144,307,154600,6212,154600
144,307,155410,6212,155410
144,307,156220,6212,156220
144,307,157030,6212,157030
145,309,157030,6212,157030
146,310,157500,6212,157500
147,312,157500,6212,157500
147,312,157660,6212,157660
148,314,158660,6212,158660
149,316,158660,6212,158660
150,318,159660,6212,159660
150,318,160470,6212,160470
150,318,161280,6212,161280
150,318,162280,6212,162280
151,320,163280,6212,163280
151,320,164280,6212,164280
151,320,164510,6212,164510
151,320,165510,6212,165510
151,320,166510,6212,166510
151,320,167510,6212,167510
151,320,167510,6212,167510
152,322,168510,6212,168510
152,322,168980,6212,168980
152,322,169980,6212,169980
152,322,170790,6212,170790
153,326,171790,6212,171790
153,326,172790,6212,172790
153,326,173790,6212,173790
153,326,173790,6212,173790
154,328,174790,6212,174790
154,328,175790,6212,175790
154,328,176790,6212,176790
154,328,177250,6212,177250
155,330,177570,6212,177570
156,334,178040,6212,178040
157,336,179040,6212,179040
157,336,180040,6212,180040
157,336,181040,6212,181040
157,336,181360,6212,181360
158,338,182360,6212,182360
158,338,183360,6212,183360
158,338,183950,6212,183950
159,340,184950,6212,184950
159,340,185180,6212,185180
159,340,185990,6212,185990
159,340,186220,6212,186220
159,340,186220,6212,186220
160,342,187220,6212,187220
160,342,188220,6212,188220
161,344,189220,6212,189220
161,344,190220,6212,190220
161,344,191030,6212,191030
162,348,192030,6212,192030
162,348,193030,6212,193030
162,348,193140,6212,193140
163,349,193610,6212,193610
164,351,194610,6212,194610
165,352,195080,6212,195080
165,352,195890,6212,195890
165,352,196360,6212,196360
165,352,197360,6212,197360
165,352,198360,6212,198360
166,354,199010,6212,199010
