ow_gpuspec20-dr_0.0-tn_1.3-ts_42-if_1.0-ccmd_6fa8-policy_FGD1000desharemda78a-de_share-gs_FGDScore-scmd_a78a-used_nodes,ow_gpuspec20-dr_0.0-tn_1.3-ts_42-if_1.0-ccmd_6fa8-policy_FGD1000desharemda78a-de_share-gs_FGDScore-scmd_a78a-used_gpus,ow_gpuspec20-dr_0.0-tn_1.3-ts_42-if_1.0-ccmd_6fa8-policy_FGD1000desharemda78a-de_share-gs_FGDScore-scmd_a78a-used_gpu_milli,ow_gpuspec20-dr_0.0-tn_1.3-ts_42-if_1.0-ccmd_6fa8-policy_FGD1000desharemda78a-de_share-gs_FGDScore-scmd_a78a-total_gpus,ow_gpuspec20-dr_0.0-tn_1.3-ts_42-if_1.0-ccmd_6fa8-policy_FGD1000desharemda78a-de_share-gs_FGDScore-scmd_a78a-arrived_gpu_milli
61,198,145230,6212,145230
61,198,145600,6212,145600
61,198,146070,6212,146070
62,200,147070,6212,147070
62,200,147540,6212,147540
62,200,148540,6212,148540
62,200,149540,6212,149540
62,200,150010,6212,150010
62,200,151010,6212,151010
62,200,151820,6212,151820
62,200,152630,6212,152630
62,200,153630,6212,153630
62,200,153630,6212,153630
62,200,154630,6212,154630
63,208,155100,6212,155100
63,208,156100,6212,156100
63,208,156570,6212,156570
63,208,156940,6212,156940
63,208,157940,6212,157940
63,208,158750,6212,158750
63,208,159560,6212,159560
63,208,160020,6212,160020
63,208,160830,6212,160830
63,208,161480,6212,161480
63,208,161710,6212,161710
63,208,161710,6212,161710
63,208,161710,6212,161710
63,208,161710,6212,161710
64,216,162710,6212,162710
64,216,163520,6212,163520
64,216,167520,6212,167520
64,216,168520,6212,168520
64,216,169520,6212,169520
64,216,170520,6212,170520
64,216,171520,6212,171520
64,216,172520,6212,172520
64,216,172990,6212,172990
65,224,173990,6212,173990
66,232,174990,6212,174990
66,232,175460,6212,175460
67,234,176460,6212,176460
67,234,177460,6212,177460
67,234,178270,6212,178270
67,234,179270,6212,179270
67,234,179740,6212,179740
68,236,180740,6212,180740
68,236,181740,6212,181740
68,236,182740,6212,182740
68,236,183740,6212,183740
68,236,184740,6212,184740
68,236,185200,6212,185200
69,238,186200,6212,186200
69,238,186200,6212,186200
69,238,187200,6212,187200
70,246,188200,6212,188200
70,246,189200,6212,189200
70,246,189520,6212,189520
70,246,190330,6212,190330
70,246,191140,6212,191140
70,246,191690,6212,191690
70,246,192160,6212,192160
70,246,192160,6212,192160
71,248,192390,6212,192390
71,248,192860,6212,192860
71,248,193080,6212,193080
72,250,194080,6212,194080
72,250,194890,6212,194890
72,250,195890,6212,195890
72,250,196700,6212,196700
72,250,196700,6212,196700
72,250,197170,6212,197170
72,250,198170,6212,198170
72,250,199170,6212,199170
72,250,199980,6212,199980
72,250,200980,6212,200980
72,250,201980,6212,201980
73,254,202450,6212,202450
73,254,203450,6212,203450
73,254,204260,6212,204260
74,258,205260,6212,205260
74,258,205730,6212,205730
74,258,205730,6212,205730
74,258,206540,6212,206540
75,262,207350,6212,207350
75,262,207350,6212,207350
75,262,208350,6212,208350
75,262,209350,6212,209350
75,262,209580,6212,209580
76,270,211580,6212,211580
76,270,211580,6212,211580
76,270,212390,6212,212390
76,270,212390,6212,212390
76,270,213390,6212,213390
76,270,214390,6212,214390
76,270,215200,6212,215200
76,270,216200,6212,216200
76,270,217200,6212,217200
76,270,218200,6212,218200
77,272,219010,6212,219010
77,272,219330,6212,219330
77,272,220140,6212,220140
77,272,221140,6212,221140
77,272,222140,6212,222140
77,272,222140,6212,222140
78,274,223140,6212,223140
79,278,223790,6212,223790
79,278,223790,6212,223790
79,278,224790,6212,224790
79,278,226790,6212,226790
79,278,227020,6212,227020
80,282,227490,6212,227490
81,284,228490,6212,228490
81,284,229300,6212,229300
81,284,230300,6212,230300
82,286,231300,6212,231300
82,286,232300,6212,232300
82,286,233110,6212,233110
83,294,233110,6212,233110
83,294,233920,6212,233920
83,294,234510,6212,234510
83,294,234830,6212,234830
84,296,235830,6212,235830
84,296,235830,6212,235830
84,296,235830,6212,235830
84,296,236300,6212,236300
85,300,237110,6212,237110
85,300,237110,6212,237110
86,302,238110,6212,238110
86,302,238340,6212,238340
87,310,239340,6212,239340
87,310,240340,6212,240340
87,310,241340,6212,241340
88,318,241340,6212,241340
88,318,241660,6212,241660
88,318,242130,6212,242130
89,320,243130,6212,243130
89,320,243130,6212,243130
89,320,243780,6212,243780
89,320,244590,6212,244590
89,320,252590,6212,252590
89,320,253590,6212,253590
89,320,254590,6212,254590
89,320,255590,6212,255590
89,320,256240,6212,256240
89,320,257240,6212,257240
89,320,257710,6212,257710
89,320,258710,6212,258710
89,320,259710,6212,259710
89,320,260710,6212,260710
90,324,261710,6212,261710
91,332,262710,6212,262710
91,332,262940,6212,262940
91,332,263940,6212,263940
91,332,264940,6212,264940
91,332,265750,6212,265750
92,334,266560,6212,266560
92,334,267030,6212,267030
92,334,268030,6212,268030
92,334,269030,6212,269030
92,334,270030,6212,270030
92,334,271030,6212,271030
92,334,271030,6212,271030
93,338,271580,6212,271580
93,338,272050,6212,272050
93,338,272700,6212,272700
93,338,272700,6212,272700
94,342,273700,6212,273700
95,350,274700,6212,274700
95,350,275510,6212,275510
95,350,275980,6212,275980
95,350,276980,6212,276980
96,352,277980,6212,277980
96,352,278980,6212,278980
96,352,279790,6212,279790
96,352,280790,6212,280790
96,352,288790,6212,288790
96,352,289600,6212,289600
96,352,290600,6212,290600
96,352,291150,6212,291150
96,352,292150,6212,292150
96,352,293150,6212,293150
96,352,293620,6212,293620
96,352,294620,6212,294620
96,352,295430,6212,295430
96,352,296080,6212,296080
96,352,297080,6212,297080
96,352,298080,6212,298080
96,352,299080,6212,299080
96,352,300080,6212,300080
96,352,301080,6212,301080
96,352,302080,6212,302080
96,352,303080,6212,303080
96,352,304080,6212,304080
97,356,304550,6212,304550
98,364,305550,6212,305550
98,364,305550,6212,305550
98,364,306550,6212,306550
98,364,306550,6212,306550
99,366,307550,6212,307550
99,366,308550,6212,308550
100,374,308550,6212,308550
100,374,309550,6212,309550
100,374,309780,6212,309780
100,374,310780,6212,310780
101,376,311780,6212,311780
101,376,311780,6212,311780
101,376,311780,6212,311780
101,376,312240,6212,312240
101,376,313240,6212,313240
102,380,314050,6212,314050
102,380,314050,6212,314050
103,382,315050,6212,315050
103,382,315270,6212,315270
103,382,316270,6212,316270
103,382,317080,6212,317080
104,390,318080,6212,318080
104,390,318540,6212,318540
104,390,319350,6212,319350
105,392,320160,6212,320160
105,392,320810,6212,320810
105,392,321810,6212,321810
105,392,322040,6212,322040
106,400,323040,6212,323040
107,402,324040,6212,324040
107,402,325040,6212,325040
107,402,326040,6212,326040
107,402,326510,6212,326510
107,402,326980,6212,326980
107,402,327980,6212,327980
108,404,328980,6212,328980
108,404,329980,6212,329980
108,404,330980,6212,330980
108,404,331300,6212,331300
