ow_cpu200-dr_0.0-tn_1.3-ts_42-if_1.0-ccmd_813c-policy_FGDPredictor1000desharemd6126-de_share-gs_FGDPredictorScore-scmd_6126-origin_milli,ow_cpu200-dr_0.0-tn_1.3-ts_42-if_1.0-ccmd_813c-policy_FGDPredictor1000desharemd6126-de_share-gs_FGDPredictorScore-scmd_6126-origin_ratio,ow_cpu200-dr_0.0-tn_1.3-ts_42-if_1.0-ccmd_813c-policy_FGDPredictor1000desharemd6126-de_share-gs_FGDPredictorScore-scmd_6126-origin_q124,ow_cpu200-dr_0.0-tn_1.3-ts_42-if_1.0-ccmd_813c-policy_FGDPredictor1000desharemd6126-de_share-gs_FGDPredictorScore-scmd_6126-bellman_milli,ow_cpu200-dr_0.0-tn_1.3-ts_42-if_1.0-ccmd_813c-policy_FGDPredictor1000desharemd6126-de_share-gs_FGDPredictorScore-scmd_6126-bellman_ratio
1293221.52,20.82,0.32,206042.52,3.32
1293221.52,20.82,0.32,207494.96,3.34
1293344.76,20.82,0.32,207562.46,3.34
1293139.78,20.82,0.32,207753.56,3.35
1292931.57,20.82,0.32,207557.56,3.34
1292726.59,20.82,0.32,207559.15,3.34
1292521.62,20.82,0.32,207500.16,3.34
1292316.64,20.82,0.32,207503.56,3.34
1292111.67,20.82,0.32,207478.94,3.34
1292012.93,20.82,0.32,207417.58,3.34
1292095.99,20.82,0.32,207393.97,3.34
1291457.26,20.82,0.32,206648.56,3.33
1291358.52,20.82,0.32,206443.16,3.33
1290908.57,20.81,0.31,205886.54,3.32
1290269.83,20.8,0.31,205141.14,3.31
1290064.86,20.8,0.31,205250.84,3.31
1289966.13,20.8,0.31,205045.44,3.31
1289857.39,20.8,0.31,204830.04,3.3
1289652.42,20.8,0.31,204832.88,3.3
1289447.44,20.8,0.31,204883.46,3.31
1289447.44,20.8,0.31,204883.46,3.31
1289539.87,20.81,0.31,204869.22,3.31
1289539.87,20.81,0.31,204869.22,3.31
1289334.89,20.81,0.31,205295.6,3.31
1289129.92,20.81,0.31,205299.0,3.31
1288924.94,20.81,0.31,205296.12,3.31
1288719.97,20.81,0.31,205471.68,3.32
1288270.01,20.8,0.3,204915.06,3.31
1287820.06,20.8,0.3,204358.44,3.3
1287615.08,20.8,0.3,204231.05,3.3
1286976.35,20.79,0.29,203629.69,3.29
1286771.37,20.79,0.29,203556.63,3.29
1286586.4,20.79,0.29,204375.34,3.3
1286586.4,20.79,0.29,204375.34,3.3
1286136.44,20.79,0.29,203818.72,3.29
1286136.44,20.79,0.29,203818.72,3.29
1286136.44,20.79,0.29,203818.72,3.29
1285497.71,20.78,0.28,203073.31,3.28
1285398.97,20.78,0.28,202867.91,3.28
1284760.24,20.77,0.27,202122.51,3.27
1283120.44,20.77,0.27,202098.14,3.27
1282915.46,20.77,0.27,202040.74,3.27
1282710.48,20.77,0.27,202040.74,3.27
1282260.53,20.77,0.27,201484.11,3.26
1282055.55,20.77,0.27,201499.63,3.26
1281850.58,20.77,0.27,201481.19,3.26
1281645.6,20.77,0.27,202262.06,3.28
1281644.29,20.77,0.27,202154.09,3.28
1281439.32,20.77,0.27,202109.36,3.28
1281234.34,20.77,0.27,202051.96,3.28
1281059.36,20.77,0.27,202144.7,3.28
