ow_gpuspec10-dr_0.0-tn_1.3-ts_42-if_1.0-ccmd_7e61-policy_GpuPacking1000desharemd3326-de_share-gs_best-scmd_3326-origin_milli,ow_gpuspec10-dr_0.0-tn_1.3-ts_42-if_1.0-ccmd_7e61-policy_GpuPacking1000desharemd3326-de_share-gs_best-scmd_3326-origin_ratio,ow_gpuspec10-dr_0.0-tn_1.3-ts_42-if_1.0-ccmd_7e61-policy_GpuPacking1000desharemd3326-de_share-gs_best-scmd_3326-origin_q124,ow_gpuspec10-dr_0.0-tn_1.3-ts_42-if_1.0-ccmd_7e61-policy_GpuPacking1000desharemd3326-de_share-gs_best-scmd_3326-bellman_milli,ow_gpuspec10-dr_0.0-tn_1.3-ts_42-if_1.0-ccmd_7e61-policy_GpuPacking1000desharemd3326-de_share-gs_best-scmd_3326-bellman_ratio
1182142.84,19.29,0.7,228461.53,3.73
1181975.81,19.29,0.7,228459.52,3.73
1181263.92,19.28,0.69,227705.17,3.72
1181096.89,19.29,0.69,227625.55,3.72
1180659.69,19.28,0.68,227091.97,3.71
1180659.69,19.28,0.68,227091.97,3.71
1180659.69,19.28,0.68,227091.97,3.71
1180492.65,19.28,0.68,227083.03,3.71
1180492.65,19.28,0.68,227083.03,3.71
1180509.18,19.28,0.69,227076.19,3.71
1180509.18,19.28,0.69,227049.42,3.71
1180666.03,19.29,0.69,227291.24,3.71
1180327.44,19.28,0.69,226645.14,3.7
1180343.96,19.28,0.69,226947.17,3.71
1180176.93,19.28,0.69,226945.17,3.71
1180009.9,19.28,0.69,226865.55,3.71
1180619.26,19.3,0.7,227044.93,3.71
1180452.23,19.3,0.7,227042.93,3.71
1180285.2,19.3,0.7,226963.31,3.71
1179764.86,19.29,0.69,226513.36,3.7
1179597.82,19.29,0.69,226511.36,3.7
1179430.79,19.29,0.69,226431.74,3.7
1179430.79,19.29,0.69,226532.66,3.71
1179587.65,19.3,0.7,226570.27,3.71
1179420.61,19.3,0.7,226765.53,3.71
1179420.61,19.3,0.7,226719.38,3.71
1178774.87,19.29,0.69,226071.71,3.7
1178758.75,19.29,0.69,226017.3,3.7
1178591.71,19.29,0.69,225939.97,3.7
1178612.65,19.29,0.69,226119.13,3.7
1178633.58,19.3,0.7,226216.46,3.7
1178466.55,19.3,0.7,226220.97,3.7
1178487.48,19.3,0.7,226318.29,3.71
1178320.45,19.3,0.7,226300.8,3.71
1179080.13,19.31,0.71,226622.59,3.71
1178383.68,19.3,0.7,225895.77,3.7
1178216.65,19.31,0.7,225818.33,3.7
1178237.58,19.31,0.71,225997.83,3.7
1178070.55,19.31,0.71,225920.34,3.7
1177776.66,19.3,0.7,225635.85,3.7
1178023.68,19.31,0.71,226040.36,3.71
1177856.64,19.31,0.71,226031.41,3.71
1177689.61,19.31,0.71,225958.73,3.71
1178280.1,19.32,0.72,225959.4,3.71
1177718.1,19.32,0.71,225534.15,3.7
1177739.03,19.32,0.72,225631.47,3.7
1178000.94,19.33,0.72,225410.65,3.7
1177833.91,19.33,0.72,225415.16,3.7
1177540.02,19.32,0.72,225130.67,3.69
1177372.99,19.32,0.72,225053.18,3.69
1177088.68,19.32,0.72,224756.12,3.69
1176921.64,19.32,0.72,224751.99,3.69
1176602.92,19.32,0.71,224433.26,3.68
1176678.31,19.32,0.71,228996.87,3.76
1175949.64,19.31,0.7,228282.66,3.75
1175949.64,19.31,0.7,228282.66,3.75
1175782.6,19.31,0.7,228205.16,3.75
1175615.57,19.31,0.7,228201.03,3.75
1175620.76,19.31,0.71,227761.89,3.74
1175338.81,19.31,0.71,227456.0,3.74
1179313.51,19.38,0.77,229910.17,3.78
1179146.48,19.38,0.77,229908.16,3.78
1179408.47,19.38,0.78,230182.24,3.78
1179429.4,19.39,0.78,230279.56,3.78
1179262.37,19.39,0.78,230284.07,3.79
1179419.22,19.39,0.78,230321.69,3.79
1179419.22,19.39,0.78,230321.69,3.79
1179419.22,19.39,0.78,230321.69,3.79
1179199.98,19.39,0.78,230145.71,3.78
1178906.1,19.38,0.78,230166.66,3.78
1178630.85,19.38,0.77,229876.22,3.78
1178651.78,19.38,0.78,229938.8,3.78
1178484.75,19.38,0.78,229861.66,3.78
1178505.68,19.39,0.78,230040.64,3.78
1178505.68,19.39,0.78,230040.64,3.78
1178505.68,19.39,0.78,230040.64,3.78
1178750.81,19.39,0.79,229859.97,3.78
1178228.92,19.39,0.78,229295.61,3.77
1178228.92,19.39,0.78,229295.61,3.77
1178228.92,19.39,0.78,229295.61,3.77
1178249.85,19.39,0.78,229392.93,3.78
1178028.58,19.39,0.78,229242.01,3.77
1177861.55,19.39,0.78,229224.51,3.77
1177702.0,19.39,0.78,229220.12,3.77
1177509.41,19.39,0.78,229190.36,3.77
1177666.26,19.39,0.78,229227.97,3.77
1177473.67,19.39,0.78,229345.55,3.78
1177494.61,19.4,0.79,229649.98,3.78
1177494.61,19.4,0.79,229649.98,3.78
1177302.01,19.4,0.79,229556.86,3.78
1177109.42,19.4,0.79,229517.8,3.78
1176942.39,19.4,0.79,229496.29,3.78
1176937.77,19.4,0.79,229898.87,3.79
1177248.96,19.41,0.8,229559.55,3.78
1176942.44,19.4,0.79,230094.64,3.79
1176710.87,19.4,0.79,229821.79,3.79
1176972.86,19.41,0.8,230115.37,3.79
1177217.99,19.41,0.81,229923.57,3.79
1177463.11,19.42,0.81,229742.9,3.79
1177094.09,19.42,0.81,229449.2,3.79
1176927.06,19.42,0.81,229440.25,3.79
1176405.17,19.41,0.8,228887.03,3.78
1175883.28,19.41,0.8,228322.67,3.77
1175716.25,19.41,0.8,228249.99,3.77
1175716.25,19.41,0.8,228249.99,3.77
1175961.38,19.41,0.8,228069.32,3.77
1176223.37,19.42,0.81,228164.67,3.77
1176056.33,19.42,0.81,228409.63,3.77
1175687.31,19.42,0.8,228047.7,3.77
1175605.42,19.42,0.8,227923.34,3.76
1175438.39,19.42,0.8,227914.39,3.76
1175459.32,19.42,0.81,228003.17,3.77
1175480.26,19.42,0.81,228100.49,3.77
1175750.34,19.43,0.82,228408.71,3.77
1175771.27,19.43,0.82,228506.03,3.78
1175928.13,19.44,0.82,228750.75,3.78
1175723.99,19.43,0.82,228626.41,3.78
1175723.99,19.43,0.82,228626.41,3.78
1175723.99,19.43,0.82,228626.41,3.78
1175723.99,19.43,0.82,228626.41,3.78
1175985.9,19.44,0.83,228405.6,3.78
1175447.23,19.43,0.82,227881.39,3.77
1174779.1,19.44,0.82,227841.95,3.77
1175312.34,19.45,0.83,227906.93,3.77
1175145.31,19.45,0.83,227829.43,3.77
1174978.27,19.45,0.83,227825.3,3.77
1174811.24,19.45,0.83,227747.98,3.77
1174644.21,19.45,0.83,227743.67,3.77
1174277.09,19.44,0.83,227507.56,3.77
1174110.06,19.45,0.83,227430.06,3.77
1173943.03,19.45,0.83,227425.93,3.77
1174702.71,19.46,0.84,227747.73,3.77
1174535.68,19.46,0.84,227738.78,3.77
1174368.65,19.46,0.84,227666.1,3.77
1173862.2,19.46,0.84,227129.28,3.76
1174391.18,19.47,0.85,227189.99,3.77
1175000.55,19.48,0.86,227369.38,3.77
1174833.51,19.48,0.86,227347.87,3.77
1174666.48,19.48,0.86,227287.75,3.77
1174473.89,19.48,0.86,227280.53,3.77
1174281.3,19.48,0.86,227199.1,3.77
1173735.17,19.47,0.86,226614.69,3.76
1174005.26,19.48,0.86,226605.38,3.76
1173838.23,19.48,0.86,226965.09,3.77
1173838.23,19.48,0.86,226965.09,3.77
1173671.19,19.48,0.86,226963.08,3.77
1173504.16,19.48,0.86,226883.47,3.77
1173337.13,19.48,0.86,226874.52,3.77
1173043.24,19.48,0.86,226663.28,3.76
1173064.17,19.48,0.86,226752.06,3.77
1173085.11,19.48,0.86,226849.38,3.77
1173332.12,19.49,0.87,227264.29,3.77
1172965.0,19.48,0.86,226902.26,3.77
1172965.0,19.48,0.86,226902.26,3.77
1172766.92,19.48,0.86,226653.68,3.77
1173028.91,19.49,0.87,226749.02,3.77
1172812.95,19.49,0.86,226587.21,3.76
1172645.91,19.49,0.86,226763.94,3.77
1172651.1,19.49,0.87,226324.8,3.76
1172369.15,19.49,0.87,226018.91,3.76
1172374.34,19.49,0.87,225579.77,3.75
1172374.34,19.49,0.87,225579.77,3.75
1172005.31,19.49,0.86,225286.07,3.75
1171838.28,19.49,0.86,225208.93,3.74
1171556.34,19.48,0.86,224903.04,3.74
1171577.27,19.49,0.86,225082.02,3.74
1171379.0,19.49,0.86,224972.87,3.74
1171180.73,19.49,0.86,225120.54,3.75
1171424.6,19.49,0.87,225224.12,3.75
1171241.53,19.49,0.87,225288.84,3.75
1171262.46,19.5,0.87,225386.16,3.75
1171095.43,19.5,0.87,225390.77,3.75
1170698.09,19.49,0.87,225009.23,3.75
1170714.61,19.49,0.87,225002.63,3.75
1170735.54,19.49,0.87,225099.95,3.75
1170756.47,19.5,0.87,225243.91,3.75
1170756.47,19.5,0.87,225208.25,3.75
1171001.6,19.5,0.88,225027.58,3.75
1170834.57,19.51,0.88,225018.63,3.75
1170892.68,19.51,0.88,225034.27,3.75
1170558.61,19.51,0.88,224952.65,3.75
1170575.14,19.51,0.88,225446.09,3.76
1170596.07,19.51,0.89,225534.86,3.76
1170671.45,19.51,0.89,228755.41,3.81
1170504.42,19.51,0.89,228733.91,3.81
1170337.39,19.51,0.89,228673.78,3.81
1170342.57,19.52,0.89,228234.64,3.81
1170175.54,19.52,0.89,228157.5,3.81
1169893.59,19.52,0.89,227851.61,3.8
1169726.56,19.52,0.89,227847.13,3.8
1169731.75,19.52,0.89,227407.99,3.79
1170021.38,19.52,0.9,227621.18,3.8
1170026.57,19.53,0.9,227182.03,3.79
1169859.53,19.53,0.9,227104.55,3.79
1169577.59,19.53,0.9,226798.66,3.79
1169577.59,19.53,0.9,226798.66,3.79
1169410.56,19.53,0.9,226794.52,3.79
1169541.99,19.53,0.9,226827.55,3.79
1173490.87,19.6,0.97,229217.97,3.83
1173298.28,19.6,0.97,229414.11,3.83
1172964.21,19.6,0.97,229332.49,3.83
1172759.94,19.6,0.97,229117.67,3.83
1173021.93,19.6,0.97,229213.01,3.83
1172854.9,19.6,0.97,229389.74,3.83
1172875.83,19.6,0.98,229487.07,3.84
1172708.8,19.6,0.98,229491.58,3.84
1172541.77,19.61,0.98,229414.14,3.84
1172374.74,19.61,0.98,229409.95,3.84
1172379.92,19.61,0.98,228970.81,3.83
1172379.92,19.61,0.98,228970.81,3.83
1172283.9,19.61,0.98,228841.78,3.83
1171800.78,19.6,0.97,228410.43,3.82
1171579.51,19.6,0.97,228259.5,3.82
1171412.47,19.6,0.97,228238.0,3.82
1171445.52,19.6,0.97,228250.7,3.82
1171445.52,19.6,0.97,228218.24,3.82
1171707.51,19.61,0.98,228511.82,3.82
1171728.44,19.61,0.98,228609.14,3.83
1171728.44,19.61,0.98,230181.29,3.85
1171561.41,19.61,0.98,230163.79,3.85
1171421.97,19.61,0.98,230092.6,3.85
1171254.94,19.61,0.98,230083.65,3.85
1171087.9,19.61,0.98,230010.97,3.85
1170895.31,19.61,0.98,230226.53,3.86
1170961.28,19.61,0.98,229326.38,3.84
1172653.49,19.64,1.01,234302.91,3.92
1174600.86,19.68,1.04,234407.92,3.93
1174433.83,19.68,1.04,234398.97,3.93
1174450.35,19.68,1.04,234392.13,3.93
1174607.21,19.68,1.05,234633.95,3.93
1174953.52,19.69,1.06,234023.47,3.92
1173445.84,19.69,1.06,233962.33,3.93
1173278.81,19.69,1.06,233885.18,3.93
1173111.78,19.69,1.06,233880.7,3.93
1172944.75,19.69,1.06,233803.56,3.93
1173101.6,19.7,1.06,234113.57,3.93
1172934.57,19.7,1.06,234036.09,3.93
1173196.56,19.7,1.07,234453.88,3.94
1173029.52,19.7,1.07,234432.38,3.94
1172862.49,19.7,1.07,234372.25,3.94
1172695.46,19.7,1.07,234295.11,3.94
1172528.43,19.71,1.07,234290.63,3.94
1172361.4,19.71,1.07,234213.13,3.94
1172141.81,19.7,1.07,234000.63,3.93
1171974.78,19.7,1.07,233996.5,3.93
1171807.75,19.7,1.07,233975.0,3.93
1171828.68,19.71,1.07,234076.33,3.94
