ow_multigpu30-dr_0.0-tn_1.3-ts_42-if_1.0-ccmd_9a36-policy_FGDPredictor1000desharemd6126-de_share-gs_FGDPredictorScore-scmd_6126-used_nodes,ow_multigpu30-dr_0.0-tn_1.3-ts_42-if_1.0-ccmd_9a36-policy_FGDPredictor1000desharemd6126-de_share-gs_FGDPredictorScore-scmd_6126-used_gpus,ow_multigpu30-dr_0.0-tn_1.3-ts_42-if_1.0-ccmd_9a36-policy_FGDPredictor1000desharemd6126-de_share-gs_FGDPredictorScore-scmd_6126-used_gpu_milli,ow_multigpu30-dr_0.0-tn_1.3-ts_42-if_1.0-ccmd_9a36-policy_FGDPredictor1000desharemd6126-de_share-gs_FGDPredictorScore-scmd_6126-total_gpus,ow_multigpu30-dr_0.0-tn_1.3-ts_42-if_1.0-ccmd_9a36-policy_FGDPredictor1000desharemd6126-de_share-gs_FGDPredictorScore-scmd_6126-arrived_gpu_milli
109,292,204320,6212,204320
109,292,205320,6212,205320
109,292,205790,6212,205790
110,294,206600,6212,206600
110,294,207410,6212,207410
111,296,208060,6212,208060
111,296,208060,6212,208060
111,296,216060,6212,216060
111,296,217060,6212,217060
112,298,218060,6212,218060
112,298,218060,6212,218060
112,298,218530,6212,218530
113,300,219340,6212,219340
113,300,220340,6212,220340
114,302,221150,6212,221150
114,302,222150,6212,222150
114,302,222620,6212,222620
115,304,223620,6212,223620
115,304,223730,6212,223730
115,304,224380,6212,224380
116,306,225380,6212,225380
117,314,225380,6212,225380
117,314,226030,6212,226030
118,316,227030,6212,227030
118,316,227840,6212,227840
119,318,228840,6212,228840
119,318,229840,6212,229840
120,320,230650,6212,230650
120,320,231120,6212,231120
120,320,231120,6212,231120
120,320,231440,6212,231440
121,322,232440,6212,232440
121,322,233440,6212,233440
122,324,234250,6212,234250
122,324,235250,6212,235250
123,326,235900,6212,235900
123,326,236370,6212,236370
123,326,236370,6212,236370
123,326,237370,6212,237370
123,326,237690,6212,237690
124,328,238690,6212,238690
124,328,239690,6212,239690
125,330,240160,6212,240160
126,334,240970,6212,240970
126,334,241780,6212,241780
126,334,241940,6212,241940
127,338,242940,6212,242940
127,338,243940,6212,243940
127,338,243940,6212,243940
128,346,243940,6212,243940
128,346,244410,6212,244410
128,346,244410,6212,244410
128,346,245220,6212,245220
129,354,253220,6212,253220
129,354,254220,6212,254220
129,354,255220,6212,255220
130,356,256220,6212,256220
130,356,257220,6212,257220
130,356,258030,6212,258030
130,356,259030,6212,259030
131,358,260030,6212,260030
131,358,260680,6212,260680
132,360,261490,6212,261490
132,360,262490,6212,262490
132,360,262810,6212,262810
132,360,262810,6212,262810
133,362,263810,6212,263810
133,362,264810,6212,264810
134,364,265810,6212,265810
134,364,266810,6212,266810
135,366,267280,6212,267280
135,366,268280,6212,268280
135,366,269090,6212,269090
135,366,270090,6212,270090
136,368,271090,6212,271090
136,368,271560,6212,271560
136,368,272560,6212,272560
137,372,273370,6212,273370
138,374,274370,6212,274370
138,374,275370,6212,275370
138,374,275840,6212,275840
138,374,276840,6212,276840
138,374,277160,6212,277160
139,376,278160,6212,278160
139,376,279160,6212,279160
139,376,280160,6212,280160
139,376,280970,6212,280970
139,376,281440,6212,281440
139,376,282250,6212,282250
139,376,283250,6212,283250
140,380,284060,6212,284060
140,380,285060,6212,285060
140,380,286060,6212,286060
140,380,287060,6212,287060
140,380,288060,6212,288060
140,380,288220,6212,288220
141,382,289220,6212,289220
141,382,290220,6212,290220
141,382,290220,6212,290220
141,382,290220,6212,290220
141,382,290220,6212,290220
142,384,291030,6212,291030
142,384,291500,6212,291500
142,384,291970,6212,291970
143,386,292620,6212,292620
143,386,292940,6212,292940
143,386,293940,6212,293940
144,388,294410,6212,294410
144,388,295410,6212,295410
144,388,295410,6212,295410
144,388,296410,6212,296410
144,388,297000,6212,297000
144,388,298000,6212,298000
144,388,299000,6212,299000
145,390,300000,6212,300000
145,390,300000,6212,300000
146,398,308000,6212,308000
146,398,308650,6212,308650
147,400,309460,6212,309460
147,400,310460,6212,310460
147,400,311050,6212,311050
148,404,315050,6212,315050
149,406,315860,6212,315860
149,406,316860,6212,316860
149,406,316860,6212,316860
149,406,324860,6212,324860
149,406,324860,6212,324860
149,406,325330,6212,325330
150,408,326330,6212,326330
150,408,326330,6212,326330
150,408,326550,6212,326550
150,408,326550,6212,326550
150,408,327010,6212,327010
151,410,328010,6212,328010
151,410,329010,6212,329010
152,412,329660,6212,329660
152,412,330660,6212,330660
152,412,330660,6212,330660
152,412,331140,6212,331140
153,414,332140,6212,332140
153,414,333140,6212,333140
153,414,333460,6212,333460
154,416,334270,6212,334270
154,416,334590,6212,334590
154,416,335590,6212,335590
155,418,336400,6212,336400
155,418,336720,6212,336720
155,418,337190,6212,337190
155,418,337190,6212,337190
155,418,338190,6212,338190
155,418,339190,6212,339190
155,418,339660,6212,339660
156,420,340660,6212,340660
156,420,341310,6212,341310
156,420,341310,6212,341310
157,422,342310,6212,342310
157,422,343310,6212,343310
157,422,343780,6212,343780
157,422,343780,6212,343780
158,424,344780,6212,344780
158,424,345250,6212,345250
158,424,345250,6212,345250
158,424,346250,6212,346250
158,424,347250,6212,347250
158,424,347250,6212,347250
158,424,347250,6212,347250
159,426,348250,6212,348250
160,428,350250,6212,350250
160,428,351250,6212,351250
161,430,352250,6212,352250
161,430,353250,6212,353250
161,430,353250,6212,353250
162,432,354250,6212,354250
162,432,355250,6212,355250
162,432,355250,6212,355250
163,434,356060,6212,356060
163,434,356870,6212,356870
164,436,357680,6212,357680
164,436,358680,6212,358680
164,436,358680,6212,358680
164,436,359150,6212,359150
165,438,360150,6212,360150
165,438,360150,6212,360150
165,438,360960,6212,360960
166,440,361960,6212,361960
166,440,362280,6212,362280
166,440,363280,6212,363280
167,442,364280,6212,364280
167,442,365090,6212,365090
167,442,366090,6212,366090
167,442,366560,6212,366560
167,442,367560,6212,367560
167,442,368370,6212,368370
168,444,370370,6212,370370
169,446,371370,6212,371370
169,446,372370,6212,372370
169,446,373370,6212,373370
169,446,374370,6212,374370
169,446,375180,6212,375180
169,446,376180,6212,376180
169,446,376550,6212,376550
169,446,377200,6212,377200
169,446,377670,6212,377670
169,446,378480,6212,378480
170,450,379480,6212,379480
171,458,379480,6212,379480
172,460,380480,6212,380480
