ow_cpu050-dr_0.0-tn_1.3-ts_42-if_1.0-ccmd_4c47-policy_GpuPacking1000desharemd3326-de_share-gs_best-scmd_3326-used_nodes,ow_cpu050-dr_0.0-tn_1.3-ts_42-if_1.0-ccmd_4c47-policy_GpuPacking1000desharemd3326-de_share-gs_best-scmd_3326-used_gpus,ow_cpu050-dr_0.0-tn_1.3-ts_42-if_1.0-ccmd_4c47-policy_GpuPacking1000desharemd3326-de_share-gs_best-scmd_3326-used_gpu_milli,ow_cpu050-dr_0.0-tn_1.3-ts_42-if_1.0-ccmd_4c47-policy_GpuPacking1000desharemd3326-de_share-gs_best-scmd_3326-total_gpus,ow_cpu050-dr_0.0-tn_1.3-ts_42-if_1.0-ccmd_4c47-policy_GpuPacking1000desharemd3326-de_share-gs_best-scmd_3326-arrived_gpu_milli
105,192,168130,6212,168130
105,192,168130,6212,168130
105,192,168360,6212,168360
106,194,169010,6212,169010
106,194,169330,6212,169330
107,196,170330,6212,170330
107,196,170330,6212,170330
107,196,170790,6212,170790
108,198,171790,6212,171790
108,198,172790,6212,172790
109,200,173790,6212,173790
109,200,174790,6212,174790
109,200,175790,6212,175790
109,200,176600,6212,176600
110,202,177600,6212,177600
110,202,178410,6212,178410
111,204,179410,6212,179410
112,206,179880,6212,179880
112,206,180880,6212,180880
112,206,181350,6212,181350
113,208,182350,6212,182350
114,210,183000,6212,183000
114,210,184000,6212,184000
114,210,184810,6212,184810
115,212,185810,6212,185810
115,212,186810,6212,186810
115,212,186970,6212,186970
116,214,187970,6212,187970
116,214,188780,6212,188780
116,214,189010,6212,189010
116,214,189330,6212,189330
117,216,190330,6212,190330
117,216,190880,6212,190880
118,218,191880,6212,191880
118,218,192690,6212,192690
119,220,193500,6212,193500
119,220,193970,6212,193970
120,222,194970,6212,194970
120,222,195970,6212,195970
121,224,196970,6212,196970
122,226,197970,6212,197970
122,226,198970,6212,198970
123,228,199970,6212,199970
124,230,200970,6212,200970
124,230,201440,6212,201440
125,232,202440,6212,202440
125,232,202440,6212,202440
125,232,203090,6212,203090
126,234,204090,6212,204090
126,234,205090,6212,205090
126,234,205640,6212,205640
126,234,206450,6212,206450
127,236,207450,6212,207450
127,236,208450,6212,208450
128,238,209450,6212,209450
128,238,210450,6212,210450
129,240,211450,6212,211450
129,240,211590,6212,211590
129,240,212590,6212,212590
130,242,213590,6212,213590
130,242,214590,6212,214590
131,244,215590,6212,215590
131,244,216590,6212,216590
131,244,217060,6212,217060
132,246,218060,6212,218060
132,246,219060,6212,219060
133,250,223060,6212,223060
134,252,224060,6212,224060
134,252,224650,6212,224650
135,254,225650,6212,225650
135,254,225810,6212,225810
135,254,226130,6212,226130
135,254,226290,6212,226290
135,254,227290,6212,227290
136,256,228290,6212,228290
136,256,229290,6212,229290
137,258,230290,6212,230290
137,258,230760,6212,230760
138,260,231410,6212,231410
138,260,232410,6212,232410
138,260,232880,6212,232880
139,262,233880,6212,233880
139,262,234880,6212,234880
140,264,235880,6212,235880
140,264,236880,6212,236880
141,266,237880,6212,237880
141,266,238880,6212,238880
142,268,239880,6212,239880
142,268,240200,6212,240200
142,268,241200,6212,241200
143,270,242010,6212,242010
143,270,242820,6212,242820
144,272,243290,6212,243290
144,272,244100,6212,244100
144,272,244570,6212,244570
144,272,244890,6212,244890
145,274,245700,6212,245700
145,274,246700,6212,246700
146,276,247290,6212,247290
146,276,248290,6212,248290
147,278,249290,6212,249290
147,278,250100,6212,250100
148,280,251100,6212,251100
149,282,252100,6212,252100
149,282,252750,6212,252750
149,282,253750,6212,253750
150,284,254750,6212,254750
150,284,255560,6212,255560
151,286,256020,6212,256020
151,286,256670,6212,256670
152,288,257670,6212,257670
152,288,258670,6212,258670
153,290,259670,6212,259670
153,290,259720,6212,259720
154,292,260720,6212,260720
154,292,261190,6212,261190
154,292,261660,6212,261660
155,294,262310,6212,262310
155,294,263310,6212,263310
155,294,263780,6212,263780
156,296,264430,6212,264430
156,296,265430,6212,265430
157,298,266430,6212,266430
157,298,267240,6212,267240
158,300,268240,6212,268240
158,300,269240,6212,269240
