ow_cpu050-dr_0.0-tn_1.3-ts_42-if_1.0-ccmd_4c47-policy_GpuPacking1000desharemd3326-de_share-gs_best-scmd_3326-origin_milli,ow_cpu050-dr_0.0-tn_1.3-ts_42-if_1.0-ccmd_4c47-policy_GpuPacking1000desharemd3326-de_share-gs_best-scmd_3326-origin_ratio,ow_cpu050-dr_0.0-tn_1.3-ts_42-if_1.0-ccmd_4c47-policy_GpuPacking1000desharemd3326-de_share-gs_best-scmd_3326-origin_q124,ow_cpu050-dr_0.0-tn_1.3-ts_42-if_1.0-ccmd_4c47-policy_GpuPacking1000desharemd3326-de_share-gs_best-scmd_3326-bellman_milli,ow_cpu050-dr_0.0-tn_1.3-ts_42-if_1.0-ccmd_4c47-policy_GpuPacking1000desharemd3326-de_share-gs_best-scmd_3326-bellman_ratio
344574.08,5.55,0.38,171755.33,2.77
344007.37,5.54,0.37,171062.76,2.75
344378.09,5.55,0.37,171325.74,2.76
344246.37,5.54,0.37,171222.42,2.76
344246.37,5.54,0.37,171109.32,2.76
344166.52,5.54,0.37,171049.0,2.75
344114.79,5.54,0.37,170916.95,2.75
344063.07,5.54,0.37,171049.35,2.76
344011.35,5.54,0.37,170916.95,2.75
343444.64,5.53,0.36,170224.38,2.74
343913.27,5.54,0.37,170140.35,2.74
343861.54,5.54,0.37,170120.03,2.74
343809.82,5.54,0.37,170027.25,2.74
343331.93,5.54,0.36,169485.67,2.73
343280.2,5.54,0.36,169372.57,2.73
343228.48,5.54,0.36,169372.57,2.73
343228.48,5.54,0.36,169372.57,2.73
343176.76,5.54,0.36,169307.57,2.73
343125.03,5.54,0.36,169259.47,2.73
343125.03,5.54,0.36,169259.47,2.73
343088.33,5.54,0.36,169096.9,2.73
343889.06,5.55,0.38,169281.29,2.73
343889.06,5.55,0.38,169281.29,2.73
344161.47,5.56,0.38,169345.19,2.73
344109.74,5.56,0.38,169474.22,2.74
344166.36,5.56,0.38,169404.97,2.74
344634.99,5.57,0.39,169320.94,2.73
344430.86,5.56,0.39,169134.91,2.73
344379.13,5.56,0.39,169069.92,2.73
344749.85,5.57,0.4,169416.84,2.74
345022.26,5.57,0.4,169480.73,2.74
344970.53,5.57,0.4,169629.03,2.74
344608.09,5.57,0.4,169294.0,2.74
343940.2,5.56,0.39,168562.42,2.72
343888.48,5.56,0.39,168449.32,2.72
343836.75,5.56,0.39,168449.32,2.72
343270.05,5.55,0.38,167756.75,2.71
342891.89,5.54,0.37,167252.74,2.7
343262.61,5.55,0.38,167381.91,2.71
343210.89,5.55,0.38,167534.66,2.71
342858.45,5.55,0.37,167209.63,2.7
342664.31,5.54,0.37,167014.34,2.7
342560.87,5.54,0.37,166901.24,2.7
341994.16,5.53,0.36,166208.67,2.69
341616.01,5.53,0.36,165704.66,2.68
341616.01,5.53,0.36,165704.66,2.68
341589.3,5.53,0.36,165552.09,2.68
341861.71,5.53,0.36,165615.98,2.68
341809.99,5.53,0.36,165745.01,2.68
341758.26,5.53,0.36,165631.91,2.68
341895.09,5.54,0.37,165818.09,2.69
341843.36,5.54,0.37,165704.98,2.68
341791.64,5.54,0.37,165704.98,2.68
341754.93,5.54,0.37,165542.42,2.68
341376.78,5.53,0.36,165038.4,2.67
340810.08,5.52,0.35,164345.83,2.66
341082.48,5.53,0.36,164409.73,2.66
341030.76,5.53,0.36,164558.14,2.67
341482.43,5.54,0.36,164393.46,2.67
341188.3,5.53,0.36,164117.43,2.66
340984.16,5.53,0.36,163912.03,2.66
341969.93,5.55,0.37,164354.12,2.67
341918.2,5.55,0.37,164241.02,2.66
341457.27,5.54,0.37,163780.08,2.66
340802.24,5.53,0.36,163052.38,2.65
341172.96,5.54,0.36,163493.75,2.65
341445.37,5.54,0.37,163557.65,2.65
341582.19,5.54,0.37,163852.81,2.66
341219.75,5.54,0.37,163471.44,2.65
341168.03,5.54,0.37,163468.2,2.65
341440.43,5.54,0.37,163664.36,2.66
341403.73,5.54,0.37,163501.8,2.65
341352.01,5.54,0.37,163498.55,2.66
341488.83,5.55,0.37,163567.42,2.66
341437.11,5.55,0.37,163501.87,2.66
341142.98,5.54,0.37,163247.36,2.65
341091.25,5.54,0.37,163199.25,2.65
341039.53,5.54,0.37,163178.93,2.65
340987.8,5.54,0.37,163086.15,2.65
341439.47,5.55,0.38,162921.47,2.65
340978.54,5.54,0.37,162460.54,2.64
340600.38,5.54,0.37,161956.52,2.63
340971.1,5.54,0.37,162085.7,2.64
340919.38,5.54,0.37,162238.45,2.64
340556.94,5.54,0.37,161903.42,2.63
340505.21,5.54,0.37,161900.18,2.63
340777.62,5.54,0.37,162096.35,2.64
340399.46,5.54,0.37,161721.59,2.63
340347.74,5.54,0.37,161608.49,2.63
339900.88,5.53,0.36,161145.5,2.62
339606.75,5.53,0.36,160869.48,2.62
339743.58,5.53,0.36,161055.65,2.62
340015.99,5.54,0.36,161119.54,2.62
340386.7,5.54,0.37,161598.44,2.63
340334.98,5.54,0.37,161578.13,2.63
340283.25,5.54,0.37,161485.34,2.63
340231.53,5.54,0.37,161465.02,2.63
340179.81,5.54,0.37,161372.24,2.63
340128.08,5.54,0.37,161369.0,2.63
340076.36,5.54,0.37,161259.14,2.63
339713.92,5.54,0.36,160989.28,2.62
340084.63,5.54,0.37,161118.45,2.63
339722.19,5.54,0.37,160876.17,2.62
339670.47,5.54,0.37,160936.17,2.62
339618.74,5.54,0.37,160932.93,2.62
339567.02,5.54,0.37,160823.07,2.62
338983.7,5.53,0.36,160239.75,2.61
338931.97,5.53,0.36,160126.65,2.61
338880.25,5.53,0.36,160126.65,2.61
338828.52,5.53,0.36,160123.41,2.61
338776.8,5.53,0.36,160013.55,2.61
339245.43,5.54,0.37,159929.51,2.61
339193.7,5.54,0.37,159816.41,2.61
339141.98,5.54,0.37,159816.41,2.61
339512.7,5.54,0.37,159945.59,2.61
339254.8,5.54,0.37,159624.01,2.61
339203.08,5.54,0.37,159776.76,2.61
339151.36,5.54,0.37,159663.66,2.61
