ow_gpuspec25-dr_0.0-tn_1.3-ts_42-if_1.0-ccmd_98fe-policy_DotProd1000demergemdac62-de_merge-gs_best-scmd_ac62-used_nodes,ow_gpuspec25-dr_0.0-tn_1.3-ts_42-if_1.0-ccmd_98fe-policy_DotProd1000demergemdac62-de_merge-gs_best-scmd_ac62-used_gpus,ow_gpuspec25-dr_0.0-tn_1.3-ts_42-if_1.0-ccmd_98fe-policy_DotProd1000demergemdac62-de_merge-gs_best-scmd_ac62-used_gpu_milli,ow_gpuspec25-dr_0.0-tn_1.3-ts_42-if_1.0-ccmd_98fe-policy_DotProd1000demergemdac62-de_merge-gs_best-scmd_ac62-total_gpus,ow_gpuspec25-dr_0.0-tn_1.3-ts_42-if_1.0-ccmd_98fe-policy_DotProd1000demergemdac62-de_merge-gs_best-scmd_ac62-arrived_gpu_milli
121,270,145600,6212,145600
122,271,146070,6212,146070
123,273,147070,6212,147070
123,273,147540,6212,147540
124,275,148540,6212,148540
125,277,149540,6212,149540
126,278,150010,6212,150010
127,280,151010,6212,151010
127,280,151820,6212,151820
127,280,152630,6212,152630
127,280,153630,6212,153630
128,284,153630,6212,153630
129,286,154630,6212,154630
130,288,155100,6212,155100
131,289,156100,6212,156100
131,289,156570,6212,156570
131,289,156940,6212,156940
132,291,157940,6212,157940
132,291,158750,6212,158750
132,291,159560,6212,159560
132,291,160020,6212,160020
132,291,160830,6212,160830
133,293,161480,6212,161480
133,293,161710,6212,161710
133,293,161710,6212,161710
134,297,161710,6212,161710
135,301,161710,6212,161710
136,303,162710,6212,162710
136,303,163520,6212,163520
137,307,167520,6212,167520
137,307,168520,6212,168520
138,311,169520,6212,169520
139,315,170520,6212,170520
140,317,171520,6212,171520
141,321,172520,6212,172520
141,321,172990,6212,172990
142,325,173990,6212,173990
143,327,174990,6212,174990
143,327,175460,6212,175460
143,327,176460,6212,176460
144,329,177460,6212,177460
145,330,178270,6212,178270
146,332,179270,6212,179270
147,334,179740,6212,179740
147,334,180740,6212,180740
148,336,181740,6212,181740
149,338,182740,6212,182740
149,338,183740,6212,183740
150,339,184740,6212,184740
151,340,185200,6212,185200
151,340,186200,6212,186200
152,344,186200,6212,186200
153,346,187200,6212,187200
154,348,188200,6212,188200
155,350,189200,6212,189200
156,351,189520,6212,189520
156,351,190330,6212,190330
156,351,191140,6212,191140
156,351,191690,6212,191690
157,352,192160,6212,192160
157,352,192160,6212,192160
157,352,192390,6212,192390
158,354,192860,6212,192860
158,354,193080,6212,193080
158,354,194080,6212,194080
158,354,194890,6212,194890
159,356,195890,6212,195890
159,356,196700,6212,196700
160,360,196700,6212,196700
160,360,197170,6212,197170
160,360,198170,6212,198170
161,362,199170,6212,199170
161,362,199980,6212,199980
162,364,200980,6212,200980
162,364,201980,6212,201980
162,364,202450,6212,202450
163,366,203450,6212,203450
163,366,204260,6212,204260
164,374,205260,6212,205260
165,378,205730,6212,205730
166,380,205730,6212,205730
167,382,206540,6212,206540
167,382,207350,6212,207350
168,384,207350,6212,207350
169,386,208350,6212,208350
170,388,209350,6212,209350
170,388,209580,6212,209580
171,390,211580,6212,211580
172,392,211580,6212,211580
172,392,212390,6212,212390
172,392,212390,6212,212390
172,392,213390,6212,213390
172,392,214390,6212,214390
172,392,215200,6212,215200
173,396,216200,6212,216200
173,396,217200,6212,217200
174,398,218200,6212,218200
174,398,219010,6212,219010
174,398,219330,6212,219330
174,398,220140,6212,220140
175,400,221140,6212,221140
176,402,222140,6212,222140
177,406,222140,6212,222140
178,408,223140,6212,223140
179,410,223790,6212,223790
179,410,223790,6212,223790
180,412,224790,6212,224790
181,414,226790,6212,226790
181,414,227020,6212,227020
182,418,227490,6212,227490
182,418,228490,6212,228490
182,418,229300,6212,229300
183,420,230300,6212,230300
183,420,231300,6212,231300
184,422,232300,6212,232300
184,422,233110,6212,233110
184,422,233110,6212,233110
184,422,233920,6212,233920
184,422,234510,6212,234510
184,422,234830,6212,234830
184,422,235830,6212,235830
185,426,235830,6212,235830
185,426,235830,6212,235830
185,426,236300,6212,236300
185,426,237110,6212,237110
185,426,237110,6212,237110
185,426,238110,6212,238110
185,426,238340,6212,238340
186,428,239340,6212,239340
186,428,240340,6212,240340
187,430,241340,6212,241340
187,430,241340,6212,241340
187,430,241660,6212,241660
187,430,242130,6212,242130
188,432,243130,6212,243130
188,432,243130,6212,243130
188,432,243780,6212,243780
188,432,244590,6212,244590
189,440,252590,6212,252590
190,444,253590,6212,253590
190,444,254590,6212,254590
191,448,255590,6212,255590
192,450,256240,6212,256240
192,450,257240,6212,257240
192,450,257710,6212,257710
192,450,258710,6212,258710
192,450,259710,6212,259710
193,454,260710,6212,260710
193,454,261710,6212,261710
194,456,262710,6212,262710
194,456,262940,6212,262940
195,460,263940,6212,263940
195,460,264940,6212,264940
195,460,265750,6212,265750
195,460,266560,6212,266560
195,460,267030,6212,267030
196,464,268030,6212,268030
196,464,269030,6212,269030
197,466,270030,6212,270030
197,466,271030,6212,271030
197,466,271030,6212,271030
198,468,271580,6212,271580
198,468,272050,6212,272050
198,468,272700,6212,272700
198,468,272700,6212,272700
199,470,273700,6212,273700
199,470,274700,6212,274700
199,470,275510,6212,275510
199,470,275980,6212,275980
199,470,276980,6212,276980
200,472,277980,6212,277980
200,472,278980,6212,278980
200,472,279790,6212,279790
200,472,280790,6212,280790
201,480,288790,6212,288790
202,482,289600,6212,289600
203,484,290600,6212,290600
203,484,291150,6212,291150
203,484,292150,6212,292150
204,486,293150,6212,293150
204,486,293620,6212,293620
204,486,294620,6212,294620
204,486,295430,6212,295430
205,490,296080,6212,296080
205,490,297080,6212,297080
205,490,298080,6212,298080
205,490,299080,6212,299080
205,490,300080,6212,300080
206,492,301080,6212,301080
206,492,302080,6212,302080
206,492,303080,6212,303080
207,494,304080,6212,304080
207,494,304550,6212,304550
208,498,305550,6212,305550
208,498,305550,6212,305550
209,500,306550,6212,306550
209,500,306550,6212,306550
209,500,307550,6212,307550
210,502,308550,6212,308550
210,502,308550,6212,308550
210,502,309550,6212,309550
210,502,309780,6212,309780
211,510,310780,6212,310780
211,510,311780,6212,311780
211,510,311780,6212,311780
211,510,311780,6212,311780
211,510,312240,6212,312240
212,511,313240,6212,313240
212,511,314050,6212,314050
212,511,314050,6212,314050
212,511,315050,6212,315050
212,511,315270,6212,315270
213,513,316270,6212,316270
213,513,317080,6212,317080
214,515,318080,6212,318080
214,515,318540,6212,318540
214,515,319350,6212,319350
214,515,320160,6212,320160
214,515,320810,6212,320810
215,517,321810,6212,321810
215,517,322040,6212,322040
216,521,323040,6212,323040
216,521,324040,6212,324040
217,523,325040,6212,325040
217,523,326040,6212,326040
217,523,326510,6212,326510
217,523,326980,6212,326980
217,523,327980,6212,327980
218,525,328980,6212,328980
218,525,329980,6212,329980
219,527,330980,6212,330980
219,527,331300,6212,331300
