ow_gpuspec33-dr_0.0-tn_1.3-ts_42-if_1.0-ccmd_9523-policy_BestFit1000desharemd7031-de_share-gs_best-scmd_7031-origin_milli,ow_gpuspec33-dr_0.0-tn_1.3-ts_42-if_1.0-ccmd_9523-policy_BestFit1000desharemd7031-de_share-gs_best-scmd_7031-origin_ratio,ow_gpuspec33-dr_0.0-tn_1.3-ts_42-if_1.0-ccmd_9523-policy_BestFit1000desharemd7031-de_share-gs_best-scmd_7031-origin_q124,ow_gpuspec33-dr_0.0-tn_1.3-ts_42-if_1.0-ccmd_9523-policy_BestFit1000desharemd7031-de_share-gs_best-scmd_7031-bellman_milli,ow_gpuspec33-dr_0.0-tn_1.3-ts_42-if_1.0-ccmd_9523-policy_BestFit1000desharemd7031-de_share-gs_best-scmd_7031-bellman_ratio
2193300.94,35.8,0.62,182416.69,2.98
2193056.1,35.8,0.62,182367.68,2.98
2193028.09,35.81,0.63,182194.09,2.97
2192455.19,35.8,0.62,181664.01,2.97
2192455.19,35.8,0.62,181664.01,2.97
2193340.06,35.82,0.64,182575.73,2.98
2193312.05,35.82,0.64,182376.56,2.98
2194196.93,35.84,0.66,183288.28,2.99
2195081.8,35.85,0.67,184200.0,3.01
2195966.68,35.87,0.69,185111.72,3.02
2196285.74,35.88,0.7,185252.88,3.03
2195712.83,35.87,0.69,184722.8,3.02
2196597.71,35.89,0.71,185634.52,3.03
2196569.7,35.89,0.71,185460.93,3.03
2196556.02,35.9,0.72,185279.96,3.03
2196378.48,35.9,0.72,185092.51,3.03
2196133.64,35.9,0.72,185089.02,3.03
2195888.8,35.9,0.72,185039.92,3.03
2195330.35,35.9,0.71,184552.71,3.02
2195302.35,35.9,0.72,184379.12,3.02
2194937.48,35.9,0.72,184323.37,3.01
2196146.56,35.92,0.74,185429.7,3.03
2196465.63,35.93,0.75,185570.86,3.04
2196220.79,35.93,0.75,185567.46,3.04
2197105.66,35.95,0.76,186479.18,3.05
2196496.41,35.94,0.76,185886.23,3.04
2196177.94,35.94,0.75,185544.4,3.04
2195933.1,35.94,0.75,185495.39,3.04
2195360.19,35.94,0.75,184965.31,3.03
2194787.29,35.93,0.74,184460.81,3.02
2194422.42,35.93,0.74,184457.45,3.02
2193849.51,35.93,0.74,183927.37,3.01
2193821.5,35.93,0.75,183753.78,3.01
2194310.74,35.94,0.76,184047.46,3.01
2193533.5,35.94,0.75,183334.76,3.0
2192825.97,35.93,0.74,182617.32,2.99
2192253.06,35.92,0.74,182087.24,2.98
2192453.11,35.93,0.75,182172.82,2.99
2192370.2,35.93,0.75,182132.74,2.99
2192070.77,35.93,0.75,181904.54,2.98
2192042.76,35.94,0.75,181705.37,2.98
2191797.92,35.94,0.75,181701.88,2.98
2191629.2,35.94,0.75,181523.25,2.98
2190866.29,35.93,0.75,180828.75,2.97
2190809.59,35.94,0.75,180926.1,2.97
2190564.75,35.94,0.75,180959.71,2.97
2190521.39,35.94,0.76,180742.34,2.97
2190447.17,35.95,0.76,180737.96,2.97
2190403.8,35.95,0.76,180520.6,2.96
2190376.27,35.95,0.76,180483.15,2.96
2190348.26,35.96,0.77,180309.56,2.96
2190029.44,35.95,0.77,179990.74,2.95
2190321.91,35.96,0.77,180273.3,2.96
2189559.0,35.95,0.76,179553.22,2.95
2189559.0,35.95,0.76,179553.22,2.95
2189314.16,35.95,0.76,179504.07,2.95
2189286.16,35.96,0.77,179330.48,2.95
2188713.25,35.95,0.77,178800.4,2.94
2188468.41,35.96,0.77,178797.05,2.94
2188468.41,35.96,0.77,178797.05,2.94
2188440.4,35.96,0.77,178623.45,2.94
2188929.63,35.97,0.78,178917.13,2.94
2188356.73,35.97,0.78,178387.06,2.93
2188343.05,35.97,0.78,178206.08,2.93
2188422.82,35.98,0.79,178215.37,2.93
2188422.82,35.98,0.79,178215.37,2.93
2188422.82,35.98,0.79,178215.37,2.93
2188415.59,35.98,0.79,178272.67,2.93
2188341.37,35.98,0.79,178268.29,2.93
2188277.85,35.98,0.79,178180.47,2.93
2187707.87,35.98,0.79,177685.63,2.92
2187536.73,35.98,0.79,178510.92,2.94
2187480.03,35.98,0.79,178871.63,2.94
2187480.03,35.98,0.79,178871.63,2.94
2188689.12,36.0,0.81,179977.95,2.96
