ow_gpushare40-dr_0.0-tn_1.3-ts_42-if_1.0-ccmd_2ccc-policy_Random1000desharemd8fc0-de_share-gs_random-scmd_8fc0-used_nodes,ow_gpushare40-dr_0.0-tn_1.3-ts_42-if_1.0-ccmd_2ccc-policy_Random1000desharemd8fc0-de_share-gs_random-scmd_8fc0-used_gpus,ow_gpushare40-dr_0.0-tn_1.3-ts_42-if_1.0-ccmd_2ccc-policy_Random1000desharemd8fc0-de_share-gs_random-scmd_8fc0-used_gpu_milli,ow_gpushare40-dr_0.0-tn_1.3-ts_42-if_1.0-ccmd_2ccc-policy_Random1000desharemd8fc0-de_share-gs_random-scmd_8fc0-total_gpus,ow_gpushare40-dr_0.0-tn_1.3-ts_42-if_1.0-ccmd_2ccc-policy_Random1000desharemd8fc0-de_share-gs_random-scmd_8fc0-arrived_gpu_milli
198,1028,143810,6212,143810
199,1030,144810,6212,144810
200,1032,144810,6212,144810
201,1040,145810,6212,145810
202,1048,146280,6212,146280
203,1056,146510,6212,146510
204,1064,147160,6212,147160
205,1066,147630,6212,147630
206,1068,148440,6212,148440
207,1070,149440,6212,149440
208,1078,150250,6212,150250
209,1086,150710,6212,150710
209,1086,151180,6212,151180
210,1088,151990,6212,151990
211,1096,152220,6212,152220
212,1104,153220,6212,153220
213,1106,153690,6212,153690
214,1114,154340,6212,154340
215,1116,155150,6212,155150
216,1124,155310,6212,155310
216,1124,155310,6212,155310
217,1128,156120,6212,156120
218,1136,157120,6212,157120
219,1144,157770,6212,157770
220,1152,158240,6212,158240
220,1152,158290,6212,158290
221,1160,158610,6212,158610
222,1162,159420,6212,159420
223,1170,159890,6212,159890
224,1178,160540,6212,160540
225,1186,161540,6212,161540
226,1188,162540,6212,162540
227,1190,163540,6212,163540
228,1198,164000,6212,164000
229,1200,164000,6212,164000
230,1208,165000,6212,165000
230,1208,165000,6212,165000
231,1216,165000,6212,165000
232,1218,166000,6212,166000
232,1218,166320,6212,166320
233,1226,167130,6212,167130
234,1234,168130,6212,168130
234,1234,169130,6212,169130
235,1242,170130,6212,170130
235,1242,170590,6212,170590
236,1250,171400,6212,171400
237,1258,172400,6212,172400
237,1258,173400,6212,173400
238,1266,174210,6212,174210
239,1274,175020,6212,175020
239,1274,175020,6212,175020
240,1282,176020,6212,176020
241,1284,177020,6212,177020
242,1286,178020,6212,178020
243,1294,178830,6212,178830
244,1302,179300,6212,179300
245,1310,180300,6212,180300
246,1312,181110,6212,181110
246,1312,181430,6212,181430
247,1320,181430,6212,181430
248,1322,181430,6212,181430
248,1322,182430,6212,182430
249,1330,183430,6212,183430
249,1330,183650,6212,183650
250,1338,183650,6212,183650
251,1340,184460,6212,184460
252,1348,185460,6212,185460
253,1356,186460,6212,186460
254,1357,187270,6212,187270
255,1359,187740,6212,187740
256,1367,188550,6212,188550
257,1375,188550,6212,188550
258,1383,189550,6212,189550
258,1383,189820,6212,189820
259,1391,190470,6212,190470
260,1399,191280,6212,191280
261,1401,192090,6212,192090
262,1403,192560,6212,192560
263,1405,193020,6212,193020
264,1413,194020,6212,194020
265,1415,194340,6212,194340
266,1417,194810,6212,194810
267,1425,195620,6212,195620
268,1433,196430,6212,196430
268,1433,197430,6212,197430
269,1435,198430,6212,198430
270,1437,199240,6212,199240
270,1437,200240,6212,200240
271,1439,201050,6212,201050
272,1441,202050,6212,202050
273,1443,203050,6212,203050
273,1443,203050,6212,203050
274,1451,203050,6212,203050
275,1453,203860,6212,203860
276,1455,204330,6212,204330
277,1457,205140,6212,205140
278,1461,205950,6212,205950
278,1461,206320,6212,206320
279,1463,206970,6212,206970
280,1465,206970,6212,206970
281,1467,207970,6212,207970
282,1469,207970,6212,207970
283,1477,208780,6212,208780
284,1479,209780,6212,209780
284,1479,210780,6212,210780
285,1483,211590,6212,211590
286,1491,212400,6212,212400
287,1493,212870,6212,212870
288,1501,212870,6212,212870
289,1509,212870,6212,212870
290,1511,213680,6212,213680
290,1511,214680,6212,214680
290,1511,215000,6212,215000
291,1513,215320,6212,215320
292,1514,216130,6212,216130
293,1522,217130,6212,217130
294,1524,217450,6212,217450
295,1532,218450,6212,218450
296,1534,218450,6212,218450
296,1534,218920,6212,218920
297,1536,218920,6212,218920
298,1538,219150,6212,219150
299,1546,220150,6212,220150
300,1548,221150,6212,221150
301,1556,222150,6212,222150
302,1558,223150,6212,223150
303,1560,223150,6212,223150
303,1560,223150,6212,223150
303,1560,223310,6212,223310
304,1568,224310,6212,224310
305,1576,224770,6212,224770
305,1576,225240,6212,225240
305,1576,226240,6212,226240
306,1578,226350,6212,226350
307,1580,227160,6212,227160
307,1580,227630,6212,227630
308,1588,228630,6212,228630
309,1590,229280,6212,229280
309,1590,230090,6212,230090
310,1598,231090,6212,231090
311,1606,231090,6212,231090
312,1614,231900,6212,231900
313,1622,232370,6212,232370
314,1624,233180,6212,233180
315,1626,233180,6212,233180
316,1628,233830,6212,233830
316,1628,234640,6212,234640
316,1628,235450,6212,235450
317,1630,236260,6212,236260
317,1630,237260,6212,237260
317,1630,237480,6212,237480
317,1630,238480,6212,238480
317,1630,239130,6212,239130
318,1638,240130,6212,240130
318,1638,240130,6212,240130
318,1638,240450,6212,240450
318,1638,240450,6212,240450
319,1640,241450,6212,241450
320,1648,242100,6212,242100
321,1656,242750,6212,242750
322,1664,243070,6212,243070
322,1664,243070,6212,243070
323,1672,243540,6212,243540
323,1672,244350,6212,244350
323,1672,244900,6212,244900
324,1680,245220,6212,245220
325,1688,246220,6212,246220
325,1688,247220,6212,247220
326,1690,248220,6212,248220
326,1690,248680,6212,248680
