ow_multigpu50-dr_0.0-tn_1.3-ts_42-if_1.0-ccmd_f0e1-policy_BestFit1000desharemd7031-de_share-gs_best-scmd_7031-used_nodes,ow_multigpu50-dr_0.0-tn_1.3-ts_42-if_1.0-ccmd_f0e1-policy_BestFit1000desharemd7031-de_share-gs_best-scmd_7031-used_gpus,ow_multigpu50-dr_0.0-tn_1.3-ts_42-if_1.0-ccmd_f0e1-policy_BestFit1000desharemd7031-de_share-gs_best-scmd_7031-used_gpu_milli,ow_multigpu50-dr_0.0-tn_1.3-ts_42-if_1.0-ccmd_f0e1-policy_BestFit1000desharemd7031-de_share-gs_best-scmd_7031-total_gpus,ow_multigpu50-dr_0.0-tn_1.3-ts_42-if_1.0-ccmd_f0e1-policy_BestFit1000desharemd7031-de_share-gs_best-scmd_7031-arrived_gpu_milli
136,334,235090,6212,235090
137,336,236090,6212,236090
138,337,237090,6212,237090
139,339,237740,6212,237740
140,340,238740,6212,238740
141,342,239210,6212,239210
141,342,239210,6212,239210
142,343,239680,6212,239680
143,345,240680,6212,240680
143,345,241150,6212,241150
144,347,242150,6212,242150
145,349,242150,6212,242150
146,351,243150,6212,243150
146,351,243470,6212,243470
146,351,244470,6212,244470
146,351,245060,6212,245060
147,353,245710,6212,245710
148,355,246710,6212,246710
149,357,247360,6212,247360
150,359,248360,6212,248360
150,359,249360,6212,249360
150,359,250170,6212,250170
151,361,251170,6212,251170
152,363,252170,6212,252170
153,367,256170,6212,256170
154,369,257170,6212,257170
155,371,258170,6212,258170
156,373,258820,6212,258820
156,373,259140,6212,259140
157,375,260140,6212,260140
158,376,260610,6212,260610
158,376,261610,6212,261610
159,378,262610,6212,262610
160,380,263080,6212,263080
161,384,267080,6212,267080
162,386,268080,6212,268080
162,386,268080,6212,268080
162,386,268540,6212,268540
162,386,268540,6212,268540
162,386,269540,6212,269540
162,386,269540,6212,269540
162,386,270540,6212,270540
162,386,271010,6212,271010
162,386,271010,6212,271010
163,390,271480,6212,271480
163,390,272480,6212,272480
163,390,272710,6212,272710
164,392,273180,6212,273180
164,392,273180,6212,273180
165,396,274180,6212,274180
165,396,274990,6212,274990
165,396,275990,6212,275990
166,398,275990,6212,275990
166,398,276310,6212,276310
166,398,277310,6212,277310
166,398,278310,6212,278310
166,398,279310,6212,279310
167,402,280310,6212,280310
167,402,281310,6212,281310
167,402,281770,6212,281770
168,406,282770,6212,282770
168,406,283770,6212,283770
168,406,284580,6212,284580
168,406,285390,6212,285390
168,406,287390,6212,287390
168,406,287620,6212,287620
169,408,288620,6212,288620
169,408,288620,6212,288620
169,408,288990,6212,288990
169,408,289990,6212,289990
169,408,290460,6212,290460
169,408,291460,6212,291460
169,408,292460,6212,292460
170,410,293460,6212,293460
170,410,294460,6212,294460
170,410,295270,6212,295270
171,412,296270,6212,296270
171,412,296270,6212,296270
171,412,296740,6212,296740
171,412,297550,6212,297550
171,412,297550,6212,297550
171,412,298360,6212,298360
171,412,298830,6212,298830
171,412,299060,6212,299060
172,414,300060,6212,300060
172,414,301060,6212,301060
172,414,301870,6212,301870
172,414,302680,6212,302680
173,416,302680,6212,302680
173,416,303680,6212,303680
173,416,304150,6212,304150
174,424,312150,6212,312150
174,424,312960,6212,312960
175,426,313430,6212,313430
175,426,313430,6212,313430
175,426,314430,6212,314430
175,426,315430,6212,315430
175,426,316430,6212,316430
175,426,316900,6212,316900
176,428,317900,6212,317900
176,428,317900,6212,317900
177,432,321900,6212,321900
177,432,322490,6212,322490
177,432,323490,6212,323490
177,432,323490,6212,323490
177,432,324490,6212,324490
177,432,325300,6212,325300
178,436,326300,6212,326300
178,436,327300,6212,327300
178,436,328110,6212,328110
178,436,329110,6212,329110
178,436,329270,6212,329270
179,440,330270,6212,330270
179,440,330270,6212,330270
179,440,331080,6212,331080
179,440,331630,6212,331630
179,440,332630,6212,332630
179,440,333090,6212,333090
180,444,334090,6212,334090
180,444,335090,6212,335090
180,444,336090,6212,336090
180,444,336090,6212,336090
181,448,337090,6212,337090
181,448,338090,6212,338090
181,448,338900,6212,338900
182,456,346900,6212,346900
183,460,347900,6212,347900
183,460,348900,6212,348900
184,462,349120,6212,349120
184,462,349930,6212,349930
184,462,349930,6212,349930
184,462,350930,6212,350930
184,462,351740,6212,351740
184,462,352550,6212,352550
184,462,353550,6212,353550
185,464,354550,6212,354550
185,464,355550,6212,355550
186,468,359550,6212,359550
187,470,360550,6212,360550
187,470,361010,6212,361010
188,478,369010,6212,369010
188,478,369820,6212,369820
188,478,370820,6212,370820
188,478,371820,6212,371820
189,482,372280,6212,372280
189,482,372750,6212,372750
189,482,372980,6212,372980
189,482,373980,6212,373980
190,486,374980,6212,374980
190,486,375980,6212,375980
190,486,375980,6212,375980
