ow_gpuspec10-dr_0.0-tn_1.3-ts_42-if_1.0-ccmd_5ec5-policy_FGD1000desharemda78a-de_share-gs_FGDScore-scmd_a78a-used_nodes,ow_gpuspec10-dr_0.0-tn_1.3-ts_42-if_1.0-ccmd_5ec5-policy_FGD1000desharemda78a-de_share-gs_FGDScore-scmd_a78a-used_gpus,ow_gpuspec10-dr_0.0-tn_1.3-ts_42-if_1.0-ccmd_5ec5-policy_FGD1000desharemda78a-de_share-gs_FGDScore-scmd_a78a-used_gpu_milli,ow_gpuspec10-dr_0.0-tn_1.3-ts_42-if_1.0-ccmd_5ec5-policy_FGD1000desharemda78a-de_share-gs_FGDScore-scmd_a78a-total_gpus,ow_gpuspec10-dr_0.0-tn_1.3-ts_42-if_1.0-ccmd_5ec5-policy_FGD1000desharemda78a-de_share-gs_FGDScore-scmd_a78a-arrived_gpu_milli
37,80,48290,6212,48290
37,80,49290,6212,49290
37,80,50290,6212,50290
37,80,51100,6212,51100
37,80,51100,6212,51100
37,80,52100,6212,52100
37,80,53100,6212,53100
38,82,53910,6212,53910
38,82,57910,6212,57910
38,82,57910,6212,57910
38,82,58720,6212,58720
38,82,58720,6212,58720
38,82,59530,6212,59530
38,82,60530,6212,60530
39,84,61530,6212,61530
39,84,61530,6212,61530
39,84,62340,6212,62340
39,84,63340,6212,63340
39,84,64340,6212,64340
40,86,65340,6212,65340
40,86,66340,6212,66340
41,88,66990,6212,66990
41,88,67800,6212,67800
41,88,68800,6212,68800
42,90,69800,6212,69800
43,92,70270,6212,70270
43,92,70590,6212,70590
43,92,70590,6212,70590
43,92,71400,6212,71400
43,92,72210,6212,72210
43,92,72760,6212,72760
43,92,73570,6212,73570
43,92,73570,6212,73570
43,92,73570,6212,73570
44,94,74570,6212,74570
44,94,75570,6212,75570
45,96,76570,6212,76570
46,100,77380,6212,77380
46,100,78380,6212,78380
46,100,78850,6212,78850
47,102,79850,6212,79850
47,102,80850,6212,80850
47,102,81660,6212,81660
48,110,82660,6212,82660
48,110,83660,6212,83660
48,110,84660,6212,84660
48,110,84660,6212,84660
48,110,84660,6212,84660
49,118,84660,6212,84660
49,118,84660,6212,84660
49,118,85660,6212,85660
49,118,86660,6212,86660
49,118,87660,6212,87660
49,118,88470,6212,88470
49,118,88470,6212,88470
49,118,88470,6212,88470
49,118,89470,6212,89470
49,118,89470,6212,89470
49,118,89470,6212,89470
49,118,89470,6212,89470
50,126,90120,6212,90120
50,126,90930,6212,90930
50,126,90930,6212,90930
50,126,91930,6212,91930
50,126,92930,6212,92930
51,128,93400,6212,93400
51,128,94400,6212,94400
51,128,95400,6212,95400
51,128,96210,6212,96210
51,128,97210,6212,97210
52,130,98210,6212,98210
52,130,98210,6212,98210
52,130,98860,6212,98860
53,132,99860,6212,99860
53,132,99860,6212,99860
54,134,100510,6212,100510
54,134,100980,6212,100980
54,134,101980,6212,101980
54,134,102790,6212,102790
54,134,103600,6212,103600
54,134,104600,6212,104600
55,138,105410,6212,105410
56,146,106410,6212,106410
56,146,106880,6212,106880
57,148,107880,6212,107880
57,148,108880,6212,108880
57,148,109690,6212,109690
57,148,110690,6212,110690
57,148,111010,6212,111010
57,148,111560,6212,111560
57,148,112560,6212,112560
57,148,113560,6212,113560
57,148,114020,6212,114020
58,150,115020,6212,115020
58,150,115830,6212,115830
58,150,116830,6212,116830
59,158,117830,6212,117830
59,158,118150,6212,118150
59,158,119150,6212,119150
59,158,119470,6212,119470
59,158,120470,6212,120470
59,158,120790,6212,120790
60,166,120790,6212,120790
60,166,121790,6212,121790
60,166,121790,6212,121790
61,168,122790,6212,122790
61,168,123790,6212,123790
61,168,124600,6212,124600
61,168,125600,6212,125600
61,168,125600,6212,125600
61,168,126600,6212,126600
62,176,127070,6212,127070
62,176,127880,6212,127880
62,176,128880,6212,128880
63,178,129530,6212,129530
63,178,129530,6212,129530
63,178,129530,6212,129530
63,178,129760,6212,129760
63,178,130080,6212,130080
63,178,130400,6212,130400
63,178,131210,6212,131210
63,178,132210,6212,132210
63,178,133020,6212,133020
63,178,133020,6212,133020
63,178,133020,6212,133020
63,178,134020,6212,134020
63,178,134830,6212,134830
63,178,134830,6212,134830
64,186,134830,6212,134830
64,186,135640,6212,135640
65,188,135960,6212,135960
65,188,136960,6212,136960
65,188,137960,6212,137960
65,188,138960,6212,138960
66,190,139610,6212,139610
66,190,140610,6212,140610
66,190,141420,6212,141420
66,190,141420,6212,141420
66,190,142420,6212,142420
67,192,143420,6212,143420
67,192,144420,6212,144420
67,192,145230,6212,145230
67,192,145600,6212,145600
67,192,146070,6212,146070
68,196,147070,6212,147070
68,196,147540,6212,147540
68,196,148540,6212,148540
68,196,149540,6212,149540
68,196,150010,6212,150010
68,196,151010,6212,151010
69,200,151820,6212,151820
69,200,152630,6212,152630
69,200,153630,6212,153630
69,200,153630,6212,153630
70,208,154630,6212,154630
70,208,155100,6212,155100
71,210,156100,6212,156100
71,210,156570,6212,156570
71,210,156940,6212,156940
71,210,157940,6212,157940
71,210,158750,6212,158750
71,210,159560,6212,159560
72,212,160020,6212,160020
72,212,160830,6212,160830
72,212,161480,6212,161480
72,212,161710,6212,161710
72,212,161710,6212,161710
72,212,161710,6212,161710
72,212,161710,6212,161710
72,212,162710,6212,162710
72,212,163520,6212,163520
73,220,167520,6212,167520
73,220,168520,6212,168520
73,220,169520,6212,169520
73,220,170520,6212,170520
73,220,171520,6212,171520
73,220,172520,6212,172520
73,220,172990,6212,172990
74,222,173990,6212,173990
74,222,174990,6212,174990
74,222,175460,6212,175460
75,224,176460,6212,176460
75,224,177460,6212,177460
75,224,178270,6212,178270
76,226,179270,6212,179270
76,226,179740,6212,179740
76,226,180740,6212,180740
77,228,181740,6212,181740
77,228,182740,6212,182740
78,230,183740,6212,183740
78,230,184740,6212,184740
78,230,185200,6212,185200
78,230,186200,6212,186200
78,230,186200,6212,186200
78,230,187200,6212,187200
78,230,188200,6212,188200
79,232,189200,6212,189200
79,232,189520,6212,189520
80,236,190330,6212,190330
80,236,191140,6212,191140
80,236,191690,6212,191690
80,236,192160,6212,192160
80,236,192160,6212,192160
80,236,192390,6212,192390
81,240,192860,6212,192860
81,240,193080,6212,193080
81,240,194080,6212,194080
81,240,194890,6212,194890
81,240,195890,6212,195890
81,240,196700,6212,196700
81,240,196700,6212,196700
81,240,197170,6212,197170
81,240,198170,6212,198170
82,242,199170,6212,199170
83,246,199980,6212,199980
84,254,200980,6212,200980
84,254,201980,6212,201980
84,254,202450,6212,202450
85,256,203450,6212,203450
85,256,204260,6212,204260
85,256,205260,6212,205260
85,256,205730,6212,205730
85,256,205730,6212,205730
86,258,206540,6212,206540
86,258,207350,6212,207350
86,258,207350,6212,207350
86,258,208350,6212,208350
87,260,209350,6212,209350
87,260,209580,6212,209580
87,260,211580,6212,211580
87,260,211580,6212,211580
87,260,212390,6212,212390
87,260,212390,6212,212390
88,262,213390,6212,213390
88,262,214390,6212,214390
88,262,215200,6212,215200
89,264,216200,6212,216200
89,264,217200,6212,217200
90,268,218200,6212,218200
90,268,219010,6212,219010
91,270,219330,6212,219330
91,270,220140,6212,220140
91,270,221140,6212,221140
91,270,222140,6212,222140
92,278,222140,6212,222140
92,278,223140,6212,223140
93,280,223790,6212,223790
93,280,223790,6212,223790
94,282,224790,6212,224790
94,282,226790,6212,226790
94,282,227020,6212,227020
94,282,227490,6212,227490
95,284,228490,6212,228490
95,284,229300,6212,229300
95,284,230300,6212,230300
96,286,231300,6212,231300
96,286,232300,6212,232300
96,286,233110,6212,233110
96,286,233110,6212,233110
96,286,233920,6212,233920
96,286,234510,6212,234510
96,286,234830,6212,234830
97,288,235830,6212,235830
97,288,235830,6212,235830
97,288,235830,6212,235830
97,288,236300,6212,236300
97,288,237110,6212,237110
97,288,237110,6212,237110
98,290,238110,6212,238110
98,290,238340,6212,238340
98,290,239340,6212,239340
98,290,240340,6212,240340
98,290,241340,6212,241340
98,290,241340,6212,241340
98,290,241660,6212,241660
98,290,242130,6212,242130
98,290,243130,6212,243130
98,290,243130,6212,243130
99,292,243780,6212,243780
99,292,244590,6212,244590
100,300,252590,6212,252590
100,300,253590,6212,253590
101,302,254590,6212,254590
101,302,255590,6212,255590
102,304,256240,6212,256240
102,304,257240,6212,257240
103,312,257710,6212,257710
103,312,258710,6212,258710
104,314,259710,6212,259710
104,314,260710,6212,260710
105,316,261710,6212,261710
105,316,262710,6212,262710
105,316,262940,6212,262940
106,318,263940,6212,263940
106,318,264940,6212,264940
107,322,265750,6212,265750
107,322,266560,6212,266560
107,322,267030,6212,267030
107,322,268030,6212,268030
108,330,269030,6212,269030
108,330,270030,6212,270030
108,330,271030,6212,271030
108,330,271030,6212,271030
109,332,271580,6212,271580
109,332,272050,6212,272050
109,332,272700,6212,272700
109,332,272700,6212,272700
109,332,273700,6212,273700
109,332,274700,6212,274700
109,332,275510,6212,275510
109,332,275980,6212,275980
109,332,276980,6212,276980
109,332,277980,6212,277980
109,332,278980,6212,278980
110,336,279790,6212,279790
111,338,280790,6212,280790
112,346,288790,6212,288790
112,346,289600,6212,289600
112,346,290600,6212,290600
113,348,291150,6212,291150
114,350,292150,6212,292150
114,350,293150,6212,293150
114,350,293620,6212,293620
115,352,294620,6212,294620
115,352,295430,6212,295430
116,360,296080,6212,296080
116,360,297080,6212,297080
116,360,298080,6212,298080
116,360,299080,6212,299080
117,362,300080,6212,300080
117,362,301080,6212,301080
117,362,302080,6212,302080
118,364,303080,6212,303080
118,364,304080,6212,304080
118,364,304550,6212,304550
119,366,305550,6212,305550
120,374,305550,6212,305550
120,374,306550,6212,306550
120,374,306550,6212,306550
120,374,307550,6212,307550
120,374,308550,6212,308550
121,382,308550,6212,308550
122,384,309550,6212,309550
122,384,309780,6212,309780
122,384,310780,6212,310780
122,384,311780,6212,311780
122,384,311780,6212,311780
122,384,311780,6212,311780
122,384,312240,6212,312240
122,384,313240,6212,313240
122,384,314050,6212,314050
122,384,314050,6212,314050
122,384,315050,6212,315050
122,384,315270,6212,315270
123,386,316270,6212,316270
123,386,317080,6212,317080
123,386,318080,6212,318080
123,386,318540,6212,318540
123,386,319350,6212,319350
123,386,320160,6212,320160
123,386,320810,6212,320810
123,386,321810,6212,321810
123,386,322040,6212,322040
124,388,323040,6212,323040
125,392,324040,6212,324040
125,392,325040,6212,325040
125,392,326040,6212,326040
125,392,326510,6212,326510
125,392,326980,6212,326980
126,394,327980,6212,327980
126,394,328980,6212,328980
127,396,329980,6212,329980
127,396,330980,6212,330980
127,396,331300,6212,331300
128,398,332300,6212,332300
128,398,333110,6212,333110
128,398,333920,6212,333920
129,400,334920,6212,334920
129,400,335920,6212,335920
129,400,336920,6212,336920
130,404,337730,6212,337730
130,404,338540,6212,338540
130,404,339540,6212,339540
130,404,340010,6212,340010
131,406,341010,6212,341010
131,406,341010,6212,341010
131,406,341010,6212,341010
131,406,342010,6212,342010
131,406,342010,6212,342010
132,408,343010,6212,343010
132,408,343010,6212,343010
132,408,343820,6212,343820
132,408,344820,6212,344820
132,408,345050,6212,345050
132,408,346050,6212,346050
133,412,346860,6212,346860
133,412,347670,6212,347670
133,412,347670,6212,347670
134,414,348670,6212,348670
135,416,349020,6212,349020
135,416,350020,6212,350020
136,418,351020,6212,351020
136,418,351020,6212,351020
136,418,351340,6212,351340
136,418,352340,6212,352340
137,420,353340,6212,353340
137,420,353340,6212,353340
137,420,354340,6212,354340
137,420,355340,6212,355340
137,420,356150,6212,356150
137,420,357150,6212,357150
137,420,357150,6212,357150
138,422,358150,6212,358150
138,422,359150,6212,359150
139,424,360150,6212,360150
140,426,360620,6212,360620
140,426,361620,6212,361620
141,428,362620,6212,362620
141,428,363430,6212,363430
142,432,364240,6212,364240
142,432,365240,6212,365240
143,440,365240,6212,365240
143,440,365240,6212,365240
144,442,366240,6212,366240
144,442,366470,6212,366470
144,442,367470,6212,367470
144,442,368470,6212,368470
144,442,369280,6212,369280
144,442,369930,6212,369930
144,442,369930,6212,369930
144,442,370930,6212,370930
144,442,371930,6212,371930
144,442,372390,6212,372390
144,442,373200,6212,373200
145,446,374200,6212,374200
145,446,375200,6212,375200
146,454,376200,6212,376200
146,454,377200,6212,377200
146,454,378010,6212,378010
146,454,378010,6212,378010
146,454,379010,6212,379010
147,456,380010,6212,380010
147,456,381010,6212,381010
147,456,381480,6212,381480
147,456,382480,6212,382480
148,458,383480,6212,383480
149,466,383480,6212,383480
149,466,384480,6212,384480
149,466,385290,6212,385290
149,466,385520,6212,385520
150,468,386520,6212,386520
151,470,387520,6212,387520
151,470,388520,6212,388520
151,470,389520,6212,389520
152,472,389990,6212,389990
152,472,390990,6212,390990
153,474,391990,6212,391990
153,474,392990,6212,392990
154,476,393990,6212,393990
154,476,394800,6212,394800
154,476,395800,6212,395800
154,476,396800,6212,396800
154,476,397800,6212,397800
154,476,398030,6212,398030
154,476,398030,6212,398030
155,478,399030,6212,399030
155,478,399840,6212,399840
155,478,400840,6212,400840
156,480,401840,6212,401840
156,480,402160,6212,402160
156,480,403160,6212,403160
156,480,403160,6212,403160
156,480,404160,6212,404160
156,480,404970,6212,404970
156,480,405520,6212,405520
156,480,405520,6212,405520
156,480,405680,6212,405680
156,480,406000,6212,406000
156,480,406810,6212,406810
156,480,407280,6212,407280
157,482,408280,6212,408280
157,482,409090,6212,409090
157,482,409560,6212,409560
157,482,410020,6212,410020
157,482,411020,6212,411020
157,482,412020,6212,412020
157,482,413020,6212,413020
157,482,413240,6212,413240
157,482,413240,6212,413240
157,482,414240,6212,414240
158,490,422240,6212,422240
158,490,423240,6212,423240
158,490,424050,6212,424050
158,490,424050,6212,424050
158,490,425050,6212,425050
159,492,426050,6212,426050
159,492,426270,6212,426270
159,492,426920,6212,426920
160,494,427920,6212,427920
160,494,428920,6212,428920
161,496,429920,6212,429920
161,496,430570,6212,430570
162,504,431380,6212,431380
163,506,432380,6212,432380
163,506,433030,6212,433030
163,506,433500,6212,433500
163,506,433500,6212,433500
163,506,434310,6212,434310
164,508,434780,6212,434780
164,508,435250,6212,435250
164,508,435720,6212,435720
164,508,436190,6212,436190
164,508,437000,6212,437000
164,508,438000,6212,438000
164,508,438320,6212,438320
165,510,439320,6212,439320
165,510,440130,6212,440130
166,518,440600,6212,440600
166,518,441600,6212,441600
166,518,441920,6212,441920
166,518,442730,6212,442730
166,518,442890,6212,442890
167,520,443890,6212,443890
167,520,444540,6212,444540
168,528,444540,6212,444540
168,528,445540,6212,445540
168,528,446010,6212,446010
169,530,447010,6212,447010
169,530,447330,6212,447330
169,530,448330,6212,448330
170,532,449330,6212,449330
170,532,449700,6212,449700
170,532,450700,6212,450700
171,534,451700,6212,451700
171,534,452700,6212,452700
172,536,453700,6212,453700
172,536,454700,6212,454700
172,536,455700,6212,455700
172,536,456700,6212,456700
172,536,456700,6212,456700
172,536,456700,6212,456700
172,536,456930,6212,456930
172,536,457930,6212,457930
172,536,457930,6212,457930
172,536,458250,6212,458250
172,536,458720,6212,458720
172,536,459720,6212,459720
172,536,460720,6212,460720
173,538,461720,6212,461720
174,542,462530,6212,462530
174,542,463340,6212,463340
174,542,463820,6212,463820
174,542,464820,6212,464820
175,544,465820,6212,465820
175,544,466820,6212,466820
175,544,466820,6212,466820
176,546,467820,6212,467820
176,546,468820,6212,468820
176,546,469630,6212,469630
176,546,470630,6212,470630
176,546,471100,6212,471100
177,548,472100,6212,472100
177,548,472910,6212,472910
178,552,473720,6212,473720
178,552,474720,6212,474720
178,552,475720,6212,475720
178,552,476720,6212,476720
178,552,477530,6212,477530
178,552,477760,6212,477760
178,552,478760,6212,478760
178,552,478760,6212,478760
178,552,479760,6212,479760
178,552,479980,6212,479980
178,552,480450,6212,480450
178,552,481260,6212,481260
178,552,482260,6212,482260
179,554,483260,6212,483260
179,554,484260,6212,484260
179,554,485070,6212,485070
180,556,485660,6212,485660
180,556,486660,6212,486660
181,564,494660,6212,494660
181,564,495210,6212,495210
181,564,496020,6212,496020
181,564,496020,6212,496020
182,566,497020,6212,497020
182,566,498020,6212,498020
182,566,498020,6212,498020
183,568,499020,6212,499020
183,568,500020,6212,500020
183,568,500250,6212,500250
184,570,501250,6212,501250
184,570,501410,6212,501410
184,570,502410,6212,502410
185,572,503410,6212,503410
185,572,504410,6212,504410
185,572,504880,6212,504880
186,576,505350,6212,505350
186,576,505820,6212,505820
187,578,506820,6212,506820
188,582,507630,6212,507630
189,584,508630,6212,508630
189,584,509630,6212,509630
189,584,509950,6212,509950
189,584,510760,6212,510760
190,586,511080,6212,511080
190,586,511550,6212,511550
190,586,512360,6212,512360
190,586,512830,6212,512830
190,586,513830,6212,513830
191,588,514300,6212,514300
191,588,514300,6212,514300
191,588,514620,6212,514620
192,590,515620,6212,515620
192,590,516620,6212,516620
192,590,517430,6212,517430
192,590,518430,6212,518430
192,590,518900,6212,518900
192,590,519220,6212,519220
192,590,519690,6212,519690
192,590,520500,6212,520500
