ow_gpuspec10-dr_0.0-tn_1.3-ts_42-if_1.0-ccmd_5ec5-policy_FGD1000desharemda78a-de_share-gs_FGDScore-scmd_a78a-origin_milli,ow_gpuspec10-dr_0.0-tn_1.3-ts_42-if_1.0-ccmd_5ec5-policy_FGD1000desharemda78a-de_share-gs_FGDScore-scmd_a78a-origin_ratio,ow_gpuspec10-dr_0.0-tn_1.3-ts_42-if_1.0-ccmd_5ec5-policy_FGD1000desharemda78a-de_share-gs_FGDScore-scmd_a78a-origin_q124,ow_gpuspec10-dr_0.0-tn_1.3-ts_42-if_1.0-ccmd_5ec5-policy_FGD1000desharemda78a-de_share-gs_FGDScore-scmd_a78a-bellman_milli,ow_gpuspec10-dr_0.0-tn_1.3-ts_42-if_1.0-ccmd_5ec5-policy_FGD1000desharemda78a-de_share-gs_FGDScore-scmd_a78a-bellman_ratio
1159471.98,18.92,0.34,206387.44,3.37
1159269.32,18.92,0.34,206406.91,3.37
1159066.66,18.92,0.34,206387.07,3.37
1158864.0,18.92,0.34,206375.24,3.37
1158849.31,18.92,0.34,206627.04,3.37
1158849.31,18.92,0.34,206627.04,3.37
1158849.31,18.92,0.34,206627.04,3.37
1158646.65,18.92,0.34,206528.24,3.37
1158646.65,18.92,0.34,206528.24,3.37
1158646.65,18.92,0.34,206528.24,3.37
1158646.65,18.92,0.34,206528.24,3.37
1158801.51,18.93,0.34,206531.03,3.37
1158786.82,18.93,0.35,206508.15,3.37
1158786.82,18.93,0.35,206508.15,3.37
1158584.16,18.93,0.35,206495.3,3.37
1158381.5,18.93,0.35,206518.96,3.38
1158620.25,18.94,0.35,206610.05,3.38
1158417.6,18.94,0.35,206590.9,3.38
1158214.94,18.94,0.35,206573.99,3.38
1158200.24,18.94,0.35,207192.36,3.39
1157997.58,18.94,0.35,207218.64,3.39
1157830.55,18.94,0.35,207141.49,3.39
1157830.55,18.94,0.35,207141.49,3.39
1157987.4,18.94,0.36,207451.51,3.39
1157820.37,18.94,0.36,207442.56,3.39
1157820.37,18.94,0.36,207442.56,3.39
1157951.42,18.95,0.36,207184.64,3.39
1157580.07,18.94,0.36,207009.3,3.39
1157306.29,18.94,0.36,206655.6,3.38
1157327.22,18.94,0.36,206744.37,3.38
1157326.33,18.95,0.36,206628.31,3.38
1157124.75,18.95,0.36,207118.26,3.39
1157114.44,18.95,0.36,206578.39,3.38
1156949.22,18.95,0.36,206584.57,3.38
1157183.66,18.95,0.37,206559.99,3.38
1157000.88,18.95,0.37,205930.13,3.37
1156716.9,18.95,0.37,205624.96,3.37
1156706.59,18.96,0.37,205608.16,3.37
1156508.32,18.96,0.37,205670.5,3.37
1156224.73,18.95,0.37,205456.47,3.37
1156441.26,18.96,0.37,205401.58,3.37
1156242.99,18.96,0.37,205383.61,3.37
1156044.72,18.96,0.37,206263.95,3.38
1155682.0,18.95,0.37,205550.14,3.37
1155499.22,18.95,0.37,204920.28,3.36
1155403.2,18.95,0.37,204798.54,3.36
1155204.93,18.95,0.37,205301.95,3.37
1155035.32,18.95,0.37,205291.3,3.37
1154741.3,18.95,0.37,204997.89,3.36
1154538.64,18.95,0.37,205019.31,3.36
1154244.16,18.95,0.36,204762.8,3.36
1154041.51,18.95,0.36,204739.19,3.36
1153747.62,18.94,0.36,204454.7,3.36
1153747.62,18.94,0.36,204453.62,3.36
1153544.96,18.94,0.36,204431.27,3.36
1153544.96,18.94,0.36,204431.27,3.36
1153377.93,18.94,0.36,204353.77,3.36
1153175.27,18.94,0.36,204345.53,3.36
1153160.57,18.94,0.36,204471.94,3.36
1152957.91,18.94,0.36,204502.6,3.36
1152957.91,18.94,0.36,204502.6,3.36
1152755.25,18.94,0.36,204494.59,3.36
1152989.7,18.95,0.37,204445.55,3.36
1152979.39,18.95,0.37,204229.05,3.36
1152812.36,18.95,0.37,204224.92,3.36
1152969.22,18.96,0.37,204262.53,3.36
1152969.22,18.96,0.37,204262.53,3.36
1152969.22,18.96,0.37,204262.53,3.36
1152765.08,18.95,0.37,204353.78,3.36
1152480.01,18.95,0.37,204046.69,3.35
1152255.05,18.95,0.36,203948.31,3.35
1152254.17,18.95,0.37,203832.25,3.35
1152052.58,18.95,0.37,204322.2,3.36
1152042.27,18.95,0.37,204995.36,3.37
1152042.27,18.95,0.37,204995.36,3.37
1152042.27,18.95,0.37,204995.36,3.37
1151875.24,18.95,0.37,204887.89,3.37
1151864.93,18.95,0.37,204248.66,3.36
1151864.93,18.95,0.37,204248.66,3.36
1151864.93,18.95,0.37,204247.58,3.36
1151854.63,18.96,0.37,204203.62,3.36
1152193.76,18.96,0.38,203980.18,3.36
1151961.48,18.96,0.38,203883.27,3.36
1151801.94,18.96,0.38,203877.61,3.36
1151609.35,18.96,0.38,203849.19,3.36
1151766.2,18.97,0.38,203886.81,3.36
1151573.61,18.97,0.38,204183.86,3.36
1151594.54,18.97,0.39,204488.28,3.37
1151594.54,18.97,0.39,204484.36,3.37
1151401.95,18.97,0.39,204331.5,3.37
1151234.92,18.97,0.39,204329.49,3.37
1151067.89,18.97,0.39,204249.87,3.37
1151057.58,18.97,0.39,205056.02,3.38
1150785.36,18.97,0.39,204742.73,3.38
1151019.81,18.98,0.39,204504.2,3.37
1150852.78,18.98,0.39,204484.36,3.37
1150642.44,18.97,0.39,204370.65,3.37
1150475.41,18.97,0.39,204359.32,3.37
1150308.38,18.97,0.39,204473.39,3.37
1150547.14,18.98,0.4,204955.33,3.38
1150380.1,18.98,0.4,204833.0,3.38
1150369.8,18.98,0.4,204692.34,3.38
1150359.49,18.98,0.4,204680.1,3.38
1150195.17,18.99,0.4,205932.72,3.4
1150195.17,18.99,0.4,205932.72,3.4
1150029.95,18.99,0.4,205938.89,3.4
1149658.6,18.98,0.4,205572.57,3.39
1149491.57,18.98,0.4,205495.13,3.39
1149726.01,18.99,0.4,205470.56,3.39
1149451.58,18.98,0.4,205514.19,3.39
1149284.55,18.98,0.4,205510.0,3.39
1149274.24,18.99,0.4,205477.27,3.39
1149263.94,18.99,0.4,205456.99,3.39
1149534.02,18.99,0.41,205447.68,3.39
1149523.71,19.0,0.41,205432.04,3.39
1149680.57,19.0,0.42,206112.21,3.41
1149459.17,19.0,0.41,205890.82,3.4
1149459.17,19.0,0.41,205890.82,3.4
1149459.17,19.0,0.41,205890.82,3.4
1149459.17,19.0,0.41,205875.65,3.4
1149260.9,19.0,0.41,206335.88,3.41
1149250.6,19.0,0.42,206579.97,3.42
1148473.01,19.0,0.42,206563.84,3.42
1148270.35,19.0,0.42,206538.92,3.42
1148067.69,19.0,0.42,206622.31,3.42
1147865.03,19.0,0.42,206556.35,3.42
1147662.37,19.0,0.42,206524.15,3.42
1147464.1,19.0,0.42,206620.63,3.42
1147096.98,18.99,0.41,206197.66,3.41
1146929.95,19.0,0.41,206120.16,3.41
1146762.92,19.0,0.41,206116.03,3.41
1146997.36,19.0,0.42,206113.59,3.41
1146830.33,19.0,0.42,206104.65,3.41
1146663.3,19.0,0.42,206031.97,3.41
1146652.99,19.0,0.42,206943.92,3.43
1146485.96,19.0,0.42,206866.62,3.43
1146113.24,19.0,0.42,206463.65,3.42
1145946.21,19.0,0.42,206459.32,3.42
1145779.18,19.0,0.42,206450.38,3.42
1145612.15,19.0,0.42,206377.7,3.42
1145445.11,19.0,0.42,206375.69,3.42
1145278.08,19.0,0.42,206296.07,3.42
1145559.42,19.01,0.42,206292.74,3.42
1145366.83,19.01,0.42,206263.02,3.42
1145366.83,19.01,0.42,206870.27,3.43
1145174.24,19.01,0.42,206819.53,3.43
1144981.64,19.01,0.42,206784.37,3.43
1144814.61,19.01,0.42,206775.43,3.43
1144520.73,19.0,0.42,206564.19,3.43
1144510.42,19.01,0.42,206024.32,3.42
1144500.11,19.01,0.42,205807.83,3.42
1144726.07,19.01,0.43,206525.33,3.43
1144524.02,19.01,0.43,206378.34,3.43
1144524.02,19.01,0.43,206378.34,3.43
1144319.89,19.01,0.42,206234.15,3.43
1144554.34,19.02,0.43,206205.11,3.43
1144389.69,19.01,0.43,205425.35,3.41
1144153.86,19.01,0.43,205890.9,3.42
1144143.55,19.01,0.43,205707.15,3.42
1143976.52,19.02,0.43,205634.47,3.42
1143966.21,19.02,0.43,205691.92,3.42
1143966.21,19.02,0.43,205662.42,3.42
1143602.92,19.01,0.43,206206.79,3.43
1143399.3,19.01,0.43,206023.03,3.43
1143232.27,19.01,0.43,205945.73,3.43
1143221.96,19.02,0.43,205805.07,3.42
1143056.73,19.02,0.43,205801.51,3.42
1142889.7,19.02,0.43,205797.18,3.42
1143124.15,19.02,0.43,205768.89,3.42
1142957.12,19.02,0.43,205759.94,3.42
1142946.81,19.02,0.44,205809.94,3.43
1142779.78,19.02,0.44,205737.26,3.43
1142407.06,19.02,0.43,205701.57,3.42
1142407.06,19.02,0.43,205720.97,3.43
1142427.99,19.02,0.44,205818.29,3.43
1142417.69,19.03,0.44,205800.94,3.43
1142417.69,19.03,0.44,205832.44,3.43
1142250.65,19.03,0.44,205814.94,3.43
1142083.62,19.03,0.44,205806.0,3.43
1141861.61,19.02,0.43,205573.45,3.42
1141465.07,19.02,0.43,206112.69,3.43
1141465.07,19.02,0.43,206115.68,3.44
1141454.76,19.03,0.44,206160.43,3.44
1141454.76,19.03,0.44,206160.43,3.44
1141271.98,19.03,0.44,205530.56,3.43
