ow_multigpu40-dr_0.0-tn_1.3-ts_42-if_1.0-ccmd_6f7c-policy_DotProd1000demergemdac62-de_merge-gs_best-scmd_ac62-used_nodes,ow_multigpu40-dr_0.0-tn_1.3-ts_42-if_1.0-ccmd_6f7c-policy_DotProd1000demergemdac62-de_merge-gs_best-scmd_ac62-used_gpus,ow_multigpu40-dr_0.0-tn_1.3-ts_42-if_1.0-ccmd_6f7c-policy_DotProd1000demergemdac62-de_merge-gs_best-scmd_ac62-used_gpu_milli,ow_multigpu40-dr_0.0-tn_1.3-ts_42-if_1.0-ccmd_6f7c-policy_DotProd1000demergemdac62-de_merge-gs_best-scmd_ac62-total_gpus,ow_multigpu40-dr_0.0-tn_1.3-ts_42-if_1.0-ccmd_6f7c-policy_DotProd1000demergemdac62-de_merge-gs_best-scmd_ac62-arrived_gpu_milli
144,367,237160,6212,237160
145,369,237480,6212,237480
145,369,237800,6212,237800
146,371,239800,6212,239800
147,375,239800,6212,239800
148,377,240800,6212,240800
149,379,241800,6212,241800
150,381,242800,6212,242800
151,383,243800,6212,243800
152,385,244450,6212,244450
153,393,252450,6212,252450
153,393,253450,6212,253450
154,395,254450,6212,254450
155,397,255450,6212,255450
156,401,255450,6212,255450
156,401,256260,6212,256260
157,403,257260,6212,257260
158,407,257260,6212,257260
158,407,258070,6212,258070
159,409,259070,6212,259070
159,409,259660,6212,259660
160,413,260660,6212,260660
161,414,261660,6212,261660
161,414,262660,6212,262660
161,414,263130,6212,263130
162,416,263780,6212,263780
162,416,264590,6212,264590
162,416,265590,6212,265590
163,418,266590,6212,266590
164,420,267590,6212,267590
165,428,275590,6212,275590
166,430,276590,6212,276590
167,432,277590,6212,277590
168,434,278590,6212,278590
168,434,279400,6212,279400
169,438,280400,6212,280400
170,440,280870,6212,280870
171,442,281870,6212,281870
172,444,281870,6212,281870
172,444,282870,6212,282870
173,446,283870,6212,283870
174,448,284870,6212,284870
174,448,284870,6212,284870
175,450,284870,6212,284870
175,450,284920,6212,284920
175,450,285920,6212,285920
176,452,286920,6212,286920
176,452,287240,6212,287240
177,454,288240,6212,288240
178,456,289240,6212,289240
178,456,290240,6212,290240
178,456,290240,6212,290240
178,456,291050,6212,291050
178,456,291050,6212,291050
178,456,291210,6212,291210
178,456,292210,6212,292210
178,456,292210,6212,292210
178,456,293020,6212,293020
179,460,293020,6212,293020
180,468,301020,6212,301020
181,472,305020,6212,305020
181,472,306020,6212,306020
182,476,306020,6212,306020
182,476,306670,6212,306670
183,478,308670,6212,308670
183,478,308670,6212,308670
183,478,309480,6212,309480
184,480,310480,6212,310480
184,480,310480,6212,310480
184,480,311480,6212,311480
184,480,311480,6212,311480
185,482,312480,6212,312480
185,482,313130,6212,313130
186,484,314130,6212,314130
186,484,315130,6212,315130
187,486,316130,6212,316130
187,486,316450,6212,316450
187,486,316920,6212,316920
188,490,317570,6212,317570
188,490,317800,6212,317800
188,490,318270,6212,318270
188,490,319270,6212,319270
189,494,323270,6212,323270
189,494,324080,6212,324080
189,494,324550,6212,324550
190,496,326550,6212,326550
190,496,327550,6212,327550
191,498,329550,6212,329550
191,498,330200,6212,330200
192,502,330850,6212,330850
192,502,331660,6212,331660
192,502,332660,6212,332660
192,502,333130,6212,333130
192,502,334130,6212,334130
192,502,334600,6212,334600
192,502,335600,6212,335600
193,506,339600,6212,339600
193,506,339920,6212,339920
194,510,340920,6212,340920
194,510,341140,6212,341140
194,510,342140,6212,342140
194,510,342140,6212,342140
194,510,343140,6212,343140
194,510,343140,6212,343140
195,511,344140,6212,344140
196,515,344610,6212,344610
196,515,345610,6212,345610
196,515,346080,6212,346080
196,515,347080,6212,347080
196,515,347080,6212,347080
196,515,348080,6212,348080
197,517,349080,6212,349080
197,517,349560,6212,349560
