ow_multigpu40-dr_0.0-tn_1.3-ts_42-if_1.0-ccmd_6f7c-policy_DotProd1000demergemdac62-de_merge-gs_best-scmd_ac62-origin_milli,ow_multigpu40-dr_0.0-tn_1.3-ts_42-if_1.0-ccmd_6f7c-policy_DotProd1000demergemdac62-de_merge-gs_best-scmd_ac62-origin_ratio,ow_multigpu40-dr_0.0-tn_1.3-ts_42-if_1.0-ccmd_6f7c-policy_DotProd1000demergemdac62-de_merge-gs_best-scmd_ac62-origin_q124,ow_multigpu40-dr_0.0-tn_1.3-ts_42-if_1.0-ccmd_6f7c-policy_DotProd1000demergemdac62-de_merge-gs_best-scmd_ac62-bellman_milli,ow_multigpu40-dr_0.0-tn_1.3-ts_42-if_1.0-ccmd_6f7c-policy_DotProd1000demergemdac62-de_merge-gs_best-scmd_ac62-bellman_ratio
885602.72,14.34,1.65,584129.76,9.46
885307.16,14.33,1.64,583834.21,9.45
884146.59,14.33,1.64,583179.23,9.46
883429.04,14.33,1.63,582407.52,9.44
883968.7,14.34,1.64,582390.39,9.45
882953.32,14.34,1.65,581906.91,9.45
883196.11,14.34,1.65,581592.9,9.45
886486.97,14.4,1.71,584290.97,9.49
886762.16,14.4,1.71,584347.94,9.49
886059.04,14.39,1.7,583644.82,9.48
886059.04,14.39,1.7,583644.82,9.48
885043.65,14.4,1.7,583161.35,9.49
884412.16,14.39,1.7,582422.18,9.48
884951.83,14.4,1.71,582405.05,9.48
886108.8,14.42,1.73,583211.46,9.49
885666.07,14.41,1.72,582661.06,9.48
885034.58,14.41,1.71,581921.9,9.47
885810.85,14.42,1.73,582184.11,9.48
885179.36,14.41,1.72,581444.95,9.47
885454.36,14.42,1.73,581163.15,9.46
885091.86,14.42,1.72,580893.22,9.46
885065.26,14.42,1.73,580823.87,9.46
886222.23,14.44,1.74,581630.29,9.47
886465.02,14.44,1.75,581316.27,9.47
887218.5,14.46,1.76,581322.69,9.47
886483.17,14.45,1.75,580587.35,9.46
886740.38,14.45,1.76,580341.92,9.46
886736.56,14.45,1.76,580528.37,9.46
887888.48,14.47,1.78,580302.36,9.46
