ow_gpushare40-dr_0.0-tn_1.3-ts_42-if_1.0-ccmd_b45b-policy_FGD1000desharemda78a-de_share-gs_FGDScore-scmd_a78a-origin_milli,ow_gpushare40-dr_0.0-tn_1.3-ts_42-if_1.0-ccmd_b45b-policy_FGD1000desharemda78a-de_share-gs_FGDScore-scmd_a78a-origin_ratio,ow_gpushare40-dr_0.0-tn_1.3-ts_42-if_1.0-ccmd_b45b-policy_FGD1000desharemda78a-de_share-gs_FGDScore-scmd_a78a-origin_q124,ow_gpushare40-dr_0.0-tn_1.3-ts_42-if_1.0-ccmd_b45b-policy_FGD1000desharemda78a-de_share-gs_FGDScore-scmd_a78a-bellman_milli,ow_gpushare40-dr_0.0-tn_1.3-ts_42-if_1.0-ccmd_b45b-policy_FGD1000desharemda78a-de_share-gs_FGDScore-scmd_a78a-bellman_ratio
853465.76,13.82,0.23,176091.03,2.85
853649.47,13.83,0.23,176175.67,2.85
853649.47,13.83,0.23,175988.13,2.85
853649.47,13.83,0.23,176346.56,2.86
853513.51,13.83,0.23,176283.68,2.86
853513.51,13.83,0.23,176260.21,2.86
853580.14,13.83,0.23,176229.33,2.86
853624.36,13.83,0.24,176788.54,2.86
853800.61,13.84,0.24,176831.25,2.87
853512.45,13.83,0.24,176597.18,2.86
853376.49,13.83,0.24,176494.27,2.86
853240.53,13.83,0.24,177415.75,2.88
853104.57,13.83,0.24,177415.75,2.88
852968.61,13.83,0.24,177416.01,2.88
853035.24,13.84,0.24,176939.4,2.87
853218.95,13.84,0.24,177108.32,2.87
853487.78,13.85,0.25,177182.8,2.87
853351.82,13.85,0.25,177338.13,2.88
853215.86,13.85,0.25,177338.4,2.88
853079.9,13.85,0.25,177235.23,2.88
852943.94,13.85,0.25,177235.03,2.88
852599.15,13.84,0.25,176962.31,2.87
852643.38,13.84,0.25,176871.74,2.87
852499.95,13.84,0.25,176981.51,2.87
852499.95,13.84,0.25,177029.99,2.87
852683.66,13.85,0.25,177029.99,2.88
852683.66,13.85,0.25,177020.76,2.87
852952.49,13.85,0.26,177248.98,2.88
852795.67,13.85,0.26,177090.32,2.88
852659.71,13.85,0.26,176862.81,2.87
852523.75,13.85,0.26,178001.73,2.89
852586.51,13.85,0.26,177617.18,2.89
852561.21,13.86,0.26,177439.47,2.88
852238.83,13.85,0.26,177367.29,2.88
852290.52,13.85,0.26,177367.47,2.88
852154.56,13.85,0.26,177367.1,2.88
852154.56,13.85,0.26,177367.1,2.88
852018.6,13.85,0.26,177367.1,2.88
851882.64,13.85,0.26,177540.96,2.89
851882.64,13.85,0.26,177540.96,2.89
851594.49,13.85,0.25,177300.27,2.88
851870.95,13.86,0.26,177150.93,2.88
851922.64,13.86,0.26,177126.4,2.88
851922.64,13.86,0.26,177126.4,2.88
851632.97,13.85,0.26,176845.07,2.88
851632.97,13.85,0.26,176887.58,2.88
851497.01,13.85,0.26,177615.0,2.89
851361.05,13.85,0.26,177612.79,2.89
851018.62,13.85,0.25,177287.64,2.89
850882.67,13.85,0.25,177287.44,2.89
850934.36,13.85,0.26,177287.44,2.89
850798.4,13.85,0.26,177287.44,2.89
850982.11,13.86,0.26,177355.38,2.89
850846.15,13.86,0.26,177294.57,2.89
851114.97,13.86,0.27,177287.44,2.89
851166.67,13.87,0.27,178193.88,2.9
851030.71,13.87,0.27,178317.01,2.91
850695.92,13.86,0.27,178049.69,2.9
850964.75,13.87,0.27,178049.5,2.9
850828.79,13.87,0.27,178049.5,2.9
850484.0,13.86,0.27,178049.5,2.9
850348.04,13.86,0.27,178234.62,2.91
850191.15,13.86,0.26,178086.53,2.9
850055.19,13.86,0.26,178086.95,2.9
849919.23,13.86,0.26,178066.58,2.9
849783.27,13.86,0.26,178066.38,2.9
849662.25,13.86,0.26,178776.05,2.92
849662.25,13.86,0.26,178733.54,2.92
849931.07,13.87,0.27,178733.54,2.92
849731.4,13.86,0.27,178581.45,2.91
849386.61,13.86,0.26,178645.75,2.91
849438.3,13.86,0.27,178610.95,2.91
849302.34,13.86,0.27,178581.46,2.91
849571.17,13.87,0.27,178855.17,2.92
849622.86,13.87,0.27,178809.42,2.92
849674.55,13.87,0.28,179007.93,2.92
849538.59,13.87,0.28,179618.76,2.93
849601.36,13.88,0.28,179234.22,2.93
849388.4,13.87,0.28,178873.38,2.92
849252.44,13.87,0.28,178873.19,2.92
849252.44,13.87,0.28,178873.19,2.92
849252.44,13.87,0.28,178873.19,2.92
849116.49,13.87,0.28,178873.19,2.92
848980.53,13.87,0.28,178904.03,2.92
848844.57,13.87,0.28,178879.94,2.92
848499.78,13.87,0.27,178507.67,2.92
848768.61,13.88,0.28,178501.79,2.92
848768.61,13.88,0.28,178501.79,2.92
848632.65,13.88,0.28,179022.13,2.93
848504.15,13.88,0.28,178978.94,2.93
848390.35,13.87,0.28,178872.54,2.93
848390.35,13.87,0.28,178872.54,2.93
848015.94,13.87,0.27,178560.92,2.92
847879.98,13.87,0.27,178560.72,2.92
848148.81,13.88,0.28,178560.72,2.92
847804.02,13.87,0.28,178560.72,2.92
847804.02,13.87,0.28,178560.72,2.92
847804.02,13.87,0.28,178560.72,2.92
847804.02,13.87,0.28,178560.72,2.92
847668.06,13.87,0.28,178655.1,2.92
847532.1,13.87,0.28,178678.29,2.92
847800.93,13.88,0.28,178694.76,2.92
847555.02,13.87,0.28,180319.43,2.95
847555.02,13.87,0.28,180319.43,2.95
847606.71,13.88,0.28,180319.61,2.95
847658.41,13.88,0.28,180319.24,2.95
847658.41,13.88,0.28,180319.24,2.95
847368.73,13.88,0.28,180758.25,2.96
847079.06,13.87,0.28,180422.73,2.95
845991.38,13.87,0.28,180422.73,2.96
846325.91,13.88,0.28,180422.73,2.96
846377.61,13.88,0.28,180422.73,2.96
846241.65,13.88,0.28,180466.43,2.96
846105.69,13.88,0.28,180428.16,2.96
846157.38,13.88,0.29,180422.73,2.96
846021.42,13.88,0.29,181633.99,2.98
846021.42,13.88,0.29,181633.99,2.98
845680.93,13.88,0.28,181180.72,2.97
845949.75,13.88,0.29,181180.53,2.97
845813.79,13.88,0.29,181180.53,2.97
845677.83,13.88,0.29,181294.76,2.98
845541.87,13.88,0.29,181185.64,2.98
845018.39,13.88,0.28,180662.16,2.97
844882.43,13.88,0.28,180898.46,2.97
844746.47,13.88,0.28,180750.73,2.97
844549.09,13.88,0.28,180657.05,2.97
844600.78,13.88,0.28,181179.11,2.98
844784.5,13.88,0.29,181299.53,2.98
845053.32,13.89,0.29,181299.34,2.98
845325.36,13.89,0.3,181299.34,2.98
845377.05,13.9,0.3,181301.1,2.98
845032.26,13.89,0.3,181299.34,2.98
844896.3,13.89,0.3,181299.34,2.98
845165.13,13.9,0.3,181410.12,2.98
845029.17,13.9,0.3,181460.63,2.98
845080.86,13.9,0.3,181484.64,2.99
844891.19,13.9,0.3,181369.85,2.98
844613.19,13.89,0.3,182085.05,3.0
844477.23,13.89,0.3,182145.24,3.0
844477.23,13.89,0.3,182145.24,3.0
844341.27,13.89,0.3,182145.05,3.0
844392.97,13.9,0.3,182145.05,3.0
844048.18,13.89,0.3,181791.57,2.99
844444.99,13.9,0.3,181807.78,2.99
844444.99,13.9,0.3,181937.37,2.99
844496.68,13.9,0.31,181930.19,2.99
844548.37,13.9,0.31,181921.16,3.0
844600.06,13.91,0.31,181921.16,3.0
844464.1,13.91,0.31,182849.01,3.01
844305.69,13.9,0.31,182690.85,3.01
844357.38,13.91,0.31,183160.86,3.02
844113.42,13.9,0.31,182796.38,3.01
844165.11,13.91,0.31,182796.56,3.01
844216.8,13.91,0.31,182796.19,3.01
844080.84,13.91,0.31,182796.19,3.01
844080.84,13.91,0.31,183246.6,3.02
843944.88,13.91,0.31,183341.23,3.02
843944.88,13.91,0.31,183341.23,3.02
843808.92,13.91,0.31,183341.04,3.02
844077.75,13.92,0.32,183341.04,3.02
843858.95,13.91,0.32,183317.62,3.02
844042.66,13.92,0.32,183545.84,3.03
843697.88,13.91,0.32,183420.13,3.02
843771.97,13.92,0.32,183056.44,3.02
843636.01,13.92,0.32,182970.4,3.02
843680.23,13.92,0.32,182912.71,3.02
843956.7,13.92,0.33,183845.4,3.03
843636.68,13.92,0.32,184222.45,3.04
843706.39,13.92,0.33,185319.21,3.06
843675.9,13.92,0.33,184361.64,3.04
843539.94,13.92,0.33,184258.73,3.04
843809.38,13.93,0.33,184409.34,3.04
843993.09,13.93,0.34,184724.05,3.05
844007.19,13.93,0.34,185998.6,3.07
843849.53,13.93,0.34,185886.05,3.07
843849.53,13.93,0.34,185782.88,3.07
843901.23,13.94,0.34,185783.06,3.07
843765.27,13.94,0.34,185782.69,3.07
843948.98,13.94,0.34,185782.69,3.07
844217.8,13.95,0.35,185874.72,3.07
844167.8,13.94,0.35,185824.25,3.07
843878.13,13.94,0.34,185539.54,3.07
843929.82,13.94,0.35,185518.95,3.07
843563.21,13.94,0.34,185157.92,3.06
843746.92,13.94,0.35,185186.73,3.06
843610.96,13.94,0.35,186352.02,3.08
843475.0,13.94,0.35,186417.0,3.08
843339.04,13.94,0.35,186416.81,3.08
843004.26,13.94,0.34,186201.41,3.08
843004.26,13.94,0.34,186201.41,3.08
842868.3,13.94,0.34,186201.41,3.08
842868.3,13.94,0.34,186201.41,3.08
842868.3,13.94,0.34,186252.68,3.08
842732.34,13.94,0.34,186337.34,3.08
842442.66,13.93,0.34,185960.53,3.08
842505.43,13.94,0.34,185575.98,3.07
842294.82,13.94,0.34,185222.02,3.06
842158.86,13.94,0.34,185147.32,3.06
842022.9,13.94,0.34,185413.33,3.07
842299.37,13.94,0.35,185283.36,3.07
842351.06,13.94,0.35,185201.96,3.07
842215.1,13.94,0.35,185201.76,3.07
842079.14,13.94,0.35,185761.82,3.08
842130.83,13.95,0.35,185761.82,3.08
842182.52,13.95,0.35,185761.82,3.08
842182.52,13.95,0.35,185761.82,3.08
842046.56,13.95,0.35,185792.58,3.08
841910.6,13.95,0.35,185770.12,3.08
841774.64,13.95,0.35,185761.82,3.08
841826.33,13.95,0.36,186427.78,3.09
841483.91,13.95,0.35,186059.92,3.08
841347.95,13.95,0.35,185900.7,3.08
841410.72,13.95,0.36,185516.15,3.08
841121.04,13.95,0.35,185285.84,3.07
841121.04,13.95,0.35,185285.84,3.07
841121.04,13.95,0.35,185285.64,3.07
840985.08,13.95,0.35,185285.64,3.07
840772.13,13.95,0.35,184929.34,3.07
841175.86,13.95,0.36,185088.6,3.07
841175.86,13.95,0.36,185172.85,3.07
841227.55,13.96,0.36,184945.16,3.07
841091.59,13.96,0.36,187079.58,3.1
840955.63,13.96,0.36,186976.68,3.1
841029.72,13.96,0.36,186285.9,3.09
840957.64,13.96,0.36,186146.79,3.09
840971.74,13.96,0.37,185235.42,3.08
840971.74,13.96,0.37,185296.67,3.08
840835.78,13.96,0.37,185296.67,3.08
841234.78,13.97,0.37,188024.57,3.12
841418.49,13.97,0.38,188109.2,3.12
841470.18,13.98,0.38,188341.45,3.13
841521.87,13.98,0.38,188341.63,3.13
841545.18,13.98,0.38,188530.65,3.13
841821.64,13.99,0.39,188530.27,3.13
841685.68,13.99,0.39,188530.27,3.13
841396.01,13.98,0.39,188323.33,3.13
841053.58,13.98,0.38,188353.39,3.13
841105.28,13.98,0.38,188338.66,3.13
841156.97,13.98,0.39,188328.4,3.13
841021.01,13.98,0.39,188323.33,3.13
840885.05,13.98,0.39,189041.3,3.14
840936.74,13.99,0.39,189133.6,3.15
840800.78,13.99,0.39,189133.4,3.15
840852.47,13.99,0.39,189133.4,3.15
840716.51,13.99,0.39,189164.63,3.15
840580.55,13.99,0.39,189144.49,3.15
840580.55,13.99,0.39,189144.49,3.15
840580.55,13.99,0.39,189167.47,3.15
840632.24,13.99,0.4,189166.88,3.15
840901.07,14.0,0.4,189156.39,3.15
840952.76,14.0,0.4,189999.86,3.16
841004.45,14.0,0.41,190280.8,3.17
840757.69,14.0,0.4,189974.29,3.16
840941.4,14.0,0.41,189975.02,3.16
840941.4,14.0,0.41,189975.02,3.16
840805.44,14.0,0.41,189974.09,3.16
840805.44,14.0,0.41,189969.84,3.16
840857.14,14.01,0.41,189969.84,3.16
840721.18,14.01,0.41,189969.84,3.16
840585.22,14.01,0.41,190144.66,3.17
840636.91,14.01,0.41,190155.54,3.17
840688.6,14.01,0.42,190461.12,3.17
840957.42,14.02,0.42,190880.13,3.18
840957.42,14.02,0.42,190991.23,3.18
840957.42,14.02,0.42,190991.23,3.18
841009.12,14.02,0.42,191114.34,3.19
840873.16,14.02,0.42,191050.15,3.19
840583.48,14.02,0.42,191132.11,3.19
840386.1,14.01,0.42,190894.95,3.18
840437.79,14.02,0.42,190895.13,3.18
840301.83,14.02,0.42,190894.76,3.18
840636.37,14.02,0.43,190911.4,3.18
840500.41,14.02,0.43,190902.05,3.19
840500.41,14.02,0.43,190902.05,3.19
840237.32,14.02,0.42,190894.76,3.19
840237.32,14.02,0.42,190894.76,3.19
840634.12,14.03,0.43,191226.15,3.19
840498.16,14.03,0.43,191019.48,3.19
840362.2,14.03,0.43,190975.78,3.19
840226.24,14.03,0.43,191907.9,3.2
840090.28,14.03,0.43,191907.71,3.2
840090.28,14.03,0.43,191907.71,3.2
840090.28,14.03,0.43,191882.23,3.2
839932.63,14.03,0.43,191725.2,3.2
839796.67,14.03,0.43,191725.2,3.2
839578.85,14.02,0.43,191422.06,3.2
839847.68,14.03,0.43,191476.1,3.2
839711.72,14.03,0.43,191453.45,3.2
839604.82,14.03,0.43,191344.11,3.2
839656.52,14.03,0.43,191337.08,3.2
839311.73,14.03,0.43,191313.65,3.2
839175.77,14.03,0.43,191967.9,3.21
839359.49,14.03,0.43,192052.53,3.21
839418.64,14.03,0.44,191468.64,3.2
839275.22,14.03,0.44,191835.33,3.21
839275.22,14.03,0.44,191862.34,3.21
839326.91,14.04,0.44,192094.59,3.21
839595.73,14.04,0.44,192094.4,3.21
839647.43,14.04,0.45,192094.4,3.21
839647.43,14.04,0.45,192092.06,3.21
839831.14,14.05,0.45,192092.06,3.21
839882.83,14.05,0.46,192134.03,3.21
839934.52,14.05,0.46,192119.8,3.21
839986.21,14.06,0.46,192159.17,3.22
839850.25,14.06,0.46,192092.06,3.22
839660.58,14.05,0.46,191983.2,3.21
839524.62,14.05,0.46,193447.65,3.24
839708.33,14.06,0.46,193447.45,3.24
839572.37,14.06,0.46,193447.45,3.24
839572.37,14.06,0.46,193375.06,3.24
839282.7,14.05,0.46,192977.61,3.23
839282.7,14.05,0.46,192999.87,3.23
839146.74,14.05,0.46,192999.87,3.23
839330.45,14.06,0.46,193210.06,3.24
839514.17,14.06,0.47,193185.01,3.24
839224.49,14.06,0.46,192999.87,3.23
839224.49,14.06,0.46,192984.7,3.23
838879.71,14.06,0.46,192673.38,3.23
838931.4,14.06,0.46,193587.81,3.24
839203.44,14.06,0.47,193324.17,3.24
838921.23,14.06,0.46,192765.23,3.23
838777.8,14.06,0.46,193692.26,3.25
838641.84,14.06,0.46,193692.26,3.25
838505.89,14.06,0.46,193692.26,3.25
838782.35,14.07,0.47,193692.26,3.25
838834.04,14.07,0.47,193692.26,3.25
838698.08,14.07,0.47,193692.26,3.25
838562.12,14.07,0.47,193874.34,3.25
838745.83,14.07,0.48,194042.39,3.26
838797.52,14.08,0.48,194489.55,3.26
838661.56,14.08,0.48,194489.55,3.26
838713.26,14.08,0.48,194489.55,3.26
838431.0,14.07,0.48,194178.85,3.26
838431.0,14.07,0.48,194268.89,3.26
838295.04,14.07,0.48,194268.89,3.26
838346.74,14.08,0.48,194269.77,3.26
838530.45,14.08,0.49,194268.89,3.26
838394.49,14.08,0.49,194268.89,3.26
838194.82,14.08,0.48,194362.93,3.26
837852.39,14.08,0.48,194002.05,3.26
837852.39,14.08,0.48,193963.66,3.26
837852.39,14.08,0.48,193963.66,3.26
837652.72,14.07,0.48,194272.25,3.26
837704.41,14.07,0.48,194547.36,3.27
837704.41,14.07,0.48,194646.88,3.27
837980.88,14.08,0.48,194835.35,3.27
837638.45,14.08,0.48,194809.98,3.27
837690.15,14.08,0.48,194809.79,3.27
837554.19,14.08,0.48,194809.79,3.27
837418.23,14.08,0.48,194831.75,3.28
837815.03,14.09,0.49,194809.79,3.28
837402.27,14.08,0.48,194809.79,3.28
837402.27,14.08,0.48,194860.88,3.28
837585.98,14.09,0.49,195225.38,3.28
837450.02,14.09,0.49,195022.82,3.28
837450.02,14.09,0.49,195066.41,3.28
837321.53,14.09,0.49,194984.46,3.28
837178.1,14.09,0.49,195540.3,3.29
837229.79,14.09,0.49,195540.48,3.29
837281.48,14.09,0.5,195540.1,3.29
837550.31,14.1,0.5,195540.1,3.29
837205.52,14.09,0.5,195555.14,3.29
837257.22,14.1,0.5,195548.32,3.29
837121.26,14.1,0.5,195545.17,3.29
837304.97,14.1,0.5,195540.1,3.29
837169.01,14.1,0.5,196449.46,3.31
837437.83,14.11,0.51,196803.77,3.31
837093.05,14.1,0.5,196387.42,3.31
837144.74,14.1,0.51,196510.53,3.31
837008.78,14.1,0.51,196468.34,3.31
837060.47,14.11,0.51,196468.51,3.31
837060.47,14.11,0.51,196443.03,3.31
836924.51,14.11,0.51,196442.65,3.31
836788.55,14.11,0.51,196457.94,3.31
837057.38,14.11,0.52,196445.27,3.31
836712.59,14.11,0.51,196442.88,3.31
836712.59,14.11,0.51,196407.23,3.31
836559.64,14.11,0.51,196249.21,3.31
836423.68,14.11,0.51,196251.56,3.31
836423.68,14.11,0.51,196270.06,3.31
836287.72,14.11,0.51,196705.19,3.32
836159.23,14.11,0.51,196586.42,3.32
835869.55,14.1,0.51,196286.38,3.31
835726.13,14.1,0.51,196214.36,3.31
835590.17,14.1,0.51,196194.75,3.31
835641.86,14.1,0.51,196273.27,3.31
835505.9,14.1,0.51,196273.27,3.31
835774.72,14.11,0.51,196273.27,3.31
835826.41,14.11,0.52,196273.27,3.31
835481.63,14.11,0.51,196614.92,3.32
835345.67,14.11,0.51,196496.23,3.32
835188.02,14.11,0.51,196343.1,3.32
835052.06,14.11,0.51,196323.49,3.32
834916.1,14.11,0.51,196240.19,3.32
834780.14,14.11,0.51,196240.46,3.32
834644.18,14.11,0.51,196137.29,3.31
834535.77,14.1,0.51,196028.63,3.31
834535.77,14.1,0.51,196006.63,3.31
834399.81,14.11,0.51,196006.43,3.31
834200.14,14.1,0.51,195965.11,3.31
834200.14,14.1,0.51,195960.82,3.31
834251.83,14.11,0.51,195960.82,3.31
834487.6,14.11,0.51,195967.25,3.31
834764.06,14.12,0.52,195989.14,3.31
834628.1,14.12,0.52,195973.62,3.31
834492.14,14.12,0.52,195960.82,3.31
834543.83,14.12,0.52,195960.82,3.32
834595.52,14.12,0.53,197304.07,3.34
834779.24,14.13,0.53,197388.7,3.34
834643.28,14.13,0.53,197515.38,3.34
834353.6,14.12,0.53,197231.16,3.34
834169.53,14.12,0.52,196704.03,3.33
834169.53,14.12,0.52,196739.12,3.33
833837.1,14.12,0.52,196756.87,3.33
833837.1,14.12,0.52,196781.69,3.33
834240.83,14.12,0.53,196781.5,3.33
833922.56,14.12,0.52,196782.47,3.33
833974.25,14.12,0.53,196782.21,3.33
833974.25,14.12,0.53,196774.5,3.33
834025.94,14.12,0.53,196773.79,3.33
834077.63,14.13,0.53,196773.79,3.33
834077.63,14.13,0.53,196866.15,3.33
833941.67,14.13,0.53,196937.94,3.34
834210.5,14.13,0.54,196926.39,3.34
833865.71,14.13,0.53,196866.15,3.34
833729.75,14.13,0.53,197734.7,3.35
833998.58,14.13,0.54,198036.93,3.36
833998.58,14.13,0.54,198058.93,3.36
834061.34,14.14,0.54,197674.39,3.35
834061.34,14.14,0.54,197644.84,3.35
833850.74,14.14,0.54,197290.88,3.34
834034.45,14.14,0.54,197290.69,3.34
834086.14,14.14,0.55,197290.69,3.35
833741.36,14.14,0.54,196914.82,3.34
833793.05,14.14,0.55,196914.82,3.34
834061.87,14.15,0.55,196914.82,3.34
833925.91,14.15,0.55,196999.07,3.34
833789.95,14.15,0.55,196930.97,3.34
833841.65,14.15,0.55,196914.82,3.34
833705.69,14.15,0.55,198179.23,3.36
833569.73,14.15,0.55,198179.49,3.36
833433.77,14.15,0.55,198076.32,3.36
833705.8,14.16,0.56,198076.12,3.36
833705.8,14.16,0.56,198054.12,3.36
833569.84,14.16,0.56,198054.12,3.36
833225.06,14.15,0.56,197671.12,3.36
832935.39,14.15,0.55,197376.46,3.35
832799.43,14.15,0.55,197422.29,3.35
832663.47,14.15,0.55,197384.78,3.35
832527.51,14.15,0.55,197541.57,3.36
832527.51,14.15,0.55,197565.21,3.36
832194.44,14.14,0.55,197217.02,3.35
832058.48,14.14,0.55,197201.71,3.35
831922.52,14.14,0.55,197106.06,3.35
831922.52,14.14,0.55,197100.05,3.35
831786.56,14.14,0.55,197465.69,3.36
831786.56,14.14,0.55,197462.18,3.36
831838.25,14.15,0.55,197462.36,3.36
832074.02,14.15,0.56,197461.99,3.36
832125.71,14.15,0.56,197461.99,3.36
832177.4,14.16,0.56,197463.83,3.36
832041.44,14.16,0.56,197461.99,3.36
831763.45,14.15,0.56,197172.21,3.36
831627.49,14.15,0.56,197172.21,3.36
831627.49,14.15,0.56,197218.98,3.36
831627.49,14.15,0.56,197244.58,3.36
831491.53,14.15,0.56,198123.21,3.37
831355.57,14.15,0.56,198105.66,3.37
831219.61,14.15,0.56,198105.46,3.37
830937.88,14.15,0.55,197806.49,3.37
831209.92,14.16,0.56,197806.49,3.37
831073.96,14.16,0.56,197812.57,3.37
830938.0,14.16,0.56,197806.53,3.37
830802.04,14.16,0.56,197806.78,3.37
830853.73,14.16,0.56,198187.91,3.38
830905.42,14.16,0.57,198407.45,3.38
830905.42,14.16,0.57,198407.45,3.38
831174.24,14.17,0.57,198660.28,3.39
831038.28,14.17,0.57,198660.28,3.39
830760.29,14.16,0.57,198712.67,3.39
830624.33,14.16,0.57,198712.67,3.39
830279.54,14.16,0.56,198339.76,3.38
830331.24,14.16,0.57,198340.27,3.38
830195.28,14.16,0.57,198340.02,3.38
830246.97,14.16,0.57,198339.76,3.38
830111.01,14.16,0.57,198339.76,3.38
830162.7,14.17,0.57,198952.53,3.4
830497.23,14.17,0.58,199243.48,3.4
830275.82,14.17,0.57,199133.08,3.4
829835.33,14.16,0.57,198740.36,3.39
829699.37,14.17,0.57,198740.63,3.39
829751.06,14.17,0.57,198799.28,3.39
829751.06,14.17,0.57,198799.28,3.39
829615.1,14.17,0.57,198765.11,3.39
829479.14,14.17,0.57,198696.37,3.39
829343.18,14.17,0.57,198593.46,3.39
829185.53,14.17,0.57,198409.46,3.39
829369.24,14.17,0.57,198724.16,3.4
829369.24,14.17,0.57,198719.88,3.4
829420.93,14.17,0.58,198720.06,3.4
829656.7,14.18,0.58,198719.68,3.4
829520.74,14.18,0.58,198720.28,3.4
829572.43,14.18,0.59,198719.98,3.4
829841.26,14.19,0.59,198719.68,3.4
829705.3,14.19,0.59,199082.41,3.4
829569.34,14.19,0.59,199072.27,3.4
829433.38,14.19,0.59,199568.09,3.41
829088.6,14.18,0.59,199516.11,3.41
828952.64,14.18,0.59,199477.76,3.41
829221.46,14.19,0.59,199739.48,3.42
829085.5,14.19,0.59,199705.31,3.42
828795.83,14.18,0.59,199420.61,3.41
828795.83,14.18,0.59,199414.97,3.41
828659.87,14.18,0.59,199346.23,3.41
828659.87,14.18,0.59,199346.23,3.41
828659.87,14.18,0.59,199346.23,3.41
828523.91,14.19,0.59,199346.03,3.41
828387.95,14.19,0.59,199346.03,3.41
828263.06,14.19,0.59,198736.64,3.4
828263.06,14.19,0.59,198736.64,3.4
828237.76,14.19,0.59,198600.65,3.4
827892.98,14.18,0.59,198327.93,3.4
827757.02,14.18,0.59,198498.68,3.4
827621.06,14.18,0.59,198445.93,3.4
827485.1,14.18,0.59,198961.83,3.41
827364.07,14.18,0.59,198898.01,3.41
827082.34,14.18,0.58,198552.97,3.4
827082.34,14.18,0.58,198552.97,3.4
826946.38,14.18,0.58,197935.59,3.39
826998.07,14.18,0.59,197764.41,3.39
826862.11,14.18,0.59,197661.5,3.39
827266.39,14.19,0.59,198454.26,3.4
827130.43,14.19,0.59,198454.26,3.4
827174.65,14.19,0.6,198535.39,3.41
827054.31,14.19,0.59,198206.41,3.4
826918.35,14.19,0.59,198206.22,3.4
827190.38,14.2,0.6,198206.22,3.4
827054.42,14.2,0.6,198232.44,3.4
826862.24,14.19,0.6,198213.49,3.4
