ow_gpushare80-dr_0.0-tn_1.3-ts_42-if_1.0-ccmd_f4b4-policy_FGDPredictor1000desharemd6126-de_share-gs_FGDPredictorScore-scmd_6126-origin_milli,ow_gpushare80-dr_0.0-tn_1.3-ts_42-if_1.0-ccmd_f4b4-policy_FGDPredictor1000desharemd6126-de_share-gs_FGDPredictorScore-scmd_6126-origin_ratio,ow_gpushare80-dr_0.0-tn_1.3-ts_42-if_1.0-ccmd_f4b4-policy_FGDPredictor1000desharemd6126-de_share-gs_FGDPredictorScore-scmd_6126-origin_q124,ow_gpushare80-dr_0.0-tn_1.3-ts_42-if_1.0-ccmd_f4b4-policy_FGDPredictor1000desharemd6126-de_share-gs_FGDPredictorScore-scmd_6126-bellman_milli,ow_gpushare80-dr_0.0-tn_1.3-ts_42-if_1.0-ccmd_f4b4-policy_FGDPredictor1000desharemd6126-de_share-gs_FGDPredictorScore-scmd_6126-bellman_ratio
855653.79,13.92,0.24,205389.71,3.34
855653.79,13.92,0.24,205389.71,3.34
855823.79,13.93,0.24,205356.44,3.34
855611.68,13.92,0.24,204650.03,3.33
855650.84,13.93,0.24,205122.06,3.34
855414.0,13.92,0.24,205425.74,3.34
855632.42,13.93,0.25,205516.92,3.35
855850.84,13.93,0.25,206081.03,3.36
855890.0,13.94,0.25,205651.24,3.35
856036.84,13.94,0.26,205750.55,3.35
856206.84,13.94,0.26,205908.69,3.35
856008.42,13.94,0.26,205685.82,3.35
856005.47,13.94,0.26,205443.7,3.35
855841.79,13.94,0.26,205489.01,3.35
855841.79,13.94,0.26,205433.44,3.35
855841.79,13.94,0.26,205433.44,3.35
855880.95,13.94,0.26,205433.33,3.35
855655.68,13.94,0.26,205122.12,3.34
855408.84,13.94,0.25,204867.76,3.34
855448.0,13.94,0.26,204867.76,3.34
855302.0,13.94,0.25,204677.91,3.34
855302.0,13.94,0.25,204744.65,3.34
855472.0,13.94,0.26,204744.65,3.34
855362.0,13.94,0.26,204634.65,3.34
855508.84,13.94,0.26,204634.65,3.34
855508.84,13.94,0.26,204537.5,3.33
855548.0,13.95,0.26,204634.83,3.34
855411.16,13.95,0.26,204598.67,3.34
855450.32,13.95,0.27,204729.67,3.34
855318.32,13.95,0.26,204614.62,3.34
855318.32,13.95,0.26,204728.97,3.34
855318.32,13.95,0.26,204614.62,3.34
855318.32,13.95,0.26,204732.13,3.34
855181.47,13.95,0.26,205852.02,3.36
855220.63,13.95,0.27,205851.91,3.36
854966.95,13.95,0.26,205507.53,3.35
855006.11,13.95,0.27,205507.53,3.35
855006.11,13.95,0.27,205442.78,3.35
855152.95,13.95,0.27,205442.78,3.35
855006.95,13.95,0.27,205314.99,3.35
855006.95,13.95,0.27,205402.94,3.35
855046.11,13.95,0.27,205402.94,3.35
854799.26,13.95,0.27,205124.22,3.35
854946.11,13.95,0.27,205314.67,3.35
855116.11,13.96,0.27,205281.55,3.35
854869.26,13.96,0.27,205143.34,3.35
854615.58,13.95,0.27,205124.22,3.35
854785.58,13.96,0.27,206359.22,3.37
854932.42,13.96,0.28,206694.53,3.38
854795.58,13.96,0.28,206694.42,3.38
854795.58,13.96,0.28,206694.42,3.38
854834.74,13.96,0.28,206694.42,3.38
854688.74,13.96,0.28,206546.21,3.37
854551.89,13.96,0.28,206888.25,3.38
854326.63,13.96,0.27,206629.0,3.38
854218.74,13.96,0.27,206124.59,3.37
854388.74,13.96,0.28,206255.83,3.37
854251.89,13.96,0.28,206257.19,3.37
854115.05,13.96,0.28,206255.83,3.37
853822.42,13.96,0.27,206343.93,3.37
853861.58,13.96,0.27,206150.21,3.37
853677.89,13.96,0.27,206041.15,3.37
853696.0,13.96,0.27,205981.4,3.37
853484.32,13.96,0.27,205707.4,3.36
853523.47,13.96,0.27,206859.11,3.38
853693.47,13.96,0.28,206859.11,3.38
853581.16,13.96,0.28,206859.11,3.38
853728.0,13.97,0.28,207295.58,3.39
853898.0,13.97,0.29,207205.26,3.39
853752.0,13.97,0.28,207187.03,3.39
853505.16,13.96,0.28,207051.86,3.39
853359.16,13.96,0.28,206870.72,3.38
853356.21,13.96,0.28,206601.88,3.38
853356.21,13.96,0.28,206601.88,3.38
853526.21,13.97,0.28,206602.08,3.38
853565.37,13.97,0.29,206601.77,3.38
853604.53,13.97,0.29,206601.77,3.38
789836.11,12.93,0.3,201992.62,3.31
789836.11,12.93,0.3,202194.63,3.31
789899.79,12.93,0.3,201817.75,3.3
789963.47,12.94,0.3,201681.46,3.3
789750.11,12.93,0.3,201726.0,3.3
789813.79,12.94,0.3,203071.16,3.33
789966.0,12.94,0.31,203052.03,3.33
790029.68,12.94,0.31,202837.97,3.32
790179.68,12.95,0.31,203007.46,3.33
789975.47,12.94,0.31,202651.71,3.32
789766.95,12.94,0.31,202553.07,3.32
789619.58,12.94,0.31,202842.32,3.32
789619.58,12.94,0.31,203096.89,3.33
789546.95,12.94,0.31,203160.62,3.33
789546.95,12.94,0.31,203160.62,3.33
789696.95,12.94,0.31,203184.57,3.33
789849.16,12.95,0.32,203184.38,3.33
789999.16,12.95,0.32,203184.39,3.33
789852.84,12.95,0.32,203105.86,3.33
789606.53,12.95,0.31,203105.84,3.33
789649.16,12.95,0.32,202866.08,3.33
789522.84,12.95,0.32,202897.97,3.33
789672.84,12.95,0.32,202884.66,3.33
789526.53,12.95,0.32,202866.08,3.33
789328.0,12.95,0.32,203400.57,3.34
789516.74,12.95,0.32,203512.94,3.34
789580.42,12.96,0.32,203374.64,3.34
789644.11,12.96,0.33,203401.54,3.34
789335.47,12.95,0.32,203088.28,3.33
789110.42,12.95,0.32,202606.82,3.33
789257.47,12.95,0.32,202606.63,3.33
789054.11,12.95,0.32,202606.62,3.33
789054.11,12.95,0.32,202606.62,3.33
789117.79,12.95,0.32,203452.62,3.34
788991.47,12.95,0.32,203463.53,3.34
789138.53,12.96,0.33,203465.55,3.34
788925.16,12.96,0.32,203461.14,3.34
789070.84,12.96,0.33,203452.62,3.34
789008.84,12.96,0.33,204203.13,3.35
789155.89,12.96,0.33,204577.39,3.36
789375.37,12.97,0.34,204577.18,3.36
789159.58,12.96,0.33,204577.18,3.36
789379.05,12.97,0.34,204577.18,3.36
789442.74,12.97,0.34,204139.81,3.35
789226.95,12.97,0.34,204142.73,3.35
789408.63,12.97,0.34,204139.81,3.35
789408.63,12.97,0.34,204139.81,3.35
789472.32,12.97,0.34,204139.81,3.35
789472.32,12.97,0.34,204139.81,3.35
789472.32,12.97,0.34,204139.81,3.35
789451.05,12.98,0.34,203711.99,3.35
789263.05,12.97,0.34,203770.46,3.35
789415.26,12.98,0.35,203728.99,3.35
789565.26,12.98,0.35,203735.43,3.35
789607.89,12.98,0.35,204854.5,3.37
789399.37,12.98,0.35,204925.49,3.37
789546.42,12.98,0.35,205904.52,3.39
789744.84,12.99,0.36,205759.65,3.38
789498.53,12.99,0.35,205363.35,3.38
789562.21,12.99,0.36,205605.99,3.38
789625.89,12.99,0.36,205606.19,3.38
789380.11,12.99,0.36,205402.4,3.38
789380.11,12.99,0.36,205402.4,3.38
789176.74,12.99,0.35,205412.61,3.38
789323.79,12.99,0.36,205412.27,3.38
789197.47,12.99,0.36,205412.21,3.38
788984.11,12.99,0.35,205528.7,3.38
789129.79,12.99,0.36,205443.73,3.38
789203.58,12.99,0.36,205412.21,3.38
789267.26,12.99,0.36,205902.15,3.39
789419.47,13.0,0.37,205737.05,3.39
789419.47,13.0,0.37,205739.72,3.39
789419.47,13.0,0.37,205739.72,3.39
789293.16,13.0,0.37,205736.85,3.39
789084.63,12.99,0.36,205582.29,3.39
789304.11,13.0,0.37,206862.67,3.41
789304.11,13.0,0.37,209372.86,3.45
789451.16,13.0,0.37,209737.65,3.45
789256.42,13.0,0.37,209356.81,3.45
789323.68,13.0,0.37,208893.94,3.44
789473.68,13.01,0.37,208994.27,3.44
789620.74,13.01,0.38,209114.17,3.45
789470.32,13.01,0.38,209557.22,3.45
789470.32,13.01,0.38,209557.22,3.45
789344.0,13.01,0.38,209557.02,3.45
789097.68,13.01,0.37,209549.9,3.45
789161.37,13.01,0.38,208909.37,3.44
789225.05,13.01,0.38,208308.02,3.43
789111.68,13.01,0.38,208162.4,3.43
788961.47,13.01,0.38,208306.21,3.43
789025.16,13.01,0.38,207730.66,3.43
789172.21,13.01,0.38,207730.66,3.43
788928.84,13.01,0.38,207454.97,3.42
788992.53,13.01,0.38,207454.97,3.42
788779.16,13.01,0.38,207477.04,3.42
788842.84,13.01,0.38,207485.11,3.42
788716.53,13.01,0.38,207458.4,3.42
788590.21,13.01,0.38,207454.97,3.42
788762.32,13.02,0.39,208070.74,3.43
788623.89,13.02,0.39,208004.62,3.43
1167798.42,19.28,0.33,253170.9,4.18
1167798.95,19.28,0.33,253106.96,4.18
1167799.47,19.28,0.33,253104.67,4.18
1167799.47,19.28,0.33,253104.67,4.18
1167799.47,19.28,0.33,253104.67,4.18
1167922.42,19.28,0.34,253102.83,4.18
1167670.0,19.28,0.33,253102.83,4.18
1167792.95,19.29,0.34,253197.76,4.18
1167761.58,19.29,0.34,253129.64,4.18
1167762.11,19.29,0.34,253115.96,4.18
1167794.84,19.29,0.34,252953.91,4.18
1167794.84,19.29,0.34,252953.91,4.18
1167593.79,19.29,0.34,253417.07,4.19
1167593.79,19.29,0.34,253417.07,4.19
1167740.74,19.29,0.34,253251.69,4.18
1167525.37,19.29,0.34,253036.32,4.18
1167218.95,19.29,0.34,253064.99,4.18
1167341.89,19.29,0.34,252887.51,4.18
1167239.47,19.29,0.34,254214.72,4.2
1167421.37,19.29,0.34,253612.23,4.19
1167421.37,19.29,0.34,253612.23,4.19
1167421.37,19.29,0.34,253612.23,4.19
1167361.47,19.29,0.34,253238.15,4.19
1167340.95,19.29,0.35,253839.51,4.2
1167487.89,19.3,0.35,253844.14,4.2
1167266.42,19.3,0.35,253579.82,4.19
1167266.95,19.3,0.35,253812.2,4.2
1167267.47,19.3,0.35,253812.2,4.2
1167268.0,19.3,0.36,253812.2,4.2
1167052.63,19.3,0.35,253596.83,4.19
1167052.63,19.3,0.35,253450.0,4.19
1166926.21,19.3,0.35,253584.42,4.19
1166926.21,19.3,0.35,253584.42,4.19
1167016.74,19.3,0.36,253584.42,4.19
1167139.68,19.31,0.36,253584.42,4.19
1167140.21,19.31,0.36,253684.26,4.2
1166890.21,19.31,0.36,253617.72,4.2
1166980.74,19.31,0.36,253644.52,4.2
1166980.74,19.31,0.36,253644.52,4.2
1166980.74,19.31,0.36,253644.52,4.2
1166981.26,19.31,0.36,253795.88,4.2
1166731.26,19.31,0.36,253584.42,4.2
1166821.79,19.31,0.37,254905.5,4.22
1166571.79,19.31,0.36,254661.42,4.22
1166572.32,19.31,0.36,254782.74,4.22
1166662.84,19.32,0.37,254801.69,4.22
1166663.37,19.32,0.37,254799.41,4.22
1166452.95,19.32,0.37,254715.3,4.22
1166263.47,19.32,0.37,254713.46,4.22
1166013.47,19.31,0.37,254603.78,4.22
1166014.0,19.32,0.37,254603.78,4.22
1166014.53,19.32,0.37,254603.78,4.22
1166014.53,19.32,0.37,254603.78,4.22
1165772.11,19.32,0.37,254446.78,4.22
1165895.05,19.32,0.37,254626.48,4.22
1165642.63,19.32,0.37,254536.69,4.22
1165642.63,19.32,0.37,254536.69,4.22
1165643.16,19.32,0.37,254599.47,4.22
1165643.68,19.32,0.37,254858.43,4.22
1165644.21,19.32,0.38,255646.78,4.24
1165644.74,19.33,0.38,255644.5,4.24
1165767.68,19.33,0.38,255642.66,4.24
1165505.26,19.33,0.38,255682.34,4.24
1165696.74,19.33,0.38,255642.66,4.24
1165697.26,19.33,0.39,255642.66,4.24
1165507.79,19.33,0.39,255883.59,4.24
1165507.79,19.33,0.39,255883.59,4.24
1165477.37,19.33,0.39,255801.95,4.24
1165477.37,19.33,0.39,255801.95,4.24
1165567.89,19.34,0.39,255850.22,4.24
1165317.89,19.33,0.39,255642.66,4.24
1165318.42,19.34,0.39,255642.66,4.24
1165441.37,19.34,0.39,256971.32,4.26
1165441.37,19.34,0.39,256971.32,4.26
1165531.89,19.34,0.4,257009.27,4.27
1165532.42,19.35,0.4,257125.6,4.27
1165280.0,19.34,0.4,256851.42,4.26
1165408.84,19.35,0.4,256792.74,4.26
1165248.84,19.35,0.4,256632.74,4.26
1165059.37,19.35,0.4,256840.02,4.26
1165220.42,19.35,0.4,257070.76,4.27
1164970.42,19.35,0.4,256961.08,4.27
1164970.95,19.35,0.4,257073.14,4.27
1164700.42,19.35,0.4,256808.66,4.27
1164700.95,19.35,0.4,256806.37,4.27
1164452.63,19.35,0.4,256552.37,4.26
1164453.16,19.35,0.4,256551.46,4.26
1164453.68,19.35,0.4,256550.53,4.26
1164576.63,19.36,0.41,256550.53,4.26
1164324.21,19.35,0.41,256681.66,4.27
1164324.21,19.35,0.41,256681.66,4.27
1164103.68,19.35,0.4,256483.45,4.26
1164232.53,19.35,0.41,256388.05,4.26
1164233.05,19.36,0.41,256417.84,4.26
1164323.58,19.36,0.41,256352.32,4.26
1164414.11,19.36,0.42,258045.31,4.29
1164414.63,19.37,0.42,258043.03,4.29
1164414.63,19.37,0.42,258043.03,4.29
1164414.63,19.37,0.42,258043.03,4.29
1164176.32,19.36,0.42,257719.15,4.29
989052.0,16.45,0.66,410728.59,6.83
989052.0,16.45,0.66,410698.81,6.83
989071.58,16.46,0.67,410645.21,6.83
989254.63,16.46,0.67,410568.47,6.83
988963.16,16.46,0.67,410529.65,6.83
988787.37,16.45,0.66,410086.79,6.82
988806.95,16.46,0.67,410065.99,6.82
988944.32,16.46,0.67,410921.58,6.84
989127.37,16.46,0.68,410957.6,6.84
989127.37,16.46,0.68,410990.17,6.84
989146.95,16.47,0.68,411459.63,6.85
989166.53,16.47,0.68,411182.1,6.85
989166.53,16.47,0.68,411182.1,6.85
988998.11,16.47,0.68,410954.96,6.84
988716.63,16.47,0.68,410577.26,6.84
988899.68,16.47,0.68,410446.31,6.84
988747.89,16.47,0.68,410287.99,6.83
988508.53,16.47,0.68,409946.93,6.83
988723.79,16.47,0.68,410323.09,6.84
988906.84,16.48,0.69,410273.0,6.84
988738.42,16.48,0.69,410197.62,6.84
988758.0,16.48,0.69,410646.84,6.84
988482.21,16.47,0.68,410615.68,6.84
988206.42,16.47,0.68,410695.76,6.85
988343.79,16.47,0.69,410958.15,6.85
988040.11,16.47,0.68,410651.46,6.85
988059.68,16.47,0.68,410373.93,6.84
988240.84,16.48,0.69,410651.44,6.85
988240.84,16.48,0.69,410632.77,6.85
987949.37,16.47,0.68,410324.01,6.84
987968.95,16.48,0.69,410216.33,6.84
987988.53,16.48,0.69,410209.89,6.84
988008.11,16.48,0.69,410303.62,6.84
988008.11,16.48,0.69,410303.62,6.84
988027.68,16.48,0.69,410344.33,6.85
988210.74,16.49,0.7,410288.32,6.85
988210.74,16.49,0.7,410290.64,6.85
988024.95,16.49,0.7,410225.01,6.85
988044.53,16.49,0.7,409841.79,6.84
987784.95,16.49,0.7,409565.96,6.84
987783.47,16.49,0.7,409338.72,6.83
987803.05,16.49,0.7,409520.86,6.84
987609.89,16.49,0.7,409498.96,6.84
987747.26,16.49,0.7,409545.62,6.84
987962.53,16.5,0.71,409817.08,6.84
988145.58,16.5,0.71,409810.54,6.84
988165.16,16.5,0.71,410013.34,6.85
988184.74,16.51,0.72,410107.07,6.85
987893.26,16.5,0.71,409913.89,6.85
988030.63,16.51,0.72,409969.02,6.85
987862.21,16.51,0.72,409842.42,6.85
987693.79,16.51,0.72,409731.35,6.85
987418.0,16.5,0.71,409590.92,6.85
987437.58,16.51,0.72,409684.64,6.85
987437.58,16.51,0.72,409670.09,6.85
987457.16,16.51,0.72,409701.26,6.85
987640.21,16.51,0.72,409694.72,6.85
987640.21,16.51,0.72,409713.25,6.85
987471.89,16.51,0.72,409535.59,6.85
987491.47,16.51,0.72,409738.39,6.85
987511.05,16.52,0.73,409817.0,6.85
987209.58,16.51,0.72,409614.19,6.85
985946.42,16.51,0.72,409380.83,6.86
985670.63,16.51,0.72,409209.14,6.85
985510.63,16.51,0.72,409049.14,6.85
985708.53,16.51,0.72,409017.67,6.85
985728.11,16.51,0.72,409044.39,6.85
985911.16,16.52,0.73,409037.84,6.85
985767.47,16.52,0.73,408921.0,6.85
985767.47,16.52,0.73,408921.0,6.85
985787.05,16.52,0.73,409139.35,6.86
985787.05,16.52,0.73,409127.47,6.86
985976.74,16.52,0.73,409073.95,6.86
986114.11,16.53,0.74,409339.49,6.86
986133.68,16.53,0.74,408956.27,6.86
986133.68,16.53,0.74,408987.21,6.86
986132.21,16.53,0.74,408759.97,6.85
985854.11,16.53,0.74,408688.06,6.85
985854.11,16.53,0.74,408667.33,6.85
985685.68,16.53,0.74,408540.74,6.85
985409.89,16.53,0.74,408272.97,6.85
985429.47,16.53,0.74,408319.9,6.85
985644.74,16.53,0.74,408408.07,6.85
985827.79,16.54,0.75,408577.39,6.85
985827.79,16.54,0.75,408577.39,6.85
985536.32,16.53,0.74,408528.7,6.85
985536.32,16.53,0.74,408511.24,6.85
985367.89,16.53,0.74,408284.1,6.85
985387.47,16.54,0.75,408456.54,6.85
985407.05,16.54,0.75,408550.26,6.86
985426.63,16.54,0.75,408581.44,6.86
985641.89,16.55,0.76,408669.61,6.86
985661.47,16.55,0.76,408814.74,6.86
985681.05,16.55,0.76,408908.47,6.87
985427.37,16.55,0.76,408652.0,6.86
985617.05,16.55,0.76,408689.44,6.86
985448.63,16.55,0.76,408527.32,6.86
985280.21,16.55,0.76,408278.84,6.86
985438.63,16.56,0.77,408119.11,6.86
985458.21,16.56,0.77,408834.43,6.87
910031.16,15.29,0.56,240482.76,4.04
909883.79,15.29,0.56,240437.06,4.04
909606.32,15.29,0.55,240134.76,4.04
909799.89,15.29,0.56,240123.46,4.04
909652.53,15.29,0.56,241157.16,4.05
909685.16,15.3,0.56,240784.27,4.05
909878.11,15.3,0.56,240783.37,4.05
909878.11,15.3,0.56,240829.02,4.05
909631.16,15.3,0.56,240528.12,4.05
909330.21,15.29,0.56,241225.7,4.06
909049.26,15.29,0.55,241231.55,4.06
909049.26,15.29,0.55,241400.52,4.06
909242.21,15.29,0.56,241399.62,4.06
909242.21,15.29,0.56,241402.2,4.06
908971.16,15.29,0.55,241423.6,4.06
908987.05,15.29,0.56,241406.22,4.06
908798.63,15.29,0.55,240983.0,4.05
908987.68,15.29,0.56,240966.14,4.05
908840.32,15.3,0.56,240956.54,4.06
908872.95,15.3,0.56,240540.8,4.05
908905.58,15.3,0.56,242853.09,4.09
908905.58,15.3,0.56,242807.6,4.09
908905.58,15.3,0.56,244901.43,4.12
908820.74,15.3,0.56,245966.98,4.14
908673.37,15.3,0.56,245974.39,4.14
908706.0,15.3,0.57,245404.27,4.13
908738.63,15.31,0.57,245395.52,4.13
908771.26,15.31,0.57,245393.48,4.13
908960.32,15.31,0.58,245427.56,4.13
908923.26,15.31,0.58,245401.02,4.13
908775.89,15.31,0.58,245393.48,4.13
908636.95,15.31,0.57,245240.21,4.13
908829.89,15.31,0.58,246257.29,4.15
908829.89,15.31,0.58,246257.88,4.15
909023.47,15.32,0.58,246102.31,4.15
909056.11,15.32,0.59,246552.16,4.16
908796.74,15.32,0.58,246056.59,4.15
908528.74,15.32,0.58,246287.12,4.15
908722.32,15.32,0.58,246284.33,4.15
908754.95,15.32,0.59,246283.74,4.15
908626.95,15.32,0.58,246130.47,4.15
908659.58,15.32,0.59,246131.96,4.15
908407.68,15.32,0.58,246130.48,4.15
908440.32,15.32,0.59,246130.48,4.15
908472.95,15.33,0.59,246130.47,4.15
908239.68,15.32,0.59,245844.16,4.15
908272.32,15.33,0.59,245844.16,4.15
908416.0,15.33,0.59,247005.6,4.17
908608.95,15.33,0.6,247266.15,4.17
908608.95,15.33,0.6,247258.79,4.17
908482.63,15.33,0.6,247410.99,4.18
908335.26,15.33,0.6,247408.52,4.18
908357.37,15.34,0.6,247155.59,4.17
908379.47,15.34,0.6,247080.32,4.17
908523.16,15.34,0.61,247079.41,4.17
908523.16,15.34,0.61,247079.41,4.17
908232.32,15.34,0.6,247001.97,4.17
908082.32,15.34,0.6,246848.71,4.17
907821.26,15.33,0.6,246555.96,4.16
907853.89,15.34,0.6,246555.96,4.17
907592.84,15.33,0.6,246590.23,4.17
907625.47,15.34,0.6,246573.79,4.17
907769.16,15.34,0.6,246572.21,4.17
907912.84,15.34,0.61,246555.96,4.17
907945.47,15.35,0.61,247803.19,4.19
908138.42,15.35,0.61,248004.69,4.19
907877.37,15.35,0.61,247350.69,4.18
907770.53,15.35,0.61,247243.11,4.18
907489.58,15.34,0.61,247440.33,4.18
907489.58,15.34,0.61,247431.58,4.18
