ow_multigpu30-dr_0.0-tn_1.3-ts_42-if_1.0-ccmd_9a36-policy_FGDPredictor1000desharemd6126-de_share-gs_FGDPredictorScore-scmd_6126-used_nodes,ow_multigpu30-dr_0.0-tn_1.3-ts_42-if_1.0-ccmd_9a36-policy_FGDPredictor1000desharemd6126-de_share-gs_FGDPredictorScore-scmd_6126-used_gpus,ow_multigpu30-dr_0.0-tn_1.3-ts_42-if_1.0-ccmd_9a36-policy_FGDPredictor1000desharemd6126-de_share-gs_FGDPredictorScore-scmd_6126-used_gpu_milli,ow_multigpu30-dr_0.0-tn_1.3-ts_42-if_1.0-ccmd_9a36-policy_FGDPredictor1000desharemd6126-de_share-gs_FGDPredictorScore-scmd_6126-total_gpus,ow_multigpu30-dr_0.0-tn_1.3-ts_42-if_1.0-ccmd_9a36-policy_FGDPredictor1000desharemd6126-de_share-gs_FGDPredictorScore-scmd_6126-arrived_gpu_milli
89,198,179740,6212,179740
90,200,180740,6212,180740
90,200,181290,6212,181290
90,200,181940,6212,181940
91,202,182940,6212,182940
91,202,183940,6212,183940
91,202,184940,6212,184940
91,202,184940,6212,184940
92,204,185940,6212,185940
92,204,186940,6212,186940
93,206,187940,6212,187940
93,206,188940,6212,188940
94,210,189940,6212,189940
95,212,190940,6212,190940
95,212,191940,6212,191940
96,216,192940,6212,192940
97,220,193940,6212,193940
97,220,194590,6212,194590
97,220,195590,6212,195590
97,220,195750,6212,195750
97,220,196040,6212,196040
97,220,197040,6212,197040
97,220,197200,6212,197200
97,220,198200,6212,198200
98,222,199200,6212,199200
98,222,200200,6212,200200
99,224,201200,6212,201200
100,228,201850,6212,201850
100,228,202320,6212,202320
100,228,203320,6212,203320
100,228,203320,6212,203320
101,230,204320,6212,204320
101,230,205320,6212,205320
101,230,205790,6212,205790
101,230,206600,6212,206600
101,230,207410,6212,207410
101,230,208060,6212,208060
101,230,208060,6212,208060
102,238,216060,6212,216060
103,240,217060,6212,217060
103,240,218060,6212,218060
103,240,218060,6212,218060
103,240,218530,6212,218530
104,242,219340,6212,219340
104,242,220340,6212,220340
105,244,221150,6212,221150
105,244,222150,6212,222150
106,246,222620,6212,222620
106,246,223620,6212,223620
106,246,223730,6212,223730
107,248,224380,6212,224380
107,248,225380,6212,225380
107,248,225380,6212,225380
108,250,226030,6212,226030
108,250,227030,6212,227030
109,252,227840,6212,227840
109,252,228840,6212,228840
110,254,229840,6212,229840
111,256,230650,6212,230650
111,256,231120,6212,231120
111,256,231120,6212,231120
111,256,231440,6212,231440
111,256,232440,6212,232440
111,256,233440,6212,233440
112,258,234250,6212,234250
112,258,235250,6212,235250
113,260,235900,6212,235900
113,260,236370,6212,236370
113,260,236370,6212,236370
114,262,237370,6212,237370
114,262,237690,6212,237690
114,262,238690,6212,238690
115,264,239690,6212,239690
115,264,240160,6212,240160
115,264,240970,6212,240970
116,266,241780,6212,241780
116,266,241940,6212,241940
116,266,242940,6212,242940
117,270,243940,6212,243940
117,270,243940,6212,243940
117,270,243940,6212,243940
118,274,244410,6212,244410
118,274,244410,6212,244410
118,274,245220,6212,245220
119,282,253220,6212,253220
119,282,254220,6212,254220
119,282,255220,6212,255220
119,282,256220,6212,256220
120,284,257220,6212,257220
121,286,258030,6212,258030
121,286,259030,6212,259030
121,286,260030,6212,260030
122,288,260680,6212,260680
122,288,261490,6212,261490
123,290,262490,6212,262490
123,290,262810,6212,262810
123,290,262810,6212,262810
123,290,263810,6212,263810
124,294,264810,6212,264810
124,294,265810,6212,265810
124,294,266810,6212,266810
124,294,267280,6212,267280
124,294,268280,6212,268280
125,296,269090,6212,269090
126,298,270090,6212,270090
126,298,271090,6212,271090
126,298,271560,6212,271560
127,300,272560,6212,272560
127,300,273370,6212,273370
128,302,274370,6212,274370
128,302,275370,6212,275370
128,302,275840,6212,275840
129,304,276840,6212,276840
129,304,277160,6212,277160
129,304,278160,6212,278160
130,306,279160,6212,279160
130,306,280160,6212,280160
130,306,280970,6212,280970
130,306,281440,6212,281440
131,308,282250,6212,282250
131,308,283250,6212,283250
131,308,284060,6212,284060
132,310,285060,6212,285060
132,310,286060,6212,286060
133,314,287060,6212,287060
134,316,288060,6212,288060
134,316,288220,6212,288220
134,316,289220,6212,289220
135,318,290220,6212,290220
135,318,290220,6212,290220
135,318,290220,6212,290220
135,318,290220,6212,290220
136,320,291030,6212,291030
136,320,291500,6212,291500
136,320,291970,6212,291970
137,324,292620,6212,292620
137,324,292940,6212,292940
137,324,293940,6212,293940
137,324,294410,6212,294410
137,324,295410,6212,295410
137,324,295410,6212,295410
137,324,296410,6212,296410
137,324,297000,6212,297000
137,324,298000,6212,298000
138,328,299000,6212,299000
138,328,300000,6212,300000
138,328,300000,6212,300000
139,336,308000,6212,308000
139,336,308650,6212,308650
139,336,309460,6212,309460
139,336,310460,6212,310460
139,336,311050,6212,311050
140,340,315050,6212,315050
141,342,315860,6212,315860
141,342,316860,6212,316860
141,342,316860,6212,316860
142,350,324860,6212,324860
142,350,324860,6212,324860
143,352,325330,6212,325330
143,352,326330,6212,326330
143,352,326330,6212,326330
143,352,326550,6212,326550
143,352,326550,6212,326550
143,352,327010,6212,327010
144,354,328010,6212,328010
144,354,329010,6212,329010
145,356,329660,6212,329660
145,356,330660,6212,330660
145,356,330660,6212,330660
146,358,331140,6212,331140
146,358,332140,6212,332140
147,362,333140,6212,333140
147,362,333460,6212,333460
148,364,334270,6212,334270
148,364,334590,6212,334590
148,364,335590,6212,335590
148,364,336400,6212,336400
148,364,336720,6212,336720
148,364,337190,6212,337190
148,364,337190,6212,337190
148,364,338190,6212,338190
149,366,339190,6212,339190
149,366,339660,6212,339660
150,368,340660,6212,340660
150,368,341310,6212,341310
150,368,341310,6212,341310
151,370,342310,6212,342310
151,370,343310,6212,343310
151,370,343780,6212,343780
151,370,343780,6212,343780
152,372,344780,6212,344780
152,372,345250,6212,345250
152,372,345250,6212,345250
153,374,346250,6212,346250
153,374,347250,6212,347250
153,374,347250,6212,347250
153,374,347250,6212,347250
154,376,348250,6212,348250
155,378,350250,6212,350250
155,378,351250,6212,351250
156,380,352250,6212,352250
156,380,353250,6212,353250
156,380,353250,6212,353250
157,382,354250,6212,354250
157,382,355250,6212,355250
157,382,355250,6212,355250
158,384,356060,6212,356060
158,384,356870,6212,356870
159,386,357680,6212,357680
159,386,358680,6212,358680
159,386,358680,6212,358680
159,386,359150,6212,359150
160,388,360150,6212,360150
160,388,360150,6212,360150
161,390,360960,6212,360960
161,390,361960,6212,361960
161,390,362280,6212,362280
161,390,363280,6212,363280
162,392,364280,6212,364280
162,392,365090,6212,365090
163,394,366090,6212,366090
163,394,366560,6212,366560
164,396,367560,6212,367560
164,396,368370,6212,368370
165,398,370370,6212,370370
165,398,371370,6212,371370
166,402,372370,6212,372370
167,404,373370,6212,373370
167,404,374370,6212,374370
168,406,375180,6212,375180
168,406,376180,6212,376180
168,406,376550,6212,376550
169,408,377200,6212,377200
169,408,377670,6212,377670
169,408,378480,6212,378480
170,410,379480,6212,379480
171,418,379480,6212,379480
171,418,380480,6212,380480
172,420,381480,6212,381480
172,420,381640,6212,381640
172,420,381640,6212,381640
172,420,381640,6212,381640
172,420,382450,6212,382450
173,422,383450,6212,383450
173,422,383920,6212,383920
174,424,384920,6212,384920
174,424,385920,6212,385920
175,426,386730,6212,386730
175,426,387540,6212,387540
176,428,388540,6212,388540
176,428,388700,6212,388700
176,428,389700,6212,389700
176,428,390020,6212,390020
176,428,391020,6212,391020
176,428,391020,6212,391020
177,430,392020,6212,392020
177,430,392830,6212,392830
177,430,393300,6212,393300
178,432,394300,6212,394300
178,432,395300,6212,395300
179,434,395770,6212,395770
179,434,395770,6212,395770
179,434,396580,6212,396580
180,436,397390,6212,397390
180,436,398200,6212,398200
181,438,399200,6212,399200
181,438,400200,6212,400200
182,440,401200,6212,401200
182,440,401670,6212,401670
182,440,402670,6212,402670
182,440,402670,6212,402670
183,442,403670,6212,403670
183,442,404670,6212,404670
184,444,405480,6212,405480
184,444,406290,6212,406290
185,446,407290,6212,407290
185,446,408290,6212,408290
186,448,408760,6212,408760
186,448,409760,6212,409760
187,450,410760,6212,410760
187,450,411760,6212,411760
187,450,412230,6212,412230
188,452,413230,6212,413230
188,452,413230,6212,413230
188,452,413700,6212,413700
188,452,414020,6212,414020
188,452,414180,6212,414180
189,454,415180,6212,415180
190,456,415990,6212,415990
190,456,416990,6212,416990
190,456,417990,6212,417990
191,458,418990,6212,418990
191,458,419990,6212,419990
192,460,420990,6212,420990
192,460,421990,6212,421990
193,464,422990,6212,422990
194,466,423990,6212,423990
194,466,424460,6212,424460
194,466,424460,6212,424460
194,466,424460,6212,424460
194,466,425460,6212,425460
195,468,426110,6212,426110
195,468,426110,6212,426110
195,468,427110,6212,427110
195,468,427920,6212,427920
195,468,428920,6212,428920
195,468,428920,6212,428920
196,476,436920,6212,436920
196,476,437920,6212,437920
197,478,438380,6212,438380
197,478,439380,6212,439380
197,478,439850,6212,439850
197,478,439850,6212,439850
198,482,440850,6212,440850
199,486,441850,6212,441850
200,488,442850,6212,442850
200,488,443320,6212,443320
200,488,443640,6212,443640
201,490,444640,6212,444640
202,492,445450,6212,445450
202,492,446260,6212,446260
202,492,446260,6212,446260
202,492,446260,6212,446260
202,492,447260,6212,447260
203,494,448260,6212,448260
204,496,449070,6212,449070
204,496,449540,6212,449540
204,496,450540,6212,450540
204,496,451540,6212,451540
205,498,452540,6212,452540
205,498,453540,6212,453540
206,500,454540,6212,454540
206,500,455540,6212,455540
206,500,455540,6212,455540
207,502,456000,6212,456000
207,502,457000,6212,457000
208,504,457810,6212,457810
208,504,458810,6212,458810
209,506,459810,6212,459810
209,506,460810,6212,460810
210,508,461810,6212,461810
210,508,462810,6212,462810
210,508,463810,6212,463810
210,508,464280,6212,464280
211,510,465280,6212,465280
211,510,465750,6212,465750
212,514,466750,6212,466750
213,516,467750,6212,467750
213,516,468070,6212,468070
213,516,469070,6212,469070
214,518,470070,6212,470070
214,518,470070,6212,470070
214,518,470720,6212,470720
215,520,471530,6212,471530
215,520,471530,6212,471530
216,524,475530,6212,475530
216,524,476530,6212,476530
216,524,476530,6212,476530
216,524,476760,6212,476760
216,524,477080,6212,477080
217,526,478080,6212,478080
217,526,479080,6212,479080
218,528,479730,6212,479730
218,528,480730,6212,480730
218,528,481200,6212,481200
219,530,482200,6212,482200
219,530,482200,6212,482200
219,530,483200,6212,483200
219,530,483670,6212,483670
219,530,484670,6212,484670
220,532,485670,6212,485670
221,534,486260,6212,486260
221,534,487070,6212,487070
221,534,488070,6212,488070
221,534,488390,6212,488390
221,534,489390,6212,489390
222,542,497390,6212,497390
223,546,498390,6212,498390
224,548,499390,6212,499390
224,548,499860,6212,499860
225,550,500860,6212,500860
225,550,501860,6212,501860
226,552,502860,6212,502860
226,552,503330,6212,503330
226,552,503800,6212,503800
226,552,504270,6212,504270
227,554,505080,6212,505080
227,554,505080,6212,505080
227,554,506080,6212,506080
227,554,506890,6212,506890
227,554,507890,6212,507890
228,556,508890,6212,508890
228,556,509050,6212,509050
228,556,509050,6212,509050
228,556,510050,6212,510050
229,558,510860,6212,510860
229,558,511230,6212,511230
229,558,512230,6212,512230
230,560,513230,6212,513230
230,560,514230,6212,514230
231,562,515040,6212,515040
231,562,516040,6212,516040
231,562,516040,6212,516040
232,564,517040,6212,517040
233,566,517850,6212,517850
233,566,518320,6212,518320
233,566,518790,6212,518790
233,566,519790,6212,519790
234,570,523790,6212,523790
234,570,524790,6212,524790
235,572,525790,6212,525790
235,572,526110,6212,526110
235,572,527110,6212,527110
235,572,527110,6212,527110
236,574,527920,6212,527920
236,574,528920,6212,528920
236,574,528920,6212,528920
237,576,529920,6212,529920
237,576,530920,6212,530920
238,578,532920,6212,532920
239,580,533920,6212,533920
239,580,533920,6212,533920
239,580,534920,6212,534920
240,582,536920,6212,536920
241,584,537920,6212,537920
241,584,538380,6212,538380
241,584,539190,6212,539190
241,584,540190,6212,540190
241,584,541190,6212,541190
242,586,542190,6212,542190
242,586,543190,6212,543190
243,588,544190,6212,544190
243,588,545190,6212,545190
243,588,546000,6212,546000
243,588,546000,6212,546000
243,588,547000,6212,547000
244,590,548000,6212,548000
244,590,549000,6212,549000
245,592,549810,6212,549810
245,592,550810,6212,550810
245,592,551130,6212,551130
245,592,551600,6212,551600
246,594,552600,6212,552600
246,594,552820,6212,552820
246,594,552820,6212,552820
246,594,553630,6212,553630
246,594,553630,6212,553630
247,602,561630,6212,561630
247,602,562440,6212,562440
247,602,563440,6212,563440
247,602,563440,6212,563440
247,602,564090,6212,564090
248,604,564900,6212,564900
248,604,564900,6212,564900
248,604,564900,6212,564900
248,604,565900,6212,565900
248,604,566220,6212,566220
249,606,566540,6212,566540
249,606,567130,6212,567130
249,606,568130,6212,568130
250,608,568780,6212,568780
250,608,569780,6212,569780
250,608,569780,6212,569780
251,610,570430,6212,570430
251,610,571430,6212,571430
252,612,572240,6212,572240
252,612,572240,6212,572240
252,612,572350,6212,572350
252,612,572350,6212,572350
252,612,572820,6212,572820
252,612,573140,6212,573140
252,612,573140,6212,573140
253,614,574140,6212,574140
253,614,574140,6212,574140
253,614,574790,6212,574790
254,616,575600,6212,575600
254,616,576600,6212,576600
254,616,577070,6212,577070
254,616,577070,6212,577070
255,618,577540,6212,577540
255,618,578540,6212,578540
256,620,580540,6212,580540
257,622,581540,6212,581540
257,622,581860,6212,581860
257,622,582860,6212,582860
257,622,583090,6212,583090
258,624,583740,6212,583740
259,632,583740,6212,583740
259,632,584740,6212,584740
260,636,585740,6212,585740
260,636,585960,6212,585960
260,636,585960,6212,585960
261,638,586960,6212,586960
261,638,587960,6212,587960
262,640,588960,6212,588960
262,640,589960,6212,589960
263,642,590960,6212,590960
263,642,590960,6212,590960
263,642,590960,6212,590960
263,642,591960,6212,591960
264,644,592960,6212,592960
264,644,593280,6212,593280
264,644,593280,6212,593280
264,644,593740,6212,593740
265,646,594740,6212,594740
265,646,595740,6212,595740
266,648,596550,6212,596550
266,648,597550,6212,597550
266,648,598550,6212,598550
267,650,599550,6212,599550
267,650,600550,6212,600550
268,652,601550,6212,601550
268,652,602550,6212,602550
269,654,603360,6212,603360
269,654,603360,6212,603360
269,654,603680,6212,603680
269,654,604680,6212,604680
269,654,604680,6212,604680
270,658,605680,6212,605680
271,660,606680,6212,606680
271,660,607680,6212,607680
272,662,608680,6212,608680
272,662,609680,6212,609680
273,664,610680,6212,610680
273,664,611680,6212,611680
274,666,612150,6212,612150
274,666,612610,6212,612610
274,666,613610,6212,613610
275,668,614420,6212,614420
275,668,614420,6212,614420
275,668,614420,6212,614420
275,668,615420,6212,615420
275,668,616420,6212,616420
276,670,617420,6212,617420
276,670,618420,6212,618420
277,672,619230,6212,619230
277,672,619700,6212,619700
278,674,620700,6212,620700
278,674,621510,6212,621510
278,674,622510,6212,622510
278,674,623510,6212,623510
279,676,625510,6212,625510
280,678,625980,6212,625980
280,678,626980,6212,626980
281,680,627980,6212,627980
281,680,627980,6212,627980
281,680,628630,6212,628630
