ow_default-dr_0.0-tn_1.3-ts_42-if_1.0-ccmd_23e2-policy_GpuPacking1000desharemd3402-de_share-gs_best-scmd_3402-used_nodes,ow_default-dr_0.0-tn_1.3-ts_42-if_1.0-ccmd_23e2-policy_GpuPacking1000desharemd3402-de_share-gs_best-scmd_3402-used_gpus,ow_default-dr_0.0-tn_1.3-ts_42-if_1.0-ccmd_23e2-policy_GpuPacking1000desharemd3402-de_share-gs_best-scmd_3402-used_gpu_milli,ow_default-dr_0.0-tn_1.3-ts_42-if_1.0-ccmd_23e2-policy_GpuPacking1000desharemd3402-de_share-gs_best-scmd_3402-total_gpus,ow_default-dr_0.0-tn_1.3-ts_42-if_1.0-ccmd_23e2-policy_GpuPacking1000desharemd3402-de_share-gs_best-scmd_3402-arrived_gpu_milli
97,202,147070,6212,147070
98,204,147540,6212,147540
98,204,148540,6212,148540
99,206,149540,6212,149540
99,206,150010,6212,150010
100,208,151010,6212,151010
100,208,151820,6212,151820
100,208,152630,6212,152630
101,210,153630,6212,153630
101,210,153630,6212,153630
101,210,154630,6212,154630
102,212,155100,6212,155100
102,212,156100,6212,156100
102,212,156570,6212,156570
103,214,156940,6212,156940
103,214,157940,6212,157940
104,216,158750,6212,158750
104,216,159560,6212,159560
104,216,160020,6212,160020
105,218,160830,6212,160830
105,218,161480,6212,161480
105,218,161710,6212,161710
105,218,161710,6212,161710
105,218,161710,6212,161710
106,226,161710,6212,161710
107,228,162710,6212,162710
107,228,163520,6212,163520
108,232,167520,6212,167520
109,234,168520,6212,168520
110,236,169520,6212,169520
110,236,170520,6212,170520
111,238,171520,6212,171520
111,238,172520,6212,172520
112,240,172990,6212,172990
112,240,173990,6212,173990
113,242,174990,6212,174990
113,242,175460,6212,175460
113,242,176460,6212,176460
114,244,177460,6212,177460
114,244,178270,6212,178270
115,246,179270,6212,179270
115,246,179740,6212,179740
116,248,180740,6212,180740
116,248,181740,6212,181740
117,250,182740,6212,182740
118,252,183740,6212,183740
119,254,184740,6212,184740
119,254,185200,6212,185200
119,254,186200,6212,186200
119,254,186200,6212,186200
119,254,187200,6212,187200
120,256,188200,6212,188200
120,256,189200,6212,189200
120,256,189520,6212,189520
120,256,190330,6212,190330
121,258,191140,6212,191140
121,258,191690,6212,191690
122,260,192160,6212,192160
122,260,192160,6212,192160
122,260,192390,6212,192390
122,260,192860,6212,192860
122,260,193080,6212,193080
122,260,194080,6212,194080
123,262,194890,6212,194890
123,262,195890,6212,195890
124,264,196700,6212,196700
124,264,196700,6212,196700
124,264,197170,6212,197170
125,266,198170,6212,198170
125,266,199170,6212,199170
126,268,199980,6212,199980
126,268,200980,6212,200980
127,270,201980,6212,201980
127,270,202450,6212,202450
128,272,203450,6212,203450
128,272,204260,6212,204260
128,272,205260,6212,205260
129,274,205730,6212,205730
129,274,205730,6212,205730
129,274,206540,6212,206540
130,276,207350,6212,207350
130,276,207350,6212,207350
130,276,208350,6212,208350
131,278,209350,6212,209350
131,278,209580,6212,209580
132,280,211580,6212,211580
132,280,211580,6212,211580
132,280,212390,6212,212390
132,280,212390,6212,212390
133,282,213390,6212,213390
