ow_cpu050-dr_0.0-tn_1.3-ts_42-if_1.0-ccmd_fb5a-policy_GpuClustering1000desharemddbc8-de_share-gs_best-scmd_dbc8-used_nodes,ow_cpu050-dr_0.0-tn_1.3-ts_42-if_1.0-ccmd_fb5a-policy_GpuClustering1000desharemddbc8-de_share-gs_best-scmd_dbc8-used_gpus,ow_cpu050-dr_0.0-tn_1.3-ts_42-if_1.0-ccmd_fb5a-policy_GpuClustering1000desharemddbc8-de_share-gs_best-scmd_dbc8-used_gpu_milli,ow_cpu050-dr_0.0-tn_1.3-ts_42-if_1.0-ccmd_fb5a-policy_GpuClustering1000desharemddbc8-de_share-gs_best-scmd_dbc8-total_gpus,ow_cpu050-dr_0.0-tn_1.3-ts_42-if_1.0-ccmd_fb5a-policy_GpuClustering1000desharemddbc8-de_share-gs_best-scmd_dbc8-arrived_gpu_milli
105,192,166660,6212,166660
106,194,167660,6212,167660
106,194,168130,6212,168130
106,194,168130,6212,168130
106,194,168360,6212,168360
107,196,169010,6212,169010
107,196,169330,6212,169330
108,198,170330,6212,170330
108,198,170330,6212,170330
108,198,170790,6212,170790
108,198,171790,6212,171790
109,200,172790,6212,172790
109,200,173790,6212,173790
110,202,174790,6212,174790
110,202,175790,6212,175790
110,202,176600,6212,176600
111,204,177600,6212,177600
112,206,178410,6212,178410
112,206,179410,6212,179410
112,206,179880,6212,179880
112,206,180880,6212,180880
112,206,181350,6212,181350
113,208,182350,6212,182350
114,210,183000,6212,183000
115,212,184000,6212,184000
115,212,184810,6212,184810
115,212,185810,6212,185810
116,214,186810,6212,186810
116,214,186970,6212,186970
116,214,187970,6212,187970
117,216,188780,6212,188780
117,216,189010,6212,189010
117,216,189330,6212,189330
118,218,190330,6212,190330
118,218,190880,6212,190880
118,218,191880,6212,191880
119,220,192690,6212,192690
119,220,193500,6212,193500
120,222,193970,6212,193970
121,224,194970,6212,194970
122,226,195970,6212,195970
123,228,196970,6212,196970
123,228,197970,6212,197970
124,230,198970,6212,198970
124,230,199970,6212,199970
125,232,200970,6212,200970
125,232,201440,6212,201440
125,232,202440,6212,202440
125,232,202440,6212,202440
125,232,203090,6212,203090
126,234,204090,6212,204090
126,234,205090,6212,205090
127,236,205640,6212,205640
127,236,206450,6212,206450
128,238,207450,6212,207450
128,238,208450,6212,208450
129,240,209450,6212,209450
129,240,210450,6212,210450
130,242,211450,6212,211450
130,242,211590,6212,211590
130,242,212590,6212,212590
131,244,213590,6212,213590
131,244,214590,6212,214590
131,244,215590,6212,215590
132,246,216590,6212,216590
133,248,217060,6212,217060
133,248,218060,6212,218060
134,250,219060,6212,219060
135,254,223060,6212,223060
135,254,224060,6212,224060
135,254,224650,6212,224650
136,256,225650,6212,225650
136,256,225810,6212,225810
136,256,226130,6212,226130
136,256,226290,6212,226290
137,258,227290,6212,227290
137,258,228290,6212,228290
137,258,229290,6212,229290
138,260,230290,6212,230290
139,262,230760,6212,230760
139,262,231410,6212,231410
139,262,232410,6212,232410
139,262,232880,6212,232880
140,264,233880,6212,233880
140,264,234880,6212,234880
141,266,235880,6212,235880
142,268,236880,6212,236880
142,268,237880,6212,237880
142,268,238880,6212,238880
142,268,239880,6212,239880
142,268,240200,6212,240200
143,270,241200,6212,241200
144,272,242010,6212,242010
144,272,242820,6212,242820
145,274,243290,6212,243290
145,274,244100,6212,244100
146,276,244570,6212,244570
146,276,244890,6212,244890
146,276,245700,6212,245700
146,276,246700,6212,246700
147,278,247290,6212,247290
147,278,248290,6212,248290
148,280,249290,6212,249290
148,280,250100,6212,250100
148,280,251100,6212,251100
149,282,252100,6212,252100
150,284,252750,6212,252750
150,284,253750,6212,253750
151,286,254750,6212,254750
151,286,255560,6212,255560
151,286,256020,6212,256020
152,288,256670,6212,256670
152,288,257670,6212,257670
153,290,258670,6212,258670
154,292,259670,6212,259670
154,292,259720,6212,259720
154,292,260720,6212,260720
155,294,261190,6212,261190
156,296,261660,6212,261660
156,296,262310,6212,262310
156,296,263310,6212,263310
156,296,263780,6212,263780
157,298,264430,6212,264430
158,300,265430,6212,265430
159,302,266430,6212,266430
159,302,267240,6212,267240
159,302,268240,6212,268240
159,302,269240,6212,269240
160,304,270240,6212,270240
160,304,271050,6212,271050
160,304,271050,6212,271050
161,306,272050,6212,272050
162,308,272520,6212,272520
162,308,273520,6212,273520
162,308,274520,6212,274520
162,308,274840,6212,274840
163,310,275840,6212,275840
163,310,276840,6212,276840
163,310,277430,6212,277430
164,312,278430,6212,278430
164,312,279430,6212,279430
165,314,280430,6212,280430
165,314,281080,6212,281080
165,314,282080,6212,282080
166,316,283080,6212,283080
166,316,284080,6212,284080
167,318,285080,6212,285080
167,318,286080,6212,286080
168,326,286080,6212,286080
168,326,286550,6212,286550
169,328,287020,6212,287020
169,328,287830,6212,287830
170,330,288830,6212,288830
170,330,289830,6212,289830
171,332,290830,6212,290830
172,334,291640,6212,291640
172,334,292110,6212,292110
172,334,292920,6212,292920
173,336,293730,6212,293730
173,336,294540,6212,294540
173,336,295540,6212,295540
174,338,296540,6212,296540
175,340,297350,6212,297350
175,340,298160,6212,298160
176,342,298970,6212,298970
176,342,299290,6212,299290
176,342,299750,6212,299750
176,342,300220,6212,300220
177,350,308220,6212,308220
178,352,308770,6212,308770
178,352,309770,6212,309770
178,352,310580,6212,310580
179,354,311580,6212,311580
179,354,311810,6212,311810
180,356,312280,6212,312280
180,356,312750,6212,312750
180,356,313560,6212,313560
180,356,314560,6212,314560
181,358,315030,6212,315030
182,360,316030,6212,316030
182,360,317030,6212,317030
183,362,318030,6212,318030
183,362,319030,6212,319030
184,364,320030,6212,320030
184,364,320840,6212,320840
185,366,321650,6212,321650
185,366,322120,6212,322120
185,366,323120,6212,323120
185,366,323120,6212,323120
186,368,324120,6212,324120
187,376,332120,6212,332120
187,376,333120,6212,333120
187,376,333590,6212,333590
188,378,334590,6212,334590
189,380,335400,6212,335400
189,380,336400,6212,336400
189,380,336870,6212,336870
190,382,337870,6212,337870
190,382,338870,6212,338870
191,384,339870,6212,339870
191,384,340870,6212,340870
191,384,341340,6212,341340
192,386,342340,6212,342340
193,388,342930,6212,342930
193,388,343930,6212,343930
194,390,344930,6212,344930
194,390,345740,6212,345740
194,390,346740,6212,346740
195,392,347740,6212,347740
195,392,348210,6212,348210
195,392,349210,6212,349210
196,400,357210,6212,357210
197,402,358210,6212,358210
197,402,358530,6212,358530
197,402,359530,6212,359530
198,404,360180,6212,360180
198,404,360180,6212,360180
