ow_gpuspec20-dr_0.0-tn_1.3-ts_42-if_1.0-ccmd_a7bf-policy_GpuPacking1000desharemd3326-de_share-gs_best-scmd_3326-origin_milli,ow_gpuspec20-dr_0.0-tn_1.3-ts_42-if_1.0-ccmd_a7bf-policy_GpuPacking1000desharemd3326-de_share-gs_best-scmd_3326-origin_ratio,ow_gpuspec20-dr_0.0-tn_1.3-ts_42-if_1.0-ccmd_a7bf-policy_GpuPacking1000desharemd3326-de_share-gs_best-scmd_3326-origin_q124,ow_gpuspec20-dr_0.0-tn_1.3-ts_42-if_1.0-ccmd_a7bf-policy_GpuPacking1000desharemd3326-de_share-gs_best-scmd_3326-bellman_milli,ow_gpuspec20-dr_0.0-tn_1.3-ts_42-if_1.0-ccmd_a7bf-policy_GpuPacking1000desharemd3326-de_share-gs_best-scmd_3326-bellman_ratio
1605509.88,25.85,0.39,213537.82,3.44
1605041.07,25.84,0.39,213009.32,3.43
1604834.87,25.84,0.39,212938.25,3.43
1604628.67,25.84,0.39,212933.08,3.43
1604337.39,25.84,0.39,212813.34,3.43
1603882.52,25.84,0.39,212427.67,3.42
1603754.93,25.84,0.39,212240.67,3.42
1604229.02,25.85,0.4,212350.41,3.42
1604210.86,25.85,0.4,212446.8,3.42
1604598.19,25.86,0.41,212867.9,3.43
1604580.03,25.86,0.41,212964.29,3.43
1604373.83,25.86,0.41,212953.18,3.43
1604070.35,25.86,0.4,212826.5,3.43
1603951.51,25.86,0.41,212648.24,3.43
1603968.03,25.86,0.41,212637.78,3.43
1603676.75,25.86,0.41,212518.04,3.43
1603571.85,25.86,0.41,212482.61,3.43
1603453.01,25.86,0.41,212304.35,3.42
1602722.86,25.85,0.4,211616.6,3.41
1602850.55,25.86,0.4,211433.13,3.41
1602866.05,25.86,0.4,211419.8,3.41
1603509.48,25.87,0.42,211749.48,3.42
1603842.09,25.88,0.42,218268.58,3.52
1603298.32,25.87,0.42,217714.04,3.51
1603140.29,25.87,0.42,217519.6,3.51
1607291.61,25.94,0.48,218762.02,3.53
1606572.1,25.93,0.47,218034.33,3.52
1606339.57,25.93,0.48,218036.41,3.52
1606263.32,25.93,0.48,218016.93,3.52
1605997.34,25.93,0.48,217942.12,3.52
1605889.03,25.93,0.48,217971.06,3.52
1605624.47,25.93,0.48,217943.17,3.52
1605624.47,25.93,0.48,217924.84,3.52
1605802.94,25.93,0.48,218293.99,3.53
1605541.87,25.93,0.48,218221.88,3.52
1605295.0,25.93,0.48,218113.95,3.52
1605242.61,25.94,0.49,218949.17,3.54
1604976.63,25.94,0.49,218941.13,3.54
1604710.65,25.94,0.49,218934.48,3.54
1604882.16,25.94,0.49,219212.48,3.54
1604914.18,25.94,0.49,219225.99,3.54
1604707.98,25.94,0.49,219155.16,3.54
1604707.98,25.94,0.49,219124.39,3.54
1604501.78,25.94,0.49,219118.98,3.54
1604272.43,25.94,0.49,218969.54,3.54
1604066.23,25.94,0.49,218898.46,3.54
1604066.23,25.94,0.49,220353.86,3.56
1604384.19,25.95,0.49,220873.35,3.57
1603908.53,25.95,0.49,220334.85,3.56
1603439.72,25.94,0.49,219806.35,3.56
1603524.42,25.94,0.49,220346.45,3.57
1603299.97,25.94,0.49,220077.88,3.56
1603427.67,25.95,0.49,219894.41,3.56
1603172.67,25.95,0.49,219893.43,3.56
1602885.64,25.95,0.49,219866.29,3.56
1603139.46,25.95,0.5,219902.54,3.56
1602852.43,25.95,0.5,219878.61,3.56
1602568.9,25.95,0.5,219861.28,3.56
1602280.71,25.95,0.5,219985.07,3.56
1602180.83,25.95,0.5,220176.18,3.57
1601892.65,25.95,0.5,220380.33,3.57
1601158.88,25.95,0.49,219635.8,3.56
1601476.84,25.95,0.5,219720.23,3.56
1601270.64,25.95,0.5,220084.21,3.57
1600613.06,25.95,0.49,219367.21,3.56
1600358.06,25.95,0.49,219372.8,3.56
1600071.03,25.95,0.49,219344.08,3.56
1600103.05,25.95,0.49,219357.59,3.56
1599816.03,25.95,0.49,219381.31,3.56
1599529.0,25.95,0.49,219362.43,3.56
1599212.68,25.94,0.49,219016.3,3.55
1599117.45,25.94,0.49,219006.08,3.55
1598829.26,25.94,0.49,218993.76,3.55
1598541.08,25.94,0.49,219249.41,3.56
1598441.2,25.94,0.5,219341.3,3.56
1601293.1,25.99,0.54,221680.37,3.6
1601027.12,25.99,0.54,221673.54,3.6
1600761.15,25.99,0.54,221597.52,3.6
1600292.33,25.99,0.54,221069.02,3.59
1599472.19,25.99,0.54,221025.72,3.59
1599472.19,25.99,0.54,220994.95,3.59
1599003.38,25.99,0.53,220466.45,3.58
