ow_gpushare100-dr_0.0-tn_1.3-ts_42-if_1.0-ccmd_3956-policy_Random1000desharemd8fc0-de_share-gs_random-scmd_8fc0-origin_milli,ow_gpushare100-dr_0.0-tn_1.3-ts_42-if_1.0-ccmd_3956-policy_Random1000desharemd8fc0-de_share-gs_random-scmd_8fc0-origin_ratio,ow_gpushare100-dr_0.0-tn_1.3-ts_42-if_1.0-ccmd_3956-policy_Random1000desharemd8fc0-de_share-gs_random-scmd_8fc0-origin_q124,ow_gpushare100-dr_0.0-tn_1.3-ts_42-if_1.0-ccmd_3956-policy_Random1000desharemd8fc0-de_share-gs_random-scmd_8fc0-bellman_milli,ow_gpushare100-dr_0.0-tn_1.3-ts_42-if_1.0-ccmd_3956-policy_Random1000desharemd8fc0-de_share-gs_random-scmd_8fc0-bellman_ratio
847450.92,13.64,0.08,212525.38,3.42
847605.19,13.65,0.08,212617.35,3.42
847765.51,13.65,0.08,212617.14,3.42
847817.04,13.65,0.09,212616.92,3.42
847817.04,13.65,0.09,212444.4,3.42
847986.43,13.66,0.09,212444.4,3.42
847856.69,13.66,0.09,212048.13,3.42
847908.22,13.66,0.09,211810.76,3.41
848068.54,13.66,0.1,211781.99,3.41
848237.93,13.67,0.1,211781.4,3.41
848289.46,13.67,0.1,211608.87,3.41
848449.78,13.67,0.11,211580.11,3.41
848619.17,13.67,0.11,211579.51,3.41
848670.7,13.68,0.11,211697.99,3.41
848831.02,13.68,0.11,211697.78,3.41
848985.29,13.68,0.12,211697.78,3.41
849151.19,13.69,0.12,211700.71,3.41
849382.05,13.69,0.13,211700.12,3.41
850438.06,13.71,0.14,212491.09,3.43
850773.59,13.72,0.15,212444.09,3.43
850825.12,13.72,0.15,212443.87,3.43
850876.65,13.72,0.16,212443.64,3.43
851046.05,13.73,0.16,212282.13,3.42
851097.58,13.73,0.16,212400.61,3.43
851257.89,13.73,0.17,212400.4,3.43
851418.21,13.74,0.17,212400.19,3.43
851578.53,13.74,0.17,212371.43,3.43
851630.06,13.74,0.18,212371.2,3.43
851681.59,13.74,0.18,212370.98,3.43
851841.91,13.75,0.18,212370.77,3.43
851893.44,13.75,0.18,212489.24,3.43
851944.97,13.75,0.19,212489.02,3.43
851944.97,13.75,0.19,212488.42,3.43
851996.5,13.76,0.19,212488.2,3.43
852048.03,13.76,0.19,212487.97,3.43
852246.31,13.76,0.2,211924.83,3.42
852406.62,13.77,0.2,211924.62,3.42
852616.39,13.77,0.2,211843.69,3.42
852616.39,13.77,0.2,211701.17,3.42
852770.66,13.77,0.21,211793.14,3.42
852968.93,13.78,0.21,211792.54,3.42
853129.25,13.78,0.22,211792.33,3.42
853180.78,13.79,0.22,211791.96,3.42
853390.55,13.79,0.22,211791.37,3.42
853544.82,13.79,0.23,211883.34,3.42
853699.08,13.8,0.23,211975.31,3.43
853859.4,13.8,0.23,211946.55,3.43
853902.06,13.8,0.24,211400.62,3.42
854062.38,13.81,0.24,211367.44,3.42
854216.65,13.81,0.24,211459.41,3.42
854747.26,13.82,0.25,211781.68,3.42
854913.16,13.82,0.26,211445.21,3.42
854964.69,13.83,0.26,211098.91,3.41
854964.69,13.83,0.26,211108.99,3.41
854964.69,13.83,0.26,211108.39,3.41
854964.69,13.83,0.26,211107.8,3.41
855125.01,13.83,0.26,211148.93,3.42
855294.41,13.83,0.27,211059.41,3.41
855508.66,13.84,0.27,211058.82,3.41
855910.1,13.85,0.28,211116.98,3.42
855910.1,13.85,0.28,211015.28,3.41
855910.1,13.85,0.28,210842.76,3.41
855961.63,13.85,0.28,210842.53,3.41
855961.63,13.85,0.28,210841.93,3.41
856116.36,13.85,0.29,210963.24,3.41
856829.27,13.86,0.3,211262.02,3.42
856989.59,13.87,0.3,211233.25,3.42
857187.86,13.87,0.31,211229.96,3.42
857402.12,13.88,0.31,211229.37,3.42
857453.65,13.88,0.31,211229.14,3.42
857505.18,13.88,0.32,211347.62,3.42
857556.71,13.88,0.32,211347.39,3.42
857608.24,13.89,0.32,211347.16,3.42
857768.56,13.89,0.32,211318.4,3.42
857934.46,13.89,0.33,211317.8,3.42
857912.75,13.89,0.33,211317.21,3.42
857964.28,13.9,0.33,211435.68,3.42
858015.81,13.9,0.33,211554.16,3.43
858176.13,13.9,0.34,211525.39,3.43
858227.66,13.91,0.34,211584.44,3.43
858786.19,13.92,0.35,211682.21,3.43
858946.51,13.92,0.35,211682.01,3.43
858946.51,13.92,0.35,211509.48,3.43
859100.77,13.92,0.36,211509.95,3.43
859100.77,13.92,0.36,211509.35,3.43
859152.3,13.93,0.36,211627.83,3.43
859362.07,13.93,0.36,211749.07,3.43
859531.46,13.93,0.37,211659.55,3.43
859700.86,13.94,0.37,211570.03,3.43
859899.14,13.94,0.38,211569.43,3.43
859950.67,13.94,0.38,211569.2,3.43
860110.98,13.95,0.38,211540.44,3.43
860271.3,13.95,0.39,211540.23,3.43
860431.62,13.96,0.39,212097.55,3.44
860431.62,13.96,0.39,211955.04,3.44
860629.9,13.96,0.39,211954.44,3.44
860681.43,13.96,0.4,212064.0,3.44
860681.43,13.96,0.4,212074.09,3.44
860879.71,13.97,0.4,212073.49,3.44
861040.02,13.97,0.4,212073.29,3.44
861200.34,13.97,0.41,212044.52,3.44
861200.34,13.97,0.41,211942.82,3.44
861369.73,13.98,0.41,211942.82,3.44
861369.73,13.98,0.41,211916.43,3.44
861530.05,13.98,0.42,211916.23,3.44
861684.32,13.99,0.42,211915.63,3.44
861882.6,13.99,0.42,211915.03,3.44
861934.13,13.99,0.43,212033.51,3.44
862094.44,14.0,0.43,212033.3,3.44
862254.76,14.0,0.43,212033.09,3.44
862306.29,14.0,0.44,212033.09,3.44
862460.55,14.01,0.44,212033.09,3.44
862330.82,14.01,0.44,211636.83,3.44
862520.84,14.01,0.44,211462.82,3.44
862499.13,14.01,0.44,211291.53,3.43
862659.45,14.01,0.45,211291.32,3.43
862710.98,14.02,0.45,211291.32,3.43
862762.51,14.02,0.45,211409.79,3.44
862814.04,14.02,0.46,211409.57,3.44
863028.29,14.03,0.46,211408.97,3.44
863188.61,14.03,0.46,211422.5,3.44
863240.14,14.03,0.47,211540.97,3.44
863409.53,14.04,0.47,211451.45,3.44
863461.06,14.04,0.47,211569.93,3.44
863626.97,14.04,0.48,211517.21,3.44
863626.97,14.04,0.48,211371.08,3.44
863787.28,14.05,0.48,211344.79,3.44
863838.81,14.05,0.48,211391.63,3.44
864053.07,14.05,0.49,211311.65,3.44
864207.8,14.06,0.49,211312.04,3.44
864368.12,14.06,0.49,211311.84,3.44
864419.65,14.06,0.5,211074.46,3.43
864155.41,14.06,0.49,210563.93,3.43
864321.32,14.06,0.5,210502.95,3.43
864481.63,14.07,0.5,210502.74,3.43
864647.53,14.07,0.51,210502.15,3.43
864837.56,14.08,0.51,210424.94,3.42
864991.82,14.08,0.51,210418.64,3.43
864991.82,14.08,0.51,210242.36,3.42
864991.82,14.08,0.51,210140.66,3.42
865152.14,14.08,0.52,210140.45,3.42
865203.67,14.09,0.52,210199.5,3.42
865357.93,14.09,0.52,210201.34,3.42
865409.46,14.09,0.53,209855.03,3.42
865810.9,14.1,0.53,209913.19,3.42
865810.9,14.1,0.53,209740.67,3.42
866041.76,14.11,0.54,209740.07,3.42
866202.07,14.11,0.54,209793.86,3.42
866253.6,14.11,0.55,209912.33,3.42
866253.6,14.11,0.55,209911.74,3.42
866413.92,14.12,0.55,209939.46,3.42
866583.32,14.12,0.55,209849.94,3.42
866634.85,14.12,0.56,209849.55,3.42
866795.16,14.13,0.56,209820.79,3.42
866795.16,14.13,0.56,209719.09,3.42
866795.16,14.13,0.56,209428.09,3.41
866795.16,14.13,0.56,209427.5,3.41
866846.69,14.13,0.56,209427.27,3.41
866898.22,14.13,0.56,209427.05,3.41
867058.54,14.13,0.57,209398.28,3.41
867227.93,14.14,0.57,209397.68,3.41
867227.93,14.14,0.57,209387.0,3.41
867279.46,14.14,0.57,209386.78,3.41
867439.78,14.14,0.58,209386.57,3.41
867439.78,14.14,0.58,209385.97,3.41
867594.05,14.15,0.58,209385.6,3.41
867645.58,14.15,0.59,209385.6,3.42
867697.11,14.15,0.59,209039.3,3.41
868098.54,14.16,0.6,209097.46,3.41
868150.07,14.16,0.6,208860.08,3.41
868310.39,14.17,0.6,208831.32,3.41
868470.71,14.17,0.61,208802.56,3.41
868640.1,14.18,0.61,208713.04,3.41
868618.4,14.18,0.61,208712.44,3.41
868618.4,14.18,0.61,208711.84,3.41
868669.93,14.18,0.61,208711.62,3.41
868721.46,14.18,0.61,208830.09,3.41
868881.77,14.18,0.62,208801.33,3.41
869036.51,14.19,0.62,208922.63,3.41
869246.27,14.19,0.63,208922.03,3.41
869436.29,14.2,0.63,208921.44,3.41
869457.38,14.2,0.63,208921.44,3.41
869617.7,14.2,0.63,208921.23,3.41
869669.23,14.2,0.64,208921.0,3.41
869720.76,14.21,0.64,208920.78,3.41
869881.08,14.21,0.64,208920.57,3.41
869932.61,14.21,0.65,209215.59,3.42
869984.14,14.22,0.65,209215.59,3.42
870035.67,14.22,0.65,209215.36,3.42
870195.99,14.22,0.66,209186.6,3.42
870247.52,14.22,0.66,209305.07,3.42
870407.83,14.23,0.66,209271.89,3.42
870459.36,14.23,0.66,209271.67,3.42
870619.68,14.23,0.67,209271.46,3.42
870780.0,14.24,0.67,209312.6,3.42
870949.39,14.24,0.68,209223.08,3.42
870934.47,14.24,0.68,209223.52,3.42
870934.47,14.24,0.68,209081.0,3.42
870986.0,14.24,0.68,208734.69,3.41
871037.53,14.25,0.68,208734.47,3.41
871089.06,14.25,0.68,208734.24,3.41
871258.45,14.25,0.69,208733.65,3.41
871258.45,14.25,0.69,208743.73,3.42
871418.77,14.26,0.69,208743.52,3.42
871579.09,14.26,0.69,208743.32,3.42
871744.99,14.26,0.7,208743.32,3.42
871905.31,14.27,0.7,208765.66,3.42
871956.84,14.27,0.71,208884.13,3.42
871827.1,14.27,0.7,208487.86,3.41
871987.42,14.27,0.71,208487.66,3.41
872156.81,14.28,0.71,208398.14,3.41
872317.13,14.28,0.72,208369.37,3.41
872486.52,14.29,0.72,208279.85,3.41
872486.52,14.29,0.72,208289.94,3.41
872717.38,14.29,0.72,208289.34,3.41
872717.38,14.29,0.72,208187.64,3.41
872877.7,14.29,0.73,208187.43,3.41
873279.13,14.3,0.74,208245.6,3.41
873433.4,14.31,0.74,208245.0,3.41
873593.71,14.31,0.74,208244.79,3.41
873995.15,14.32,0.75,208302.95,3.41
874155.47,14.32,0.76,208274.19,3.41
874324.86,14.32,0.76,208273.59,3.41
874485.18,14.33,0.76,208273.38,3.41
874536.71,14.33,0.77,208273.16,3.41
874746.48,14.34,0.77,208272.56,3.41
874912.38,14.34,0.77,208219.85,3.41
875081.77,14.34,0.78,208219.25,3.41
875133.3,14.35,0.78,208337.72,3.42
875364.16,14.35,0.78,208425.89,3.42
875518.43,14.35,0.79,208425.29,3.42
