ow_gpushare100-dr_0.0-tn_1.3-ts_42-if_1.0-ccmd_3956-policy_Random1000desharemd8fc0-de_share-gs_random-scmd_8fc0-used_nodes,ow_gpushare100-dr_0.0-tn_1.3-ts_42-if_1.0-ccmd_3956-policy_Random1000desharemd8fc0-de_share-gs_random-scmd_8fc0-used_gpus,ow_gpushare100-dr_0.0-tn_1.3-ts_42-if_1.0-ccmd_3956-policy_Random1000desharemd8fc0-de_share-gs_random-scmd_8fc0-used_gpu_milli,ow_gpushare100-dr_0.0-tn_1.3-ts_42-if_1.0-ccmd_3956-policy_Random1000desharemd8fc0-de_share-gs_random-scmd_8fc0-total_gpus,ow_gpushare100-dr_0.0-tn_1.3-ts_42-if_1.0-ccmd_3956-policy_Random1000desharemd8fc0-de_share-gs_random-scmd_8fc0-arrived_gpu_milli
119,604,62090,6212,62090
120,608,62090,6212,62090
121,616,62560,6212,62560
122,620,63370,6212,63370
123,622,63590,6212,63590
124,630,64070,6212,64070
125,638,64540,6212,64540
126,642,65350,6212,65350
126,642,66160,6212,66160
127,650,66620,6212,66620
128,658,67090,6212,67090
129,666,67550,6212,67550
130,668,67920,6212,67920
131,676,68570,6212,68570
132,678,68570,6212,68570
133,680,68570,6212,68570
134,688,69040,6212,69040
134,688,69850,6212,69850
134,688,70500,6212,70500
135,690,71310,6212,71310
136,692,71780,6212,71780
137,694,71780,6212,71780
138,702,72330,6212,72330
138,702,72800,6212,72800
139,704,73610,6212,73610
140,712,73610,6212,73610
140,712,74080,6212,74080
141,714,74400,6212,74400
141,714,75210,6212,75210
142,716,75680,6212,75680
143,718,75680,6212,75680
143,718,75680,6212,75680
144,726,75680,6212,75680
145,734,76490,6212,76490
146,742,77300,6212,77300
147,744,77770,6212,77770
148,752,78090,6212,78090
148,752,78090,6212,78090
149,760,78900,6212,78900
150,768,79370,6212,79370
151,776,79370,6212,79370
151,776,80020,6212,80020
151,776,80830,6212,80830
152,778,81640,6212,81640
153,780,82110,6212,82110
154,784,82920,6212,82920
155,786,83390,6212,83390
156,788,83860,6212,83860
157,790,84180,6212,84180
158,798,84340,6212,84340
159,806,84340,6212,84340
160,814,85150,6212,85150
161,816,85960,6212,85960
162,818,86430,6212,86430
163,820,86910,6212,86910
164,828,87140,6212,87140
165,836,87510,6212,87510
165,836,87830,6212,87830
166,844,88300,6212,88300
167,852,89110,6212,89110
168,860,89920,6212,89920
