ow_gpuspec10-dr_0.0-tn_1.3-ts_42-if_1.0-ccmd_683b-policy_DotProd1000demergemdac62-de_merge-gs_best-scmd_ac62-origin_milli,ow_gpuspec10-dr_0.0-tn_1.3-ts_42-if_1.0-ccmd_683b-policy_DotProd1000demergemdac62-de_merge-gs_best-scmd_ac62-origin_ratio,ow_gpuspec10-dr_0.0-tn_1.3-ts_42-if_1.0-ccmd_683b-policy_DotProd1000demergemdac62-de_merge-gs_best-scmd_ac62-origin_q124,ow_gpuspec10-dr_0.0-tn_1.3-ts_42-if_1.0-ccmd_683b-policy_DotProd1000demergemdac62-de_merge-gs_best-scmd_ac62-bellman_milli,ow_gpuspec10-dr_0.0-tn_1.3-ts_42-if_1.0-ccmd_683b-policy_DotProd1000demergemdac62-de_merge-gs_best-scmd_ac62-bellman_ratio
1193935.15,19.43,0.84,217644.43,3.54
1194526.55,19.44,0.85,217738.09,3.54
1193987.88,19.43,0.85,217213.88,3.54
1193362.22,19.43,0.84,216491.85,3.52
1193590.56,19.43,0.85,216229.2,3.52
1193221.54,19.43,0.84,215990.1,3.52
1193205.09,19.43,0.84,215943.28,3.52
1194347.99,19.45,0.86,216806.02,3.53
1194368.92,19.45,0.87,216903.34,3.53
1193847.03,19.44,0.86,216338.99,3.52
1193585.14,19.44,0.86,216045.76,3.52
1193063.25,19.44,0.85,215492.54,3.51
1194206.15,19.45,0.87,216355.28,3.52
1195739.39,19.48,0.89,217411.98,3.54
1195572.35,19.48,0.89,217416.49,3.54
1195800.7,19.49,0.9,217153.85,3.54
1196045.83,19.49,0.91,216964.91,3.54
1195608.62,19.49,0.9,216431.34,3.53
1195836.97,19.5,0.91,216168.69,3.52
1196596.65,19.51,0.92,216482.22,3.53
1196825.0,19.52,0.93,216219.58,3.53
1197070.13,19.52,0.94,216019.51,3.52
1196565.02,19.52,0.93,215528.86,3.52
1196810.15,19.53,0.94,215339.92,3.51
1197339.12,19.54,0.95,215394.3,3.51
1196713.46,19.53,0.95,214672.27,3.5
1197856.36,19.55,0.96,215535.01,3.52
1197894.05,19.55,0.96,215385.77,3.52
1198019.52,19.55,0.97,215170.27,3.51
1201063.28,19.6,1.02,218582.54,3.57
1201308.4,19.61,1.02,218393.6,3.56
1200596.51,19.6,1.02,217650.37,3.55
1200841.64,19.61,1.02,217461.44,3.55
1200404.44,19.6,1.02,216927.86,3.54
