ow_cpu100-dr_0.0-tn_1.3-ts_42-if_1.0-ccmd_dc55-policy_Random1000desharemd8fc0-de_share-gs_random-scmd_8fc0-used_nodes,ow_cpu100-dr_0.0-tn_1.3-ts_42-if_1.0-ccmd_dc55-policy_Random1000desharemd8fc0-de_share-gs_random-scmd_8fc0-used_gpus,ow_cpu100-dr_0.0-tn_1.3-ts_42-if_1.0-ccmd_dc55-policy_Random1000desharemd8fc0-de_share-gs_random-scmd_8fc0-used_gpu_milli,ow_cpu100-dr_0.0-tn_1.3-ts_42-if_1.0-ccmd_dc55-policy_Random1000desharemd8fc0-de_share-gs_random-scmd_8fc0-total_gpus,ow_cpu100-dr_0.0-tn_1.3-ts_42-if_1.0-ccmd_dc55-policy_Random1000desharemd8fc0-de_share-gs_random-scmd_8fc0-arrived_gpu_milli
1,8,470,6212,470
2,16,1280,6212,1280
3,24,2090,6212,2090
4,32,3090,6212,3090
5,40,4090,6212,4090
6,42,5090,6212,5090
7,50,5900,6212,5900
8,52,6120,6212,6120
9,60,6490,6212,6490
10,62,7490,6212,7490
11,64,8490,6212,8490
12,72,9300,6212,9300
13,80,9300,6212,9300
14,88,10300,6212,10300
15,96,10300,6212,10300
16,98,10300,6212,10300
17,106,11300,6212,11300
18,114,11300,6212,11300
19,122,12300,6212,12300
20,124,13110,6212,13110
21,126,14110,6212,14110
22,128,15110,6212,15110
23,130,15110,6212,15110
24,132,16110,6212,16110
25,134,16580,6212,16580
26,138,17580,6212,17580
27,140,18390,6212,18390
28,148,19390,6212,19390
29,150,19860,6212,19860
30,152,20330,6212,20330
31,160,20790,6212,20790
32,168,21790,6212,21790
33,176,22600,6212,22600
34,178,23600,6212,23600
35,186,24600,6212,24600
36,188,25600,6212,25600
37,196,26600,6212,26600
38,198,27410,6212,27410
39,206,28410,6212,28410
39,206,28410,6212,28410
40,208,28880,6212,28880
41,216,29880,6212,29880
42,224,30880,6212,30880
43,232,30880,6212,30880
44,234,31880,6212,31880
45,242,32880,6212,32880
46,244,33880,6212,33880
47,252,33990,6212,33990
48,254,34990,6212,34990
49,262,34990,6212,34990
50,264,35640,6212,35640
51,266,36640,6212,36640
51,266,36870,6212,36870
52,268,37870,6212,37870
53,270,38870,6212,38870
54,278,39870,6212,39870
55,286,40460,6212,40460
56,288,40930,6212,40930
57,290,41930,6212,41930
58,292,42930,6212,42930
59,294,43740,6212,43740
60,298,44740,6212,44740
61,302,45740,6212,45740
62,304,46740,6212,46740
63,306,47060,6212,47060
64,314,48060,6212,48060
65,322,49060,6212,49060
66,324,50060,6212,50060
67,326,50530,6212,50530
68,328,50530,6212,50530
68,328,51530,6212,51530
69,336,52530,6212,52530
69,336,53340,6212,53340
70,344,54340,6212,54340
71,352,55340,6212,55340
72,360,55800,6212,55800
73,368,56610,6212,56610
74,370,57610,6212,57610
75,378,57610,6212,57610
75,378,57930,6212,57930
76,386,58740,6212,58740
77,394,59740,6212,59740
78,396,60210,6212,60210
79,398,60530,6212,60530
80,400,60530,6212,60530
81,408,61000,6212,61000
82,410,62000,6212,62000
83,418,62810,6212,62810
84,426,63360,6212,63360
85,428,63830,6212,63830
86,436,64150,6212,64150
87,438,65150,6212,65150
88,446,66150,6212,66150
89,448,67150,6212,67150
90,450,67960,6212,67960
91,452,68960,6212,68960
92,460,68960,6212,68960
93,462,69960,6212,69960
94,470,69960,6212,69960
95,478,70430,6212,70430
95,478,71430,6212,71430
96,486,72080,6212,72080
97,494,73080,6212,73080
98,502,74080,6212,74080
99,504,74890,6212,74890
100,512,75890,6212,75890
101,514,76700,6212,76700
102,518,77700,6212,77700
103,520,78700,6212,78700
104,522,78700,6212,78700
105,524,79700,6212,79700
106,528,80700,6212,80700
107,530,81700,6212,81700
108,532,82700,6212,82700
109,540,83700,6212,83700
110,548,84700,6212,84700
110,548,85700,6212,85700
111,556,86700,6212,86700
112,560,86700,6212,86700
113,568,87700,6212,87700
114,576,88700,6212,88700
115,578,89170,6212,89170
116,580,89820,6212,89820
117,584,90280,6212,90280
118,592,91280,6212,91280
119,600,91600,6212,91600
120,602,92410,6212,92410
121,610,93410,6212,93410
122,618,94410,6212,94410
122,618,94880,6212,94880
123,626,95880,6212,95880
124,628,96880,6212,96880
125,636,97880,6212,97880
126,644,98880,6212,98880
127,646,99040,6212,99040
128,648,99510,6212,99510
129,650,100510,6212,100510
130,654,101510,6212,101510
131,662,101510,6212,101510
132,664,101510,6212,101510
133,666,102510,6212,102510
134,668,103510,6212,103510
135,676,103980,6212,103980
136,684,104980,6212,104980
137,692,105790,6212,105790
137,692,106790,6212,106790
137,692,107790,6212,107790
138,694,108110,6212,108110
139,702,109110,6212,109110
139,702,110110,6212,110110
140,710,110110,6212,110110
141,718,110580,6212,110580
142,726,111580,6212,111580
143,734,112580,6212,112580
143,734,113580,6212,113580
144,742,114580,6212,114580
145,750,115390,6212,115390
146,758,116390,6212,116390
147,760,117040,6212,117040
148,762,118040,6212,118040
149,764,119040,6212,119040
150,766,120040,6212,120040
151,768,120510,6212,120510
152,770,121510,6212,121510
152,770,122510,6212,122510
153,772,122830,6212,122830
154,780,123830,6212,123830
155,788,124830,6212,124830
156,790,124830,6212,124830
157,798,124830,6212,124830
158,806,125830,6212,125830
158,806,126830,6212,126830
159,814,127060,6212,127060
160,815,127530,6212,127530
161,823,128530,6212,128530
162,831,129530,6212,129530
163,833,130340,6212,130340
163,833,130660,6212,130660
164,841,130660,6212,130660
165,849,131250,6212,131250
166,851,131720,6212,131720
167,853,132180,6212,132180
168,855,133180,6212,133180
169,857,133990,6212,133990
170,859,134800,6212,134800
171,861,135800,6212,135800
172,869,135850,6212,135850
173,871,136850,6212,136850
173,871,137170,6212,137170
174,879,137630,6212,137630
175,887,138100,6212,138100
176,895,138750,6212,138750
177,903,139750,6212,139750
178,911,139980,6212,139980
179,913,140980,6212,140980
180,915,141980,6212,141980
181,923,142980,6212,142980
182,925,142980,6212,142980
183,927,142980,6212,142980
184,929,143980,6212,143980
185,931,144790,6212,144790
186,933,145790,6212,145790
187,941,146790,6212,146790
188,943,147790,6212,147790
189,951,148790,6212,148790
189,951,149600,6212,149600
190,953,150600,6212,150600
191,955,151600,6212,151600
192,959,151600,6212,151600
193,961,152600,6212,152600
193,961,153600,6212,153600
194,969,154600,6212,154600
195,971,155410,6212,155410
196,973,156220,6212,156220
197,981,157030,6212,157030
198,989,157030,6212,157030
199,991,157500,6212,157500
200,993,157500,6212,157500
200,993,157660,6212,157660
201,997,158660,6212,158660
202,1005,158660,6212,158660
202,1005,159660,6212,159660
203,1007,160470,6212,160470
204,1015,161280,6212,161280
205,1023,162280,6212,162280
206,1031,163280,6212,163280
207,1033,164280,6212,164280
208,1041,164510,6212,164510
209,1049,165510,6212,165510
210,1057,166510,6212,166510
211,1059,167510,6212,167510
212,1067,167510,6212,167510
212,1067,168510,6212,168510
212,1067,168980,6212,168980
213,1069,169980,6212,169980
214,1077,170790,6212,170790
215,1079,171790,6212,171790
216,1087,172790,6212,172790
217,1095,173790,6212,173790
217,1095,173790,6212,173790
217,1095,174790,6212,174790
218,1097,175790,6212,175790
219,1099,176790,6212,176790
220,1101,177250,6212,177250
221,1103,177570,6212,177570
221,1103,178040,6212,178040
222,1105,179040,6212,179040
223,1107,180040,6212,180040
224,1115,181040,6212,181040
225,1123,181360,6212,181360
225,1123,182360,6212,182360
226,1125,183360,6212,183360
226,1125,183950,6212,183950
227,1127,184950,6212,184950
228,1129,185180,6212,185180
229,1137,185990,6212,185990
230,1145,186220,6212,186220
230,1145,186220,6212,186220
231,1147,187220,6212,187220
232,1149,188220,6212,188220
233,1157,189220,6212,189220
234,1159,190220,6212,190220
235,1161,191030,6212,191030
236,1169,192030,6212,192030
237,1171,193030,6212,193030
238,1173,193140,6212,193140
238,1173,193610,6212,193610
239,1181,194610,6212,194610
239,1181,195080,6212,195080
240,1183,195890,6212,195890
241,1185,196360,6212,196360
241,1185,197360,6212,197360
242,1193,198360,6212,198360
243,1195,199010,6212,199010
244,1203,199010,6212,199010
245,1205,199010,6212,199010
246,1213,200010,6212,200010
247,1215,200480,6212,200480
248,1217,201480,6212,201480
249,1225,202480,6212,202480
250,1233,203480,6212,203480
251,1241,204290,6212,204290
251,1241,204290,6212,204290
252,1249,205100,6212,205100
253,1257,206100,6212,206100
254,1259,206910,6212,206910
254,1259,207910,6212,207910
254,1259,208910,6212,208910
255,1261,208910,6212,208910
256,1269,209910,6212,209910
256,1269,210720,6212,210720
257,1277,211720,6212,211720
258,1279,212720,6212,212720
259,1287,213040,6212,213040
260,1295,214040,6212,214040
261,1303,214360,6212,214360
262,1311,214950,6212,214950
263,1319,214950,6212,214950
264,1321,215110,6212,215110
264,1321,215580,6212,215580
265,1329,216050,6212,216050
266,1337,217050,6212,217050
267,1339,218050,6212,218050
268,1341,218050,6212,218050
269,1349,218860,6212,218860
270,1357,219860,6212,219860
271,1359,220860,6212,220860
272,1367,221860,6212,221860
273,1375,221860,6212,221860
274,1377,222860,6212,222860
275,1379,223670,6212,223670
276,1387,224320,6212,224320
276,1387,225320,6212,225320
277,1395,225320,6212,225320
278,1397,226130,6212,226130
279,1399,227130,6212,227130
280,1401,228130,6212,228130
281,1403,228940,6212,228940
282,1411,229940,6212,229940
283,1419,230410,6212,230410
283,1419,231410,6212,231410
284,1421,232410,6212,232410
285,1429,234410,6212,234410
285,1429,234880,6212,234880
286,1431,235880,6212,235880
286,1431,236110,6212,236110
286,1431,237110,6212,237110
287,1433,237430,6212,237430
288,1435,237750,6212,237750
289,1437,238750,6212,238750
290,1445,239340,6212,239340
291,1447,240340,6212,240340
292,1449,241340,6212,241340
293,1457,241340,6212,241340
294,1465,241660,6212,241660
295,1473,241660,6212,241660
295,1473,242470,6212,242470
296,1475,243470,6212,243470
297,1479,243940,6212,243940
297,1479,244170,6212,244170
298,1487,244490,6212,244490
299,1495,244810,6212,244810
300,1497,245620,6212,245620
301,1505,246270,6212,246270
302,1507,247270,6212,247270
303,1515,248270,6212,248270
304,1517,249270,6212,249270
305,1525,250270,6212,250270
306,1527,251270,6212,251270
306,1527,251740,6212,251740
306,1527,252740,6212,252740
307,1529,253210,6212,253210
308,1533,254210,6212,254210
309,1535,254210,6212,254210
310,1543,254680,6212,254680
310,1543,255680,6212,255680
311,1545,256680,6212,256680
312,1549,257680,6212,257680
313,1551,258680,6212,258680
314,1555,259490,6212,259490
315,1556,259810,6212,259810
316,1558,260620,6212,260620
317,1562,261620,6212,261620
318,1570,269620,6212,269620
319,1572,270090,6212,270090
320,1574,271090,6212,271090
321,1582,272090,6212,272090
322,1590,272250,6212,272250
323,1598,273250,6212,273250
323,1598,274250,6212,274250
324,1600,274900,6212,274900
325,1608,275900,6212,275900
326,1616,276900,6212,276900
326,1616,277900,6212,277900
327,1624,278900,6212,278900
328,1632,279900,6212,279900
329,1640,280900,6212,280900
330,1648,281900,6212,281900
331,1650,282900,6212,282900
332,1658,283900,6212,283900
332,1658,284710,6212,284710
333,1666,285710,6212,285710
333,1666,286710,6212,286710
333,1666,287520,6212,287520
334,1668,287520,6212,287520
335,1676,287990,6212,287990
336,1678,288990,6212,288990
337,1680,289990,6212,289990
338,1688,290990,6212,290990
339,1696,291990,6212,291990
339,1696,292990,6212,292990
340,1704,293990,6212,293990
341,1712,294990,6212,294990
342,1714,294990,6212,294990
343,1722,295460,6212,295460
344,1730,295460,6212,295460
345,1738,296460,6212,296460
346,1746,296690,6212,296690
346,1746,297690,6212,297690
347,1748,297690,6212,297690
348,1756,298690,6212,298690
348,1756,298910,6212,298910
349,1764,299910,6212,299910
350,1772,300370,6212,300370
350,1772,301180,6212,301180
351,1774,302180,6212,302180
351,1774,302990,6212,302990
351,1774,303460,6212,303460
352,1776,304460,6212,304460
353,1784,305270,6212,305270
354,1792,306270,6212,306270
355,1794,306270,6212,306270
355,1794,306270,6212,306270
356,1796,307270,6212,307270
357,1798,308270,6212,308270
358,1806,309270,6212,309270
359,1810,310270,6212,310270
360,1812,310920,6212,310920
361,1816,311920,6212,311920
362,1818,312920,6212,312920
362,1818,313920,6212,313920
362,1818,314380,6212,314380
363,1820,315380,6212,315380
364,1824,316380,6212,316380
364,1824,317380,6212,317380
365,1832,317380,6212,317380
366,1836,318380,6212,318380
367,1838,318850,6212,318850
368,1846,319850,6212,319850
368,1846,320850,6212,320850
369,1854,321170,6212,321170
370,1862,321640,6212,321640
370,1862,322110,6212,322110
371,1870,322480,6212,322480
372,1872,323290,6212,323290
373,1880,323760,6212,323760
373,1880,324760,6212,324760
373,1880,324760,6212,324760
374,1888,325760,6212,325760
375,1896,326570,6212,326570
376,1898,326570,6212,326570
377,1900,327040,6212,327040
377,1900,328040,6212,328040
378,1902,329040,6212,329040
379,1910,330040,6212,330040
380,1912,330510,6212,330510
381,1914,330730,6212,330730
381,1914,331730,6212,331730
381,1914,332730,6212,332730
381,1914,332730,6212,332730
382,1922,332730,6212,332730
382,1922,333730,6212,333730
383,1930,334730,6212,334730
383,1930,335730,6212,335730
384,1932,336730,6212,336730
385,1940,337540,6212,337540
386,1948,338000,6212,338000
387,1950,339000,6212,339000
388,1954,339000,6212,339000
388,1954,340000,6212,340000
389,1962,340220,6212,340220
389,1962,340810,6212,340810
389,1962,340810,6212,340810
390,1970,341620,6212,341620
391,1978,342620,6212,342620
391,1978,342620,6212,342620
392,1986,343620,6212,343620
392,1986,344620,6212,344620
392,1986,345430,6212,345430
392,1986,345910,6212,345910
393,1988,346910,6212,346910
394,1996,347910,6212,347910
395,1998,348560,6212,348560
396,2000,349560,6212,349560
396,2000,349720,6212,349720
397,2002,350040,6212,350040
398,2004,351040,6212,351040
399,2012,352040,6212,352040
399,2012,352040,6212,352040
400,2014,353040,6212,353040
401,2022,353040,6212,353040
401,2022,353200,6212,353200
401,2022,353360,6212,353360
401,2022,354170,6212,354170
402,2024,355170,6212,355170
403,2026,355980,6212,355980
404,2028,356980,6212,356980
405,2030,357980,6212,357980
406,2038,358980,6212,358980
407,2042,359790,6212,359790
407,2042,360790,6212,360790
407,2042,361260,6212,361260
408,2044,362260,6212,362260
408,2044,363260,6212,363260
409,2046,364070,6212,364070
410,2054,365070,6212,365070
411,2056,366070,6212,366070
411,2056,366540,6212,366540
411,2056,367540,6212,367540
411,2056,368350,6212,368350
412,2064,369350,6212,369350
413,2072,370350,6212,370350
413,2072,370350,6212,370350
414,2080,371350,6212,371350
415,2084,372350,6212,372350
415,2084,372350,6212,372350
416,2092,373350,6212,373350
417,2096,374350,6212,374350
418,2104,375350,6212,375350
418,2104,376350,6212,376350
418,2104,377350,6212,377350
418,2104,377570,6212,377570
418,2104,378570,6212,378570
418,2104,379570,6212,379570
419,2106,380570,6212,380570
420,2108,381570,6212,381570
421,2116,381570,6212,381570
421,2116,382570,6212,382570
422,2124,383570,6212,383570
422,2124,384570,6212,384570
423,2126,385570,6212,385570
424,2134,385680,6212,385680
425,2142,386490,6212,386490
426,2144,387490,6212,387490
426,2144,388490,6212,388490
426,2144,389490,6212,389490
426,2144,389490,6212,389490
427,2146,390490,6212,390490
428,2154,391300,6212,391300
429,2156,391770,6212,391770
430,2158,392580,6212,392580
430,2158,393230,6212,393230
430,2158,394230,6212,394230
430,2158,395230,6212,395230
431,2159,395600,6212,395600
432,2161,396410,6212,396410
433,2169,397410,6212,397410
434,2177,398220,6212,398220
434,2177,398220,6212,398220
435,2185,399220,6212,399220
435,2185,399220,6212,399220
435,2185,400220,6212,400220
436,2187,401220,6212,401220
437,2195,402220,6212,402220
438,2203,403220,6212,403220
439,2211,403440,6212,403440
439,2211,403910,6212,403910
440,2219,404720,6212,404720
440,2219,405720,6212,405720
440,2219,406720,6212,406720
441,2227,407530,6212,407530
441,2227,408340,6212,408340
441,2227,409340,6212,409340
442,2235,410340,6212,410340
443,2237,410340,6212,410340
444,2245,411340,6212,411340
444,2245,412340,6212,412340
444,2245,412630,6212,412630
445,2247,413100,6212,413100
446,2255,414100,6212,414100
447,2257,414910,6212,414910
448,2265,415720,6212,415720
449,2273,416530,6212,416530
450,2275,416580,6212,416580
450,2275,417050,6212,417050
451,2277,417520,6212,417520
452,2285,418520,6212,418520
452,2285,419330,6212,419330
453,2287,419650,6212,419650
454,2288,419880,6212,419880
455,2290,420880,6212,420880
456,2298,421430,6212,421430
456,2298,422430,6212,422430
457,2306,422430,6212,422430
458,2308,423430,6212,423430
459,2310,424430,6212,424430
459,2310,424910,6212,424910
459,2310,425720,6212,425720
459,2310,426720,6212,426720
460,2318,427530,6212,427530
461,2326,428530,6212,428530
462,2328,429010,6212,429010
463,2330,430010,6212,430010
464,2332,431010,6212,431010
465,2340,432010,6212,432010
466,2348,433010,6212,433010
467,2356,433010,6212,433010
467,2356,434010,6212,434010
468,2364,435010,6212,435010
469,2372,435480,6212,435480
469,2372,435480,6212,435480
470,2380,439480,6212,439480
471,2382,440480,6212,440480
472,2390,440480,6212,440480
473,2392,441290,6212,441290
473,2392,442290,6212,442290
474,2394,442760,6212,442760
475,2396,443760,6212,443760
476,2404,444760,6212,444760
477,2412,445760,6212,445760
477,2412,445760,6212,445760
477,2412,446760,6212,446760
478,2416,447760,6212,447760
479,2424,448080,6212,448080
480,2426,449080,6212,449080
480,2426,449310,6212,449310
480,2426,450120,6212,450120
481,2428,451120,6212,451120
481,2428,451930,6212,451930
482,2430,452930,6212,452930
483,2438,453160,6212,453160
483,2438,453810,6212,453810
484,2446,453810,6212,453810
485,2448,454130,6212,454130
486,2452,455130,6212,455130
487,2454,455130,6212,455130
487,2454,456130,6212,456130
488,2456,457130,6212,457130
489,2458,458130,6212,458130
490,2460,458940,6212,458940
490,2460,459260,6212,459260
490,2460,460260,6212,460260
491,2468,461070,6212,461070
492,2476,462070,6212,462070
493,2478,463070,6212,463070
494,2480,464070,6212,464070
495,2488,464540,6212,464540
495,2488,465540,6212,465540
496,2490,466540,6212,466540
496,2490,467190,6212,467190
497,2498,468000,6212,468000
497,2498,469000,6212,469000
497,2498,470000,6212,470000
497,2498,470810,6212,470810
498,2500,470810,6212,470810
499,2502,470810,6212,470810
500,2510,471810,6212,471810
501,2512,471860,6212,471860
501,2512,472860,6212,472860
502,2514,473860,6212,473860
503,2516,474670,6212,474670
504,2518,475480,6212,475480
505,2520,476480,6212,476480
505,2520,477480,6212,477480
506,2522,478290,6212,478290
507,2524,479100,6212,479100
507,2524,479570,6212,479570
508,2526,479570,6212,479570
508,2526,480570,6212,480570
509,2528,480800,6212,480800
509,2528,481800,6212,481800
510,2530,482800,6212,482800
511,2538,483800,6212,483800
512,2546,483800,6212,483800
512,2546,484120,6212,484120
513,2554,485120,6212,485120
514,2556,486120,6212,486120
514,2556,486710,6212,486710
515,2564,487520,6212,487520
516,2572,487840,6212,487840
517,2574,488840,6212,488840
518,2582,489840,6212,489840
518,2582,490840,6212,490840
519,2590,491160,6212,491160
519,2590,492160,6212,492160
520,2598,492970,6212,492970
521,2600,493970,6212,493970
521,2600,494970,6212,494970
521,2600,495780,6212,495780
522,2608,496780,6212,496780
523,2610,497250,6212,497250
523,2610,498060,6212,498060
524,2618,498870,6212,498870
525,2626,498870,6212,498870
526,2630,499520,6212,499520
527,2632,500520,6212,500520
527,2632,500520,6212,500520
528,2634,501110,6212,501110
528,2634,502110,6212,502110
529,2642,502580,6212,502580
530,2650,503580,6212,503580
530,2650,504580,6212,504580
530,2650,505580,6212,505580
531,2658,506390,6212,506390
532,2660,507390,6212,507390
533,2662,507500,6212,507500
533,2662,508310,6212,508310
533,2662,509310,6212,509310
534,2670,510310,6212,510310
535,2672,511310,6212,511310
536,2680,515310,6212,515310
537,2682,516310,6212,516310
537,2682,517120,6212,517120
538,2684,517120,6212,517120
539,2686,518120,6212,518120
539,2686,519120,6212,519120
539,2686,519340,6212,519340
540,2694,520150,6212,520150
541,2702,521150,6212,521150
542,2710,522150,6212,522150
543,2718,522620,6212,522620
544,2722,523620,6212,523620
545,2724,524620,6212,524620
546,2732,525620,6212,525620
546,2732,525850,6212,525850
547,2740,526320,6212,526320
547,2740,526780,6212,526780
548,2748,527780,6212,527780
548,2748,528590,6212,528590
549,2750,528590,6212,528590
550,2752,528590,6212,528590
550,2752,529590,6212,529590
551,2754,529590,6212,529590
552,2756,530240,6212,530240
553,2764,530560,6212,530560
554,2772,531370,6212,531370
555,2774,531600,6212,531600
555,2774,532600,6212,532600
555,2774,533600,6212,533600
555,2774,533920,6212,533920
556,2782,534730,6212,534730
557,2786,535730,6212,535730
557,2786,536730,6212,536730
558,2794,537540,6212,537540
558,2794,538190,6212,538190
559,2796,539190,6212,539190
559,2796,539840,6212,539840
559,2796,540160,6212,540160
559,2796,541160,6212,541160
559,2796,541480,6212,541480
559,2796,542480,6212,542480
560,2798,543480,6212,543480
560,2798,543950,6212,543950
560,2798,544760,6212,544760
561,2806,545760,6212,545760
562,2808,546570,6212,546570
563,2810,547570,6212,547570
563,2810,548380,6212,548380
563,2810,549380,6212,549380
563,2810,549850,6212,549850
563,2810,550500,6212,550500
564,2818,551310,6212,551310
564,2818,551770,6212,551770
564,2818,552420,6212,552420
564,2818,553420,6212,553420
565,2820,554420,6212,554420
565,2820,555420,6212,555420
565,2820,555890,6212,555890
566,2822,556700,6212,556700
566,2822,557700,6212,557700
567,2824,558700,6212,558700
568,2828,559700,6212,559700
568,2828,559860,6212,559860
569,2836,560860,6212,560860
570,2838,561180,6212,561180
570,2838,562180,6212,562180
571,2846,563180,6212,563180
572,2848,563400,6212,563400
573,2856,564400,6212,564400
574,2864,565400,6212,565400
575,2866,566400,6212,566400
576,2874,567400,6212,567400
576,2874,568210,6212,568210
576,2874,568440,6212,568440
576,2874,568910,6212,568910
576,2874,569910,6212,569910
577,2882,570910,6212,570910
577,2882,571140,6212,571140
577,2882,572140,6212,572140
578,2890,573140,6212,573140
578,2890,574140,6212,574140
578,2890,574140,6212,574140
578,2890,574690,6212,574690
578,2890,575690,6212,575690
578,2890,576690,6212,576690
578,2890,577500,6212,577500
579,2892,578500,6212,578500
579,2892,578970,6212,578970
580,2894,579620,6212,579620
581,2896,580620,6212,580620
581,2896,581620,6212,581620
582,2904,582620,6212,582620
582,2904,583620,6212,583620
582,2904,584620,6212,584620
582,2904,585620,6212,585620
582,2904,586430,6212,586430
582,2904,586430,6212,586430
582,2904,586910,6212,586910
583,2906,587910,6212,587910
584,2908,588370,6212,588370
584,2908,589370,6212,589370
585,2916,590370,6212,590370
586,2918,591180,6212,591180
587,2920,591180,6212,591180
588,2922,592180,6212,592180
588,2922,593180,6212,593180
588,2922,594180,6212,594180
588,2922,594180,6212,594180
588,2922,594180,6212,594180
589,2924,595180,6212,595180
589,2924,596180,6212,596180
589,2924,597180,6212,597180
589,2924,598180,6212,598180
590,2932,599180,6212,599180
590,2932,600180,6212,600180
591,2934,600500,6212,600500
591,2934,601500,6212,601500
591,2934,601500,6212,601500
592,2942,609500,6212,609500
592,2942,609970,6212,609970
593,2944,609970,6212,609970
594,2946,610970,6212,610970
594,2946,611970,6212,611970
595,2948,611970,6212,611970
596,2950,612970,6212,612970
597,2958,613970,6212,613970
598,2966,613970,6212,613970
598,2966,614970,6212,614970
599,2968,615970,6212,615970
600,2976,616440,6212,616440
600,2976,616440,6212,616440
600,2976,617250,6212,617250
600,2976,618250,6212,618250
600,2976,618360,6212,618360
600,2976,619360,6212,619360
601,2978,620360,6212,620360
602,2986,620580,6212,620580
603,2988,621580,6212,621580
603,2988,621580,6212,621580
603,2988,622580,6212,622580
604,2990,622810,6212,622810
605,2998,623810,6212,623810
605,2998,624620,6212,624620
606,3006,625620,6212,625620
607,3014,626620,6212,626620
608,3016,627620,6212,627620
609,3024,628620,6212,628620
609,3024,628940,6212,628940
610,3032,629940,6212,629940
610,3032,630940,6212,630940
610,3032,631940,6212,631940
610,3032,632260,6212,632260
610,3032,633070,6212,633070
611,3036,633880,6212,633880
611,3036,634530,6212,634530
612,3038,635000,6212,635000
612,3038,636000,6212,636000
613,3040,636810,6212,636810
614,3048,637810,6212,637810
614,3048,638130,6212,638130
615,3050,638130,6212,638130
615,3050,639130,6212,639130
616,3054,640130,6212,640130
616,3054,640130,6212,640130
617,3062,640940,6212,640940
617,3062,641940,6212,641940
617,3062,642940,6212,642940
617,3062,643400,6212,643400
617,3062,643400,6212,643400
618,3064,644400,6212,644400
619,3072,645210,6212,645210
620,3080,645530,6212,645530
620,3080,645900,6212,645900
620,3080,646900,6212,646900
620,3080,647900,6212,647900
621,3088,648370,6212,648370
622,3096,649370,6212,649370
622,3096,650370,6212,650370
623,3104,651370,6212,651370
623,3104,652370,6212,652370
623,3104,653370,6212,653370
624,3112,654370,6212,654370
624,3112,654600,6212,654600
625,3120,655410,6212,655410
625,3120,656220,6212,656220
626,3128,656870,6212,656870
627,3130,657870,6212,657870
627,3130,657870,6212,657870
628,3132,658680,6212,658680
629,3140,659680,6212,659680
629,3140,660050,6212,660050
630,3142,660860,6212,660860
630,3142,661330,6212,661330
631,3150,662330,6212,662330
632,3158,663330,6212,663330
632,3158,664140,6212,664140
632,3158,664140,6212,664140
632,3158,664610,6212,664610
633,3166,665610,6212,665610
633,3166,665720,6212,665720
633,3166,666530,6212,666530
633,3166,667000,6212,667000
634,3174,667000,6212,667000
634,3174,667330,6212,667330
634,3174,668140,6212,668140
634,3174,669140,6212,669140
635,3182,669140,6212,669140
635,3182,670140,6212,670140
636,3190,671140,6212,671140
637,3198,671950,6212,671950
637,3198,671950,6212,671950
638,3200,672760,6212,672760
639,3208,672760,6212,672760
640,3210,673760,6212,673760
640,3210,674760,6212,674760
640,3210,674980,6212,674980
641,3212,675300,6212,675300
641,3212,676110,6212,676110
642,3220,677110,6212,677110
642,3220,677110,6212,677110
643,3228,677920,6212,677920
644,3230,678920,6212,678920
645,3238,679920,6212,679920
646,3246,680920,6212,680920
647,3254,680920,6212,680920
648,3256,681730,6212,681730
648,3256,682540,6212,682540
648,3256,683000,6212,683000
648,3256,684000,6212,684000
648,3256,685000,6212,685000
648,3256,685810,6212,685810
649,3258,686810,6212,686810
649,3258,687810,6212,687810
650,3262,688810,6212,688810
651,3266,689810,6212,689810
652,3267,690620,6212,690620
653,3275,691620,6212,691620
654,3277,692620,6212,692620
654,3277,692940,6212,692940
654,3277,693410,6212,693410
655,3285,694410,6212,694410
656,3287,695410,6212,695410
657,3289,696410,6212,696410
658,3291,697410,6212,697410
658,3291,698220,6212,698220
659,3293,698690,6212,698690
660,3301,698850,6212,698850
661,3303,699850,6212,699850
662,3311,700850,6212,700850
662,3311,701080,6212,701080
663,3313,701890,6212,701890
663,3313,702700,6212,702700
664,3321,703160,6212,703160
665,3323,703810,6212,703810
665,3323,704620,6212,704620
666,3331,705090,6212,705090
667,3339,706090,6212,706090
667,3339,707090,6212,707090
668,3347,708090,6212,708090
668,3347,708900,6212,708900
668,3347,709360,6212,709360
669,3355,710360,6212,710360
670,3363,710360,6212,710360
671,3365,710950,6212,710950
672,3367,711950,6212,711950
672,3367,712760,6212,712760
673,3375,713760,6212,713760
674,3377,714760,6212,714760
675,3385,715080,6212,715080
676,3387,715890,6212,715890
677,3395,716360,6212,716360
677,3395,716910,6212,716910
677,3395,717140,6212,717140
677,3395,718140,6212,718140
678,3403,718790,6212,718790
679,3411,719600,6212,719600
679,3411,720600,6212,720600
680,3413,721070,6212,721070
680,3413,722070,6212,722070
680,3413,722390,6212,722390
681,3415,723390,6212,723390
682,3417,724390,6212,724390
682,3417,725390,6212,725390
682,3417,726390,6212,726390
682,3417,727390,6212,727390
683,3425,727860,6212,727860
684,3433,728670,6212,728670
685,3441,729480,6212,729480
686,3449,730480,6212,730480
686,3449,731480,6212,731480
686,3449,732480,6212,732480
687,3451,733290,6212,733290
688,3459,733760,6212,733760
689,3461,734230,6212,734230
690,3463,735230,6212,735230
691,3471,736230,6212,736230
