ow_gpuspec25-dr_0.0-tn_1.3-ts_42-if_1.0-ccmd_d48f-policy_FGDPredictor1000desharemd6126-de_share-gs_FGDPredictorScore-scmd_6126-used_nodes,ow_gpuspec25-dr_0.0-tn_1.3-ts_42-if_1.0-ccmd_d48f-policy_FGDPredictor1000desharemd6126-de_share-gs_FGDPredictorScore-scmd_6126-used_gpus,ow_gpuspec25-dr_0.0-tn_1.3-ts_42-if_1.0-ccmd_d48f-policy_FGDPredictor1000desharemd6126-de_share-gs_FGDPredictorScore-scmd_6126-used_gpu_milli,ow_gpuspec25-dr_0.0-tn_1.3-ts_42-if_1.0-ccmd_d48f-policy_FGDPredictor1000desharemd6126-de_share-gs_FGDPredictorScore-scmd_6126-total_gpus,ow_gpuspec25-dr_0.0-tn_1.3-ts_42-if_1.0-ccmd_d48f-policy_FGDPredictor1000desharemd6126-de_share-gs_FGDPredictorScore-scmd_6126-arrived_gpu_milli
72,204,143420,6212,143420
72,204,144420,6212,144420
72,204,145230,6212,145230
72,204,145600,6212,145600
72,204,146070,6212,146070
73,206,147070,6212,147070
74,208,147540,6212,147540
74,208,148540,6212,148540
75,212,149540,6212,149540
75,212,150010,6212,150010
75,212,151010,6212,151010
75,212,151820,6212,151820
76,220,152630,6212,152630
77,222,153630,6212,153630
77,222,153630,6212,153630
77,222,154630,6212,154630
77,222,155100,6212,155100
77,222,156100,6212,156100
78,224,156570,6212,156570
78,224,156940,6212,156940
79,226,157940,6212,157940
79,226,158750,6212,158750
79,226,159560,6212,159560
79,226,160020,6212,160020
79,226,160830,6212,160830
79,226,161480,6212,161480
79,226,161710,6212,161710
79,226,161710,6212,161710
79,226,161710,6212,161710
79,226,161710,6212,161710
80,228,162710,6212,162710
81,236,163520,6212,163520
82,240,167520,6212,167520
82,240,168520,6212,168520
82,240,169520,6212,169520
82,240,170520,6212,170520
83,242,171520,6212,171520
84,250,172520,6212,172520
84,250,172990,6212,172990
84,250,173990,6212,173990
85,252,174990,6212,174990
85,252,175460,6212,175460
85,252,176460,6212,176460
86,254,177460,6212,177460
86,254,178270,6212,178270
86,254,179270,6212,179270
87,256,179740,6212,179740
87,256,180740,6212,180740
87,256,181740,6212,181740
87,256,182740,6212,182740
88,264,183740,6212,183740
88,264,184740,6212,184740
88,264,185200,6212,185200
88,264,186200,6212,186200
88,264,186200,6212,186200
88,264,187200,6212,187200
89,268,188200,6212,188200
89,268,189200,6212,189200
89,268,189520,6212,189520
89,268,190330,6212,190330
89,268,191140,6212,191140
90,272,191690,6212,191690
90,272,192160,6212,192160
90,272,192160,6212,192160
90,272,192390,6212,192390
90,272,192860,6212,192860
90,272,193080,6212,193080
90,272,194080,6212,194080
90,272,194890,6212,194890
91,276,195890,6212,195890
91,276,196700,6212,196700
92,284,196700,6212,196700
92,284,197170,6212,197170
93,286,198170,6212,198170
93,286,199170,6212,199170
94,294,199980,6212,199980
94,294,200980,6212,200980
94,294,201980,6212,201980
94,294,202450,6212,202450
95,296,203450,6212,203450
95,296,204260,6212,204260
96,304,205260,6212,205260
96,304,205730,6212,205730
96,304,205730,6212,205730
96,304,206540,6212,206540
96,304,207350,6212,207350
96,304,207350,6212,207350
97,308,208350,6212,208350
97,308,209350,6212,209350
97,308,209580,6212,209580
98,310,211580,6212,211580
98,310,211580,6212,211580
99,312,212390,6212,212390
99,312,212390,6212,212390
99,312,213390,6212,213390
99,312,214390,6212,214390
99,312,215200,6212,215200
100,314,216200,6212,216200
100,314,217200,6212,217200
100,314,218200,6212,218200
101,316,219010,6212,219010
101,316,219330,6212,219330
101,316,220140,6212,220140
101,316,221140,6212,221140
101,316,222140,6212,222140
101,316,222140,6212,222140
101,316,223140,6212,223140
101,316,223790,6212,223790
101,316,223790,6212,223790
102,318,224790,6212,224790
102,318,226790,6212,226790
103,320,227020,6212,227020
103,320,227490,6212,227490
103,320,228490,6212,228490
103,320,229300,6212,229300
103,320,230300,6212,230300
103,320,231300,6212,231300
103,320,232300,6212,232300
103,320,233110,6212,233110
103,320,233110,6212,233110
103,320,233920,6212,233920
103,320,234510,6212,234510
103,320,234830,6212,234830
104,322,235830,6212,235830
104,322,235830,6212,235830
104,322,235830,6212,235830
104,322,236300,6212,236300
104,322,237110,6212,237110
105,330,237110,6212,237110
106,334,238110,6212,238110
106,334,238340,6212,238340
