ow_gpuspec25-dr_0.0-tn_1.3-ts_42-if_1.0-ccmd_d48f-policy_FGDPredictor1000desharemd6126-de_share-gs_FGDPredictorScore-scmd_6126-origin_milli,ow_gpuspec25-dr_0.0-tn_1.3-ts_42-if_1.0-ccmd_d48f-policy_FGDPredictor1000desharemd6126-de_share-gs_FGDPredictorScore-scmd_6126-origin_ratio,ow_gpuspec25-dr_0.0-tn_1.3-ts_42-if_1.0-ccmd_d48f-policy_FGDPredictor1000desharemd6126-de_share-gs_FGDPredictorScore-scmd_6126-origin_q124,ow_gpuspec25-dr_0.0-tn_1.3-ts_42-if_1.0-ccmd_d48f-policy_FGDPredictor1000desharemd6126-de_share-gs_FGDPredictorScore-scmd_6126-bellman_milli,ow_gpuspec25-dr_0.0-tn_1.3-ts_42-if_1.0-ccmd_d48f-policy_FGDPredictor1000desharemd6126-de_share-gs_FGDPredictorScore-scmd_6126-bellman_ratio
1765632.74,28.82,0.31,194283.15,3.17
1765647.2,28.82,0.31,194272.83,3.17
1765647.2,28.82,0.31,194246.41,3.17
1765338.48,28.82,0.31,194167.83,3.17
1765017.24,28.82,0.31,194151.26,3.17
1764800.2,28.82,0.31,194145.97,3.17
1764664.1,28.82,0.31,194405.26,3.17
1764679.59,28.82,0.31,195025.67,3.18
1764679.59,28.82,0.31,195108.25,3.19
1764381.2,28.82,0.31,195096.38,3.19
1764395.67,28.82,0.31,195089.39,3.19
1764395.67,28.82,0.31,195066.03,3.19
1764395.67,28.82,0.31,195066.03,3.19
1764504.77,28.82,0.32,195062.01,3.19
1764369.44,28.82,0.32,195356.78,3.19
1764384.94,28.82,0.32,195572.24,3.2
1764085.0,28.82,0.32,195508.64,3.19
1763779.39,28.82,0.32,195450.07,3.19
1763899.08,28.83,0.32,195738.13,3.2
1763682.03,28.83,0.32,195986.58,3.2
1763389.33,28.83,0.32,195562.96,3.2
1763296.48,28.83,0.33,194586.11,3.18
1762987.76,28.83,0.33,194515.21,3.18
1762772.27,28.83,0.33,194451.94,3.18
1762772.27,28.83,0.33,194579.09,3.18
1762799.62,28.84,0.33,194570.88,3.18
1762494.0,28.84,0.33,194518.0,3.18
1762500.2,28.84,0.33,194491.19,3.18
1762525.99,28.84,0.33,195076.63,3.19
1762141.19,28.84,0.33,195024.25,3.19
1761847.58,28.84,0.33,195025.03,3.19
1761818.5,28.84,0.33,195202.94,3.2
1761790.97,28.84,0.34,195299.07,3.2
1761467.41,28.84,0.34,195273.46,3.2
1761332.08,28.84,0.34,195300.85,3.2
1761008.52,28.84,0.34,195282.22,3.2
1761132.08,28.85,0.34,195267.27,3.2
1760837.95,28.85,0.34,194568.71,3.19
1760462.23,28.85,0.34,194353.48,3.18
1760326.12,28.85,0.34,194565.51,3.19
1760002.56,28.85,0.34,194348.83,3.19
1759717.31,28.84,0.34,194053.88,3.18
1759811.11,28.85,0.34,195234.07,3.2
1759518.15,28.85,0.34,195245.82,3.2
1759233.06,28.85,0.35,195297.86,3.2
1758858.26,28.84,0.34,194805.87,3.19
1758564.13,28.84,0.34,194107.31,3.18
1758376.64,28.84,0.34,194080.04,3.18
1758083.03,28.84,0.34,194081.82,3.18
1757759.47,28.84,0.34,194090.45,3.18
1757463.74,28.84,0.34,193735.47,3.18
1757229.78,28.84,0.34,194250.22,3.19
1756935.17,28.84,0.34,193966.99,3.18
1756667.0,28.84,0.34,193970.83,3.18
1756972.8,28.84,0.34,194504.23,3.19
1756972.8,28.84,0.34,194652.05,3.2
1756591.13,28.84,0.34,194270.2,3.19
1756591.13,28.84,0.34,194248.3,3.19
1756293.01,28.84,0.34,194960.55,3.2
1755998.75,28.84,0.34,194936.4,3.2
1755888.08,28.84,0.34,194592.65,3.2
1755589.7,28.84,0.34,194593.07,3.2
1755589.7,28.84,0.34,194573.39,3.2
1755289.76,28.84,0.34,194497.49,3.2
1754974.67,28.84,0.34,194139.05,3.19
1754839.34,28.84,0.34,194119.91,3.19
1754515.78,28.84,0.34,194144.37,3.19
1754521.81,28.85,0.35,194126.61,3.19
1754521.81,28.85,0.35,194126.61,3.19
1754521.81,28.85,0.35,194126.61,3.19
1754302.17,28.84,0.34,193915.18,3.19
1754012.97,28.84,0.34,193559.83,3.18
1753717.24,28.84,0.34,193322.11,3.18
1753607.09,28.84,0.34,193413.27,3.18
1753391.59,28.84,0.34,193350.01,3.18
1753280.92,28.84,0.34,196213.34,3.23
1753280.92,28.84,0.34,196291.57,3.23
1753280.92,28.84,0.34,196291.57,3.23
1752956.59,28.84,0.34,196276.92,3.23
1752821.26,28.84,0.34,196894.35,3.24
1752823.02,28.84,0.34,196903.35,3.24
1752823.02,28.84,0.34,196903.35,3.24
1752712.35,28.84,0.35,199934.9,3.29
1752415.08,28.84,0.34,199391.41,3.28
1752198.04,28.84,0.34,199385.86,3.28
1751872.93,28.84,0.34,199701.93,3.29
1751572.99,28.84,0.34,199719.03,3.29
1751592.32,28.85,0.35,199639.03,3.29
1751293.94,28.85,0.35,199568.85,3.29
1751182.23,28.85,0.35,199747.68,3.29
1751182.23,28.85,0.35,199709.94,3.29
1750966.74,28.85,0.35,199646.43,3.29
1750668.35,28.85,0.35,199646.85,3.29
1750451.31,28.85,0.35,199641.56,3.29
1750339.61,28.85,0.35,199727.1,3.29
1750551.29,28.86,0.36,200196.04,3.3
1750190.18,28.85,0.35,200030.47,3.3
1749891.79,28.85,0.35,199960.29,3.3
1750108.24,28.86,0.36,200031.26,3.3
1749808.3,28.86,0.36,200025.96,3.3
1749523.22,28.86,0.36,200077.56,3.3
1749151.28,28.85,0.35,199943.4,3.3
1748842.56,28.85,0.35,199866.8,3.3
1748731.89,28.86,0.36,198768.61,3.28
1748642.14,28.86,0.36,198777.56,3.28
1748348.02,28.86,0.36,198079.0,3.27
1748348.02,28.86,0.36,198046.44,3.27
1748130.97,28.86,0.36,198100.82,3.27
1748267.84,28.86,0.36,198184.76,3.27
1747892.11,28.86,0.36,197969.52,3.27
1748108.55,28.87,0.37,198040.49,3.27
1747834.9,28.87,0.36,198133.38,3.27
1747536.52,28.87,0.36,198121.51,3.27
1747416.81,28.87,0.37,198075.32,3.27
1747297.1,28.87,0.37,198050.41,3.27
1746922.3,28.87,0.36,198210.26,3.28
1746804.92,28.87,0.37,198066.0,3.27
1746823.47,28.87,0.37,198025.02,3.27
1747128.8,28.88,0.38,198567.32,3.28
1747128.8,28.88,0.38,198567.32,3.28
1747128.8,28.88,0.38,198567.32,3.28
1747128.8,28.88,0.38,198567.32,3.28
1746830.41,28.88,0.38,198497.14,3.28
1746740.66,28.88,0.38,198506.08,3.28
1745508.9,28.88,0.38,198292.68,3.28
1745291.85,28.88,0.38,198214.51,3.28
1744983.91,28.88,0.38,198178.2,3.28
1744675.97,28.88,0.38,198452.26,3.28
1744460.48,28.88,0.38,198388.97,3.28
1744152.54,28.88,0.38,198367.83,3.28
1743837.98,28.88,0.38,198009.68,3.28
1743538.04,28.88,0.38,198004.39,3.28
1743239.66,28.88,0.38,197934.21,3.28
1743376.52,28.88,0.38,199387.05,3.3
1743159.48,28.88,0.38,199381.54,3.3
1742943.98,28.88,0.38,199374.17,3.3
1742824.28,28.88,0.38,199195.39,3.3
1742524.34,28.88,0.38,199190.1,3.3
1742665.21,28.89,0.39,199257.19,3.3
1742359.6,28.89,0.39,199155.57,3.3
1742050.88,28.89,0.39,199589.98,3.31
1741750.82,28.89,0.39,199558.1,3.31
1741482.64,28.89,0.39,199561.93,3.31
1741165.28,28.89,0.39,199519.24,3.31
1740798.35,28.88,0.38,198535.08,3.29
1740480.99,28.88,0.38,199273.81,3.31
1740480.99,28.88,0.38,199251.91,3.31
1740181.05,28.88,0.38,199461.76,3.31
1739875.43,28.88,0.38,199410.86,3.31
1739566.72,28.88,0.38,199332.28,3.31
1739269.45,28.88,0.38,199008.33,3.3
