ow_cpu100-dr_0.0-tn_1.3-ts_42-if_1.0-ccmd_b34c-policy_FGDPredictor1000desharemd6126-de_share-gs_FGDPredictorScore-scmd_6126-origin_milli,ow_cpu100-dr_0.0-tn_1.3-ts_42-if_1.0-ccmd_b34c-policy_FGDPredictor1000desharemd6126-de_share-gs_FGDPredictorScore-scmd_6126-origin_ratio,ow_cpu100-dr_0.0-tn_1.3-ts_42-if_1.0-ccmd_b34c-policy_FGDPredictor1000desharemd6126-de_share-gs_FGDPredictorScore-scmd_6126-origin_q124,ow_cpu100-dr_0.0-tn_1.3-ts_42-if_1.0-ccmd_b34c-policy_FGDPredictor1000desharemd6126-de_share-gs_FGDPredictorScore-scmd_6126-bellman_milli,ow_cpu100-dr_0.0-tn_1.3-ts_42-if_1.0-ccmd_b34c-policy_FGDPredictor1000desharemd6126-de_share-gs_FGDPredictorScore-scmd_6126-bellman_ratio
642229.75,10.49,0.27,173589.2,2.84
641934.24,10.49,0.27,173288.0,2.83
642009.41,10.49,0.27,173454.79,2.83
641907.19,10.49,0.27,173392.17,2.83
641804.97,10.49,0.27,173300.48,2.83
641438.72,10.49,0.26,172900.44,2.83
641336.5,10.49,0.26,172900.44,2.83
641234.27,10.49,0.26,172808.75,2.83
641132.05,10.49,0.26,172808.75,2.83
641029.83,10.49,0.26,172717.07,2.83
640871.35,10.48,0.26,172557.1,2.82
641197.3,10.49,0.27,172992.07,2.83
641095.08,10.49,0.27,172896.63,2.83
640992.86,10.49,0.27,172896.63,2.83
640992.86,10.49,0.27,172896.63,2.83
640992.86,10.49,0.27,172896.63,2.83
640890.64,10.49,0.27,172804.94,2.83
640788.41,10.49,0.27,172804.94,2.83
640420.24,10.48,0.26,172429.97,2.82
640318.02,10.48,0.26,172421.45,2.82
640404.43,10.49,0.27,172507.49,2.83
640302.21,10.49,0.27,172514.28,2.83
640199.99,10.49,0.27,172415.8,2.82
639904.48,10.48,0.26,172146.76,2.82
639802.26,10.48,0.26,172116.2,2.82
639700.04,10.48,0.26,172055.07,2.82
639700.04,10.48,0.26,172055.07,2.82
640025.99,10.49,0.27,172054.89,2.82
639923.77,10.49,0.27,172061.68,2.82
639821.54,10.49,0.27,171963.2,2.82
639719.32,10.49,0.27,171932.65,2.82
639617.1,10.49,0.27,171871.52,2.82
639703.51,10.49,0.27,172329.27,2.83
639601.29,10.49,0.27,172237.58,2.83
639824.57,10.5,0.28,172237.57,2.83
639722.35,10.5,0.28,172237.57,2.83
639620.13,10.5,0.28,172244.35,2.83
639517.91,10.5,0.28,172145.88,2.83
639149.74,10.49,0.27,172145.88,2.83
639047.52,10.49,0.27,172054.2,2.82
638945.3,10.49,0.27,172054.2,2.83
638649.79,10.49,0.27,172111.35,2.83
638547.57,10.49,0.27,172094.61,2.83
638445.35,10.49,0.27,172019.66,2.83
638445.35,10.49,0.27,172019.66,2.83
