ow_cpu100-dr_0.0-tn_1.3-ts_42-if_1.0-ccmd_aa9a-policy_DotProd1000demergemdac62-de_merge-gs_best-scmd_ac62-origin_milli,ow_cpu100-dr_0.0-tn_1.3-ts_42-if_1.0-ccmd_aa9a-policy_DotProd1000demergemdac62-de_merge-gs_best-scmd_ac62-origin_ratio,ow_cpu100-dr_0.0-tn_1.3-ts_42-if_1.0-ccmd_aa9a-policy_DotProd1000demergemdac62-de_merge-gs_best-scmd_ac62-origin_q124,ow_cpu100-dr_0.0-tn_1.3-ts_42-if_1.0-ccmd_aa9a-policy_DotProd1000demergemdac62-de_merge-gs_best-scmd_ac62-bellman_milli,ow_cpu100-dr_0.0-tn_1.3-ts_42-if_1.0-ccmd_aa9a-policy_DotProd1000demergemdac62-de_merge-gs_best-scmd_ac62-bellman_ratio
707800.02,11.57,1.34,189538.77,3.1
708210.25,11.57,1.35,189347.88,3.09
708620.47,11.58,1.36,189157.0,3.09
709528.71,11.6,1.38,189571.08,3.1
709903.07,11.61,1.38,189344.34,3.1
710277.44,11.62,1.39,189117.6,3.09
709591.86,11.61,1.38,188371.73,3.08
710296.7,11.62,1.4,188475.46,3.08
710138.08,11.62,1.39,188316.84,3.08
710078.3,11.62,1.39,188137.65,3.08
710783.14,11.63,1.41,188241.39,3.08
711193.36,11.64,1.42,188077.12,3.08
714438.21,11.69,1.47,190355.4,3.12
714483.17,11.69,1.47,190150.01,3.11
716086.06,11.72,1.5,191572.78,3.14
716460.42,11.73,1.51,191346.04,3.13
717368.66,11.74,1.52,191760.12,3.14
717759.08,11.75,1.53,191609.73,3.14
717263.51,11.75,1.52,191053.86,3.13
717653.93,11.75,1.53,190903.46,3.13
716968.35,11.75,1.52,190157.59,3.12
717206.95,11.75,1.53,190350.2,3.12
717617.18,11.76,1.54,190185.94,3.12
717991.54,11.77,1.54,189959.19,3.11
719270.37,11.79,1.57,190866.51,3.13
719210.6,11.79,1.57,190687.32,3.13
719601.02,11.8,1.57,190536.93,3.12
720305.86,11.81,1.59,190640.66,3.13
720716.08,11.82,1.6,190476.4,3.12
720010.7,11.81,1.59,189771.02,3.11
719515.13,11.8,1.58,189215.15,3.1
721114.81,11.83,1.61,190638.37,3.13
721853.91,11.84,1.62,190801.98,3.13
722264.13,11.85,1.63,190637.71,3.13
722654.55,11.86,1.64,190487.32,3.13
723028.91,11.87,1.65,190260.58,3.12
723937.16,11.88,1.66,190674.66,3.13
724642.0,11.9,1.68,190778.4,3.13
723956.42,11.89,1.67,190032.53,3.12
723963.03,11.89,1.67,189932.18,3.12
723277.45,11.88,1.66,189186.31,3.11
722591.87,11.87,1.65,188440.44,3.1
723870.71,11.89,1.67,189347.76,3.11
724216.97,11.9,1.68,190187.58,3.12
724607.39,11.91,1.68,190037.19,3.12
724017.61,11.9,1.68,189328.0,3.11
724345.31,11.9,1.68,189610.61,3.12
725253.55,11.92,1.7,190024.69,3.12
725663.78,11.93,1.71,189833.81,3.12
726074.0,11.94,1.72,189642.92,3.12
725579.74,11.93,1.71,189123.04,3.11
726203.01,11.94,1.72,189703.76,3.12
729447.86,11.99,1.77,191982.05,3.16
729184.46,11.99,1.77,191611.7,3.15
730092.7,12.01,1.79,192025.78,3.16
730042.92,12.01,1.79,191856.6,3.16
730453.15,12.02,1.79,191692.33,3.15
729957.57,12.01,1.79,191136.46,3.14
729461.99,12.0,1.78,190580.59,3.14
729852.41,12.01,1.79,190430.2,3.13
730331.84,12.02,1.8,190688.52,3.14
730722.26,12.03,1.81,190538.13,3.14
730960.86,12.03,1.81,190730.74,3.14
730911.08,12.03,1.81,190561.55,3.14
731819.32,12.05,1.83,190975.63,3.14
732558.42,12.06,1.84,191139.25,3.15
731872.85,12.05,1.83,190393.38,3.14
731937.47,12.05,1.83,190431.38,3.14
731347.69,12.05,1.82,189722.19,3.13
730662.11,12.04,1.82,188976.32,3.11
731366.96,12.05,1.83,189080.06,3.12
734958.07,12.11,1.89,192198.16,3.17
735304.34,12.12,1.89,193037.99,3.18
735694.76,12.12,1.9,192887.59,3.18
735199.18,12.12,1.9,192331.72,3.17
735589.6,12.13,1.9,192181.33,3.17
735980.02,12.13,1.91,192030.94,3.17
736684.87,12.15,1.93,192134.67,3.17
