ow_cpu200-dr_0.0-tn_1.3-ts_42-if_1.0-ccmd_813c-policy_FGDPredictor1000desharemd6126-de_share-gs_FGDPredictorScore-scmd_6126-used_nodes,ow_cpu200-dr_0.0-tn_1.3-ts_42-if_1.0-ccmd_813c-policy_FGDPredictor1000desharemd6126-de_share-gs_FGDPredictorScore-scmd_6126-used_gpus,ow_cpu200-dr_0.0-tn_1.3-ts_42-if_1.0-ccmd_813c-policy_FGDPredictor1000desharemd6126-de_share-gs_FGDPredictorScore-scmd_6126-used_gpu_milli,ow_cpu200-dr_0.0-tn_1.3-ts_42-if_1.0-ccmd_813c-policy_FGDPredictor1000desharemd6126-de_share-gs_FGDPredictorScore-scmd_6126-total_gpus,ow_cpu200-dr_0.0-tn_1.3-ts_42-if_1.0-ccmd_813c-policy_FGDPredictor1000desharemd6126-de_share-gs_FGDPredictorScore-scmd_6126-arrived_gpu_milli
87,196,165370,6212,165370
87,196,166020,6212,166020
87,196,166250,6212,166250
87,196,166480,6212,166480
87,196,166800,6212,166800
87,196,167610,6212,167610
88,204,167610,6212,167610
88,204,168070,6212,168070
88,204,168290,6212,168290
88,204,169290,6212,169290
88,204,169450,6212,169450
88,204,170000,6212,170000
88,204,170000,6212,170000
88,204,171000,6212,171000
88,204,171810,6212,171810
88,204,172810,6212,172810
89,212,172810,6212,172810
89,212,173810,6212,173810
89,212,173810,6212,173810
89,212,174270,6212,174270
89,212,175270,6212,175270
89,212,175270,6212,175270
90,220,176270,6212,176270
90,220,177270,6212,177270
90,220,178270,6212,178270
90,220,178430,6212,178430
90,220,179430,6212,179430
90,220,179430,6212,179430
90,220,180430,6212,180430
91,228,181430,6212,181430
91,228,182430,6212,182430
91,228,182890,6212,182890
91,228,182890,6212,182890
91,228,183890,6212,183890
91,228,184700,6212,184700
91,228,185700,6212,185700
91,228,186350,6212,186350
91,228,186350,6212,186350
91,228,186900,6212,186900
91,228,187710,6212,187710
91,228,188710,6212,188710
91,228,188710,6212,188710
91,228,188710,6212,188710
91,228,188710,6212,188710
91,228,188710,6212,188710
91,228,188710,6212,188710
91,228,189710,6212,189710
92,236,190710,6212,190710
92,236,190820,6212,190820
92,236,190820,6212,190820
92,236,190820,6212,190820
92,236,190820,6212,190820
92,236,191290,6212,191290
92,236,192290,6212,192290
92,236,193290,6212,193290
92,236,194100,6212,194100
92,236,194420,6212,194420
92,236,195420,6212,195420
92,236,196230,6212,196230
92,236,197230,6212,197230
92,236,197700,6212,197700
93,244,198700,6212,198700
93,244,199700,6212,199700
93,244,199700,6212,199700
93,244,200700,6212,200700
93,244,201510,6212,201510
93,244,201980,6212,201980
93,244,202980,6212,202980
93,244,203980,6212,203980
93,244,203980,6212,203980
93,244,204570,6212,204570
93,244,204570,6212,204570
94,252,205570,6212,205570
94,252,205890,6212,205890
94,252,206890,6212,206890
94,252,207890,6212,207890
94,252,208360,6212,208360
94,252,209360,6212,209360
94,252,210360,6212,210360
94,252,211360,6212,211360
94,252,212360,6212,212360
95,260,213360,6212,213360
95,260,214360,6212,214360
95,260,215360,6212,215360
95,260,216360,6212,216360
95,260,217360,6212,217360
95,260,218360,6212,218360
95,260,219170,6212,219170
96,268,220170,6212,220170
96,268,221170,6212,221170
96,268,221170,6212,221170
96,268,222170,6212,222170
96,268,223170,6212,223170
97,276,231170,6212,231170
97,276,232170,6212,232170
97,276,233170,6212,233170
97,276,233170,6212,233170
97,276,234170,6212,234170
98,278,235170,6212,235170
98,278,235980,6212,235980
98,278,236980,6212,236980
99,280,237980,6212,237980
99,280,238980,6212,238980
99,280,239450,6212,239450
99,280,239450,6212,239450
99,280,239920,6212,239920
99,280,240730,6212,240730
99,280,241730,6212,241730
99,280,242730,6212,242730
99,280,243730,6212,243730
100,282,244730,6212,244730
100,282,245200,6212,245200
100,282,245200,6212,245200
100,282,245670,6212,245670
100,282,246670,6212,246670
100,282,247670,6212,247670
100,282,247670,6212,247670
100,282,248670,6212,248670
101,286,249480,6212,249480
101,286,249950,6212,249950
101,286,250950,6212,250950
101,286,251950,6212,251950
101,286,252110,6212,252110
101,286,252110,6212,252110
101,286,252920,6212,252920
102,288,253730,6212,253730
102,288,254730,6212,254730
103,290,255730,6212,255730
103,290,256730,6212,256730
104,292,257730,6212,257730
104,292,258200,6212,258200
105,294,259200,6212,259200
105,294,259850,6212,259850
106,296,260850,6212,260850
106,296,261850,6212,261850
107,298,262850,6212,262850
107,298,263850,6212,263850
108,300,264850,6212,264850
108,300,265850,6212,265850
108,300,266320,6212,266320
109,302,267320,6212,267320
109,302,267320,6212,267320
109,302,268130,6212,268130
110,304,269130,6212,269130
110,304,270130,6212,270130
110,304,270130,6212,270130
111,306,271130,6212,271130
111,306,271130,6212,271130
111,306,272130,6212,272130
112,308,273130,6212,273130
112,308,273130,6212,273130
112,308,273130,6212,273130
113,316,281130,6212,281130
113,316,282130,6212,282130
114,320,283130,6212,283130
115,328,283130,6212,283130
115,328,284130,6212,284130
115,328,284780,6212,284780
115,328,292780,6212,292780
115,328,293590,6212,293590
116,330,294400,6212,294400
116,330,294870,6212,294870
116,330,295190,6212,295190
117,332,296190,6212,296190
117,332,296190,6212,296190
117,332,297000,6212,297000
117,332,297470,6212,297470
118,334,298470,6212,298470
118,334,298470,6212,298470
118,334,298470,6212,298470
118,334,298940,6212,298940
119,336,299940,6212,299940
119,336,300750,6212,300750
120,338,301750,6212,301750
120,338,302750,6212,302750
120,338,303220,6212,303220
120,338,303540,6212,303540
120,338,303860,6212,303860
121,340,304860,6212,304860
121,340,304860,6212,304860
121,340,305860,6212,305860
122,342,306860,6212,306860
122,342,307670,6212,307670
123,344,308670,6212,308670
123,344,309140,6212,309140
124,348,310140,6212,310140
124,348,310790,6212,310790
124,348,311120,6212,311120
124,348,311930,6212,311930
124,348,312740,6212,312740
125,356,313740,6212,313740
125,356,314740,6212,314740
125,356,315740,6212,315740
125,356,315740,6212,315740
125,356,316740,6212,316740
125,356,317740,6212,317740
125,356,317740,6212,317740
126,364,318740,6212,318740
126,364,318740,6212,318740
126,364,319740,6212,319740
126,364,319740,6212,319740
126,364,320740,6212,320740
126,364,320740,6212,320740
126,364,321740,6212,321740
126,364,322210,6212,322210
126,364,323210,6212,323210
127,372,324210,6212,324210
127,372,325210,6212,325210
127,372,325210,6212,325210
128,374,326020,6212,326020
128,374,326020,6212,326020
128,374,327020,6212,327020
128,374,327670,6212,327670
128,374,328670,6212,328670
