ow_cpu200-dr_0.0-tn_1.3-ts_42-if_1.0-ccmd_813c-policy_FGDPredictor1000desharemd6126-de_share-gs_FGDPredictorScore-scmd_6126-origin_milli,ow_cpu200-dr_0.0-tn_1.3-ts_42-if_1.0-ccmd_813c-policy_FGDPredictor1000desharemd6126-de_share-gs_FGDPredictorScore-scmd_6126-origin_ratio,ow_cpu200-dr_0.0-tn_1.3-ts_42-if_1.0-ccmd_813c-policy_FGDPredictor1000desharemd6126-de_share-gs_FGDPredictorScore-scmd_6126-origin_q124,ow_cpu200-dr_0.0-tn_1.3-ts_42-if_1.0-ccmd_813c-policy_FGDPredictor1000desharemd6126-de_share-gs_FGDPredictorScore-scmd_6126-bellman_milli,ow_cpu200-dr_0.0-tn_1.3-ts_42-if_1.0-ccmd_813c-policy_FGDPredictor1000desharemd6126-de_share-gs_FGDPredictorScore-scmd_6126-bellman_ratio
1159406.7,18.99,0.39,271514.78,4.45
1159406.7,18.99,0.39,271514.78,4.45
1159406.7,18.99,0.39,271514.78,4.45
1159393.37,18.99,0.4,271559.11,4.45
1159200.39,18.99,0.4,271478.02,4.45
1159200.39,18.99,0.4,271478.02,4.45
1159007.4,18.99,0.4,271406.59,4.45
1159007.4,18.99,0.4,271406.59,4.45
1158639.68,18.99,0.39,271137.43,4.44
1158444.7,18.99,0.39,271046.78,4.44
1158251.72,18.99,0.39,271038.75,4.44
1158079.79,18.99,0.39,271241.87,4.45
1158079.79,18.99,0.39,271241.87,4.45
1157851.72,18.99,0.39,270912.44,4.44
1157672.77,18.99,0.39,270202.64,4.43
1157956.28,18.99,0.4,270502.3,4.44
1157956.28,18.99,0.4,270502.3,4.44
1157763.3,18.99,0.4,270431.22,4.44
1157570.32,18.99,0.39,270422.84,4.44
1157377.33,18.99,0.39,270350.39,4.44
1157184.35,18.99,0.39,270343.38,4.44
1156991.37,18.99,0.39,270271.94,4.44
1156798.39,18.99,0.39,270263.91,4.44
1156576.21,18.99,0.39,269989.11,4.43
1156810.95,18.99,0.4,270066.66,4.43
1156490.95,18.99,0.39,269746.66,4.43
1156297.96,18.99,0.39,269918.81,4.43
1156297.96,18.99,0.39,269856.52,4.43
1156291.65,18.99,0.4,269945.8,4.43
1156112.7,18.99,0.4,269236.0,4.42
1155835.51,18.99,0.39,268922.33,4.42
1155835.51,18.99,0.39,268922.33,4.42
1155642.53,18.99,0.39,268933.06,4.42
1155449.54,18.99,0.39,268861.63,4.42
1155443.23,18.99,0.4,269004.94,4.42
1155264.28,18.99,0.4,268251.96,4.41
1154987.09,18.99,0.4,267981.47,4.41
1155115.86,19.0,0.4,268012.26,4.41
1154936.91,19.0,0.4,267259.29,4.4
1154659.72,18.99,0.4,266988.79,4.39
1154466.74,18.99,0.4,267135.2,4.4
1154273.75,18.99,0.4,267136.83,4.4
1153906.04,18.99,0.39,266867.67,4.39
1153727.09,18.99,0.39,266157.87,4.38
1153727.09,18.99,0.39,266095.58,4.38
1153727.09,18.99,0.39,266095.58,4.38
1153948.28,19.0,0.4,266280.3,4.38
1154168.98,19.0,0.4,266609.68,4.39
1153976.0,19.0,0.4,266611.3,4.39
1153783.02,19.0,0.4,266530.22,4.39
1153590.04,19.0,0.4,266561.78,4.39
1153583.72,19.0,0.41,265894.7,4.38
1153818.46,19.01,0.41,266112.83,4.38
1153639.51,19.01,0.41,265712.83,4.38
1153446.53,19.01,0.41,265640.38,4.38
1153440.21,19.01,0.41,265812.84,4.38
1153247.23,19.01,0.41,265740.4,4.38
1152955.47,19.01,0.41,265513.73,4.38
1152762.49,19.01,0.41,265506.71,4.38
1152569.51,19.01,0.41,265435.28,4.38
1152569.51,19.01,0.41,265435.28,4.38
1152201.79,19.0,0.41,265166.12,4.37
1152201.79,19.0,0.41,265166.12,4.37
1152436.53,19.01,0.41,265580.05,4.38
1152243.54,19.01,0.41,265507.61,4.38
1152243.54,19.01,0.41,265507.61,4.38
1152243.54,19.01,0.41,265507.61,4.38
1152237.23,19.01,0.41,265680.07,4.38
1152044.25,19.01,0.41,265608.31,4.38
1152173.02,19.01,0.42,265911.03,4.39
1151980.04,19.01,0.42,265786.39,4.39
1151695.44,19.01,0.41,265480.84,4.38
1151502.46,19.01,0.41,265382.53,4.38
1151134.74,19.01,0.41,265020.57,4.38
1150941.75,19.01,0.41,264949.49,4.38
1150603.37,19.0,0.4,264611.1,4.37
1150603.37,19.0,0.4,264611.1,4.37
1150838.11,19.01,0.41,265024.77,4.38
1150838.11,19.01,0.41,265024.77,4.38
1150831.79,19.01,0.41,265114.05,4.38
1150464.07,19.0,0.41,264752.01,4.37
1150172.32,19.0,0.4,264471.58,4.37
1150172.32,19.0,0.4,264471.58,4.37
1149979.33,19.0,0.4,264482.32,4.37
1150108.11,19.0,0.41,264513.11,4.37
1150101.79,19.01,0.41,264798.85,4.38
1149552.35,19.0,0.4,264249.42,4.37
1149546.04,19.0,0.41,264338.7,4.37
