ow_multigpu20-dr_0.0-tn_1.3-ts_42-if_1.0-ccmd_a906-policy_GpuPacking1000desharemd3326-de_share-gs_best-scmd_3326-used_nodes,ow_multigpu20-dr_0.0-tn_1.3-ts_42-if_1.0-ccmd_a906-policy_GpuPacking1000desharemd3326-de_share-gs_best-scmd_3326-used_gpus,ow_multigpu20-dr_0.0-tn_1.3-ts_42-if_1.0-ccmd_a906-policy_GpuPacking1000desharemd3326-de_share-gs_best-scmd_3326-used_gpu_milli,ow_multigpu20-dr_0.0-tn_1.3-ts_42-if_1.0-ccmd_a906-policy_GpuPacking1000desharemd3326-de_share-gs_best-scmd_3326-total_gpus,ow_multigpu20-dr_0.0-tn_1.3-ts_42-if_1.0-ccmd_a906-policy_GpuPacking1000desharemd3326-de_share-gs_best-scmd_3326-arrived_gpu_milli
104,238,201700,6212,201700
104,238,202020,6212,202020
104,238,203020,6212,203020
105,240,204020,6212,204020
105,240,205020,6212,205020
106,242,206020,6212,206020
106,242,206180,6212,206180
106,242,207180,6212,207180
107,244,207770,6212,207770
108,246,208770,6212,208770
109,254,216770,6212,216770
109,254,217770,6212,217770
109,254,217770,6212,217770
109,254,218770,6212,218770
110,256,219580,6212,219580
110,256,220390,6212,220390
110,256,220390,6212,220390
111,258,221390,6212,221390
111,258,222390,6212,222390
111,258,222390,6212,222390
112,260,222940,6212,222940
112,260,223940,6212,223940
113,262,224940,6212,224940
113,262,225940,6212,225940
113,262,225940,6212,225940
114,264,226940,6212,226940
114,264,227940,6212,227940
115,266,228940,6212,228940
115,266,229940,6212,229940
116,268,230940,6212,230940
116,268,231940,6212,231940
117,270,232400,6212,232400
118,272,233400,6212,233400
118,272,233400,6212,233400
118,272,233870,6212,233870
118,272,233870,6212,233870
118,272,234680,6212,234680
118,272,234680,6212,234680
118,272,235000,6212,235000
119,274,235470,6212,235470
119,274,236470,6212,236470
119,274,236470,6212,236470
119,274,236790,6212,236790
120,276,237600,6212,237600
120,276,238600,6212,238600
121,278,239250,6212,239250
121,278,240250,6212,240250
122,280,241250,6212,241250
123,282,241900,6212,241900
123,282,241900,6212,241900
124,284,242900,6212,242900
125,286,243370,6212,243370
125,286,243370,6212,243370
125,286,243530,6212,243530
126,288,244530,6212,244530
126,288,245000,6212,245000
127,290,246000,6212,246000
127,290,246810,6212,246810
127,290,247810,6212,247810
127,290,247810,6212,247810
127,290,247810,6212,247810
128,292,248810,6212,248810
128,292,249810,6212,249810
128,292,250810,6212,250810
128,292,250810,6212,250810
128,292,251280,6212,251280
128,292,251280,6212,251280
128,292,251830,6212,251830
129,300,259830,6212,259830
129,300,260150,6212,260150
130,302,261150,6212,261150
130,302,261310,6212,261310
130,302,262310,6212,262310
131,304,262780,6212,262780
131,304,263590,6212,263590
131,304,264590,6212,264590
131,304,264910,6212,264910
132,306,265500,6212,265500
132,306,266310,6212,266310
133,308,266960,6212,266960
133,308,267960,6212,267960
133,308,268420,6212,268420
134,310,269420,6212,269420
134,310,269880,6212,269880
135,312,270530,6212,270530
135,312,271530,6212,271530
135,312,272000,6212,272000
136,314,272590,6212,272590
136,314,273240,6212,273240
136,314,273560,6212,273560
136,314,273560,6212,273560
137,316,274030,6212,274030
137,316,275030,6212,275030
138,318,276030,6212,276030
138,318,276840,6212,276840
139,320,277490,6212,277490
139,320,278490,6212,278490
140,322,279490,6212,279490
140,322,280490,6212,280490
140,322,280650,6212,280650
141,324,281650,6212,281650
141,324,282650,6212,282650
142,326,283650,6212,283650
142,326,283650,6212,283650
142,326,284650,6212,284650
143,328,285650,6212,285650
143,328,285980,6212,285980
143,328,286980,6212,286980
144,330,287790,6212,287790
144,330,288790,6212,288790
145,332,289790,6212,289790
145,332,289900,6212,289900
145,332,290370,6212,290370
145,332,291370,6212,291370
146,340,299370,6212,299370
147,342,300020,6212,300020
147,342,300670,6212,300670
148,344,301670,6212,301670
148,344,302670,6212,302670
149,346,303320,6212,303320
150,348,304320,6212,304320
150,348,305130,6212,305130
150,348,305450,6212,305450
151,350,306450,6212,306450
151,350,306450,6212,306450
151,350,307450,6212,307450
151,350,308260,6212,308260
152,352,309260,6212,309260
152,352,310070,6212,310070
153,354,311070,6212,311070
153,354,311880,6212,311880
154,356,312350,6212,312350
154,356,313160,6212,313160
155,358,314160,6212,314160
155,358,315160,6212,315160
156,360,316160,6212,316160
156,360,317160,6212,317160
157,362,318160,6212,318160
158,364,319160,6212,319160
158,364,320160,6212,320160
158,364,321160,6212,321160
158,364,321390,6212,321390
159,366,322390,6212,322390
159,366,322390,6212,322390
159,366,322390,6212,322390
159,366,322390,6212,322390
159,366,323390,6212,323390
160,368,324200,6212,324200
160,368,325200,6212,325200
161,370,326010,6212,326010
161,370,327010,6212,327010
162,372,328010,6212,328010
162,372,329010,6212,329010
162,372,329470,6212,329470
162,372,329470,6212,329470
162,372,329790,6212,329790
163,374,330790,6212,330790
163,374,331380,6212,331380
164,376,332190,6212,332190
164,376,333190,6212,333190
165,378,333660,6212,333660
165,378,334660,6212,334660
166,380,335660,6212,335660
166,380,336660,6212,336660
167,382,337660,6212,337660
167,382,338660,6212,338660
168,384,339660,6212,339660
168,384,339660,6212,339660
168,384,340660,6212,340660
169,386,341660,6212,341660
169,386,342470,6212,342470
169,386,342840,6212,342840
169,386,343000,6212,343000
170,388,344000,6212,344000
170,388,345000,6212,345000
170,388,346000,6212,346000
170,388,346230,6212,346230
170,388,346230,6212,346230
170,388,346550,6212,346550
171,390,347550,6212,347550
171,390,348550,6212,348550
172,392,349550,6212,349550
172,392,350550,6212,350550
172,392,351010,6212,351010
173,396,355010,6212,355010
174,398,356010,6212,356010
175,400,357010,6212,357010
175,400,357480,6212,357480
175,400,358070,6212,358070
175,400,358540,6212,358540
176,402,359540,6212,359540
177,404,360540,6212,360540
177,404,361540,6212,361540
178,406,362540,6212,362540
178,406,362860,6212,362860
178,406,363860,6212,363860
178,406,364670,6212,364670
179,408,364900,6212,364900
179,408,365900,6212,365900
180,410,366710,6212,366710
180,410,367180,6212,367180
180,410,367650,6212,367650
181,412,368650,6212,368650
181,412,368650,6212,368650
181,412,369650,6212,369650
182,414,370300,6212,370300
182,414,370770,6212,370770
182,414,371580,6212,371580
182,414,371580,6212,371580
183,416,372580,6212,372580
183,416,373580,6212,373580
184,418,374580,6212,374580
184,418,375580,6212,375580
184,418,375580,6212,375580
185,420,376580,6212,376580
185,420,377050,6212,377050
186,422,378050,6212,378050
186,422,378860,6212,378860
186,422,378860,6212,378860
187,424,379860,6212,379860
187,424,380670,6212,380670
187,424,380670,6212,380670
188,426,381670,6212,381670
188,426,382670,6212,382670
189,428,383670,6212,383670
189,428,384670,6212,384670
189,428,385140,6212,385140
190,430,386140,6212,386140
190,430,386610,6212,386610
191,432,387610,6212,387610
191,432,387610,6212,387610
191,432,387930,6212,387930
191,432,388930,6212,388930
192,434,389930,6212,389930
192,434,390930,6212,390930
193,436,391930,6212,391930
193,436,392740,6212,392740
193,436,393210,6212,393210
194,438,394210,6212,394210
194,438,394680,6212,394680
195,440,395680,6212,395680
195,440,396680,6212,396680
196,442,397680,6212,397680
197,444,398680,6212,398680
197,444,399680,6212,399680
197,444,400150,6212,400150
197,444,400610,6212,400610
198,446,401610,6212,401610
198,446,402610,6212,402610
199,448,403610,6212,403610
199,448,404610,6212,404610
199,448,405080,6212,405080
199,448,405080,6212,405080
200,450,406080,6212,406080
200,450,407080,6212,407080
200,450,407080,6212,407080
201,452,407890,6212,407890
202,454,408890,6212,408890
202,454,409700,6212,409700
202,454,410510,6212,410510
203,456,411510,6212,411510
203,456,412510,6212,412510
204,458,413510,6212,413510
204,458,414510,6212,414510
205,460,415320,6212,415320
205,460,416320,6212,416320
206,462,416970,6212,416970
206,462,417970,6212,417970
207,464,418970,6212,418970
207,464,419970,6212,419970
208,466,420520,6212,420520
208,466,421520,6212,421520
209,468,422520,6212,422520
209,468,422840,6212,422840
209,468,423310,6212,423310
210,470,424310,6212,424310
210,470,425310,6212,425310
210,470,425310,6212,425310
210,470,425630,6212,425630
211,472,426440,6212,426440
211,472,426440,6212,426440
