ow_cpu200-dr_0.0-tn_1.3-ts_42-if_1.0-ccmd_7f77-policy_DotProd1000demergemdac62-de_merge-gs_best-scmd_ac62-origin_milli,ow_cpu200-dr_0.0-tn_1.3-ts_42-if_1.0-ccmd_7f77-policy_DotProd1000demergemdac62-de_merge-gs_best-scmd_ac62-origin_ratio,ow_cpu200-dr_0.0-tn_1.3-ts_42-if_1.0-ccmd_7f77-policy_DotProd1000demergemdac62-de_merge-gs_best-scmd_ac62-origin_q124,ow_cpu200-dr_0.0-tn_1.3-ts_42-if_1.0-ccmd_7f77-policy_DotProd1000demergemdac62-de_merge-gs_best-scmd_ac62-bellman_milli,ow_cpu200-dr_0.0-tn_1.3-ts_42-if_1.0-ccmd_7f77-policy_DotProd1000demergemdac62-de_merge-gs_best-scmd_ac62-bellman_ratio
1330154.7,21.79,1.29,201232.61,3.3
1329620.74,21.78,1.28,200645.01,3.29
1329854.04,21.79,1.29,200379.19,3.28
1330162.1,21.79,1.3,201409.04,3.3
1330671.45,21.81,1.31,201376.79,3.3
1333543.48,21.85,1.36,203128.22,3.33
1333796.02,21.86,1.36,203119.12,3.33
1334613.14,21.87,1.38,203580.99,3.34
1334846.45,21.88,1.38,203326.35,3.33
1334122.49,21.87,1.37,202559.93,3.32
1335631.83,21.9,1.4,203527.69,3.34
1335879.06,21.9,1.41,203233.33,3.33
1335155.1,21.9,1.4,202455.73,3.32
1335125.67,21.9,1.4,202383.96,3.32
1338305.76,21.95,1.45,205165.24,3.36
1337667.03,21.94,1.45,204419.84,3.35
1337739.17,21.95,1.45,205194.33,3.37
1337986.4,21.96,1.46,204899.98,3.36
1338205.42,21.96,1.46,204577.42,3.36
1338277.55,21.97,1.47,205351.91,3.37
1338510.86,21.97,1.48,205097.27,3.37
1338481.42,21.98,1.48,205025.5,3.37
1338483.64,21.98,1.48,204841.39,3.36
1338811.35,21.98,1.49,205116.04,3.37
1339919.31,22.01,1.51,205122.82,3.37
1340706.12,22.02,1.52,205629.68,3.38
1340172.16,22.01,1.51,205042.08,3.37
1339434.27,22.0,1.51,204304.19,3.36
1338696.39,22.0,1.5,203566.3,3.34
1339826.73,22.01,1.52,204359.31,3.36
1339187.99,22.01,1.51,203613.91,3.35
1339697.34,22.02,1.52,203581.66,3.35
1339168.24,22.01,1.52,203058.22,3.34
1338444.28,22.0,1.51,202280.61,3.33
1338691.51,22.01,1.52,201986.26,3.32
1339269.95,22.02,1.53,202017.47,3.32
1338560.28,22.02,1.52,201307.79,3.31
1337836.31,22.01,1.51,200530.19,3.3
1338069.62,22.02,1.52,200275.55,3.3
1338302.93,22.02,1.53,200020.91,3.29
1339051.71,22.04,1.54,200270.43,3.3
1338327.74,22.03,1.53,199492.83,3.28
1339050.28,22.04,1.54,199953.73,3.29
1340559.62,22.07,1.57,200921.49,3.31
1340450.89,22.07,1.57,200850.13,3.31
1340176.93,22.06,1.57,200533.71,3.3
1341284.89,22.08,1.59,200540.49,3.3
1341794.23,22.1,1.6,200508.25,3.3
1342303.58,22.11,1.61,200476.01,3.3
1341769.62,22.1,1.61,199888.41,3.29
1342518.4,22.12,1.62,200137.93,3.3
1341808.72,22.11,1.61,199428.25,3.29
1342027.74,22.12,1.62,199105.69,3.28
1341479.85,22.11,1.61,198557.8,3.27
1341698.87,22.12,1.62,198235.24,3.27
1342101.41,22.13,1.63,198376.13,3.27
1342334.71,22.13,1.64,198110.31,3.27
1342844.06,22.14,1.65,198078.07,3.27
1344353.4,22.17,1.67,199045.83,3.28
1344244.67,22.17,1.67,198830.43,3.28
1344284.66,22.17,1.67,198702.37,3.28
1344175.93,22.17,1.67,198486.97,3.27
1344685.27,22.18,1.68,198454.73,3.27
1347865.37,22.23,1.74,201236.01,3.32
1351045.47,22.29,1.79,204017.28,3.37
1350497.58,22.28,1.78,203469.4,3.36
1350744.81,22.29,1.79,203175.04,3.35
1351323.26,22.3,1.8,203206.25,3.35
1351556.56,22.31,1.81,202940.43,3.35
1352287.91,22.32,1.82,202918.46,3.35
1352521.22,22.33,1.83,202663.82,3.35
1352509.21,22.33,1.83,202863.54,3.35
1351870.48,22.32,1.83,202118.14,3.34
1351776.52,22.32,1.83,201970.54,3.34
1353285.86,22.35,1.85,202938.3,3.35
1354034.64,22.36,1.87,203187.82,3.36
1355543.98,22.39,1.89,204155.58,3.37
1354996.1,22.38,1.88,203607.69,3.36
1354887.36,22.38,1.88,203392.29,3.36
1355618.71,22.39,1.9,203370.33,3.36
1356500.04,22.41,1.91,204148.8,3.37
1356747.27,22.42,1.92,203854.45,3.37
1357325.71,22.43,1.93,203885.66,3.37
1356796.61,22.42,1.93,203362.21,3.36
1356585.62,22.42,1.92,202946.96,3.35
1356051.65,22.42,1.92,202359.35,3.35
1356561.0,22.43,1.93,202327.11,3.35
1358061.77,22.45,1.96,204295.8,3.38
1358295.08,22.46,1.96,204041.16,3.37
1357761.12,22.45,1.96,203453.56,3.36
1359270.46,22.48,1.98,204421.32,3.38
1359848.9,22.49,1.99,204452.53,3.38
1360076.9,22.5,2.0,204892.25,3.39
1360208.16,22.5,2.0,204916.84,3.39
1360178.73,22.5,2.0,204845.08,3.39
1359659.05,22.49,2.0,204325.4,3.38
1360789.39,22.51,2.02,205118.41,3.39
1360619.71,22.51,2.01,204948.73,3.39
1360690.28,22.51,2.02,204976.96,3.39
1360909.3,22.52,2.02,204654.4,3.39
1361039.86,22.52,2.03,204742.63,3.39
1360765.9,22.52,2.02,204426.21,3.38
1361896.24,22.54,2.04,205219.22,3.4
1363205.37,22.57,2.07,206408.13,3.42
1362657.49,22.56,2.06,205860.24,3.41
1362904.72,22.57,2.07,205565.89,3.4
1364035.06,22.59,2.09,206358.89,3.42
1364268.37,22.59,2.1,206104.25,3.41
1367448.46,22.65,2.15,208885.53,3.46
1367349.73,22.65,2.15,208680.13,3.46
1367583.04,22.65,2.16,208414.31,3.45
1369092.38,22.68,2.18,209382.06,3.47
