ow_cpu250-dr_0.0-tn_1.3-ts_42-if_1.0-ccmd_ed03-policy_FGD1000desharemda78a-de_share-gs_FGDScore-scmd_a78a-used_nodes,ow_cpu250-dr_0.0-tn_1.3-ts_42-if_1.0-ccmd_ed03-policy_FGD1000desharemda78a-de_share-gs_FGDScore-scmd_a78a-used_gpus,ow_cpu250-dr_0.0-tn_1.3-ts_42-if_1.0-ccmd_ed03-policy_FGD1000desharemda78a-de_share-gs_FGDScore-scmd_a78a-used_gpu_milli,ow_cpu250-dr_0.0-tn_1.3-ts_42-if_1.0-ccmd_ed03-policy_FGD1000desharemda78a-de_share-gs_FGDScore-scmd_a78a-total_gpus,ow_cpu250-dr_0.0-tn_1.3-ts_42-if_1.0-ccmd_ed03-policy_FGD1000desharemda78a-de_share-gs_FGDScore-scmd_a78a-arrived_gpu_milli
54,184,126240,6212,126240
54,184,126240,6212,126240
54,184,127240,6212,127240
55,192,128240,6212,128240
55,192,128710,6212,128710
55,192,129710,6212,129710
55,192,129710,6212,129710
55,192,129710,6212,129710
55,192,129710,6212,129710
55,192,129710,6212,129710
55,192,129710,6212,129710
55,192,130710,6212,130710
56,194,131520,6212,131520
56,194,131980,6212,131980
56,194,132980,6212,132980
56,194,133790,6212,133790
56,194,134790,6212,134790
56,194,135600,6212,135600
56,194,135600,6212,135600
56,194,136070,6212,136070
56,194,136390,6212,136390
56,194,136850,6212,136850
57,202,137850,6212,137850
57,202,138850,6212,138850
57,202,138850,6212,138850
57,202,138850,6212,138850
58,210,138850,6212,138850
58,210,138850,6212,138850
58,210,139660,6212,139660
58,210,139890,6212,139890
58,210,140890,6212,140890
58,210,141890,6212,141890
58,210,141890,6212,141890
58,210,142700,6212,142700
58,210,142930,6212,142930
58,210,142930,6212,142930
58,210,143520,6212,143520
59,218,144520,6212,144520
59,218,145520,6212,145520
59,218,145520,6212,145520
59,218,146520,6212,146520
59,218,146990,6212,146990
59,218,147310,6212,147310
59,218,147310,6212,147310
59,218,147780,6212,147780
59,218,148780,6212,148780
60,220,149590,6212,149590
61,222,149590,6212,149590
61,222,149910,6212,149910
61,222,149910,6212,149910
61,222,150380,6212,150380
61,222,150930,6212,150930
61,222,151400,6212,151400
61,222,152210,6212,152210
61,222,152530,6212,152530
61,222,153530,6212,153530
61,222,154530,6212,154530
61,222,155530,6212,155530
62,230,155530,6212,155530
62,230,156180,6212,156180
62,230,156180,6212,156180
62,230,157180,6212,157180
62,230,158180,6212,158180
63,232,159180,6212,159180
63,232,159990,6212,159990
63,232,159990,6212,159990
63,232,160460,6212,160460
64,240,160460,6212,160460
64,240,161460,6212,161460
64,240,162460,6212,162460
64,240,162460,6212,162460
64,240,163460,6212,163460
64,240,164460,6212,164460
64,240,165460,6212,165460
65,248,166460,6212,166460
65,248,166460,6212,166460
65,248,166460,6212,166460
65,248,167460,6212,167460
65,248,168460,6212,168460
65,248,169460,6212,169460
66,256,170460,6212,170460
66,256,171460,6212,171460
66,256,171570,6212,171570
66,256,172220,6212,172220
66,256,172540,6212,172540
66,256,173540,6212,173540
66,256,173540,6212,173540
66,256,174540,6212,174540
66,256,174540,6212,174540
66,256,174770,6212,174770
66,256,175580,6212,175580
67,258,176050,6212,176050
68,260,177050,6212,177050
68,260,178050,6212,178050
68,260,178700,6212,178700
69,268,178700,6212,178700
69,268,179170,6212,179170
69,268,180170,6212,180170
69,268,180820,6212,180820
69,268,181290,6212,181290
69,268,181760,6212,181760
69,268,181760,6212,181760
70,276,182230,6212,182230
70,276,182700,6212,182700
70,276,183700,6212,183700
70,276,184700,6212,184700
70,276,185700,6212,185700
70,276,186700,6212,186700
71,284,186700,6212,186700
71,284,186700,6212,186700
71,284,187700,6212,187700
71,284,187700,6212,187700
71,284,187700,6212,187700
71,284,188510,6212,188510
72,292,189510,6212,189510
72,292,190510,6212,190510
72,292,191510,6212,191510
72,292,192510,6212,192510
72,292,193320,6212,193320
72,292,194320,6212,194320
72,292,195320,6212,195320
72,292,196320,6212,196320
73,300,197320,6212,197320
73,300,197320,6212,197320
73,300,197640,6212,197640
73,300,197640,6212,197640
73,300,198640,6212,198640
74,308,199640,6212,199640
74,308,200640,6212,200640
74,308,201640,6212,201640
74,308,202290,6212,202290
74,308,202290,6212,202290
75,310,202290,6212,202290
75,310,203100,6212,203100
75,310,203100,6212,203100
75,310,204100,6212,204100
75,310,204910,6212,204910
75,310,205720,6212,205720
75,310,206720,6212,206720
75,310,207190,6212,207190
76,312,208190,6212,208190
76,312,209000,6212,209000
76,312,210000,6212,210000
76,312,211000,6212,211000
76,312,211810,6212,211810
77,314,212810,6212,212810
77,314,212810,6212,212810
77,314,213620,6212,213620
78,316,214620,6212,214620
78,316,214940,6212,214940
78,316,215940,6212,215940
78,316,216940,6212,216940
78,316,217310,6212,217310
79,318,218310,6212,218310
79,318,219310,6212,219310
80,326,220310,6212,220310
80,326,221310,6212,221310
80,326,222310,6212,222310
81,334,230310,6212,230310
81,334,230310,6212,230310
81,334,231310,6212,231310
81,334,231310,6212,231310
81,334,232310,6212,232310
81,334,233310,6212,233310
81,334,233310,6212,233310
81,334,233310,6212,233310
81,334,234120,6212,234120
81,334,234120,6212,234120
81,334,234120,6212,234120
81,334,235120,6212,235120
81,334,235930,6212,235930
81,334,235930,6212,235930
82,342,236930,6212,236930
82,342,237740,6212,237740
82,342,238740,6212,238740
82,342,239550,6212,239550
82,342,240550,6212,240550
82,342,241020,6212,241020
82,342,243020,6212,243020
82,342,243020,6212,243020
82,342,243020,6212,243020
