ow_gpuspec25-dr_0.0-tn_1.3-ts_42-if_1.0-ccmd_d977-policy_BestFit1000desharemd7031-de_share-gs_best-scmd_7031-id,ow_gpuspec25-dr_0.0-tn_1.3-ts_42-if_1.0-ccmd_d977-policy_BestFit1000desharemd7031-de_share-gs_best-scmd_7031-event,ow_gpuspec25-dr_0.0-tn_1.3-ts_42-if_1.0-ccmd_d977-policy_BestFit1000desharemd7031-de_share-gs_best-scmd_7031-pod_name,ow_gpuspec25-dr_0.0-tn_1.3-ts_42-if_1.0-ccmd_d977-policy_BestFit1000desharemd7031-de_share-gs_best-scmd_7031-cum_pod
9066,failed,paib-gpu/openb-pod-6005-tuned-914,7858
9067,create,paib-gpu/openb-pod-3796-tuned-915,7859
9068,create,paib-gpu/openb-pod-2997-tuned-916,7860
9069,create,paib-gpu/openb-pod-2848-tuned-917,7861
9070,create,paib-gpu/openb-pod-4538-tuned-918,7862
9071,failed,paib-gpu/openb-pod-1430-tuned-919,7862
9072,create,paib-gpu/openb-pod-6191-tuned-920,7863
9073,failed,paib-gpu/openb-pod-0422-tuned-921,7863
9074,create,paib-gpu/openb-pod-5221-tuned-922,7864
9075,failed,paib-gpu/openb-pod-3379-tuned-923,7864
9076,failed,paib-gpu/openb-pod-3185-tuned-924,7864
9077,create,paib-gpu/openb-pod-8015-tuned-925,7865
9078,create,paib-gpu/openb-pod-6496-tuned-926,7866
9079,create,paib-gpu/openb-pod-8101-tuned-927,7867
9080,create,paib-gpu/openb-pod-2731-tuned-928,7868
9081,failed,paib-gpu/openb-pod-7604-tuned-929,7868
9082,create,paib-gpu/openb-pod-8131-tuned-930,7869
9083,create,paib-gpu/openb-pod-5601-tuned-931,7870
9084,create,paib-gpu/openb-pod-4379-tuned-932,7871
9085,failed,paib-gpu/openb-pod-0023-tuned-933,7871
9086,create,paib-gpu/openb-pod-7041-tuned-934,7872
9087,create,paib-gpu/openb-pod-4831-tuned-935,7873
9088,create,paib-gpu/openb-pod-6541-tuned-936,7874
9089,failed,paib-gpu/openb-pod-3900-tuned-937,7874
9090,create,paib-gpu/openb-pod-3498-tuned-938,7875
9091,failed,paib-gpu/openb-pod-2329-tuned-939,7875
9092,failed,paib-gpu/openb-pod-3809-tuned-940,7875
9093,create,paib-gpu/openb-pod-4987-tuned-941,7876
9094,create,paib-gpu/openb-pod-1979-tuned-942,7877
9095,create,paib-gpu/openb-pod-1012-tuned-943,7878
9096,create,paib-gpu/openb-pod-1346-tuned-944,7879
9097,failed,paib-gpu/openb-pod-6990-tuned-945,7879
9098,create,paib-gpu/openb-pod-4252-tuned-946,7880
9099,failed,paib-gpu/openb-pod-7020-tuned-947,7880
9100,create,paib-gpu/openb-pod-4108-tuned-948,7881
9101,create,paib-gpu/openb-pod-5715-tuned-949,7882
9102,failed,paib-gpu/openb-pod-8150-tuned-950,7882
9103,failed,paib-gpu/openb-pod-3710-tuned-951,7882
9104,failed,paib-gpu/openb-pod-4229-tuned-952,7882
9105,failed,paib-gpu/openb-pod-7382-tuned-953,7882
9106,failed,paib-gpu/openb-pod-2384-tuned-954,7882
9107,failed,paib-gpu/openb-pod-4453-tuned-955,7882
9108,failed,paib-gpu/openb-pod-7539-tuned-956,7882
9109,failed,paib-gpu/openb-pod-4684-tuned-957,7882
9110,failed,paib-gpu/openb-pod-0529-tuned-958,7882
9111,failed,paib-gpu/openb-pod-6142-tuned-959,7882
9112,failed,paib-gpu/openb-pod-0982-tuned-960,7882
9113,failed,paib-gpu/openb-pod-3060-tuned-961,7882
9114,failed,paib-gpu/openb-pod-5640-tuned-962,7882
9115,failed,paib-gpu/openb-pod-2391-tuned-963,7882
9116,failed,paib-gpu/openb-pod-1401-tuned-964,7882
9117,failed,paib-gpu/openb-pod-7017-tuned-965,7882
9118,failed,paib-gpu/openb-pod-6605-tuned-966,7882
9119,failed,paib-gpu/openb-pod-2923-tuned-967,7882
9120,failed,paib-gpu/openb-pod-6707-tuned-968,7882
9121,failed,paib-gpu/openb-pod-5817-tuned-969,7882
9122,create,paib-gpu/openb-pod-5629-tuned-970,7883
9123,failed,paib-gpu/openb-pod-6673-tuned-971,7883
9124,failed,paib-gpu/openb-pod-2050-tuned-972,7883
9125,failed,paib-gpu/openb-pod-2201-tuned-973,7883
9126,failed,paib-gpu/openb-pod-8140-tuned-974,7883
9127,create,paib-gpu/openb-pod-1335-tuned-975,7884
9128,failed,paib-gpu/openb-pod-5500-tuned-976,7884
9129,failed,paib-gpu/openb-pod-8025-tuned-977,7884
9130,failed,paib-gpu/openb-pod-4786-tuned-978,7884
9131,failed,paib-gpu/openb-pod-6085-tuned-979,7884
9132,failed,paib-gpu/openb-pod-7375-tuned-980,7884
9133,failed,paib-gpu/openb-pod-7387-tuned-981,7884
9134,failed,paib-gpu/openb-pod-6762-tuned-982,7884
9135,failed,paib-gpu/openb-pod-1658-tuned-983,7884
9136,failed,paib-gpu/openb-pod-4674-tuned-984,7884
9137,failed,paib-gpu/openb-pod-6268-tuned-985,7884
9138,create,paib-gpu/openb-pod-6590-tuned-986,7885
9139,failed,paib-gpu/openb-pod-3638-tuned-987,7885
9140,failed,paib-gpu/openb-pod-6874-tuned-988,7885
9141,failed,paib-gpu/openb-pod-1551-tuned-989,7885
9142,create,paib-gpu/openb-pod-6099-tuned-990,7886
9143,failed,paib-gpu/openb-pod-4109-tuned-991,7886
9144,failed,paib-gpu/openb-pod-0527-tuned-992,7886
9145,failed,paib-gpu/openb-pod-4853-tuned-993,7886
9146,create,paib-gpu/openb-pod-3469-tuned-994,7887
9147,failed,paib-gpu/openb-pod-2299-tuned-995,7887
9148,failed,paib-gpu/openb-pod-7407-tuned-996,7887
9149,failed,paib-gpu/openb-pod-1462-tuned-997,7887
9150,failed,paib-gpu/openb-pod-5738-tuned-998,7887
9151,create,paib-gpu/openb-pod-7812-tuned-999,7888
9152,failed,paib-gpu/openb-pod-4975-tuned-1000,7888
9153,failed,paib-gpu/openb-pod-3780-tuned-1001,7888
9154,failed,paib-gpu/openb-pod-6275-tuned-1002,7888
9155,failed,paib-gpu/openb-pod-3395-tuned-1003,7888
9156,failed,paib-gpu/openb-pod-0190-tuned-1004,7888
9157,failed,paib-gpu/openb-pod-3176-tuned-1005,7888
9158,failed,paib-gpu/openb-pod-0700-tuned-1006,7888
9159,create,paib-gpu/openb-pod-2407-tuned-1007,7889
9160,failed,paib-gpu/openb-pod-1253-tuned-1008,7889
9161,create,paib-gpu/openb-pod-5355-tuned-1009,7890
9162,failed,paib-gpu/openb-pod-7180-tuned-1010,7890
9163,create,paib-gpu/openb-pod-2645-tuned-1011,7891
9164,failed,paib-gpu/openb-pod-7226-tuned-1012,7891
9165,failed,paib-gpu/openb-pod-5186-tuned-1013,7891
9166,failed,paib-gpu/openb-pod-5016-tuned-1014,7891
9167,failed,paib-gpu/openb-pod-2289-tuned-1015,7891
9168,failed,paib-gpu/openb-pod-2231-tuned-1016,7891
9169,failed,paib-gpu/openb-pod-3907-tuned-1017,7891
9170,failed,paib-gpu/openb-pod-2357-tuned-1018,7891
9171,failed,paib-gpu/openb-pod-3776-tuned-1019,7891
9172,create,paib-gpu/openb-pod-6066-tuned-1020,7892
9173,failed,paib-gpu/openb-pod-4404-tuned-1021,7892
9174,failed,paib-gpu/openb-pod-1680-tuned-1022,7892
9175,create,paib-gpu/openb-pod-4845-tuned-1023,7893
9176,failed,paib-gpu/openb-pod-1254-tuned-1024,7893
9177,failed,paib-gpu/openb-pod-7895-tuned-1025,7893
9178,failed,paib-gpu/openb-pod-7567-tuned-1026,7893
9179,failed,paib-gpu/openb-pod-8141-tuned-1027,7893
9180,failed,paib-gpu/openb-pod-3275-tuned-1028,7893
9181,failed,paib-gpu/openb-pod-7258-tuned-1029,7893
9182,failed,paib-gpu/openb-pod-6150-tuned-1030,7893
9183,failed,paib-gpu/openb-pod-2002-tuned-1031,7893
9184,failed,paib-gpu/openb-pod-7086-tuned-1032,7893
9185,failed,paib-gpu/openb-pod-1352-tuned-1033,7893
9186,failed,paib-gpu/openb-pod-6271-tuned-1034,7893
9187,failed,paib-gpu/openb-pod-6492-tuned-1035,7893
9188,failed,paib-gpu/openb-pod-5703-tuned-1036,7893
9189,failed,paib-gpu/openb-pod-1757-tuned-1037,7893
9190,failed,paib-gpu/openb-pod-4163-tuned-1038,7893
9191,failed,paib-gpu/openb-pod-2330-tuned-1039,7893
9192,failed,paib-gpu/openb-pod-1344-tuned-1040,7893
9193,failed,paib-gpu/openb-pod-0104-tuned-1041,7893
9194,failed,paib-gpu/openb-pod-7829-tuned-1042,7893
9195,failed,paib-gpu/openb-pod-2896-tuned-1043,7893
9196,failed,paib-gpu/openb-pod-3839-tuned-1044,7893
9197,failed,paib-gpu/openb-pod-0044-tuned-1045,7893
9198,create,paib-gpu/openb-pod-5631-tuned-1046,7894
9199,failed,paib-gpu/openb-pod-2257-tuned-1047,7894
9200,failed,paib-gpu/openb-pod-3819-tuned-1048,7894
9201,failed,paib-gpu/openb-pod-4469-tuned-1049,7894
9202,failed,paib-gpu/openb-pod-3935-tuned-1050,7894
9203,failed,paib-gpu/openb-pod-5186-tuned-1051,7894
9204,failed,paib-gpu/openb-pod-1043-tuned-1052,7894
9205,failed,paib-gpu/openb-pod-0770-tuned-1053,7894
9206,failed,paib-gpu/openb-pod-4621-tuned-1054,7894
9207,failed,paib-gpu/openb-pod-3274-tuned-1055,7894
9208,create,paib-gpu/openb-pod-6591-tuned-1056,7895
9209,create,paib-gpu/openb-pod-2478-tuned-1057,7896
9210,create,paib-gpu/openb-pod-2632-tuned-1058,7897
9211,failed,paib-gpu/openb-pod-3198-tuned-1059,7897
9212,create,paib-gpu/openb-pod-1363-tuned-1060,7898
9213,failed,paib-gpu/openb-pod-8018-tuned-1061,7898
9214,failed,paib-gpu/openb-pod-3582-tuned-1062,7898
9215,failed,paib-gpu/openb-pod-5576-tuned-1063,7898
9216,failed,paib-gpu/openb-pod-4716-tuned-1064,7898
9217,create,paib-gpu/openb-pod-5839-tuned-1065,7899
9218,failed,paib-gpu/openb-pod-8092-tuned-1066,7899
9219,failed,paib-gpu/openb-pod-7150-tuned-1067,7899
9220,failed,paib-gpu/openb-pod-4644-tuned-1068,7899
9221,failed,paib-gpu/openb-pod-5078-tuned-1069,7899
9222,failed,paib-gpu/openb-pod-5740-tuned-1070,7899
9223,create,paib-gpu/openb-pod-3873-tuned-1071,7900
9224,failed,paib-gpu/openb-pod-4208-tuned-1072,7900
9225,create,paib-gpu/openb-pod-2647-tuned-1073,7901
9226,failed,paib-gpu/openb-pod-6127-tuned-1074,7901
9227,failed,paib-gpu/openb-pod-6644-tuned-1075,7901
9228,failed,paib-gpu/openb-pod-4093-tuned-1076,7901
9229,failed,paib-gpu/openb-pod-4684-tuned-1077,7901
9230,create,paib-gpu/openb-pod-2431-tuned-1078,7902
9231,create,paib-gpu/openb-pod-4190-tuned-1079,7903
9232,create,paib-gpu/openb-pod-6164-tuned-1080,7904
9233,failed,paib-gpu/openb-pod-7720-tuned-1081,7904
9234,failed,paib-gpu/openb-pod-6102-tuned-1082,7904
9235,failed,paib-gpu/openb-pod-5148-tuned-1083,7904
9236,failed,paib-gpu/openb-pod-0512-tuned-1084,7904
9237,failed,paib-gpu/openb-pod-7288-tuned-1085,7904
9238,failed,paib-gpu/openb-pod-6274-tuned-1086,7904
9239,failed,paib-gpu/openb-pod-4093-tuned-1087,7904
9240,failed,paib-gpu/openb-pod-1504-tuned-1088,7904
9241,failed,paib-gpu/openb-pod-7654-tuned-1089,7904
9242,failed,paib-gpu/openb-pod-5611-tuned-1090,7904
9243,failed,paib-gpu/openb-pod-7675-tuned-1091,7904
9244,failed,paib-gpu/openb-pod-3134-tuned-1092,7904
9245,failed,paib-gpu/openb-pod-1104-tuned-1093,7904
9246,failed,paib-gpu/openb-pod-0349-tuned-1094,7904
9247,create,paib-gpu/openb-pod-2526-tuned-1095,7905
9248,failed,paib-gpu/openb-pod-0002-tuned-1096,7905
9249,create,paib-gpu/openb-pod-1278-tuned-1097,7906
9250,failed,paib-gpu/openb-pod-1044-tuned-1098,7906
9251,failed,paib-gpu/openb-pod-2567-tuned-1099,7906
9252,failed,paib-gpu/openb-pod-7059-tuned-1100,7906
9253,failed,paib-gpu/openb-pod-6670-tuned-1101,7906
9254,failed,paib-gpu/openb-pod-5430-tuned-1102,7906
9255,create,paib-gpu/openb-pod-2281-tuned-1103,7907
9256,create,paib-gpu/openb-pod-0940-tuned-1104,7908
9257,failed,paib-gpu/openb-pod-7623-tuned-1105,7908
9258,failed,paib-gpu/openb-pod-5222-tuned-1106,7908
9259,failed,paib-gpu/openb-pod-7976-tuned-1107,7908
9260,failed,paib-gpu/openb-pod-6519-tuned-1108,7908
9261,failed,paib-gpu/openb-pod-6488-tuned-1109,7908
9262,create,paib-gpu/openb-pod-2660-tuned-1110,7909
9263,failed,paib-gpu/openb-pod-3416-tuned-1111,7909
