ow_multigpu50-dr_0.0-tn_1.3-ts_42-if_1.0-ccmd_3ea7-policy_FGD1000desharemda78a-de_share-gs_FGDScore-scmd_a78a-origin_milli,ow_multigpu50-dr_0.0-tn_1.3-ts_42-if_1.0-ccmd_3ea7-policy_FGD1000desharemda78a-de_share-gs_FGDScore-scmd_a78a-origin_ratio,ow_multigpu50-dr_0.0-tn_1.3-ts_42-if_1.0-ccmd_3ea7-policy_FGD1000desharemda78a-de_share-gs_FGDScore-scmd_a78a-origin_q124,ow_multigpu50-dr_0.0-tn_1.3-ts_42-if_1.0-ccmd_3ea7-policy_FGD1000desharemda78a-de_share-gs_FGDScore-scmd_a78a-bellman_milli,ow_multigpu50-dr_0.0-tn_1.3-ts_42-if_1.0-ccmd_3ea7-policy_FGD1000desharemda78a-de_share-gs_FGDScore-scmd_a78a-bellman_ratio
881445.84,14.53,2.26,809039.0,13.33
881221.56,14.53,2.26,808852.59,13.33
881030.51,14.53,2.26,808594.05,13.33
880648.9,14.52,2.26,808212.76,13.33
880424.63,14.52,2.25,808110.01,13.33
880233.57,14.52,2.25,807925.32,13.33
880009.88,14.52,2.25,807275.18,13.32
879274.92,14.51,2.25,806627.18,13.32
879050.64,14.51,2.25,806450.58,13.31
878747.04,14.51,2.25,806023.8,13.31
878722.96,14.51,2.25,805517.88,13.3
878597.36,14.51,2.25,805316.33,13.3
878573.28,14.51,2.25,804810.4,13.3
878573.28,14.51,2.25,804810.4,13.3
878260.07,14.51,2.25,804429.4,13.29
877242.65,14.51,2.25,803618.0,13.3
877051.59,14.51,2.25,803358.33,13.29
876838.7,14.51,2.25,802590.32,13.28
876524.3,14.51,2.24,802281.41,13.28
876300.02,14.51,2.24,802179.78,13.28
876275.94,14.51,2.24,801673.86,13.27
875961.54,14.51,2.24,801287.59,13.27
876212.09,14.51,2.25,801274.05,13.27
875830.48,14.51,2.24,801034.02,13.27
874849.3,14.51,2.24,800644.39,13.28
874625.02,14.51,2.24,800596.67,13.28
874762.71,14.51,2.25,800490.97,13.28
874980.04,14.52,2.25,800860.68,13.29
874955.95,14.52,2.25,800354.76,13.28
874641.55,14.51,2.25,799968.48,13.28
874450.49,14.51,2.25,799708.82,13.27
874226.22,14.51,2.25,799607.19,13.27
874035.16,14.51,2.25,799347.52,13.27
873810.89,14.51,2.25,799245.9,13.27
873283.6,14.51,2.24,798168.97,13.26
873092.54,14.51,2.24,797910.43,13.26
873288.58,14.51,2.25,798227.41,13.26
873288.58,14.51,2.25,798227.41,13.26
872873.25,14.51,2.24,797866.12,13.26
872574.51,14.5,2.24,797615.81,13.26
872383.45,14.5,2.24,797356.14,13.26
872159.18,14.5,2.24,797254.51,13.26
872159.18,14.5,2.24,797254.51,13.26
871968.12,14.5,2.24,797069.82,13.26
871586.51,14.5,2.23,796826.74,13.25
871362.24,14.5,2.23,796650.14,13.25
871063.5,14.49,2.23,796357.92,13.25
871063.5,14.49,2.23,796357.92,13.25
870872.44,14.49,2.23,796183.03,13.25
870648.17,14.49,2.22,795996.63,13.25
870120.88,14.48,2.22,794919.71,13.23
870120.88,14.48,2.22,794919.71,13.23
870258.56,14.49,2.22,794814.01,13.23
869968.25,14.48,2.22,794524.28,13.23
870185.58,14.49,2.22,794893.99,13.24
869803.97,14.48,2.22,794650.9,13.23
869612.91,14.48,2.22,794395.56,13.23
869588.83,14.48,2.22,793889.64,13.22
869274.43,14.48,2.22,793507.44,13.22
869274.43,14.48,2.22,793507.44,13.22
869050.15,14.48,2.22,793401.5,13.22
869050.15,14.48,2.22,793401.5,13.22
869050.15,14.48,2.22,793401.5,13.22
868859.1,14.48,2.22,793149.57,13.22
868835.01,14.48,2.22,792643.65,13.21
868521.8,14.48,2.21,792262.65,13.21
868297.53,14.48,2.21,792153.28,13.21
868106.47,14.48,2.21,791901.36,13.21
867882.2,14.48,2.21,791791.99,13.21
867879.95,14.48,2.21,791732.55,13.21
867844.48,14.48,2.21,791761.71,13.21
868095.03,14.48,2.22,791748.18,13.21
867870.76,14.48,2.22,791777.02,13.21
867662.02,14.48,2.21,791574.8,13.21
867662.02,14.48,2.21,791574.8,13.21
867799.7,14.48,2.22,791469.11,13.21
867575.43,14.48,2.22,791537.46,13.21
867193.82,14.48,2.21,791220.85,13.21
867169.74,14.48,2.21,790714.93,13.2
866856.53,14.48,2.21,790333.93,13.2
866557.79,14.47,2.21,790039.99,13.19
866557.79,14.47,2.21,790039.99,13.19
866344.9,14.47,2.21,789271.97,13.18
866616.12,14.48,2.21,789587.55,13.19
866613.87,14.48,2.21,789528.11,13.19
866613.87,14.48,2.21,789528.11,13.19
866613.87,14.48,2.21,789528.11,13.19
866389.59,14.48,2.21,789412.06,13.19
866389.59,14.48,2.21,789412.06,13.19
864958.7,14.47,2.21,787958.71,13.18
864767.64,14.47,2.21,787699.05,13.18
864543.37,14.47,2.2,787597.42,13.18
864681.05,14.47,2.21,787489.54,13.18
864456.78,14.47,2.21,787557.56,13.18
864707.33,14.48,2.21,787544.03,13.19
864707.33,14.48,2.21,787544.03,13.19
864331.7,14.47,2.21,787129.54,13.18
864107.43,14.47,2.21,787223.08,13.18
863725.82,14.47,2.2,786841.78,13.18
863534.77,14.46,2.2,786666.89,13.18
863534.77,14.46,2.2,786666.89,13.18
863310.49,14.46,2.2,786480.49,13.18
863011.75,14.46,2.19,786184.9,13.17
862798.86,14.46,2.19,785499.21,13.16
862867.41,14.46,2.2,785497.41,13.16
863005.1,14.46,2.2,785391.72,13.16
862780.82,14.46,2.2,785460.07,13.17
862918.5,14.47,2.2,785354.37,13.17
862694.23,14.47,2.2,785422.38,13.17
862481.34,14.46,2.2,784736.69,13.16
862355.74,14.46,2.2,784530.18,13.16
862164.69,14.46,2.2,784355.29,13.16
861940.41,14.46,2.2,784168.89,13.16
861128.33,14.46,2.19,782676.35,13.14
860937.28,14.46,2.19,782491.66,13.14
860713.0,14.46,2.19,782315.06,13.14
860850.69,14.46,2.2,782209.36,13.14
860557.73,14.46,2.19,781909.92,13.14
860333.46,14.45,2.19,781977.94,13.14
860584.01,14.46,2.2,781964.4,13.14
860371.12,14.46,2.19,781278.71,13.13
860056.71,14.46,2.19,780887.48,13.13
859675.11,14.45,2.19,780647.44,13.12
858940.15,14.45,2.18,779999.45,13.12
858715.88,14.45,2.18,779951.72,13.12
858715.88,14.45,2.18,779951.72,13.12
858992.76,14.45,2.19,779280.89,13.11
858992.76,14.45,2.19,779280.89,13.11
858801.7,14.45,2.19,779139.73,13.11
858801.7,14.45,2.19,779139.73,13.11
858577.43,14.45,2.19,778919.6,13.11
858501.67,14.45,2.19,778866.64,13.11
858501.67,14.45,2.19,778866.64,13.11
858752.22,14.46,2.19,778853.11,13.11
858527.95,14.45,2.19,778881.95,13.11
858319.21,14.45,2.19,778678.01,13.11
857937.6,14.45,2.18,778361.41,13.11
857937.6,14.45,2.18,778011.13,13.1
857746.54,14.45,2.18,777759.21,13.1
857722.46,14.45,2.18,777253.28,13.09
857409.25,14.44,2.18,776872.28,13.09
857409.25,14.44,2.18,776872.28,13.09
857110.51,14.44,2.18,776578.68,13.08
856886.24,14.44,2.17,776469.31,13.08
856673.34,14.44,2.17,775783.62,13.07
856358.94,14.43,2.17,775392.38,13.07
856167.89,14.43,2.17,775217.5,13.07
855943.61,14.43,2.17,775031.09,13.07
856220.49,14.44,2.17,774360.26,13.06
856029.44,14.44,2.17,774100.6,13.06
855805.16,14.44,2.17,773998.97,13.06
855800.48,14.44,2.17,773542.53,13.05
855777.79,14.44,2.17,774260.33,13.06
855362.45,14.44,2.17,773899.04,13.06
855153.71,14.43,2.17,773695.43,13.06
854971.11,14.43,2.17,773466.55,13.06
854971.11,14.43,2.17,773466.55,13.06
854642.13,14.43,2.16,773162.37,13.05
854451.07,14.43,2.16,772910.44,13.05
854668.4,14.43,2.17,773242.37,13.06
854455.51,14.43,2.17,772474.35,13.05
854141.11,14.43,2.16,772165.44,13.04
853950.05,14.43,2.16,771905.78,13.04
853725.78,14.43,2.16,771804.15,13.04
853723.53,14.43,2.16,771744.71,13.04
853499.26,14.43,2.16,771628.67,13.04
853499.26,14.43,2.16,771628.67,13.04
853117.65,14.42,2.16,771247.37,13.04
853115.4,14.42,2.16,771187.93,13.04
853115.4,14.42,2.16,771187.93,13.04
853079.94,14.43,2.16,771217.09,13.04
853330.49,14.43,2.17,771203.56,13.04
853181.25,14.43,2.16,771305.97,13.04
852956.98,14.43,2.16,771111.37,13.04
852765.92,14.43,2.16,770851.71,13.04
852730.45,14.43,2.16,770935.89,13.04
852728.2,14.43,2.17,770876.45,13.05
852728.2,14.43,2.17,770876.45,13.05
852503.93,14.43,2.16,770740.1,13.04
852754.48,14.43,2.17,770726.57,13.05
851737.06,14.44,2.17,770265.44,13.06
851701.59,14.44,2.17,770429.29,13.06
851319.99,14.43,2.17,770162.16,13.06
851319.99,14.43,2.17,770162.16,13.06
851107.09,14.43,2.17,769476.47,13.05
850792.69,14.43,2.16,769085.24,13.04
850601.64,14.43,2.16,768825.57,13.04
850818.97,14.43,2.17,769165.24,13.05
850627.91,14.43,2.17,768990.35,13.05
850627.91,14.43,2.17,768990.35,13.05
849867.86,14.43,2.16,768155.72,13.04
850026.54,14.43,2.17,768349.16,13.05
849813.65,14.43,2.17,767581.14,13.04
849813.65,14.43,2.17,767581.14,13.04
849622.59,14.43,2.17,767321.48,13.03
849497.0,14.43,2.17,767201.38,13.03
849272.72,14.43,2.16,767099.75,13.03
849081.67,14.43,2.16,766840.09,13.03
849046.2,14.43,2.17,766924.26,13.03
848855.15,14.43,2.16,766665.72,13.03
848696.34,14.43,2.16,766514.89,13.03
848472.06,14.43,2.16,766412.14,13.03
848472.06,14.43,2.16,766412.14,13.03
848469.81,14.43,2.16,766352.7,13.03
848665.85,14.43,2.17,766655.09,13.04
848474.8,14.43,2.17,766403.17,13.04
848103.19,14.43,2.16,766031.88,13.03
847878.92,14.42,2.16,765922.51,13.03
847687.86,14.42,2.16,765663.97,13.03
847463.59,14.42,2.16,765561.22,13.03
847463.59,14.42,2.16,765561.22,13.03
847272.53,14.42,2.16,765302.67,13.03
847048.26,14.42,2.16,765199.93,13.03
847046.01,14.42,2.16,765140.49,13.03
846028.59,14.42,2.16,764329.08,13.03
845804.31,14.42,2.16,764213.03,13.03
845613.25,14.42,2.16,764038.15,13.03
845400.89,14.42,2.15,763862.57,13.03
845365.42,14.42,2.16,763841.67,13.03
845365.42,14.42,2.16,763841.67,13.03
845152.53,14.42,2.15,763155.98,13.02
845026.93,14.42,2.15,762949.48,13.02
845024.69,14.42,2.16,762887.22,13.02
844800.41,14.42,2.16,762770.9,13.02
844609.35,14.42,2.15,762518.98,13.02
844385.08,14.42,2.15,762409.61,13.02
843573.0,14.41,2.15,760917.08,13.0
843381.94,14.41,2.15,760732.38,13.0
843607.61,14.42,2.15,761007.46,13.01
842590.19,14.42,2.16,760196.06,13.01
842587.94,14.42,2.16,760205.33,13.01
842363.66,14.42,2.16,760000.27,13.01
842172.61,14.42,2.16,759825.38,13.01
841802.67,14.42,2.15,759453.7,13.0
842020.0,14.42,2.16,759643.9,13.01
841815.92,14.42,2.15,759420.85,13.01
841603.03,14.42,2.15,758735.16,13.0
841288.62,14.41,2.15,758343.93,12.99
841097.57,14.41,2.15,758159.24,12.99
841097.57,14.41,2.15,758159.24,12.99
840873.29,14.41,2.15,757982.64,12.99
840682.24,14.41,2.15,757807.75,12.99
840300.63,14.4,2.14,757491.15,12.99
840097.84,14.4,2.14,757242.0,12.98
